GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
54003000014,WV,003,14,1033,29,710,257,2,5,0,7,23,756,13,547,183,1,4,0,0,8,NA,52060,90006,00060,52,16,2,2,33.81992337164751,38.39272030651341
54003000015,WV,003,15,333,11,277,26,1,6,0,4,8,275,9,232,22,1,6,0,0,5,NA,52060,90006,00060,52,16,2,2,12.302220803178658,13.9656059316021
54003000016,WV,003,16,1787,20,1606,122,3,13,0,3,20,1355,14,1239,83,1,8,0,0,10,NA,52060,93171,00060,54,16,2,2,60.61639704838938,68.81234922662125
54003000017,WV,003,17,1660,26,1411,185,10,0,0,6,22,1282,18,1118,127,6,0,0,0,13,NA,52060,90006,00060,52,16,2,2,57.35071661700014,65.10511565205051
54003000018,WV,003,18,2292,39,1940,232,6,19,2,7,47,1741,23,1511,161,6,18,0,4,18,NA,52060,92526,00060,54,16,2,2,77.8842415212147,88.41498155243366
54003000019,WV,003,19,2318,33,2228,23,2,5,3,2,22,1764,21,1701,19,1,3,2,2,15,NA,NA,92526,00060,54,16,2,2,78.91315453384418,89.58301404853128
54003000020,WV,003,20,1460,16,1426,3,2,0,0,8,5,1102,11,1082,3,2,0,0,3,1,NA,NA,92526,00060,54,16,2,2,49.29835390946502,55.96399176954733
54003000021,WV,003,21,3869,23,3741,55,3,22,0,0,25,2774,14,2684,41,3,18,0,0,14,NA,NA,92526,00060,54,16,2,2,124.09585639279126,140.8748758336881
54003000022,WV,003,22,1236,14,1176,22,9,8,0,0,7,921,9,887,12,5,5,0,0,3,NA,52060,90006,00060,52,16,2,2,41.201255853554706,46.77208386547467
54003000023,WV,003,23,1549,23,1500,13,2,4,0,1,6,1142,14,1111,8,2,3,0,1,3,NA,NA,92526,00060,54,16,2,2,51.08776784447282,57.995352632325805
54003000024,WV,003,24,3278,50,2879,290,8,15,0,1,35,2446,24,2179,213,8,12,0,0,10,NA,52060,93171,00060,54,16,2,2,109.42266212572726,124.2177167589045
54003000025,WV,003,25,1218,25,995,150,5,23,0,0,20,830,16,713,70,3,18,0,0,10,NA,NA,93171,00060,54,16,2,2,37.130339151411945,42.15073790265361
54003000026,WV,003,26,1828,27,1749,24,1,4,1,1,21,1345,17,1293,20,1,4,1,1,8,NA,NA,93171,00060,54,16,2,2,60.169043564637434,68.30450901092664
54003000027,WV,003,27,1445,14,1345,60,7,7,1,0,11,1091,8,1022,43,5,5,0,0,8,NA,NA,93171,00060,54,16,2,2,48.806265077337876,55.40536753228324
54003000028,WV,003,28,2823,36,2584,166,8,5,0,0,24,2051,23,1897,114,6,3,0,0,8,NA,52060,93171,00060,54,16,2,2,91.75219951752518,104.15802823896693
54003000029,WV,003,29,1249,4,1196,35,0,8,0,0,6,992,3,955,27,0,4,0,0,3,NA,NA,93388,00060,53,16,2,2,44.37746558819355,50.37774939690648
54003000031,WV,003,31,2420,39,2275,64,5,3,0,4,30,1739,19,1657,40,5,3,0,2,13,NA,NA,92754,00060,53,16,2,2,77.79477082446431,88.31341350929473
54003000032,WV,003,32,2030,33,1955,10,2,7,0,4,19,1455,20,1411,7,2,7,0,0,8,NA,NA,92754,00060,53,16,2,2,65.0899318859089,73.89075138356748
54003000033,WV,003,33,2219,29,2082,58,4,19,1,2,24,1648,14,1562,43,2,16,1,0,10,NA,40204,92754,00060,53,16,2,2,73.72385412232155,83.69206754647368
54003000034,WV,003,34,1373,27,1315,23,1,1,0,0,6,1005,19,966,18,1,1,0,0,0,NA,NA,93388,00060,53,16,2,2,44.95902511707109,51.03794167730949
54003000035,WV,003,35,1379,12,1312,36,0,3,0,1,15,1024,10,978,24,0,3,0,1,8,NA,NA,92754,00060,53,16,2,2,45.8089967361998,52.00283808712928
54003000036,WV,003,36,1799,13,1732,24,3,4,0,0,23,1370,7,1328,19,2,4,0,0,10,NA,40204,92754,00060,53,16,2,2,61.28742727401731,69.57410955016319
54003000037,WV,003,37,2271,12,2197,41,1,1,0,0,19,1656,7,1603,31,1,1,0,0,13,NA,40204,92754,00060,53,16,2,2,74.08173690932311,84.09833971902937
54003000038,WV,003,38,1631,31,1504,45,1,28,0,0,22,1224,18,1146,29,1,23,0,0,7,NA,52060,92322,00060,52,16,2,2,54.75606641123883,62.15964240102171
54003000039,WV,003,39,1280,11,1224,15,1,18,0,1,10,955,8,916,11,1,14,0,0,5,NA,NA,92322,00060,52,16,2,2,42.72225769831133,48.49874059883638
54003000040,WV,003,40,2179,20,2059,56,9,4,0,10,21,1600,14,1517,40,7,3,0,5,14,NA,36220,93388,00060,51,16,2,2,71.5765574003122,81.2544345111395
54003000041,WV,003,41,2041,13,1990,17,6,5,0,0,10,1477,6,1444,11,4,3,0,0,9,NA,NA,93388,00060,51,16,2,2,66.0741095501632,75.00799985809564
54003000042,WV,003,42,1406,8,1365,10,5,3,0,0,15,1022,3,1000,6,5,3,0,0,5,NA,NA,93388,00060,51,16,2,2,45.71952603944941,51.90127004399035
54003000043,WV,003,43,1529,28,1468,15,1,3,2,1,11,1094,12,1061,9,1,3,1,1,6,NA,40204,93388,00060,53,16,2,2,48.94047112246346,55.557719596991625
54003000044,WV,003,44,794,9,757,14,1,0,1,0,12,556,4,534,12,0,0,1,0,5,NA,36220,92322,00060,52,16,2,2,24.872853696608487,28.235915992620974
54003000045,WV,003,45,1922,9,1857,28,0,2,0,1,25,1399,7,1356,16,0,2,0,1,17,NA,NA,93388,00060,53,16,2,2,62.584752376897974,71.0468461756776
54003000046,WV,003,46,1635,38,1564,16,5,2,0,0,10,1195,26,1150,13,1,1,0,0,4,NA,NA,93388,00060,53,16,2,2,53.458741308358164,60.686905775507306
54003000047,WV,003,47,1490,16,1444,12,5,0,0,1,12,1043,9,1008,11,5,0,0,1,9,NA,NA,93388,00060,53,16,2,2,46.658968355328504,52.96773449694905
54003000048,WV,003,48,1417,12,1373,12,4,4,1,5,6,1127,8,1095,9,3,4,1,2,5,NA,NA,93388,00060,51,16,2,2,50.4167376188449,57.233592308783884
54003000049,WV,003,49,1226,6,1177,9,3,1,0,5,25,909,5,879,8,2,1,0,3,11,NA,NA,93171,00060,54,16,2,2,40.66443167305236,46.16267560664112
54003000050,WV,003,50,334,4,327,0,0,1,0,1,1,269,3,264,0,0,1,0,0,1,NA,NA,93388,00060,53,16,2,2,12.033808712927488,13.660901802185327
54003000051,WV,003,51,1582,17,1515,23,3,4,0,4,16,1114,9,1069,18,3,4,0,3,8,NA,40204,92754,00060,53,16,2,2,49.835178089967364,56.573400028380874
5400300015A,WV,003,15A,606,9,469,105,3,3,0,1,16,471,4,385,69,3,3,0,0,7,NA,52060,90006,00060,52,16,2,2,21.0703490847169,23.919274159216684
5400300025A,WV,003,25A,722,10,626,78,1,4,0,1,2,501,5,456,34,1,4,0,1,0,NA,NA,93171,00060,53,16,2,2,22.412409535972756,25.442794806300554
54005000001,WV,005,1,745,0,737,2,0,0,0,0,6,570,0,566,1,0,0,0,0,3,NA,20212,90832,00090,20,7,3,3,129.0566037735849,85.63080061193268
54005000002,WV,005,2,731,0,724,0,0,0,0,0,7,535,0,530,0,0,0,0,0,5,NA,NA,90796,00090,20,7,3,3,121.13207547169812,80.37276899541051
54005000003,WV,005,3,725,5,714,2,0,0,0,0,4,542,3,537,0,0,0,0,0,2,NA,NA,90796,00090,20,7,3,3,122.71698113207546,81.42437531871494
54005000004,WV,005,4,156,0,156,0,0,0,0,0,0,114,0,114,0,0,0,0,0,0,NA,50524,90796,00090,21,7,3,3,25.81132075471698,17.126160122386537
54005000005,WV,005,5,1473,19,1447,0,3,0,0,0,4,1132,14,1115,0,1,0,0,0,2,NA,NA,90796,00090,20,7,3,3,256.3018867924528,170.05976542580316
54005000007,WV,005,7,1495,7,1477,3,1,2,0,1,4,1091,2,1082,0,1,1,0,1,4,NA,20212,90832,00090,20,7,3,3,247.0188679245283,163.9003569607343
54005000009,WV,005,9,1012,2,997,3,0,0,0,0,10,739,2,731,2,0,0,0,0,4,NA,NA,90796,00090,20,7,3,3,167.32075471698113,111.01958184599694
54005000011,WV,005,11,194,0,193,1,0,0,0,0,0,169,0,169,0,0,0,0,0,0,NA,20212,90832,00090,21,7,3,3,38.26415094339623,25.388781234064254
54005000012,WV,005,12,515,0,468,46,0,0,0,0,1,414,0,376,37,0,0,0,0,1,NA,50524,90796,00090,21,7,3,3,93.73584905660378,62.19500254971953
54005000013,WV,005,13,1168,4,1087,64,1,0,0,2,10,923,4,866,44,1,0,0,0,8,NA,50524,90832,00090,21,7,3,3,208.9811320754717,138.66180520142785
54005000014,WV,005,14,594,0,588,5,0,0,0,0,1,473,0,469,3,0,0,0,0,1,NA,20212,90832,00090,21,7,3,3,107.09433962264151,71.05854156042835
54005000015,WV,005,15,745,4,738,0,0,0,0,0,3,560,1,556,0,0,0,0,0,3,NA,50524,90832,00090,20,7,3,3,126.79245283018868,84.12850586435492
54005000016,WV,005,16,1113,6,1087,0,2,2,1,0,15,870,2,858,0,2,2,0,0,6,NA,20212,90832,00090,20,7,3,3,196.9811320754717,130.69964303926568
54005000017,WV,005,17,515,0,512,0,1,0,1,0,1,395,0,392,0,1,0,1,0,1,NA,NA,90832,00090,20,7,3,3,89.43396226415094,59.34064252932177
54005000018,WV,005,18,858,5,848,0,3,0,0,0,2,651,2,645,0,2,0,0,0,2,NA,NA,90832,00090,20,7,3,3,147.39622641509433,97.79938806731259
54005000019,WV,005,19,1010,3,993,1,0,11,0,0,2,801,0,792,0,0,9,0,0,0,NA,50524,90832,00090,21,7,3,3,181.35849056603774,120.33380928097908
54005000022,WV,005,22,1096,3,1084,2,0,0,0,2,5,853,3,844,1,0,0,0,0,5,NA,NA,90762,00090,21,7,3,3,193.13207547169813,128.14574196838348
54005000023,WV,005,23,474,2,463,1,0,0,0,0,8,370,2,362,1,0,0,0,0,5,NA,NA,90762,00090,21,7,3,3,83.77358490566037,55.58490566037736
54005000025,WV,005,25,1450,9,1431,0,3,0,1,0,6,1073,7,1056,0,3,0,1,0,6,NA,NA,90762,00090,21,7,3,3,242.9433962264151,161.19622641509434
54005000030,WV,005,30,1746,8,1708,3,4,2,0,2,19,1311,8,1290,3,1,0,0,0,9,NA,NA,90762,00090,21,7,3,3,296.8301886792453,196.95084140744518
54005000031,WV,005,31,1007,4,996,0,3,0,0,0,4,773,3,765,0,1,0,0,0,4,NA,NA,90762,00090,21,7,3,3,175.01886792452828,116.12738398776133
54005000032,WV,005,32,550,1,549,0,0,0,0,0,0,405,1,404,0,0,0,0,0,0,NA,NA,90762,00090,21,7,3,3,91.69811320754717,60.84293727689954
54005000033,WV,005,33,293,5,282,3,1,0,0,0,2,220,2,215,1,1,0,0,0,1,NA,NA,90762,00090,21,7,3,3,49.81132075471698,33.05048444671086
54005000035,WV,005,35,1165,6,1147,5,3,0,0,0,4,878,3,863,5,3,0,0,0,4,NA,78964,90762,00090,21,7,3,3,198.79245283018867,131.9014788373279
54005000036,WV,005,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,90762,00090,21,7,3,3,0,0
54005000038,WV,005,38,640,2,634,1,1,1,0,0,1,529,2,523,1,1,1,0,0,1,NA,86836,90762,00090,21,7,3,3,119.77358490566037,79.47139214686385
54005000040,WV,005,40,44,0,42,0,0,0,0,0,2,37,0,37,0,0,0,0,0,0,NA,86836,90762,00090,21,7,3,3,8.377358490566039,5.558490566037736
54005000041,WV,005,41,700,4,682,10,0,0,0,0,4,566,2,552,8,0,0,0,0,4,NA,78964,90762,00090,21,7,3,3,128.1509433962264,85.02988271290158
54005000045,WV,005,45,819,5,803,10,1,0,0,0,0,626,3,615,7,1,0,0,0,0,NA,50524,90796,00090,21,7,3,3,141.73584905660377,94.04365119836817
54005000046,WV,005,46,371,3,368,0,0,0,0,0,0,293,2,291,0,0,0,0,0,0,NA,NA,90796,00090,21,7,3,3,66.33962264150944,44.017236104028555
54005000048,WV,005,48,62,0,62,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,NA,NA,90796,00090,21,7,3,3,11.320754716981133,7.511473737888832
54005000049,WV,005,49,1106,3,1099,1,1,0,0,0,2,882,3,876,1,1,0,0,0,1,NA,NA,90796,00090,21,7,3,3,199.69811320754718,132.502396736359
54005000050,WV,005,50,518,1,512,0,0,0,0,0,5,405,0,403,0,0,0,0,0,2,NA,NA,90796,00090,21,7,3,3,91.69811320754717,60.84293727689954
54005000052,WV,005,52,56,0,55,0,1,0,0,0,0,50,0,49,0,1,0,0,0,0,NA,NA,90796,00090,21,7,3,3,11.320754716981133,7.511473737888832
54005000053,WV,005,53,389,6,381,1,0,0,0,0,1,310,4,304,1,0,0,0,0,1,NA,50524,90796,00090,21,7,3,3,70.18867924528303,46.57113717491076
54007000001,WV,007,1,421,0,413,0,0,0,0,0,8,297,0,295,0,0,0,0,0,2,NA,NA,92922,00120,34,12,2,2,125.48485382176823,81.04992955265939
54007000003,WV,007,3,388,0,387,0,0,0,0,0,1,282,0,281,0,0,0,0,0,1,NA,NA,92922,00120,34,12,2,2,119.14723494188094,76.95649876717154
54007000006,WV,007,6,377,0,367,3,1,1,0,0,5,289,0,280,3,1,1,0,0,4,NA,NA,92922,00120,34,12,2,2,122.10479041916167,78.86676646706587
54007000009,WV,007,9,1174,9,1148,2,5,6,0,0,4,879,4,869,1,3,2,0,0,0,NA,NA,92922,00120,34,12,2,2,371.3844663613949,239.8750440295879
54007000012,WV,007,12,709,0,681,0,20,0,0,2,6,556,0,536,0,14,0,0,2,4,NA,78580,90968,00120,34,12,2,2,234.9144064811553,151.72983444874956
54007000013,WV,007,13,497,0,493,3,0,0,0,0,1,396,0,394,1,0,0,0,0,1,NA,NA,90968,00120,34,12,2,2,167.3131384290243,108.06657273687918
54007000014,WV,007,14,376,5,366,4,1,0,0,0,0,286,2,280,3,1,0,0,0,0,NA,NA,90968,00120,34,12,2,2,120.83726664318422,78.0480803099683
54007000015,WV,007,15,713,1,697,4,2,0,0,1,8,511,0,501,3,2,0,0,0,5,NA,NA,92922,00120,34,12,2,2,215.90154984149348,139.449542092286
54007000016,WV,007,16,250,1,248,0,0,0,0,0,1,190,0,190,0,0,0,0,0,0,NA,27868,90968,00120,34,12,2,2,80.27650581190561,51.85012328284608
54007000019,WV,007,19,1774,6,1676,67,5,5,0,2,13,1493,3,1407,62,4,5,0,2,10,NA,78580,90968,00120,34,12,2,2,630.8043325114477,407.4328108488905
