GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
27109000110,MN,109,0110,2555,71,2252,71,12,108,0,4,37,1929,41,1752,42,6,76,0,1,11,NA,54880,54880,31800,1,3,354.00108000617143,476.6200435431059
27109000115,MN,109,0115,5053,68,4633,62,5,216,0,6,63,3389,44,3131,37,4,147,0,0,26,NA,54880,54880,31800,1,3,621.9334681912468,837.3589049080281
27109000116,MN,109,0116,27,0,27,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,NA,54880,54880,38160,1,3,3.670306687466786,4.941628237875645
27109000117,MN,109,0117,1155,10,1073,6,0,65,0,0,1,684,8,633,4,0,38,0,0,1,NA,54880,54880,31800,1,3,37.332700522069295,69.14665401044138
27109000120,MN,109,0120,3585,223,2899,116,13,271,1,1,61,2914,157,2433,73,10,206,1,1,33,NA,54880,54880,31800,1,3,534.7636843639107,719.9952342584814
27109000125,MN,109,0125,5906,117,5361,55,9,285,6,10,63,4220,73,3885,37,6,193,3,4,19,NA,54880,54880,31800,1,3,774.4347110554917,1042.683558191761
27109000130,MN,109,0130,1242,27,1119,11,3,72,0,0,10,982,22,895,7,3,52,0,0,3,NA,54880,54880,31800,1,3,184.6880733944954,325.2955439056356
27109000135,MN,109,0135,6117,102,5693,76,9,171,2,2,62,4376,72,4097,50,3,121,2,0,31,NA,54880,54880,31800,1,3,803.0631032177328,1081.2282584471911
27109000136,MN,109,0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,54880,54880,38160,1,3,0,0
27109000140,MN,109,0140,4408,136,3267,231,13,632,4,8,117,3093,90,2356,147,7,431,3,6,53,NA,54880,54880,31800,1,3,567.6129292167384,764.2228069874685
27109000145,MN,109,0145,4360,147,3779,132,3,226,0,7,66,3458,92,3085,83,2,163,0,3,30,NA,54880,54880,31800,1,3,634.5960262630072,854.407522328699
27109000150,MN,109,0150,1901,33,1727,44,1,77,0,4,15,1487,23,1373,34,1,47,0,0,9,NA,54880,54880,31800,1,3,272.8873022131555,367.41005948605425
27109000155,MN,109,0155,4719,83,4329,66,6,176,0,5,54,3253,50,3045,32,3,102,0,0,21,NA,54880,54880,31800,1,3,596.9753827164727,803.7558328904737
27109000156,MN,109,0156,634,22,559,0,4,39,0,0,10,408,11,362,0,3,26,0,0,6,NA,54880,54880,31800,1,3,22.268628381585195,41.245372567631705
27109000157,MN,109,0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,54880,54880,31800,1,3,0,0
27109000160,MN,109,0160,3421,192,2664,221,4,283,2,6,49,2972,144,2428,157,4,201,2,4,32,NA,54880,54880,31800,1,3,545.4075737575644,734.3259561483209
27109000165,MN,109,0165,2164,81,1730,85,6,220,0,1,41,1740,60,1464,50,5,140,0,0,21,NA,54880,54880,31800,1,3,319.3166818096103,429.92165669518107
27109000170,MN,109,0170,3099,199,2366,276,70,144,2,5,37,2551,184,1929,256,70,89,2,2,19,NA,54880,54880,31800,1,3,468.1476179863885,630.3046817410386
27109000171,MN,109,0171,3362,403,2039,347,8,400,0,9,156,2301,238,1569,173,5,248,0,1,67,NA,54880,54880,31800,1,3,422.26878439305364,568.5343287675929
27109000172,MN,109,0172,416,3,377,17,1,9,0,0,9,381,3,348,17,1,9,0,0,3,NA,54880,54880,31800,1,3,69.91934239624226,94.13801793153104
27109000173,MN,109,0173,25,1,21,1,0,0,0,1,1,23,1,21,1,0,0,0,0,0,NA,54880,54880,31800,1,3,4.1785989222478825,6.480369515011547
27109000175,MN,109,0175,3843,90,3357,82,17,191,4,14,88,3145,54,2863,47,12,115,2,9,43,NA,54880,54880,31800,1,3,577.155726604152,777.0710404059452
27109000185,MN,109,0185,3646,73,3348,41,16,111,0,8,49,2732,47,2570,21,10,62,0,1,21,NA,54880,54880,31800,1,3,501.36389350796287,675.0264172938131
27109000190,MN,109,0190,4823,65,4466,55,5,170,0,0,62,3436,48,3226,30,4,106,0,0,22,NA,54880,54880,31800,1,3,630.5586889067938,848.9717312670358
27109000191,MN,109,0191,1254,14,1137,6,4,80,0,0,13,861,9,778,6,4,59,0,0,5,NA,54880,54880,31800,1,3,158.00670289544513,212.73709564054653
27109000192,MN,109,0192,213,1,196,0,0,16,0,0,0,148,1,138,0,0,9,0,0,0,NA,54880,54880,31800,1,3,26.88837567359507,41.699769053117784
27109000195,MN,109,0195,3269,72,2747,215,4,196,0,1,34,2499,49,2158,130,2,143,0,1,16,NA,54880,54880,31800,1,3,458.6048205989748,617.4564483225619
27109000200,MN,109,0200,2852,25,2692,32,2,70,6,0,25,2137,12,2047,18,1,47,3,0,9,NA,54880,54880,31800,1,3,392.17226955582606,528.0129772170127
27109000205,MN,109,0205,2520,27,2336,43,6,67,1,2,38,1796,16,1690,28,4,42,1,1,14,NA,54880,54880,31800,1,3,329.59354053451733,443.7582157612329
27109000206,MN,109,0206,4293,139,3481,216,7,312,2,4,132,3127,80,2684,108,5,201,1,4,44,NA,54880,54880,31800,1,3,170.67157095396297,316.11343141907923
27109000210,MN,109,0210,2903,35,2756,33,7,49,0,3,20,2070,18,1987,22,7,31,0,0,5,NA,54880,54898,31800,1,3,389.3119266055046,685.7044560943643
27109000211,MN,109,0211,13,0,9,0,0,0,0,0,4,7,0,5,0,0,0,0,0,2,NA,54880,54898,31800,1,3,1.284607340613375,1.7295698832564759
27109000212,MN,109,0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,54880,54898,31800,1,3,0,0
27109000215,MN,109,0215,627,1,620,0,1,3,0,0,2,471,0,467,0,1,1,0,0,2,NA,NA,54988,38160,1,3,118,141
27109000220,MN,109,0220,1061,2,1048,0,0,3,0,2,6,787,0,779,0,0,1,0,2,5,NA,NA,58234,07350,1,3,204,243
27109000225,MN,109,0225,5411,54,5227,38,12,28,1,0,51,3777,32,3682,20,8,14,1,0,20,NA,62806,62806,38160,1,3,644,951
27109000230,MN,109,0230,555,1,549,1,0,2,0,0,2,395,1,392,1,0,1,0,0,0,NA,18530,67270,11010,1,3,78,121
27109000236,MN,109,0236,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,NA,54880,10180,31800,1,3,0.3670306687466786,0.49416282378756454
