GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
41001950100,41,001,9501,2928,2814,1,47,24,5,0,1,36,2208,2142,0,23,13,4,0,1,25,NA,31600,91326,NA,NA,01710,59,28,3,5,468.6800662095058,625.1388034996453
41001950200,41,001,9502,3291,3080,7,90,45,8,5,0,56,2405,2270,3,56,32,7,2,0,35,NA,03650,90204,NA,NA,01710,59,28,3,5,510.49617718924884,680.9143217466699
41001950300,41,001,9503,2793,2637,7,69,31,11,0,6,32,2105,2002,5,39,22,11,0,2,24,NA,03650,90204,NA,NA,01710,59,28,3,5,446.81682036730507,595.9769843146528
41001950400,41,001,9504,2858,2692,2,80,20,22,1,2,39,2217,2101,2,52,15,19,1,1,26,NA,03650,90204,NA,NA,01710,59,28,3,5,470.59044691416415,627.6869236226058
41001950500,41,001,9505,2654,2505,18,67,16,13,0,0,35,2033,1928,18,46,12,10,0,0,19,NA,03650,90204,NA,NA,01710,59,28,3,5,431.53377473003866,575.5920233309687
41001950600,41,001,9506,2217,2110,2,39,31,3,1,1,30,1719,1658,1,18,18,1,1,0,22,NA,31650,90969,NA,NA,09720,59,28,3,5,364.8827145897375,486.6909434854575
41003000100,41,003,0001,5424,4582,58,492,64,97,6,12,113,4113,3575,41,282,46,85,6,9,69,NA,15800,90680,NA,NA,03480,35,18,1,2,1021.7790226847711,929.4798113667779
41003000200,41,003,0002,4192,3739,23,131,38,168,15,2,76,3271,2948,15,96,31,136,9,0,36,NA,15800,90680,NA,NA,03480,35,18,1,2,812.603740141475,739.1997235547606
41003000300,41,003,0003,3137,2913,10,69,28,62,2,5,48,2285,2155,8,34,16,47,2,3,20,NA,15800,90680,NA,NA,03480,34,18,5,3,567.6550126026506,516.3776729815432
41003000400,41,003,0004,7240,6404,41,209,27,417,3,17,122,5517,4956,29,121,21,310,3,9,68,NA,15800,90680,NA,NA,03480,35,18,1,2,1370.57011139117,1246.7639482884788
41003000500,41,003,0005,3135,2889,16,65,6,81,1,20,57,2353,2209,11,37,6,55,1,7,27,NA,15800,90680,NA,NA,03480,36,19,1,3,584.5480282949834,531.7447109521099
41003000600,41,003,0006,5078,4142,85,361,27,270,16,2,175,3710,3139,53,210,20,198,12,0,78,NA,15800,90680,NA,NA,03480,35,18,1,2,921.663062037564,838.4075128059192
41003000700,41,003,0007,1172,1004,17,67,7,40,2,5,30,1065,919,13,57,5,36,2,5,28,NA,15800,90680,NA,NA,03480,35,18,1,3,264.57443694609316,240.67493292137573
41003000801,41,003,000801,3145,2480,68,175,20,302,12,9,79,2852,2286,64,143,20,254,11,9,65,NA,15800,90680,NA,NA,03480,35,18,1,3,708.5129522725424,644.5116513537686
41003000802,41,003,000802,3851,2831,68,263,27,484,51,19,108,3718,2738,65,250,26,469,51,19,100,NA,15800,90680,NA,NA,03480,35,18,1,3,923.6504756484267,840.2153996259858
41003000900,41,003,0009,5597,4898,39,193,16,317,10,7,117,4406,3916,28,137,12,241,10,1,61,NA,15800,90680,NA,NA,03480,35,18,1,3,1094.5680461826166,995.6936661517196
41003001001,41,003,001001,3970,2972,60,557,49,197,17,17,101,3066,2390,33,370,36,157,13,14,53,NA,15800,90680,NA,NA,03480,35,18,1,2,761.6762663631189,692.8726237905521
41003001002,41,003,001002,3172,2781,27,88,22,174,1,6,73,2511,2217,22,55,16,145,0,4,52,NA,15800,90680,NA,NA,03480,35,18,1,2,623.7994471095211,567.4504756484267
41003001101,41,003,001101,3298,2786,30,131,25,246,4,7,69,3141,2664,30,118,22,236,4,6,61,NA,15800,90680,NA,NA,03480,35,18,1,2,780.3082689649565,709.8215627286771
41003001102,41,003,001102,4539,3696,62,208,24,426,9,2,112,4135,3369,54,178,18,405,8,2,101,NA,15800,90680,NA,NA,03480,35,18,1,2,1027.2444101146434,934.4515001219611
41003010100,41,003,0101,6984,6578,6,151,33,94,4,13,105,5112,4862,4,89,25,70,2,7,53,NA,01000,92142,NA,NA,01120,36,19,1,3,1269.957297341247,1155.2396780226034
