GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
45003000010,SC,003,10,1242,20,685,521,5,3,0,0,8,902,10,534,350,3,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,80.81687875490799,175.62949997634703
45003000011,SC,003,11,1672,30,1038,579,13,3,0,0,9,1242,23,830,374,9,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,111.28000378447419,241.83130706277495
45003000012,SC,003,12,1264,4,893,354,4,0,0,0,9,936,3,680,244,4,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,83.86319125786461,182.2496806849898
45003000013,SC,003,13,1418,50,1007,322,11,1,0,8,19,1020,40,736,218,6,1,0,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,91.38937508869861,198.6054212592838
45003000014,SC,003,14,1303,15,1036,227,2,11,0,0,12,904,9,738,143,2,9,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,80.99607360802308,176.0189223709731
45003000015,SC,003,15,839,7,636,186,7,0,1,0,2,610,5,468,128,7,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,54.65443020010407,118.77383036094423
45003000016,SC,003,16,432,8,347,65,7,2,0,0,3,316,5,249,52,6,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,28.31278679218506,61.528738350915376
45003000017,SC,003,17,535,6,179,342,5,1,0,0,2,375,3,136,234,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,33.59903495908037,73.01669899238375
45003000018,SC,003,18,1024,11,447,539,16,4,0,0,7,763,8,351,388,11,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,68.36283646340887,148.5646435498368
45003000019,SC,003,19,2451,107,1846,453,11,7,0,3,24,1734,82,1347,276,6,5,0,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,155.36193765078764,337.62921614078243
45003000020,SC,003,20,1047,22,817,197,3,0,0,0,8,780,16,623,136,1,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,69.88599271488718,151.87473390415818
45003000021,SC,003,21,2773,43,881,1804,4,5,0,0,36,1932,24,676,1207,4,4,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,173.10222810918208,376.1820332087611
45003000022,SC,003,22,2112,16,1413,640,2,11,0,0,30,1503,8,1025,444,2,11,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,109.84665087228086,314.97286237346543
45003000023,SC,003,23,2749,30,1570,1068,20,20,1,3,37,2045,19,1267,714,14,15,1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,183.22673731018494,398.18439850513266
45003000024,SC,003,24,2177,22,1814,304,5,19,0,1,12,1796,18,1543,206,4,14,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,160.91697809735558,349.70131037418986
45003000025,SC,003,25,2286,27,255,1964,6,3,0,4,27,1611,19,210,1362,6,2,0,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,144.34145418420928,313.67973887128056
45003000026,SC,003,26,2930,52,1048,1774,6,3,0,3,44,2127,34,871,1193,4,3,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,190.57372628790387,414.1507166848006
45003000027,SC,003,27,2019,23,1404,552,8,4,0,3,25,1542,18,1089,414,7,4,0,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,138.15923175173847,300.24466625668197
45003000028,SC,003,28,2185,22,1418,703,4,3,1,2,32,1539,12,1053,457,3,3,1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,137.89043947206585,299.6605326647429
45003000029,SC,003,29,1553,89,1195,230,10,5,0,2,22,1084,46,845,167,9,3,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,97.12361038838166,211.0669378873173
45003000030,SC,003,30,3476,42,3135,232,6,36,0,3,22,2469,26,2238,156,5,31,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,180.44669394787854,517.4105104458324
45003000031,SC,003,31,1927,33,1012,856,2,6,0,4,14,1435,24,809,587,1,3,0,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,104.87687558331538,300.72259315097995
45003000032,SC,003,32,2500,29,2014,404,5,24,2,0,22,1765,18,1434,278,4,22,1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,128.99490272094192,369.8783114365712
45003000033,SC,003,33,2684,25,2148,464,13,14,0,4,16,2050,19,1679,324,9,8,0,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,149.82410797616484,429.6037045014
45003000034,SC,003,34,2423,32,2237,100,22,5,0,1,26,1832,21,1704,72,16,4,0,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,133.89159307918732,383.91901787637306
45003000035,SC,003,35,1569,10,1486,60,6,2,0,0,5,1285,8,1220,48,4,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,115.13269312644874,250.20388854723495
