GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
220010001-1,LA,001,1-1,1593,32,1519,33,4,0,0,1,4,1093,18,1052,18,1,0,0,1,3,NA,NA,94933,00030,41,26,7,7,NA,NA
220010001-6,LA,001,1-6,1053,4,33,1014,2,0,0,0,0,652,2,22,627,1,0,0,0,0,NA,63645,94759,00030,42,26,7,7,NA,NA
220010001-7,LA,001,1-7,1192,3,335,845,0,0,0,0,9,839,1,260,573,0,0,0,0,5,NA,63645,94759,00030,42,26,7,7,NA,NA
220010001-8,LA,001,1-8,1030,6,813,194,1,4,0,0,12,705,5,577,115,1,3,0,0,4,NA,22255,94759,00030,42,26,7,7,NA,NA
220010001-9,LA,001,1-9,1121,5,1078,37,0,0,0,0,1,757,1,730,25,0,0,0,0,1,NA,63645,94567,00030,42,26,7,7,NA,NA
220010002-1,LA,001,2-1,1347,14,1225,95,4,4,0,0,5,936,8,861,60,2,2,0,0,3,NA,NA,94933,00030,41,26,7,7,NA,NA
220010002-2,LA,001,2-2,871,1,853,5,0,1,0,0,11,621,1,610,4,0,1,0,0,5,NA,NA,95092,00030,41,26,7,7,NA,NA
220010002-3,LA,001,2-3,642,13,502,127,0,0,0,0,0,451,8,357,86,0,0,0,0,0,NA,NA,94933,00030,41,26,7,7,NA,NA
220010002-4,LA,001,2-4,864,3,836,19,4,1,0,0,1,612,2,593,14,1,1,0,0,1,NA,NA,95092,00030,41,26,7,7,NA,NA
220010002-5,LA,001,2-5,536,1,522,9,2,1,0,0,1,378,1,365,8,2,1,0,0,1,NA,NA,94201,00030,41,26,7,7,NA,NA
220010003-1,LA,001,3-1,1523,25,1177,314,2,0,0,0,5,1077,14,856,200,2,0,0,0,5,NA,15465,95092,00030,41,26,7,7,NA,NA
220010003-2,LA,001,3-2,1187,10,1135,36,2,0,0,3,1,814,9,776,24,2,0,0,2,1,NA,NA,95092,00030,41,26,7,7,NA,NA
220010003-4,LA,001,3-4,915,3,141,767,0,1,0,2,1,637,0,115,520,0,1,0,1,0,NA,15465,95092,00030,41,26,7,7,NA,NA
220010003-5,LA,001,3-5,404,0,355,43,1,0,0,0,5,287,0,256,30,0,0,0,0,1,NA,NA,95092,00030,41,26,7,7,NA,NA
220010003-6,LA,001,3-6,557,6,477,73,1,0,0,0,0,384,6,320,57,1,0,0,0,0,NA,NA,95092,00030,41,26,7,7,NA,NA
220010003-7,LA,001,3-7,1307,3,1089,199,8,0,1,0,7,901,2,769,119,3,0,1,0,7,NA,15465,94933,00030,41,26,7,7,NA,NA
220010004-1,LA,001,4-1,954,4,944,2,3,0,0,0,1,688,4,678,2,3,0,0,0,1,NA,NA,95242,00030,41,25,7,7,NA,NA
220010004-2,LA,001,4-2,1376,18,1192,155,0,2,0,3,6,959,12,840,97,0,2,0,3,5,NA,37410,95242,00030,41,25,7,7,NA,NA
220010004-3,LA,001,4-3,296,0,289,3,0,0,0,2,2,215,0,212,2,0,0,0,0,1,NA,NA,94201,00030,41,26,7,7,NA,NA
220010004-4,LA,001,4-4,1306,13,1270,3,12,1,0,0,7,896,2,878,2,9,1,0,0,4,NA,NA,94201,00030,37,25,7,7,NA,NA
220010004-5,LA,001,4-5,1683,10,1661,6,2,2,0,0,2,1216,9,1201,2,2,1,0,0,1,NA,49870,95242,00030,37,25,7,7,NA,NA
220010004-6,LA,001,4-6,939,3,899,27,1,0,0,0,9,646,3,618,19,1,0,0,0,5,NA,37410,95242,00030,41,25,7,7,NA,NA
220010005-3,LA,001,5-3,488,0,480,6,0,0,0,0,2,353,0,347,4,0,0,0,0,2,NA,52320,94381,00030,42,26,7,7,NA,NA
220010005-4,LA,001,5-4,759,3,745,8,0,0,0,0,3,518,2,508,7,0,0,0,0,1,NA,52320,94381,00030,42,26,7,7,NA,NA
220010005-5,LA,001,5-5,361,0,348,13,0,0,0,0,0,261,0,255,6,0,0,0,0,0,NA,24460,94381,00030,42,26,7,7,NA,NA
220010005-6,LA,001,5-6,251,3,242,5,0,0,0,1,0,168,1,165,2,0,0,0,0,0,NA,NA,94381,00030,42,26,7,7,NA,NA
220010006-1,LA,001,6-1,1285,6,486,789,0,2,0,0,2,828,4,392,430,0,1,0,0,1,NA,18650,94000,00030,42,26,7,7,NA,NA
220010006-2,LA,001,6-2,1180,5,1067,96,3,4,0,1,4,864,1,810,44,2,3,0,1,3,NA,18650,94201,00030,42,26,7,7,NA,NA
220010006-4,LA,001,6-4,1412,14,1252,133,0,9,0,1,3,1044,9,937,91,0,5,0,0,2,NA,18650,94000,00030,42,26,7,7,NA,NA
220010006-5,LA,001,6-5,485,6,141,331,0,0,0,1,6,358,4,115,234,0,0,0,1,4,NA,18650,94000,00030,42,26,7,7,NA,NA
220010006-6,LA,001,6-6,743,17,6,717,0,1,0,0,2,531,11,5,514,0,1,0,0,0,NA,18650,94000,00030,42,26,7,7,NA,NA
220010006-7,LA,001,6-7,1217,17,1158,33,3,1,0,3,2,893,14,859,15,2,1,0,1,1,NA,18650,94381,00030,42,26,7,7,NA,NA
220010006-8,LA,001,6-8,2080,19,1887,152,6,2,0,1,13,1494,12,1395,76,5,2,0,0,4,NA,18650,94567,00030,42,26,7,7,NA,NA
220010006-9,LA,001,6-9,1047,23,993,22,0,3,0,0,6,759,17,725,11,0,3,0,0,3,NA,18650,94381,00030,42,26,7,7,NA,NA
220010007-1,LA,001,7-1,311,0,297,14,0,0,0,0,0,227,0,218,9,0,0,0,0,0,NA,NA,95092,00030,41,26,7,7,NA,NA
220010007-2,LA,001,7-2,774,5,702,59,3,0,1,0,4,532,2,495,29,3,0,0,0,3,NA,04580,95242,00030,41,25,7,7,NA,NA
220010007-3,LA,001,7-3,1593,8,1557,17,0,1,0,0,10,1101,6,1076,16,0,1,0,0,2,NA,24565,95242,00030,41,26,7,7,NA,NA
220010007-4,LA,001,7-4,853,11,807,29,2,0,0,0,4,604,7,571,24,0,0,0,0,2,NA,24565,95092,00030,41,26,7,7,NA,NA
22001001-10,LA,001,1-10,175,0,174,1,0,0,0,0,0,123,0,122,1,0,0,0,0,0,NA,NA,94567,00030,42,26,7,7,NA,NA
22001001-11,LA,001,1-11,155,0,125,27,0,2,0,0,1,94,0,74,17,0,2,0,0,1,NA,63645,94567,00030,42,26,7,7,NA,NA
22001001-2A,LA,001,1-2A,860,6,584,262,2,0,0,2,4,599,5,431,159,1,0,0,0,3,NA,63645,94759,00030,42,26,7,7,NA,NA
22001001-2B,LA,001,1-2B,803,8,753,35,0,2,0,0,5,571,4,543,19,0,2,0,0,3,NA,63645,94759,00030,42,26,7,7,NA,NA
22001001-3A,LA,001,1-3A,983,4,941,33,2,0,0,0,3,716,4,690,17,2,0,0,0,3,NA,63645,94759,00030,42,26,7,7,NA,NA
22001001-3B,LA,001,1-3B,854,14,679,153,0,6,0,0,2,577,9,476,89,0,2,0,0,1,NA,63645,94759,00030,42,26,7,7,NA,NA
22001001-4A,LA,001,1-4A,928,11,852,61,0,0,0,1,3,724,6,677,40,0,0,0,1,0,NA,63645,94567,00030,42,26,7,7,NA,NA
22001001-4B,LA,001,1-4B,758,6,726,14,1,3,0,3,5,547,6,529,8,1,2,0,0,1,NA,63645,94567,00030,42,26,7,7,NA,NA
22001001-5A,LA,001,1-5A,773,8,703,51,2,3,0,0,6,568,4,528,30,1,2,0,0,3,NA,63645,94567,00030,42,26,7,7,NA,NA
22001001-5B,LA,001,1-5B,781,12,365,404,0,0,0,0,0,548,9,283,256,0,0,0,0,0,NA,63645,94759,00030,42,26,7,7,NA,NA
22001003-3A,LA,001,3-3A,1790,55,1493,233,2,4,0,0,3,1196,33,1029,128,2,2,0,0,2,NA,15465,94933,00030,41,26,7,7,NA,NA
22001003-3B,LA,001,3-3B,1132,2,852,275,3,0,0,0,0,812,1,652,157,2,0,0,0,0,NA,15465,94933,00030,41,26,7,7,NA,NA
22001005-1A,LA,001,5-1A,721,15,609,90,3,0,0,0,4,513,11,436,61,2,0,0,0,3,NA,49870,94381,00030,42,25,7,7,NA,NA
22001005-1B,LA,001,5-1B,272,3,268,0,1,0,0,0,0,194,1,193,0,0,0,0,0,0,NA,49870,94381,00030,42,25,7,7,NA,NA
22001005-2A,LA,001,5-2A,807,2,749,38,6,1,0,0,11,569,2,536,22,4,1,0,0,4,NA,24460,94381,00030,42,26,7,7,NA,NA
22001005-2B,LA,001,5-2B,98,0,98,0,0,0,0,0,0,63,0,63,0,0,0,0,0,0,NA,24460,94381,00030,42,26,7,7,NA,NA
22001006-10,LA,001,6-10,492,2,486,1,0,0,0,0,3,337,2,333,1,0,0,0,0,1,NA,NA,94381,00030,42,26,7,7,NA,NA
22001006-11,LA,001,6-11,1305,7,16,1277,1,0,0,0,4,883,6,14,860,0,0,0,0,3,NA,18650,94000,00030,42,26,7,7,NA,NA
22001006-12,LA,001,6-12,1886,25,1526,299,8,13,0,0,15,1377,20,1148,185,6,12,0,0,6,NA,18650,94201,00030,42,26,7,7,NA,NA
22001006-13,LA,001,6-13,1308,10,867,421,6,0,0,0,4,853,4,646,198,5,0,0,0,0,NA,18650,94201,00030,42,26,7,7,NA,NA
