GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
38057961498,38,057,961498,1116,1096,0,1,12,0,0,0,7,842,830,0,1,9,0,0,0,2,1160,88140,85075,05190,00032,33,33,1,1,77.59419344315772,95.44772467786657
38057961500,38,057,9615,1556,1503,0,1,12,3,2,1,34,1134,1102,0,1,7,0,1,1,22,1160,75420,21710,NA,17610,33,33,1,1,104.50334366335018,128.54836078943075
38057961600,38,057,9616,2622,2538,3,11,43,10,4,0,13,1830,1783,1,6,26,5,1,0,8,NA,36780,36780,NA,00031,33,33,1,1,168.64296199641169,207.44576741151528
38057961700,38,057,9617,3280,3125,1,18,54,9,27,3,43,2280,2211,1,9,33,7,5,1,13,NA,06660,06660,NA,00032,33,33,1,1,210.11254281520144,258.45702169303536
38059020100,38,059,0201,5252,4980,18,31,134,31,0,5,53,3925,3743,10,22,93,27,0,3,27,NA,49900,49900,NA,11820,34,34,1,1,1186.4204545454545,1139.9066558441557
38059020200,38,059,0202,6518,6344,9,46,53,19,0,1,46,4885,4780,6,26,37,18,0,0,18,NA,49900,49900,NA,11820,31,31,1,1,1476.6022727272725,1418.7118506493505
38059020300,38,059,0203,6704,6159,9,66,349,10,2,2,107,4654,4408,2,28,175,8,0,1,32,NA,49900,49900,NA,11820,31,31,1,1,1406.777272727273,1351.6243506493508
38059020400,38,059,0204,2896,2835,1,11,23,4,0,0,22,2057,2023,0,7,15,4,0,0,8,3970,26660,21720,11540,11820,31,31,1,1,621.775,597.3982142857143
38059020500,38,059,0205,3933,3843,1,10,30,13,0,0,36,2959,2910,0,4,23,9,0,0,13,NA,36860,85080,16950,13870,31,31,1,1,894.425,859.3589285714285
38061940100,38,061,9401,214,92,0,0,76,0,0,0,46,157,70,0,0,52,0,0,0,35,1160,NA,81420,NA,13920,4,4,1,1,65.3535946342486,48.83420666526934
38061940200,38,061,9402,1945,551,3,43,1299,4,2,0,43,1298,474,1,10,789,4,2,0,18,1160,56740,56740,NA,13920,4,4,1,1,540.3118843009852,403.7375812198701
38061940300,38,061,9403,1265,572,3,33,525,0,0,0,132,858,454,2,9,300,0,0,0,93,1160,60940,60940,NA,14940,4,4,1,1,357.1553133514986,266.8773841961853
38061955200,38,061,9552,3207,3143,0,11,35,10,1,1,6,2458,2423,0,6,20,6,0,1,2,1160,75380,75380,13760,17570,4,4,1,1,1023.1792077132677,764.5508279186754
38063940200,38,063,9402,5,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3935,NA,18300,NA,00040,23,23,1,1,0.7947214076246334,0.4868035190615836
38063958700,38,063,9587,2409,2360,3,6,12,8,0,0,20,1872,1844,2,2,9,7,0,0,8,NA,44300,44300,10820,00040,23,23,1,1,201,114
38063958800,38,063,9588,1301,1296,0,0,1,3,0,0,1,1020,1017,0,0,1,2,0,0,0,3935,49580,59900,NA,00040,23,23,1,1,270.20527859237535,165.5131964809384
38065961200,38,065,9612,2065,2005,1,13,25,2,0,0,19,1499,1459,1,4,21,0,0,0,14,NA,13180,21730,02320,04040,33,33,1,1,375,462
38067950100,38,067,9501,1586,1519,2,37,14,4,0,0,10,1164,1121,2,24,8,3,0,0,6,NA,61580,61620,NA,15030,10,10,1,1,346.40062063615204,421.8935608999224
