GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
10001001-29,DE,001,1-29,5269,86,4749,319,40,18,2,6,49,3767,60,3386,250,27,15,1,3,25,NA,39100,91480,01620,29,15,1,1,499.83337311748625,836.6251790286881
10001001-30,DE,001,1-30,2158,25,1964,87,7,48,0,1,26,1506,9,1383,66,5,33,0,0,10,NA,NA,90444,00180,30,15,1,1,199.8271993403064,334.4723970313789
10001001-31,DE,001,1-31,2906,96,1786,890,14,71,0,2,47,2004,50,1355,516,9,57,0,0,17,NA,21200,90740,00190,31,17,1,1,265.90551625363486,445.0748231413567
10001001-32,DE,001,1-32,1551,49,553,844,7,47,0,4,47,1177,32,465,608,7,39,0,1,25,NA,21200,90740,00190,32,17,1,1,156.17305021483443,261.4037259667549
10001001-33,DE,001,1-33,394,6,315,55,0,4,0,0,14,292,4,242,34,0,4,0,0,8,NA,21200,90740,00180,33,17,1,1,38.74471594114839,64.85122173516775
10001001-34,DE,001,1-34,927,30,777,98,1,9,0,0,12,712,21,605,69,1,9,0,0,7,NA,80830,90444,00180,34,15,1,1,94.47341695238923,158.13037628575148
10001001-35,DE,001,1-35,998,29,835,108,6,4,0,0,16,715,18,613,69,5,4,0,0,6,NA,36760,91332,01080,35,18,1,1,94.87147910246951,158.7966559611128
10001002-28,DE,001,2-28,3527,125,2814,500,15,13,1,7,52,2548,79,2065,360,6,10,1,4,23,NA,67310,93700,01620,28,14,1,1,338.0874528015277,565.8935376068747
10001002-29,DE,001,2-29,4896,100,3958,516,185,52,0,9,76,3470,69,2817,349,158,39,0,3,35,NA,14660,90740,00190,29,15,1,1,460.4252202595373,770.663491167918
10001002-30,DE,001,2-30,2599,32,2286,218,10,21,0,3,29,1845,18,1641,147,9,12,0,0,18,NA,NA,90444,00180,30,15,1,1,244.8082222993794,409.76200034720716
10001002-31,DE,001,2-31,3597,114,1395,1973,7,50,0,7,51,3231,95,1222,1821,7,41,0,4,41,NA,21200,90740,00190,31,17,1,1,428.71293563647413,717.5832103641335
10001002-32,DE,001,2-32,3989,273,1963,1485,18,123,4,24,99,2950,153,1622,981,12,100,4,17,61,NA,21200,90740,00190,32,17,1,1,391.4277809122868,655.1750141052905
10001002-33,DE,001,2-33,2917,91,2270,366,25,83,0,3,79,1991,52,1582,239,15,59,0,2,42,NA,61265,90444,00180,33,16,1,1,264.18058026995357,442.187611214791
10001002-34,DE,001,2-34,111,7,79,18,0,1,0,0,6,82,4,60,15,0,1,0,0,2,NA,81350,90740,00180,34,17,1,1,10.880365435527972,18.211644459875874
10001002-35,DE,001,2-35,881,12,729,119,2,4,0,0,15,635,5,538,79,2,4,0,0,7,NA,NA,91332,01850,35,19,1,1,84.25648843366174,141.0291979514778
