GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,cd_1990,cd_2000,ndv,nrv
55001950100,55,001,9501,2890,2833,1,9,11,13,0,2,21,2388,2353,0,9,8,7,0,1,10,NA,NA,69275,NA,NA,2,4,302,447
55001950200,55,001,9502,3815,3697,11,54,20,6,1,0,26,3079,3009,6,29,13,4,1,0,17,1450,NA,77800,NA,NA,2,4,147,122
55001950400,55,001,9504,4583,4395,11,85,28,23,1,4,36,3491,3377,7,44,20,14,1,0,28,NA,00275,00275,NA,NA,2,4,168,208
55001950500,55,001,9505,4174,4052,13,65,9,5,1,0,29,3303,3230,9,31,8,5,1,0,19,NA,NA,65825,NA,NA,2,4,128,172
55001950700,55,001,9507,3181,3044,14,55,33,15,0,0,20,2499,2409,12,35,20,9,0,0,14,NA,88150,37625,NA,NA,2,4,84,113
55003000000,55,003,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0140,03225,00000,NA,NA,3,5,0,0
55003950100,55,003,9501,2981,1711,6,53,1127,1,1,0,82,2035,1281,5,31,680,1,1,0,36,0140,03225,71350,NA,NA,3,5,200,54
55003950200,55,003,9502,2261,1946,7,27,209,6,1,0,65,1773,1548,4,20,161,4,1,0,35,NA,03225,03225,NA,NA,3,5,528.0960442507543,509.3734495474354
55003950300,55,003,9503,3029,2784,7,48,128,32,2,1,27,2365,2201,7,29,85,24,2,1,16,NA,03225,03225,NA,NA,3,5,704.4259135098894,679.4518940663762
55003950400,55,003,9504,2378,2143,9,35,140,4,1,2,44,1828,1699,3,15,84,3,1,1,22,NA,03225,03225,NA,NA,3,5,544.4780422393563,525.1746563861884
55003950500,55,003,9505,2035,1952,0,8,55,5,1,1,13,1395,1343,0,5,35,2,1,0,9,NA,03225,49200,NA,NA,3,5,95,42
55003950600,55,003,9506,1601,1546,1,12,19,4,1,0,18,1237,1205,0,7,13,3,1,0,8,0140,50700,54400,NA,NA,3,5,95,95
55003950700,55,003,9507,2581,2540,5,5,18,1,0,0,12,1949,1933,0,3,10,0,0,0,3,NA,11525,14550,NA,NA,3,5,157,214
55005000100,55,005,0001,3710,3661,2,14,4,5,0,3,21,2782,2750,1,9,3,1,0,3,15,NA,33225,13500,NA,NA,8,5,169,101
55005000200,55,005,0002,4179,3938,5,23,167,13,0,0,33,3206,3075,1,14,97,4,0,0,15,3305,18025,18025,NA,NA,8,5,101,84
55005000300,55,005,0003,4396,4268,3,36,66,4,0,1,18,3230,3158,1,16,41,4,0,1,9,3305,81075,01350,NA,NA,8,5,122,124
55005000400,55,005,0004,5358,5175,21,89,6,17,5,0,45,4016,3900,14,47,6,12,4,0,33,NA,04875,04875,NA,NA,8,5,132,91
55005000500,55,005,0005,4142,4005,3,62,21,24,0,1,26,3083,3016,1,29,13,11,0,1,12,NA,67350,67350,NA,NA,8,5,1268,1561
55005000600,55,005,0006,6233,6005,10,82,41,33,8,3,51,4772,4628,8,51,33,24,2,1,25,NA,67350,67350,NA,NA,8,5,386,496
