GEOID,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16PUCRNEL,G16PUCDRED,G16HALRNOE,G16HALDHAW
460039736004101,1.5,0.5,0.1,0,1.6,0.5,1.8,0.3,1.3,0.8
460039736002069,1.5,0.5,0.1,0,1.6,0.5,1.8,0.3,1.3,0.8
460039736004093,0,0,0,0,0,0,0,0,0,0
460039736002114,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736001221,2,0.7,0.1,0,2.1,0.7,2.5,0.4,1.8,1.1
460039736001219,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736004003,0,0,0,0,0,0,0,0,0,0
460039736004057,0,0,0,0,0,0,0,0,0,0
460039736001106,2,0.7,0.1,0,2.1,0.7,2.5,0.4,1.8,1.1
460039736001154,0,0,0,0,0,0,0,0,0,0
460039736001137,0,0,0,0,0,0,0,0,0,0
460039736001024,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736001026,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736001089,4.9,1.7,0.3,0.1,5.3,1.8,6.1,1,4.4,2.7
460039736002031,6.7,3,0.8,0.2,8.1,2.7,8.8,1.7,6.6,4
460039736002037,2.4,1.1,0.3,0.1,2.9,0.9,3.1,0.6,2.3,1.4
460039736002052,2.4,1.1,0.3,0.1,2.9,0.9,3.1,0.6,2.3,1.4
460039736002028,3.9,1.8,0.5,0.1,4.8,1.6,5.2,1,3.9,2.4
460039736002024,3.2,1.4,0.4,0.1,3.8,1.3,4.2,0.8,3.1,1.9
460039736002057,0.4,0.2,0,0,0.5,0.2,0.5,0.1,0.4,0.2
460039736002060,1.2,0.5,0.1,0,1.4,0.5,1.6,0.3,1.2,0.7
460039736002096,2.4,1.1,0.3,0.1,2.9,0.9,3.1,0.6,2.3,1.4
460039736002104,2,0.9,0.2,0,2.4,0.8,2.6,0.5,1.9,1.2
460039736002095,1.2,0.5,0.1,0,1.4,0.5,1.6,0.3,1.2,0.7
460039736002078,3.9,1.8,0.5,0.1,4.8,1.6,5.2,1,3.9,2.4
460039736002038,3.9,1.8,0.5,0.1,4.8,1.6,5.2,1,3.9,2.4
460039736002083,0,0,0,0,0,0,0,0,0,0
460039736002006,0,0,0,0,0,0,0,0,0,0
460039736002003,4.7,2.2,0.4,0,4.9,2.3,5.6,1.6,4.7,2.7
460039736002116,1.9,0.9,0.2,0,2,0.9,2.2,0.6,1.9,1.1
460039736001185,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736002019,0,0,0,0,0,0,0,0,0,0
460039736002105,1.4,0.7,0.1,0,1.5,0.7,1.7,0.5,1.4,0.8
460039736003021,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736002122,0,0,0,0,0,0,0,0,0,0
460039736003046,4.6,0.9,0.3,0.1,4.6,1.2,5.5,0.4,4.1,1.9
460039736001122,0,0,0,0,0,0,0,0,0,0
460039736001114,0,0,0,0,0,0,0,0,0,0
460039736001192,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004112,3,1,0.2,0.1,3.2,1.1,3.7,0.6,2.7,1.6
460039736004137,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004110,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736003015,0,0,0,0,0,0,0,0,0,0
460039736003030,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003039,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
