GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPOL,G18GOVRSTA,G18GOVLHEL,G18GOVOHAM,G18ATGDWEI,G18ATGRBRA,G18ATGLROB,G18SOSDGRI,G18SOSRWIL,G18SOSCCAM,G18SOSOHUB,G18TREDYOU,G18TRERWAT,G18TRECKIL,G18RGTDSMI,G18RGTRMON,G18RGTLTRE,G18RGTOOTW
08001001001,08,001,001001,693.52,175.24,37.1,15.4,674.6,194.42,31.61,696.82,180.95,29.32,6.44,670.04,197.47,38.5,646.16,174.32,39.47,15.73
08001001002,08,001,001002,740.23,240.99,28.61,10.58,716.52,245.76,41.88,722.35,233.44,34.24,11.39,727.86,221.27,38.92,705.05,217.19,38.07,19.03
08001001003,08,001,001003,311.48,153.48,20.57,6.6,312.68,159.19,16.78,327.23,146.13,11.83,4.21,318.5,154.74,14.32,306.86,144.24,19.93,6.75
08001001004,08,001,001004,352.06,162.03,20,13,353.07,172.03,19,369.07,159.03,13,7,362.07,153.03,24,357.06,138.03,23,11
08001001005,08,001,001005,675.21,230.89,30.07,19.4,684.91,233.8,23.28,694.61,225.07,15.52,4.85,688.79,225.07,21.34,673.27,216.34,24.25,9.7
08001001006,08,001,001006,433.03,143.01,23,11,441.03,138.01,23,448.03,128.01,22,2,447.03,127.01,25,441.03,115.01,18,15
08001001007,08,001,001007,528.01,309.54,28.15,19.26,519.22,313.89,32.82,536.08,308.03,24.55,6.22,519.61,320.54,19.78,504.96,291.09,30.07,14.31
08001001008,08,001,001008,440.35,208.21,23.02,13.01,424.35,221.21,31.02,448.36,202.21,23.02,5,437.35,217.22,14.01,413.34,191.2,37.02,4.01
08001001009,08,001,001009,428,207,28,4,419,211,27,446,197,9,6,429,209,16,415,195,21,8
08001001010,08,001,001010,542,263,38,12,523,268,52,535,267,32,10,549,256,33,515,234,48,19
08001001011,08,001,001011,623.72,304.31,24.85,21.8,603.93,308.17,39.88,639.07,281.55,29.43,3.84,622.89,293.01,32.3,595.35,278.69,37.1,15.2
08001001012,08,001,001012,543.99,261.04,39.47,24.3,556.8,269.27,40.37,565.89,263.69,25.75,6.23,554.93,260.37,37.92,525.29,234.52,41.2,27.9
08001001013,08,001,001013,677,360,45,10,661,377,37,668,362,34,6,671,355,39,631,332,50,15
08001001014,08,001,001014,492,236,34,13,479,240,35,482,237,28,6,488,227,32,462,211,37,11
08001001015,08,001,001015,399.22,191.8,25.17,20.83,400.09,206.55,22.56,422.65,189.2,18.23,2.6,409.63,196.14,21.7,395.75,181.38,20.83,18.23
08001001016,08,001,001016,477.5,282.6,33.13,19.49,468.73,295.27,38,480.42,289.42,24.36,7.8,491.14,276.75,31.18,469.7,261.16,40.93,8.77
08001001017,08,001,001017,471.64,300.54,31.93,14.67,472.82,306.51,31.92,497.84,290.84,30.26,4.64,499.94,292.54,29.18,454.5,284.68,26.76,24.81
08001001018,08,001,001018,501.49,271.47,41.51,11.47,470,294.83,52.1,503.1,285.64,24.05,6.34,496.15,286.58,32.23,466.3,271.18,46.92,13.8
08001001019,08,001,001019,308,164,20,13,309,179,16,314,168,13,7,314,168,18,306,158,21,14
08001001020,08,001,001020,509,161,25,18,497,176,30,509,155,34,6,523,146,33,487,160,22,18
08001001021,08,001,001021,623.79,222.11,37.93,15.6,594.09,247.2,42.72,621.39,236.93,30.48,7.15,610.21,223.93,52.66,586.73,223.66,32.75,33.3
08001001022,08,001,001022,1087.22,364.87,34.69,16.66,1032.79,371.9,60.21,1054.34,377.32,26.97,7.41,1028.2,390.11,35.43,991.55,344.67,58.85,21.61
08001001023,08,001,001023,399.78,166.13,31.31,12.34,391.21,185.1,22.79,401.66,174.68,18.03,7.59,398.8,170.89,26.57,386.45,162.33,16.15,11.39
08001001024,08,001,001024,617.33,251.19,24.86,14.68,601.64,260.38,33.88,623.83,243.87,27.35,5.68,620.49,239.7,33.03,605.97,245.19,22.2,6.85
08001001025,08,001,001025,560,232,19,14,532,264,20,543,243,23,5,554,229,25,536,218,25,10
08001001026,08,001,001026,616.6,279.14,52.54,15.53,597.91,306.19,52.96,618.19,287.13,42.91,8.75,606.31,292.57,50.39,591.07,276.79,39.55,16.23
08001001027,08,001,001027,306.11,101.42,14.25,4.8,294.32,111.17,19.69,301.66,107.21,10.26,4.73,300.29,105.16,15.37,289.07,100.2,16.58,7.17
08001001028,08,001,001028,274.13,117.8,15.27,4.36,262.5,130.89,18.18,266.86,125.8,12.36,4.36,269.77,120.71,17.45,257.41,112.71,18.18,9.45
08001001029,08,001,001029,515.64,202.82,31.35,10.25,494.59,221.01,34.03,510.46,214.37,16.98,8.78,501.61,214.01,28.69,480.82,202.97,33.52,15.25
08001001030,08,001,001030,339.21,208.46,31.89,15.07,335.95,212.46,39.19,346.86,195.91,36.98,7.85,347.06,199.49,34.34,343.8,188.88,28.39,13.67
08001001031,08,001,001031,562,360,36,8,543,364,42,577,352,19,8,569,343,33,533,315,49,16
