GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREUWES,G20PREOOTH,G20USSDHIC,G20USSRGAR,G20USSLDOA,G20USSODOY,G20USSOEVA,G20USSOWRI
08001001001,08,001,001001,940.22,280.83,15.66,4.22,3.07,4.11,4.22,922.23,276.27,28.92,9.29,8.18,0
08001001002,08,001,001002,1043.32,334.58,17.11,5.69,1.89,2.87,5.73,1017.77,345.93,23.72,7.59,4.76,0.01
08001001003,08,001,001003,874.03,268.47,15.9,3.32,0.03,3.69,5.31,828.96,293.94,24.11,3.35,4.87,0
08001001004,08,001,001004,531.12,243.04,11,5,1,0,1,510.11,250.04,20,3,0,0
08001001005,08,001,001005,939.09,349.25,17.46,3.88,2.91,4.85,8.73,923.56,343.43,29.1,8.73,7.76,0
08001001006,08,001,001006,671.05,237.76,7.06,4.01,2,1,4.02,671.82,223.95,11.07,5.01,6.02,2
08001001007,08,001,001007,708.74,412.82,11.53,2.15,0,3.2,6.17,703.39,413.11,11.06,3.14,4.13,0.99
08001001008,08,001,001008,615.47,292.28,18.01,0,0,1,6,595.46,302.28,24.01,3,2,0
08001001009,08,001,001009,565,278,7,2,0,1,4,540,288,19,2,8,0
08001001010,08,001,001010,808,376,19,2,3,7,6,790,371,33,7,6,0
08001001011,08,001,001011,1436.89,526.82,36.68,5.92,2.83,4.38,10.57,1389.77,547.14,52.98,11.59,11.17,0
08001001012,08,001,001012,708.42,398.91,12.58,3.28,5.17,3.23,8.45,707.92,395.17,22.48,5.62,4.45,0
08001001013,08,001,001013,940,465,20,4,4,2,9,913,482,32,8,9,0
08001001014,08,001,001014,653,366,19,2,0,5,6,641,370,28,10,1,0
08001001015,08,001,001015,669.13,344.54,14.75,2.6,3.47,6.08,6.94,663.92,338.47,26.04,6.08,5.21,0
08001001016,08,001,001016,649.01,348.87,15.59,14.62,3.9,3.9,2.92,644.13,353.74,28.26,2.92,4.87,0
08001001017,08,001,001017,689.03,387.41,21.62,3.81,1.68,3.03,7.18,673.28,398.63,27.71,4.15,5.86,0.98
08001001018,08,001,001018,743.13,387.89,18.41,5.19,3.26,2.61,7.88,735.12,397.34,24.29,9.77,2.67,0.02
08001001019,08,001,001019,453,228,7,9,1,2,3,466,208,17,5,2,0
08001001020,08,001,001020,735,272,25,4,1,3,2,733,275,17,6,4,0
08001001021,08,001,001021,848.91,380.75,25.54,3.12,1.09,1.15,5.27,851.44,362.57,31.9,7.27,9.24,0
08001001022,08,001,001022,805.8,391.09,20.51,5.2,1.05,7.15,5.26,789.07,380.73,37.6,10.25,10.31,0
08001001023,08,001,001023,591.2,243.91,9.49,3.8,0.95,2.85,4.74,595.93,237.27,11.4,4.75,5.69,0
08001001024,08,001,001024,858.12,390.31,16.86,7.17,3,0.34,6.68,863.44,386.96,24.88,3.17,8.68,0
08001001025,08,001,001025,759,356,15,2,1,7,5,763,351,22,3,3,0
