GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREUWES,G20PREOOTH,G20USSDHIC,G20USSRGAR,G20USSLDOA,G20USSODOY,G20USSOEVA,G20USSOWRI
08001001026,08,001,001026,981.36,448.57,20.35,7.27,2.55,4.16,6.1,969.22,439.76,27.13,6,4.41,0
08001001027,08,001,001027,493.18,215.12,12.01,2.08,0.25,2.71,4.79,491.72,207.58,16.78,1.95,4.11,0
08001001028,08,001,001028,388.3,191.97,8.73,2.91,0.73,2.91,5.09,395.57,184.7,8,2.91,2.91,0
08001001029,08,001,001029,805.58,345.25,23.53,8.42,1.12,6.71,7.15,803.3,348.63,28.59,6.71,4.91,0
08001001030,08,001,001030,518.09,310.22,9.75,4.27,7.23,5.9,6.8,503.48,312.47,20.93,7.69,6.64,0
08001001031,08,001,001031,787,494,23,4,3,3,6,768,516,21,7,6,0
08001001032,08,001,001032,618,367,16,5,4,4,5,609,373,21,7,5,0
08001001033,08,001,001033,957.81,514.54,33.02,4,0,1,2.01,902.8,548.57,35.02,5,6,0
08001001034,08,001,001034,674,416,22,2,1,0,4,649,434,26,4,5,0
08001001035,08,001,001035,528,307,11,2,1,2,4,512,304,22,5,3,0
08001001036,08,001,001036,384.4,329.88,7.73,1.09,2.55,1.89,3.63,385.41,321.95,14.94,3.49,2.62,0
08001001037,08,001,001037,571.55,309.55,7.18,1.2,1.59,6.38,3.79,574.75,291.8,17.95,4.79,7.58,0
08001001038,08,001,001038,660.7,419.39,34.7,3.47,1.75,3.45,5.16,662.78,411.17,34.97,3.42,2.71,0
08001001039,08,001,001039,335.56,208.33,7.85,3.53,2.32,2.39,3.51,321.22,215.33,15.87,1.84,5.77,0
08001001040,08,001,001040,745.65,583.8,22.33,9.46,5.64,3.64,11.46,734.42,589.71,33.06,9.23,12.09,0
08001001041,08,001,001041,536.1,301.06,15.85,1.76,1.76,2.64,7.04,521.14,307.22,21.13,3.52,4.4,0
08001001042,08,001,001042,610,289,20,5,0,2,8,586,303,28,7,3,0
08001001043,08,001,001043,611,349,11,2,1,3,2,572,401,8,1,2,0
08001001044,08,001,001044,585,345,12,2,2,2,5,552,370,27,1,5,0
08001001045,08,001,001045,422.62,284.57,10.11,1.11,0,0.99,7.03,419.05,304.85,8.02,0,0,0
08001001046,08,001,001046,367.13,308.13,3.75,1.87,0,0,1.87,342.78,331.54,1.87,0,0,0
08001001047,08,001,001047,653.45,402.77,18.12,1.02,0,1.01,8.08,637.37,443.04,10.09,0,1,0
08001001048,08,001,001048,520.02,376.82,11.1,0.2,1.09,1.13,6.33,478.82,429.05,9.16,2.05,1.11,0
08001001049,08,001,001049,763.68,546.53,20.38,2.91,1.25,1.58,7.87,735.55,589.76,15.13,3.37,2.37,0
08001001050,08,001,001050,485.21,326.59,14.74,5.52,2.75,1.85,2.77,468.65,340.5,21.14,1.84,1.84,0
08001001051,08,001,001051,876.6,678.86,29.99,6.48,4.36,3.54,6.31,849.62,708.18,34.94,8.9,3.78,0
08001001052,08,001,001052,967.49,561,28.26,7.58,1.95,6.76,5.79,963.21,567.03,30.9,10.11,4.11,0.01
08001001053,08,001,001053,614.73,484.77,14.71,4.13,1.98,3.2,5.9,599.66,508.73,18.46,7.06,2.98,0
08001001054,08,001,001054,380.19,261.8,7.91,1.58,0,1.58,2.38,373.86,284.69,4.77,0.8,0.79,0
08001001055,08,001,001055,486.55,377.79,10.4,1.28,1.1,3.07,0.54,452.42,410.07,11.44,1.04,0.18,0
08001001056,08,001,001056,701.43,438.4,23.5,4.52,1.81,1.81,8.14,660.76,480.88,24.41,0.9,2.71,0
08001001057,08,001,001057,576.93,356.61,12.12,4.02,1.01,2.01,2.03,553.76,385.84,8.12,2.02,1,0
08001001058,08,001,001058,819.49,272.17,26.92,4.98,1,1,7.98,779.62,324.01,31.9,2.99,0,0
08001001059,08,001,001059,984.88,647.94,23.94,5.27,2,2.14,7.55,927.48,697.09,31.33,2.99,2.71,1
08001001060,08,001,001060,247.53,218.07,6.15,1.75,0.03,0.89,3.44,222.99,231.92,14.82,0.08,1.28,0
08001001061,08,001,001061,722.69,428.23,15.4,4.07,1.94,3.14,4,696.48,448.24,28.41,5.06,1.1,0
08001001062,08,001,001062,726.28,558.69,18.7,2.7,1.25,2.63,3.56,694.65,586.4,19.63,0.91,2.24,0.99
08001001063,08,001,001063,817.16,534.43,26.66,1.52,1.35,0.54,5.03,779.25,565.52,30.96,1.7,1.7,0
08001001064,08,001,001064,684.03,369.3,26.1,2.37,1.58,2.37,4.74,656.35,384.32,36.38,3.16,3.16,0
08001001065,08,001,001065,631.61,355.53,17.88,3.97,3.97,5.96,5.96,614.72,401.21,8.94,0.99,1.99,0
08001001066,08,001,001066,227.39,157.47,4.12,3.03,1.03,0.04,4.04,226.28,155.79,8.06,1.01,0.01,0
08001001067,08,001,001067,316,247,3,0,0,2,1,319,247,7,2,1,0
08001001068,08,001,001068,745,437,33,3,1,7,3,719,467,32,1,1,0
08001001069,08,001,001069,656,557.3,16.95,1,0,5.98,2.99,594.19,621.1,15.95,1.99,1.99,0
08001001070,08,001,001070,438.4,473.19,12.04,2,2,0.01,2.01,411.27,499.33,17.03,3,1,0
08001001071,08,001,001071,411.66,377.15,25.71,1.98,0.99,3.96,3.95,369.14,424.61,24.72,1.98,2.97,0
08001001072,08,001,001072,365.3,418.54,12.14,4.13,0.07,2.16,0.16,350.68,435.61,8.68,1.14,6.31,0
08001001073,08,001,001073,872.95,850.02,20.26,2.91,3.01,3.92,3.06,839.86,888.67,13.86,5.87,4.7,0
08001001074,08,001,001074,499.57,493.69,11.78,2.94,6.87,0.98,6.87,443.63,554.54,13.74,1.96,5.89,0
08001001075,08,001,001075,279,297,16,2,1,0,4,269,306,12,2,3,0
08001001076,08,001,001076,657.08,504.06,15,4,1,2,6,610.07,549.07,25,2,4,0
08001001077,08,001,001077,431,371,16,1,0,1,4,397,396,19,3,1,0
08001001078,08,001,001078,276,242,10,1,2,3,3,272,242,9,5,4,0
08001001079,08,001,001079,410,372,17,1,0,2,5,395,391,9,2,3,0
08001001080,08,001,001080,453.58,432.29,12.03,0,0.93,0.93,4.63,428.59,460.99,14.81,0.93,2.78,0
08001001081,08,001,001081,630.96,485.42,19.54,6.08,2.32,2.24,7.62,598.47,523.8,24.34,2.41,1.39,0
08001001082,08,001,001082,542,382,20,1,6,1,3,512,422,20,0,0,0
08001001083,08,001,001083,549.46,429.29,17.43,0.92,2.75,1.83,2.75,521.94,441.22,23.85,3.67,1.83,0
08001001084,08,001,001084,338,319,11,1,0,0,7,322,337,10,2,2,0
08001001085,08,001,001085,694.25,544.25,27.43,2.41,2.27,1.14,2.96,646.23,586.37,34.71,1.69,3.14,0
08001001086,08,001,001086,493.99,458.98,14.59,8.75,0.97,1.94,4.86,474.54,491.07,8.75,1.94,0,0
08001001087,08,001,001087,704.08,472.89,31.45,5,3.99,5.98,6.08,681.41,481.33,50.51,5.03,7,0.98
08001001088,08,001,001088,649.78,474.91,19.33,0.92,2.76,3.68,4.6,639.66,499.76,11.04,6.44,4.6,0
08001001089,08,001,001089,676.37,463.21,26.45,4.99,1.17,2.24,7.17,654.88,478.61,37.95,5.99,2.18,0.02
08001001090,08,001,001090,1072.78,588.2,26.75,8.84,3.7,8.46,11.71,1041.99,589.69,47.45,11.53,8.84,0
08001001091,08,001,001091,150.05,84.55,3.17,1.13,0.91,1.59,0.91,146.43,83.87,8.16,1.13,1.13,0
08001001092,08,001,001092,705.85,609.34,23.16,3.4,2.32,1.56,6.32,700.52,602.21,39.85,4.4,1.41,0
08001001093,08,001,001093,720.99,575.41,26.74,4.95,5.94,8.91,5.94,686.33,602.15,31.69,4.95,9.9,0
08001001094,08,001,001094,570.07,553.82,14.82,2.96,6.89,1.02,9.84,550.3,578.46,21.71,3.94,2,0
08001001095,08,001,001095,639.79,506.54,24.03,1,1.01,6.01,8,643.78,501.55,19.04,6.01,8,0
08001001096,08,001,001096,515,420,20,5,2,5,7,504,420,31,6,4,0
08001001097,08,001,001097,556.89,477.51,12.07,3.01,5.02,3.02,5.02,545.8,470.58,27.08,7.01,3.03,0
08001001098,08,001,001098,438.09,336.39,9.39,4.69,0.78,2.35,2.35,434.96,328.57,17.21,7.04,3.91,0
08001001099,08,001,001099,382.23,262.84,13.88,0.93,4.63,4.63,0.93,377.6,265.62,18.51,4.63,0.93,0
08001001100,08,001,001100,667.56,463.56,27.77,3.04,4.11,4.07,13.26,652.12,478.75,30.81,4.15,11.15,0
08001001101,08,001,001101,721,419,28,2,2,2,5,691,440,30,5,1,0
08001001102,08,001,001102,593.44,409.44,20.23,0.96,2.89,1.93,6.74,581.88,414.25,21.19,3.85,3.85,0
08001001103,08,001,001103,349,174,16,2,1,1,4,323,192,26,5,2,0
08001001104,08,001,001104,595.48,394.67,15.91,1.99,1.99,1.99,6.96,573.61,401.62,27.84,1.99,3.98,0
08001001105,08,001,001105,139.02,79.66,6.26,0.18,1.37,0.4,0.12,139.6,77.68,5.8,3.51,0.16,0
08001001106,08,001,001106,966,530,31,7,1,5,5,937,534,49,8,7,0
08001001107,08,001,001107,801.62,525.22,23.73,0.45,4.11,9.23,1.11,786.79,538.2,29.13,2.56,3.68,0
08001001108,08,001,001108,770.92,454.41,20.2,7.68,3.83,3.88,5.8,751.04,474.25,23.26,2.95,3.87,0.94
08001001109,08,001,001109,683.11,406.45,16.99,6.99,1.02,2.01,5.98,666.13,415.53,29.87,3.98,1.02,0.01
08001001110,08,001,001110,512,285,13,1,2,2,4,513,280,12,8,1,0
08001001111,08,001,001111,723.24,426.34,15.87,10.72,2.27,4.36,10.07,726.39,412.47,28.31,6.25,4.54,0
08001001112,08,001,001112,615.43,256.43,17.06,5.68,3.79,5.69,5.69,613.46,260.21,22.78,4.76,5.7,0.01
08001001113,08,001,001113,680.04,385.36,16.59,3.21,4.13,5.2,6.19,659.05,386.5,30.76,9.15,10.18,1.99
08001001114,08,001,001114,620.97,322.18,12.89,7.2,5.07,5.09,1.35,604.77,326.19,23.98,7.38,4.16,0
08001001115,08,001,001115,606,353,13,3,0,3,9,604,347,22,6,2,0
08001001116,08,001,001116,335.43,210.35,10.02,2.74,1.82,1.87,2.75,320.17,209.49,22.55,2.77,3.65,0
08001001117,08,001,001117,994.2,451.91,30.54,4.32,1.11,5.6,10.72,989.79,446.99,34.63,12.63,8.65,0
08001001118,08,001,001118,467.2,252.4,13.43,2.69,0.9,5.37,6.27,464.52,254.19,13.43,5.37,5.37,0
08001001119,08,001,001119,707.04,361.88,18.1,6.02,2.02,9,6.05,701.83,350.8,33.15,14.02,7.1,0
08001001120,08,001,001120,721.27,345.47,22.79,2.99,2.97,8.92,3.98,687.69,349.34,35.69,7.96,10.9,0
08001001121,08,001,001121,569.53,316.75,12.08,3.72,1.86,2.8,5.57,557.47,305.61,20.46,6.52,8.35,0
08001001122,08,001,001122,545.32,262.74,9.61,4.65,1.19,4.94,4.01,540.06,258.43,15.83,7.01,6.23,0
08001001123,08,001,001123,847.04,363.54,11.64,2.95,2.49,6.23,5.45,846.34,348.44,26.76,7.46,8.98,0
08001001124,08,001,001124,818.26,309.06,5,4,4,1,5,819.25,294.07,16,7,10,0
08001001125,08,001,001125,483,230,7,5,2,2,2,492,220,17,4,2,1
08001001126,08,001,001126,829.87,375.62,17.47,5.82,1.94,4.85,11.65,815.31,386.3,22.32,8.74,10.68,0
08001001127,08,001,001127,456.03,248.59,11.49,6.04,3.4,2.86,3.69,471.64,235.87,15.98,4.63,2.2,0
08001001128,08,001,001128,820.53,415.91,16.37,0.02,3.85,4.82,10.6,849.3,385.22,21.19,11.55,1.95,0
08001001129,08,001,001129,940.68,459.73,14.2,1.33,3.13,5.23,10.58,922.12,456.04,27.24,16.28,10.01,0.12
08001001130,08,001,001130,164.5,118.03,5.56,0.1,0.02,1.07,2.24,151.09,128.12,5.71,2.05,1.15,0
08001001131,08,001,001131,403.47,249.55,14.46,3.14,1.14,0.15,3.15,404.18,233.95,19.34,1.24,1.27,0
08001001132,08,001,001132,799.84,377.54,28.22,7.05,2.65,3.52,10.58,761.96,408.35,32.63,12.34,5.29,0
08001001133,08,001,001133,695.25,487.99,12.25,7.54,1.88,3.77,1.88,698.08,471.04,18.84,9.42,11.3,0
08001001134,08,001,001134,705.52,547.33,25.09,9.01,7.01,4.01,11.04,690.39,560.38,40.16,6.01,2.02,0
08001001135,08,001,001135,686.41,602.6,21.95,2.99,1,6.98,9.98,680.42,596.62,35.92,10.97,6.98,0
08001001136,08,001,001136,311.18,286.26,12.76,1.22,1.82,1.22,4.25,300.24,286.26,19.45,4.25,1.82,0
08001001137,08,001,001137,741.19,599.28,19.18,1.92,5.75,2.88,12.47,716.26,633.8,24.93,2.88,2.88,0
08001001138,08,001,001138,445.42,376.32,28.49,2.06,0.24,1.07,4.35,425.8,404.26,19.23,1.38,6.51,0
08001001139,08,001,001139,185.65,146.39,6.02,0.99,1.92,0.99,1.97,180.72,149.43,7.9,3.87,1.99,0
08001001140,08,001,001140,364.19,251.09,8.81,0.99,0.01,2.92,6.84,345.49,270.7,10.78,1,4.88,0
08001001141,08,001,001141,654,423,21,6,1,9,7,622,450,28,4,8,0
08001001142,08,001,001142,451.03,513.55,13.56,1.01,0.02,0,4.86,426.44,525.45,16.51,4.87,3.88,0
08001001143,08,001,001143,474.71,360.28,16.09,1.79,1.79,0,7.15,460.41,367.43,19.67,4.47,2.68,0
08001001144,08,001,001144,686.89,581.73,34.16,1.17,4.04,1,7.44,650.81,626.65,25.93,6.17,10.82,0
08001001145,08,001,001145,740.8,568.45,19.86,4.55,2.08,5.47,5.11,725.18,580.54,16.81,6.47,6.38,0
08001001146,08,001,001146,881.88,636.02,37.46,3.44,2.36,9.28,10.27,849.19,655.54,60.07,6.53,5.86,0
08001001147,08,001,001147,902.92,721.66,22.8,4.11,2.25,9.35,12.43,887.95,729.89,35.05,4.6,6.44,0
08001001148,08,001,001148,497.32,365.33,15.22,2.99,2.99,1.95,7.09,475.33,382.19,18.28,3.09,4,0
08001001149,08,001,001149,466.75,422.75,21.57,2.59,1.73,0.86,6.04,447.77,448.63,23.29,4.31,0.86,0
08001001150,08,001,001150,766.34,578.44,22.02,5.88,3.78,3.81,4.83,740.43,611.28,29.36,3.81,2.82,0
08001001151,08,001,001151,735.68,617.58,25.4,1.36,0.24,1.24,4.3,711.04,623.65,28.88,2.24,9.18,0
08001001152,08,001,001152,579,514,20,3,1,6,2,556,551,20,4,3,0
08001001153,08,001,001153,353.61,401.31,18.73,0.01,4.68,2.82,0.97,350.75,415.36,12.24,0.95,3.75,0
08001001154,08,001,001154,29.62,52.15,0.55,0.04,0,0,0.2,29.43,51.82,1.48,0.2,0.16,0
08001001155,08,001,001155,198.39,198.69,2.27,0.99,0.32,1.18,3.03,193.25,200.64,8.76,1.05,1.25,0
08001001156,08,001,001156,550.46,498.82,8.71,1.21,1.49,4.63,3.77,514.86,528.85,15.42,4.05,1.84,0
08001001157,08,001,001157,484.65,420.87,10.78,4.05,3.09,2.14,7.14,461.5,444.01,15.78,4.23,3.18,0
08001001158,08,001,001158,351.4,338.74,12.66,0.74,1.49,2.23,2.23,332.79,357.35,12.66,3.72,2.98,0
08001001159,08,001,001159,1013.46,941.29,37.18,2,2,6,5.05,943.78,1012.97,21.23,2.05,5.05,0
08001001160,08,001,001160,224.39,305.05,3.89,0.02,0.05,0.01,1,209.73,319.74,4.86,0.97,0.99,0
08001001161,08,001,001161,111.58,201.67,1.9,0,0.93,0,1.87,106.93,198.92,11.17,0,0,0
08001001162,08,001,001162,330,604,5,0,3,1,1,285,651,8,1,1,0
08001001163,08,001,001163,188.66,382.81,10.91,4.96,0,0.99,3.97,194.6,383.8,13.89,0.01,0.01,0
08001001164,08,001,001164,176.86,302.63,5.9,0,0,0,1.97,175.88,306.56,5.9,0,0,0
08001001165,08,001,001165,773.18,845.45,6.11,0,0,0,2.04,724.17,908.52,3.11,3,0,0
08001001166,08,001,001166,133.6,327.05,6.01,2,0,4,2.01,128.57,337.1,11.01,0,0,0
08001001167,08,001,001167,205.44,362.02,4.99,0,0,1,1.99,196.47,378.97,3,1,0,0
08001001168,08,001,001168,328.53,362.68,10.96,1,0,0,3.99,324.59,369.6,10.02,1,1,0
08001001169,08,001,001169,416.4,508.65,18.1,2.65,0.87,3.77,3.32,405.96,522.07,14.24,4.9,3.71,0
08001001170,08,001,001170,624.79,466.12,15.44,3.08,5.03,4.1,6.34,613.71,455.1,24.41,11.14,10.09,0
08001001171,08,001,001171,611.54,530.07,18.65,1.96,1.96,4.91,16.69,603.69,528.11,15.71,7.85,4.91,0
08001001172,08,001,001172,121,125,1,0,0,2,0,122,116,3,2,1,0
08001001173,08,001,001173,32,49,0,0,0,0,0,30,47,3,0,0,0
08001001174,08,001,001174,171.46,304.18,7.58,3.04,1.21,2.07,2.09,162.9,312.83,7.43,1.14,1.16,0
08001001175,08,001,001175,527.54,695.82,24.42,1.96,8.79,2.93,3.91,504.09,723.17,18.57,5.86,6.84,0
08001001176,08,001,001176,179,271,7,0,3,0,3,159,282,12,3,1,1
08001001177,08,001,001177,75.37,134.72,4.33,0.87,1.3,0.43,0.87,74.51,138.62,4.33,0.43,1.3,0
08001001178,08,001,001178,30.12,36.96,0.8,0.16,0.24,0.08,0.16,30.64,36.32,1.47,0.08,0.24,0
08001001179,08,001,001179,105.6,145.71,3.92,0.58,1.88,0.29,0.58,104.33,149.7,7.25,0.29,0.88,0
08001001180,08,001,001180,418.91,572.61,23.95,2.39,1.58,3.19,6.39,397.52,598.36,19.95,4.19,4.58,0
08001001181,08,001,001181,529.41,599.13,19,1.98,0,4.94,7.9,519.35,607.36,27.79,4.94,2.96,0
08001001182,08,001,001182,347.13,405.1,14.28,1.02,1,4.07,3.11,329.98,420.26,16.36,3.06,3.04,0
08001001183,08,001,001183,138.45,180.29,10.96,0,0,2.99,1.99,131.48,197.22,1.99,0,0,0
08001001184,08,001,001184,117.46,147.49,4.42,1.77,0,0,4.42,117.46,148.37,7.07,0,1.77,0
08001001185,08,001,001185,248.54,350.51,10.58,0.23,1,2,2.58,235.54,367.63,10.93,1,1.23,0
08001001186,08,001,001186,512,612,11,6,1,3,8,502,609,24,2,10,0
08001001187,08,001,001187,430,464,16,1,1,2,6,417,469,18,7,6,0
08001001188,08,001,001188,305,422,11,0,1,0,1,294,433,9,1,3,0
08001001189,08,001,001189,290,421,10,3,1,2,4,293,423,11,2,1,0
08001001190,08,001,001190,432,594,20,4,2,3,7,435,583,28,7,9,1
08001001191,08,001,001191,679.45,615.94,18.41,2.05,3.05,7.36,8.21,667.41,600.72,40.83,12.31,11.21,0
08001001192,08,001,001192,376.03,255.66,6.64,0.83,0.83,5.81,3.32,359.43,268.12,13.28,4.98,3.32,0
08001001193,08,001,001193,340.18,299.48,14.85,2.47,1.25,5.05,3.15,337.41,299.7,15.8,3.81,3.76,0
08001001194,08,001,001194,173.74,226.04,11.06,0.01,2,1.03,1,165.67,230.13,10.06,4.05,0,0
08001001195,08,001,001195,202.82,225.15,4.65,0.93,0,1.86,0,197.24,231.66,4.65,3.72,0,0
08001001196,08,001,001196,89,82,6,1,1,0,0,86,82,5,2,2,0
08001001197,08,001,001197,162.61,174.92,8.31,1.07,0,2.11,1.01,154.19,186.39,6.33,0.24,1.01,0
08001001198,08,001,001198,282.09,453.8,5.88,2.94,0.98,0.01,2.94,250.86,473.3,9.81,3.91,1.96,0
08001001199,08,001,001199,345.91,408.17,6.98,2.99,1,2.99,2.99,333.97,413.17,14.96,2.99,2.99,0
08001001200,08,001,001200,25.92,83.74,3.99,0,0,0,0,22.93,90.72,0,1,0,0
08001001201,08,001,001201,224.03,211.09,6,0,0,1,0,208.03,219.1,7,1,3,0
08001001202,08,001,001202,286.03,295.1,7,2,0,4,3,282.03,300.1,9,1,2,0
08001001203,08,001,001203,296.02,335.07,8,1,1,1,3,287.02,345.07,10,1,0,0
08001001204,08,001,001204,361.94,311.73,8.51,2.25,1.05,4.15,0.15,362.63,310.09,7.56,2.1,2.15,0
08001001205,08,001,001205,614.82,566.15,14.92,6.96,0,4.97,5.97,581.98,589.04,18.9,3.98,10.94,0
08001001206,08,001,001206,616.49,622.19,19.09,3.04,1,3.03,8.03,605.31,620.32,24.11,3.02,4.06,0
08001001207,08,001,001207,334.87,275.11,9.49,4.74,0.95,2.85,2.85,329.18,281.75,10.44,1.9,2.85,0
08001001208,08,001,001208,309.18,196.96,15.07,5.01,1.02,3.04,3.07,307.1,199.86,16.18,3.12,1.07,0
08001001209,08,001,001209,511.85,343.49,17.11,4.01,2.03,4.06,4.11,499.73,344.34,18.27,12.18,4.11,0
08001001210,08,001,001210,924,716,31,6,3,1,12,894,734,41,5,8,1
08001001211,08,001,001211,181,198,4,0,0,0,0,181,191,9,2,2,0
08001001212,08,001,001212,358.17,315.31,14.61,0,1.02,0.07,3.05,340.58,334.87,13.61,1.02,1.12,0
08001001213,08,001,001213,516.2,311.17,25.6,0.04,1,2.99,1.95,491.37,334.96,25.62,1.05,4.93,0
08001001214,08,001,001214,572.64,426.52,15.8,2.96,1.97,4.94,0,541.04,453.17,17.77,5.92,3.95,0
08001001215,08,001,001215,503,592,26,4,1,3,1,478,612,27,5,1,0
08001001216,08,001,001216,841.53,623.32,17.32,2.04,2.04,12.07,9.16,808.18,631.27,41.46,2.28,3.2,0
08001001217,08,001,001217,481.85,339.23,9.74,0.97,0.98,1.96,3.91,471.14,338.22,12.69,7.81,5.86,0
08001001218,08,001,001218,412.16,362.8,14.92,2.08,1.05,4.97,1.25,391.3,384.81,20.13,0.03,2.01,0
08001001219,08,001,001219,341.95,206.33,7.18,0.02,0.01,0.06,2.01,319.69,224.58,7.24,1,3.02,0
08001001220,08,001,001220,135.79,85.87,3.99,0,0,0,0,127.81,85.87,6.99,3,1,0
08001001221,08,001,001221,260.65,175.7,2.9,2.89,1.93,0.97,7.72,257.75,183.42,10.62,0.97,0.97,0
08001001222,08,001,001222,212.47,157.31,6.03,2,0.01,0.02,3.04,203.45,163.24,11.07,1.07,2.04,0
08001001223,08,001,001223,1.13,0.74,0.02,0.01,0,0,0.02,1.09,0.75,0.05,0.02,0.01,0
08001001224,08,001,001224,12,24,2,0,0,2,0,15,25,0,0,0,0
08001001225,08,001,001225,71.29,121.68,5.02,0,0,2,3.99,75.18,125.68,2.05,0,0.03,0
08001001226,08,001,001226,59.1,126.07,0.98,0.98,0,0,0,59.1,129.03,2.95,0,0.98,0
08001001227,08,001,001227,101,212.48,4.76,0,0,0,0,97.19,219.15,2.86,0,0,0
08001001228,08,001,001228,308.35,633.21,8.44,3.07,2.29,2.22,1.07,284.62,654.5,10.95,1.36,2,0
08001001229,08,001,001229,780.64,210.57,8.29,4.22,2.04,6.14,8.16,772.56,206.77,27.47,7.14,7.11,0
08001001230,08,001,001230,1279.05,290.59,19.06,11.71,2.09,7.72,9.9,1270.32,307.87,28.3,8.89,6.55,0
08001001231,08,001,001231,1149.62,259.45,9.03,4.76,1.95,0.15,10.6,1104.83,290.89,28.91,12.37,6.75,0
08001001232,08,001,001232,1154.46,293.08,23.2,2.91,2.9,5.8,11.6,1123.54,314.32,31.91,7.74,7.73,0
08001001233,08,001,001233,899.01,296.56,12.08,2.01,2.01,5,8.02,880.93,283.87,33.93,7.99,12.94,0
08001001234,08,001,001234,642.57,273.54,6.96,1.99,0,3.98,8.95,640.58,269.56,15.91,6.96,2.98,0
08001001235,08,001,001235,399.38,126.8,5.99,3.99,2,2,3,396.38,123.81,14.98,5.99,2,0
08001001236,08,001,001236,731,323,6,3,5,2,8,709,326,18,10,4,0
08001001237,08,001,001237,641.28,257.42,7.67,4.43,2.1,4.2,7.81,628.37,256.27,18.97,9.99,6.31,0
08001001238,08,001,001238,717.23,355.05,15.19,1.12,5,3.31,6.07,717.71,350.65,21.56,4.07,8.73,0
08001001239,08,001,001239,608,320,12,7,3,0,9,589,329,25,7,4,0
08001001240,08,001,001240,1371.93,449.97,19,2,5,6,14,1343.93,478.97,30,5,11,0
08001001241,08,001,001241,9,31,0,0,0,0,0,9,31,0,0,0,0
08001001242,08,001,001242,133.97,303.02,8.04,1,1,0.02,2.01,133.87,308.05,9.06,5,2.04,0
08001001243,08,001,001243,258,655,4,0,1,1,4,252,656,8,2,2,0
08001001244,08,001,001244,169.65,599.79,5.56,0.93,3.71,2.78,0.93,160.38,603.5,12.05,4.64,0,0
08001001245,08,001,001245,72,279,5,0,0,0,1,68,279,4,2,1,0
08001001246,08,001,001246,374.82,809.56,28.26,6.02,2.05,8.03,4.11,356.67,816.81,42.26,9.02,4.03,0
08001001247,08,001,001247,190.51,708.37,17.33,1.07,2.99,2.04,7.08,180.55,725.16,17.33,1.1,2.04,0
