GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27035000180,27,035,000180,83.55,209.37,1.97,0,0,0,0,0,0,0.98,83.55,203.47,7.86,2.95,0
27035000185,27,035,000185,477.52,950.58,11.89,6.86,1.02,0,0,1.99,1.99,7.88,448.92,908.95,59.39,19.79,0.01
27035000190,27,035,000190,498.32,978.73,5.97,0.99,1.99,0,0,2.98,3.98,0.99,471.46,941.92,49.73,17.9,1.99
27035000195,27,035,000195,20,34,0,0,0,0,0,1,1,0,18,34,3,0,0
27035000200,27,035,000200,204.79,478.48,1.94,1.94,1.94,0,0,0.97,0.97,0,204.79,433.84,28.15,14.56,0
27035000205,27,035,000205,11.17,34.98,0.09,0.05,0.02,0,0,0,0.02,0.05,8.68,34.02,0.98,1.71,0.02
27035000210,27,035,000210,116,373,3,0,0,0,0,0,1,2,112,342,18,10,0
27035000215,27,035,000215,207.39,424.43,5.02,0,0.08,0,0,0.09,1.16,0.02,196.5,410.21,18.12,9.23,0
27035000220,27,035,000220,511.93,969.75,10.01,2.01,2,0,0,3,0,2,494.88,922.64,43.1,26.06,2
27035000225,27,035,000225,156.46,383.12,3.02,1,0,0,0,1.01,1,0,165.47,341.07,21.04,10.02,0
27035000230,27,035,000230,353.13,705.13,8.37,0.41,3.15,1.04,0,2.11,2.97,0.09,343.21,645.92,55.77,18.37,0
27035000235,27,035,000235,114.43,241.46,0.97,0.97,0,0,0,0,0.97,0.97,101.83,238.54,8.74,2.91,0
27035000240,27,035,000240,487.36,930.51,13.09,4.06,3.06,0,0,0,1.06,2.03,441.44,851.16,82.31,37.21,1
27035000245,27,035,000245,49.38,150.21,0.04,0,0,0,0,0,0,0,49.54,143.18,2.98,2.86,0
27035000250,27,035,000250,45.32,145.67,0.01,0,0,0,0,1,0,0.01,39.3,135.61,11.05,3.02,0
27035000255,27,035,000255,64.24,151.5,0.96,0,0,0,0,0,0,0,68.08,142.87,2.88,0,0
27035000260,27,035,000260,116.68,248.32,1.99,1,0,0,0,0,0,1.99,110.7,224.39,19.95,5.98,1
27035000265,27,035,000265,74.33,65.41,0.99,0,0,0,0,0,0.99,3.96,67.39,70.36,5.95,1.98,0
27035000275,27,035,000275,95.24,282.93,1.08,0.02,0.05,0,0.01,0.02,2,0.01,93.18,259.34,13.48,4.21,0.01
27035000280,27,035,000280,29,83,6,0,1,0,0,0,0,0,33,79,4,2,0
27035000285,27,035,000285,16.96,32.92,1,1,0,0,0,0,0,0,9.98,29.93,5.99,4.99,0
27035000290,27,035,000290,86.14,163.85,0,0,0.91,0,0,0.91,1.82,0,90.69,148.94,11.07,1.96,0
27035000295,27,035,000295,407.2,765.62,5.97,2.99,1,0,0,1.99,1.99,0,387.29,717.83,45.8,24.89,0
27037001010,27,037,001010,914.34,694.86,35.43,10.83,5.91,0.98,0.98,2.95,1.97,3.94,846.43,670.25,99.41,33.46,0
27037001020,27,037,001020,1072,672,14,7,2,0,0,6,8,10,981,627,113,32,2
27037001030,27,037,001030,953.43,564.45,20.03,10.01,7,1,0,5,1,7.01,856.14,561.38,95.24,28.08,0
27037001040,27,037,001040,1218,747,18,3,3,1,0,3,1,8,1098,743,99,32,3
27037001050,27,037,001050,1027.8,717.69,26.37,3.92,1.95,0.98,0,4.88,0.98,4.91,948.56,728.44,80.15,15.68,0
27037001055,27,037,001055,1592.07,1059.39,24.85,7.95,0.99,0.99,0,2.98,3.98,15.9,1453.93,1068.34,106.34,40.75,1.99
27037001060,27,037,001060,847,535,23,9,2,0,0,4,5,4,768,515,68,19,1
27037001070,27,037,001070,1485.26,793.16,27,11,7,0,0,5,2,8,1340.24,765.15,154.02,44,2
27037001080,27,037,001080,1369,854,26,6,4,0,1,6,4,10,1241,882,102,29,0
27037001090,27,037,001090,1155,895,18,2,1,0,0,5,4,14,1081,913,73,18,0
27037001100,27,037,001100,1230.75,729.92,15.87,3.97,1.98,0.99,0,1.98,3.97,7.93,1123.64,736.86,87.27,18.84,1.98
27037001110,27,037,001110,1257,869,24,9,4,0,0,6,6,5,1112,871,128,34,0
27037001120,27,037,001120,1514,1007,24,12,8,1,0,4,2,13,1318,1004,157,59,2
27037001130,27,037,001130,1759.8,1117.94,25.2,7.2,3.02,1,0,2.02,3.07,8.18,1598.07,1115.53,121.18,53.18,1.02
27037001140,27,037,001140,1617.73,873.24,26.15,11.07,6.05,0.01,1,8.04,5,5.01,1411.85,813.03,214.93,55.25,2.01
27037001150,27,037,001150,1126.27,617.76,21.85,9.93,6.95,0.99,0,5.96,0,1.99,998.15,586.97,135.07,36.75,0.99
27037001210,27,037,001210,1378.94,909.38,20.14,4.05,4.06,0.01,1,9,3.02,18.96,1238.87,915.92,126.2,30.27,1.03
27037001220,27,037,001220,1155,668,33,9,4,0,0,5,2,10,981,656,173,37,1
27037001230,27,037,001230,1064.26,667.17,33,4,0,1,0,9,2,10,934.23,663.16,124.03,28.01,2
27037001240,27,037,001240,1543,885,28,9,5,2,0,7,4,7,1380,834,181,60,0
27037001250,27,037,001250,1038.05,404.22,15.22,3,7.1,0.99,0.03,2.06,1.04,3.08,904.63,372.2,137.47,25.3,3
27037001260,27,037,001260,1336,769,25,7,6,2,0,8,5,6,1168,725,179,41,1
27037001270,27,037,001270,1057,780,27,3,4,0,0,1,1,5,958,751,118,16,4
27037001280,27,037,001280,1768,1109,32,12,4,0,1,11,7,9,1573,1106,169,60,5
27037001290,27,037,001290,941.35,617.4,17.68,4.1,0.05,0.03,0,4.13,3.03,5.13,851.32,619.68,80.06,20.4,1
27037001300,27,037,001300,1330.08,825.51,24.22,6.07,4.05,1.02,1,5.05,3.05,10.05,1174.79,848.16,119.38,29.41,3.03
27037001310,27,037,001310,1168,928,25,8,3,1,3,7,5,8,1020,882,172,41,4
27037001320,27,037,001320,1079,556,15,6,5,0,0,2,7,6,951,559,99,34,0
27037001330,27,037,001330,1505,809,32,8,4,0,0,3,4,7,1345,763,163,53,2
27037001340,27,037,001340,1330.57,791.55,18.97,6.99,3,0,1,3,1,7.99,1180.86,765.62,133.76,42.92,1
27037001350,27,037,001350,1400.89,949.2,27.4,5.14,4.07,2,0.02,5.02,3.01,6.03,1285.52,936.89,110.9,35.32,0
27037001360,27,037,001360,1163,938,28,4,2,0,0,7,7,9,1026,899,149,42,2
27037001370,27,037,001370,973.74,613.83,15,3,1,1,0,4,4,8,864.77,583.84,122.97,24.99,0
27037001410,27,037,001410,228.95,471.14,7.13,2.37,0.8,0,0,1.58,0.79,1.59,216.21,454.5,26.21,10.29,0
27037001510,27,037,001510,29.52,54.17,3.02,1,0.01,0,0,0,0,1.01,26.52,50.1,7.06,4.02,1
27037001610,27,037,001610,120,366,7,1,0,0,1,1,0,2,123,343,20,9,1
27037001710,27,037,001710,409.73,246.38,9.99,4.94,2.48,0.82,0,1.73,0.04,5.08,383.98,246.85,30.27,10.9,0.03
27037001720,27,037,001720,2070,1018,40,15,6,2,1,11,7,11,1826,985,237,78,3
27037001730,27,037,001730,1385.66,714.79,21.96,7.99,1,0,0,3.99,5.99,3.99,1243.9,744.74,96.84,32.94,0
27037001740,27,037,001740,1659.49,885.78,29.63,11.84,5.92,1.97,0,5.94,7.9,4,1477.7,832.7,194.48,59.24,2.97
27037001750,27,037,001750,1728.07,1012.39,31.24,12.08,2.05,1,2,6.03,2.04,10.03,1532.26,1003.11,180.01,44.31,2
27037001755,27,037,001755,1287.06,764.9,33.69,11.89,6.94,0,0,3.96,5.94,3.96,1171.14,724.28,142.68,44.59,0
27037001760,27,037,001760,1383.18,616.31,26.93,5.98,1,0,1,4.99,1.99,8.98,1222.63,611.33,133.62,52.85,5.98
27037001765,27,037,001765,1767.69,880.39,32.15,8.04,5.02,0,0,8.02,1.02,18.03,1630.98,928.28,83.7,47.25,3.02
27037001770,27,037,001770,1824,993,40,4,5,2,0,3,9,7,1666,1032,125,41,4
27037001780,27,037,001780,1708,939,39,9,9,0,0,2,1,5,1570,988,102,37,0
27037001790,27,037,001790,1666.72,919.54,30.02,5.02,6.99,4.99,1,9.99,4,12.03,1503.6,888.63,175.98,48.03,5
27037001795,27,037,001795,718.35,425.92,6.02,8.01,1,0,1,0,2,2.02,666.23,418.93,54.09,12.04,0
27037001800,27,037,001800,1037,551,29,7,2,0,0,5,3,11,922,536,111,36,2
27037001810,27,037,001810,910,480,18,4,4,0,0,4,1,4,837,478,70,16,1
27037001820,27,037,001820,844,450,24,1,1,0,0,1,2,6,771,458,67,19,1
27037001830,27,037,001830,1545,789,31,12,1,0,0,6,2,16,1420,810,105,42,1
27037001840,27,037,001840,1153.25,677.08,15.13,7.03,5.02,1.01,0,1.02,3.03,9.07,1057.36,710.14,75.73,14.16,1.02
27037001850,27,037,001850,1071,665,19,7,10,0,1,3,2,8,1003,675,69,23,1
27037001860,27,037,001860,1722.24,991.19,40.01,6,6,0,1,10,4,7,1570.22,1068.18,95.02,29.01,3
27037001870,27,037,001870,1125.87,619.95,10.22,0.94,8.35,0,0,4.64,4.63,3.71,1026.57,644.07,64.97,18.55,0
27037002010,27,037,002010,740.14,1183,17.27,5.15,4.17,1.01,0,2.27,1.21,6.13,661.33,1136.24,112.85,22.25,2.03
27037002110,27,037,002110,327.94,671.04,14.05,3.01,2.01,0,0,1.01,2,1.01,294.72,647.91,43.29,18.09,0
27037002210,27,037,002210,448.14,502.58,11.84,4.93,3.95,0.99,0,4.93,0,3.95,394.84,458.17,81.92,26.65,0.99
27037002220,27,037,002220,1151.23,1315.5,38.03,10.02,7.01,1.01,0,7,4.99,12.02,1019.98,1225.33,205.35,41.09,1.02
27037002230,27,037,002230,834,961,22,7,6,0,0,5,5,5,760,922,103,25,0
27037002240,27,037,002240,1240.49,1461.87,36.61,6.27,5.11,1,0,5.19,7.11,7.05,1123.37,1430.28,142.4,34.15,2.08
27037002250,27,037,002250,1003.76,1163.55,22.39,9.74,3.89,0,0,6.81,3.89,1.95,889.85,1069.12,160.64,41.86,2.92
27037002260,27,037,002260,881.63,1007.58,17.99,6,5,0,0,2,2,11,780.67,974.59,106.96,21.99,0
27037002310,27,037,002310,209.03,332.02,5,1,1,0,0,3,2,2,205.03,314.02,17,7,0
27037002410,27,037,002410,86.07,206.89,9.48,0.79,1.58,0,0,0,0.79,0,75.02,184.78,30.01,6.32,0
27037002510,27,037,002510,245.98,599.96,10.39,1.83,2.63,0,0,2.42,0.42,0.42,246.71,562.7,35.85,12.38,0
27037002610,27,037,002610,805.62,867.12,30.9,6.96,4.01,3.94,0,2.09,1.06,4.01,712.52,776.62,151.44,51,0
27037002620,27,037,002620,676.8,873.74,30.99,6,5,1,0,5,3,9,609.82,788.76,148.96,33.99,1
27037002630,27,037,002630,705.12,640.73,16.09,3,4.01,0,0,3,4.02,6.02,645.05,601.49,95.35,16.07,0
27037002635,27,037,002635,791.05,813.41,23.18,6,6.02,2,1,4,5.04,4.04,722.93,746.94,143.66,20.14,1
27037002640,27,037,002640,785.54,778.15,18.46,4.62,6.46,0,0,2.77,2.77,3.69,731.08,726.46,99.69,23.08,0.92
27037002645,27,037,002645,774,829,21,6,8,0,0,2,3,8,715,781,110,30,3
27037002650,27,037,002650,836.69,1043.87,20.92,3.98,6.97,0,1,6.97,1.99,6.97,787.88,1002.03,93.63,27.89,2.99
27037002660,27,037,002660,792.28,806.2,18.25,4.06,3.02,1.06,0,4.93,2.96,2.04,709.16,742.7,121.5,36.27,0
27037002710,27,037,002710,1354.15,1114.48,25.24,6.04,4.04,2,0,7.08,4,9.27,1249.21,1138.45,97.36,14.16,0
27037002720,27,037,002720,1239.46,984.26,21.82,10.07,8.66,0,1,6.37,3.38,4.3,1084.52,1018.19,107.19,20.51,3
27037002730,27,037,002730,1252.1,1248.16,16.06,4.02,6.01,1,0,6.01,9.01,8.03,1124.85,1227.07,130.25,38.08,2
27037002740,27,037,002740,1443,1042,19,2,5,0,0,2,3,10,1301,1004,132,36,2
27037002750,27,037,002750,1296.67,908.66,22.94,7.98,4.99,0,0,3.99,3.99,11.97,1189.94,874.75,106.73,33.91,1.99
27037002760,27,037,002760,1127,782,32,6,7,0,0,6,6,8,1007,726,159,45,5
27037002770,27,037,002770,977.06,850.18,22.98,9.99,7.99,0,0,6.99,4,6.99,839.19,784.25,180.83,40.96,3
27037002780,27,037,002780,1272,874,17,4,6,1,0,8,2,9,1166,842,129,28,2
27037002790,27,037,002790,1036.02,429.62,20.74,14.81,0.99,0.99,0,5.93,1.98,2.96,872.08,372.34,171.85,47.41,0.99
27037002800,27,037,002800,1081.31,647.43,23.26,7.77,1.97,0.01,0,4.93,4.72,5.29,933.78,619.65,152.05,37.51,0.95
27037002910,27,037,002910,1177.09,1265.01,30.95,7.99,5.99,0,2,4.99,2,5.99,1043.31,1186.14,176.71,52.91,2
27037002920,27,037,002920,1744.33,2010.38,32.01,8,9,0,1,7,3,12,1557.29,2008.36,152.04,43.01,2
27037002930,27,037,002930,944,1106,35,5,5,2,0,4,1,5,865,1077,106,20,2
27037002940,27,037,002940,1011,1132,20,4,5,0,0,2,0,6,909,1110,98,20,1
27037002950,27,037,002950,1010,1046,20,5,2,1,0,1,6,10,876,1044,130,23,0
27037002960,27,037,002960,866.86,991.84,11,1,3,0,0,1,2,8,773.88,986.84,72.99,18,0
27037002970,27,037,002970,978.49,1173.27,21.59,9.15,8.16,0.01,0,10.12,3.14,4.19,883.75,1160.69,104.15,24.71,1.02
27037002980,27,037,002980,886.28,937.3,30.01,5,1,1,0,3,1,6,795.25,930.3,101.02,18.01,2
27037002990,27,037,002990,937.72,1006.7,20.99,3,2,0,0,3,3,11,842.75,996.7,80.98,27.99,3
27037003000,27,037,003000,1070,1092,20,6,4,0,0,6,2,8,933,1110,96,31,0
27037003010,27,037,003010,1258,1123,23,5,6,1,0,3,4,14,1122,1179,81,23,0
27037003020,27,037,003020,1177,1051,31,9,2,1,0,2,10,7,1032,1046,124,36,3
27037003030,27,037,003030,1450,1314,31,9,6,0,0,3,2,17,1334,1322,100,23,1
27037003040,27,037,003040,1147,1081,28,2,3,2,0,7,7,7,1029,1049,127,35,2
27037003050,27,037,003050,1050,1064,25,5,8,0,1,6,2,6,909,996,179,46,1
27037003060,27,037,003060,1243,1151,27,8,4,1,0,7,2,7,1088,1119,158,33,2
27037003070,27,037,003070,1421,1399,30,7,4,0,1,6,5,3,1262,1294,218,43,1
27037003080,27,037,003080,891.33,739.34,10.79,10.79,0.98,0,0,0.98,3.92,9.81,799.15,770.72,62.76,9.81,0.98
27037003110,27,037,003110,494.22,224.71,0.29,0.97,0.03,0.03,0,0.03,0.04,2.86,459.19,241.89,6.08,8.43,1.83
27037003210,27,037,003210,245.2,557.26,13.01,0,0,0,0,2,2,3,237.18,522.24,45.04,7.01,1
27037003310,27,037,003310,83.61,40.19,1.02,2.9,0.01,0.96,0,0.03,0.01,0.06,73.56,41.32,8.94,3.95,0.01
27037003410,27,037,003410,1213,663,11,3,4,0,0,2,5,11,1119,699,62,17,3
27037003420,27,037,003420,1082.64,691,16.93,1.18,1.09,0.09,0,2.09,4.13,12.36,1001.05,745.17,45.87,6.58,1
27037003430,27,037,003430,1180.7,592.09,19.78,3.85,1.88,1.88,0,1.88,2.83,7.78,1101.36,639.73,40.05,12.99,0.17
27037003440,27,037,003440,1001.87,579.79,13.98,3.15,2.01,0.05,0,6.9,2.98,12.78,909.3,614.75,64.29,21.12,1.97
27037003450,27,037,003450,1075.21,646.3,18.11,5.05,3.53,0.18,0,4.35,1,4.05,1000.93,676.3,48.32,15.28,1
27037003510,27,037,003510,27,51,0,0,0,0,0,1,0,0,25,46,4,3,0
27037003610,27,037,003610,13,28,2,0,0,0,0,1,0,0,12,26,6,0,0
27037003710,27,037,003710,282.01,432.23,10.56,0.49,1.59,0.01,0,0.29,2.18,2.3,269.42,404.45,43.45,9.08,0.12
27037003810,27,037,003810,505.5,230.06,3.18,0,0,0.8,0,0,2.39,3.18,473.65,238.02,14.33,6.37,0
27037003910,27,037,003910,75.35,179.53,4.65,0.93,0,0,0,0,1.86,0,77.21,156.29,17.67,6.51,0
27037004010,27,037,004010,167.37,372.85,2.35,0.07,0,0,0,0,1.14,1,158.53,355.12,19.3,4.48,1
27037004110,27,037,004110,613.29,999.43,14.4,1.98,2.06,0,0,2.06,1.15,3.95,593.36,913.51,82.69,24.54,0.08
27037004210,27,037,004210,1588,1217,26,7,5,1,1,3,8,12,1451,1259,98,23,0
27037004220,27,037,004220,1440,1240.09,32.84,2.9,3.86,0,0,5.79,5.79,2.9,1285.47,1257.47,120.73,28.01,0.97
27037004230,27,037,004230,1281,1132,24,10,5,3,0,8,9,8,1150,1145,113,33,4
27037004240,27,037,004240,839,724,20,10,5,1,0,5,5,6,765,659,128,42,0
27037004250,27,037,004250,729.17,688.21,15.02,5.01,5,0,0,1,3,5.01,668.04,665.22,77.11,23.02,0
27037004260,27,037,004260,857,750,15,7,4,3,0,3,4,8,799,688,107,25,0
27037004270,27,037,004270,1597.76,1268.81,36.99,5,2,0,0,6,5,16,1446.78,1231.82,158.98,39.99,3
27037004310,27,037,004310,102,200,3,0,0,0,0,0,0,1,94,188,16,7,0
27037004410,27,037,004410,1533.13,947.74,24.1,7.06,9.95,0.01,1,9.98,5.96,13.95,1371.79,870.78,196.21,62.94,6.97
27037004420,27,037,004420,956,616,19,8,2,0,0,5,2,5,837,575,140,36,0
27037004430,27,037,004430,1742.48,1134.05,29.18,11.06,7.02,0,0,15.04,10.04,10.04,1529.32,1070.82,245.2,77.29,2.01
27037004440,27,037,004440,512,230,7,6,4,1,0,0,0,7,432,195,90,26,2
27037004450,27,037,004450,1973.25,1295.2,57.07,20.03,8.01,0,1,9.02,9.01,15.02,1701.8,1174.07,362.5,92.12,2
27037004510,27,037,004510,181.38,167.29,5.28,0.88,0.88,0,0,1.76,0,6.16,160.25,189.3,7.92,3.52,0
27037004610,27,037,004610,104.01,185.02,4,0,0,0,0,1,0,0,102.01,160.02,21,5,2
27037004710,27,037,004710,256.47,575.81,7.98,0,2.99,0,0,0,1,2.99,253.48,541.88,27.94,9.98,0
27037004810,27,037,004810,291.47,243.92,1.82,3,0,0.2,0,3,0.61,1.82,270.31,235.96,25.67,7.63,1
27037004910,27,037,004910,1416.3,699.71,34.74,13.9,1.99,1.99,0.99,5.96,0,5.96,1224.75,635.2,206.44,49.63,1.99
27037004920,27,037,004920,868,333,8,6,4,0,0,4,1,2,737,309,101,22,2
27037004940,27,037,004940,1721,780,29,7,8,3,0,6,7,20,1495,786,220,57,2
27037004950,27,037,004950,914,377,10,1,1,2,0,3,4,7,810,356,114,16,2
27037004970,27,037,004970,1149,591,15,5,4,2,0,3,3,7,1047,577,110,29,2
27037004980,27,037,004980,1649.52,903.87,19.25,9.42,2.1,1,0,3.26,7.26,16.26,1511.54,900.26,132.3,39.04,2.05
27039000005,27,039,000005,54.79,143.02,2.79,0,0,0,0,0,0.93,0,58.5,130,6.52,1.87,0
27039000007,27,039,000007,0.67,1.17,0.03,0.01,0,0,0,0,0,0,0.67,1.09,0.08,0.02,0
27039000010,27,039,000010,127.92,299.24,8.1,3.04,1.99,0.01,0,1.01,1.02,1.01,139.64,268.73,24.67,7.23,0.01
27039000015,27,039,000015,66.49,157.51,9.78,1.99,1.02,0,0.97,0,0.04,0,61.75,117.78,36.68,10.89,0.97
27039000020,27,039,000020,73.51,173.49,1.22,1.01,0.98,0,0.03,0,0.96,0,76.25,155.22,15.32,4.11,0.03
27039000025,27,039,000025,98,254,2,0,1,0,0,0,0,0,95,232,16,4,0
27039000030,27,039,000030,392.85,687.53,21.52,0.29,0.15,0,0,6.13,1,2.14,367.49,589.26,103.09,35.5,1.99
27039000032,27,039,000032,99.88,181.08,3.73,1.71,0.85,0,0,0.89,0.08,0.88,91.58,147.16,32.55,9.69,0.01
27039000035,27,039,000035,29,120,1,0,0,0,0,0,1,0,31,113,2,2,1
27039000040,27,039,000040,276.26,438.29,12.03,1.02,0.02,0,1,4,1.02,2,269.41,363.97,66.1,15.06,1
27039000045,27,039,000045,82.74,213.71,1.97,0.98,0.98,0,0,0,0.98,0,92.59,193.03,6.9,3.94,0
27039000050,27,039,000050,111.54,159.07,3.49,0.88,1.73,0,0,1.72,0.87,0.87,102.09,150.3,19.94,4.35,0
27039000051,27,039,000051,1018.38,1598.03,31.7,6.96,2.98,0,0.99,3.95,3.96,11.85,996.7,1460.55,144.39,45.48,0
27039000052,27,039,000052,294.15,433.84,15.99,6.01,0.06,0.98,0,1.98,2.97,2,269.78,358.45,89.07,29.64,0.98
27039000055,27,039,000055,261.95,456.93,8.87,1,3.93,0,0,1.96,2.95,0.99,248.22,407.76,52.12,13.77,0
27039000060,27,039,000060,479.49,822.42,17.76,7.08,3.29,0.01,0.01,1.37,2.22,2.28,478,767.04,58.51,16.45,0.01
27039000065,27,039,000065,128,347,1,1,2,0,0,1,4,0,134,319,21,4,0
27039000070,27,039,000070,16.98,87.88,3.99,1,0,0,0,0,0,0,21.97,75.9,6.99,3.99,0
27039000075,27,039,000075,127,302,4,1,5,1,0,0,0,1,135,279,19,2,0
27039000080,27,039,000080,137.4,405.78,8.04,2.02,0.01,1,0,3.99,0.01,4.99,148.36,354.76,39.07,12.01,0
27039000085,27,039,000085,134,291,8,0,0,0,0,0,1,0,120,248,39,16,0
27039000090,27,039,000090,68,210,0,2,1,0,0,2,1,0,75,192,7,6,0
27041000005,27,041,000005,47.34,85.61,2.05,0.08,0.44,0,0,0.74,0.4,0.11,44.21,80.5,7.76,2.6,0.04
27041000007,27,041,000007,561.82,935.56,9.2,3.86,2.88,0,0.02,1.95,1.02,0.11,527.09,895.6,59.54,19.35,0.03
27041000010,27,041,000010,498.3,980.65,10.08,2.01,3.01,0,0,4.02,4.02,4.03,488.18,887.19,67.45,28.08,1.01
27041000015,27,041,000015,693.11,1041.66,37.79,3.05,2.05,0,0,6.01,5.02,5.07,650.98,965.5,114.65,33.97,2
27041000020,27,041,000020,508.71,818.48,19.32,5.03,5.02,1,0,2.05,3.04,4.04,480.35,704.85,105.96,38.28,1.02
27041000025,27,041,000025,29.22,68.66,1.83,0.02,0.04,0,0,0.58,0.04,0.05,28.51,63.14,4.47,1.3,0.01
27041000027,27,041,000027,483.87,583.58,21.71,3.96,2,0,0.98,1.01,1.01,2.01,445.47,528.54,78.83,20.68,0.02
27041000030,27,041,000030,656.55,1326.86,10.18,2.17,2.11,0,0,3.01,2.95,4.82,638.99,1258.85,66.3,11.8,0.96
27041000035,27,041,000035,54,168,4,0,1,0,0,1,0,0,52,160,9,3,0
27041000040,27,041,000040,88.47,192.96,4,0.03,0.01,0,0,1,1.01,0.01,80.53,177.97,14.99,4.99,0.01
27041000045,27,041,000045,132.53,398.04,4,2.97,0.99,0,0,1,1.99,0.99,132.47,385.03,12.01,3.01,0.99
27041000050,27,041,000050,79.95,204.99,3.02,0.01,0,0,0,0.01,1.01,1,72.93,178.06,23,5.99,0
27041000055,27,041,000055,480.54,1098.25,13.93,1.99,0,0,0.99,1.99,4.97,1,459.61,1056.31,54.83,11.98,0.99
27041000060,27,041,000060,85.23,217.52,5.88,0.98,0,0,0.98,0,0.98,0.98,88.18,189.11,25.46,6.85,0
27041000065,27,041,000065,37.77,112.48,1.12,0.02,1,0,0.02,0,1.02,0.02,40.82,105.89,5.54,0.15,0
27041000070,27,041,000070,39,85,0,0,1,0,0,0,0,0,43,72,7,1,0
27041000075,27,041,000075,54.08,122.5,0.02,0.03,0,0,1,0.07,2.03,0.01,48.97,99.41,18.17,8.04,0
27041000080,27,041,000080,192.91,422.19,4.34,2,3.08,0,0,1.04,1.08,1.08,186.66,408.93,15.26,8.42,1
27041000085,27,041,000085,159.41,508.38,3.27,0.99,0.07,0,0,1.03,1.06,1.06,158.2,482.45,15.97,7.31,0
27041000090,27,041,000090,308.92,671.5,2.98,3.97,0,0,0,8.93,4.97,1.99,292.03,648.59,31.83,9.96,0
27041000095,27,041,000095,45.81,104.56,2.99,1.99,0,0,0,1,0,1,44.81,94.6,6.97,7.97,0
27041000100,27,041,000100,1123.37,1885.54,31.75,6.85,8.47,0,0,6.2,5.54,8.8,1084.91,1848.57,90.62,22.3,2.94
27041000105,27,041,000105,237.2,578.89,8.63,0,1.83,0,0,1.39,1.83,1.95,231.33,547.21,30.63,10.05,0
27041000110,27,041,000110,101.01,229.05,2,1,0,0,0,0,2,0,102.01,212.04,15,4,0
27041000115,27,041,000115,62,146,2,1,0,0,0,0,1,0,55,134,16,2,0
27041000120,27,041,000120,18.96,29.94,1,1,0,0,0,0,0,0,19.96,27.94,2.99,1,0
27041000125,27,041,000125,47.71,191.63,0.01,0,0,0,0,1,0.01,0,50.63,178.56,5.07,2.04,0
27041000130,27,041,000130,72.9,160.78,3,3,0,0,0,2,3,1,76.9,147.8,10.99,6.99,0
27041000135,27,041,000135,228.1,410.22,1,0,3,0,0,4,0,2,231.1,389.2,14.01,8.01,1
27041000140,27,041,000140,188.54,392.87,7.9,0.99,0,0,0,0,0,0.99,195.45,369.18,11.85,5.92,0.99
27041000145,27,041,000145,20.41,81,0.01,0,0,0,0,0,0,0,20.41,65.94,10.05,3.01,0
27041000150,27,041,000150,44,184,1,0,0,0,0,0,0,0,47,165,12,0,0
27041000155,27,041,000155,257.9,579.95,8.02,4,2,1,1,3.01,4.01,0,256.96,517.71,61.12,10.03,0.01
27041000160,27,041,000160,96.97,317.61,1.98,0,0,0,0,0.99,0.99,0,103.89,290.9,12.86,2.97,0.99
27041000165,27,041,000165,39.2,121.52,2.05,3.02,0,0,0,0.02,0,0.02,46.14,113.41,6.11,0.08,0
27041000170,27,041,000170,49,210,4,0,0,0,0,0,1,0,52,194,8,5,0
27041000175,27,041,000175,47.36,143.91,1.97,0,0,0,0,0,0,0.98,43.44,141.92,2.96,2.96,0
27043000005,27,043,000005,37,111,3,1,0,0,0,0,0,0,41,101,3,2,0
27043000010,27,043,000010,230.59,334.41,4.99,2,1,0,0,4.99,2,2.99,218.61,297.48,34.94,9.98,1
27043000015,27,043,000015,233,416,5,2,3,0,0,1,1,1,217,385,28,17,0
27043000020,27,043,000020,182.33,340.79,3.98,0.99,1.02,0.99,0,2,2.97,0.99,179.48,292.9,36.8,15.89,0
27043000025,27,043,000025,67.68,184.22,1.02,0.01,1.98,0.01,0,1,0.03,0.01,74.52,163.1,10.2,3.11,0
27043000030,27,043,000030,75,103,0,0,1,0,0,0,2,1,74,85,14,3,0
27043000035,27,043,000035,31,86,2,0,0,0,0,0,0,0,31,80,4,1,0
27043000040,27,043,000040,36.13,110.29,0.02,0.01,0.01,0,0,1.97,0.01,1.97,33.19,107.17,4.07,1.02,0
27043000045,27,043,000045,33,68,2,0,0,0,0,0,0,0,33,57,5,1,0
27043000050,27,043,000050,46,153,0,0,0,0,0,1,0,0,48,140,8,3,0
27043000055,27,043,000055,21.23,135.59,4.01,0,0,0,0,0,1,0,26.27,122.54,7.01,4,0
27043000060,27,043,000060,45,63,1,0,1,0,1,0,1,0,44,60,6,2,0
27043000065,27,043,000065,71.13,160.72,0.06,2,0,1,0,3.06,1,4,74,124.4,35.26,5,0.06
27043000070,27,043,000070,30.87,68.28,0.94,0,0,0,0,0.94,0,0,29,63.6,3.74,0,0.94
27043000075,27,043,000075,33,109,2,0,0,0,0,0,2,0,32,106,4,2,0
27043000080,27,043,000080,51,119,2,0,0,0,0,0,0,0,58,108,6,1,0
27043000085,27,043,000085,30,75,2,0,0,0,0,0,0,0,29,65,9,1,0
27043000090,27,043,000090,42.4,99.58,2.01,0,0,0,0,0.01,1,2.01,53.38,88.52,4.06,0.02,0
