GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27001000215,27,001,000215,84,102,3,1,0,105,78,3,1,0,106,73,4,0,105,71,5,2,0,107,67,13,0
27001000220,27,001,000220,10,9,0,0,0,14,6,0,0,0,11,6,2,0,12,6,1,0,0,13,6,0,0
27001000225,27,001,000225,42,21,1,0,0,45,16,2,0,0,45,15,2,0,44,16,4,0,0,47,12,3,0
27001000230,27,001,000230,60,42.7,1,2,0,69.8,29.9,3.9,1,0,68.8,30,3,0,63.8,30.9,6.9,2,0,72.8,24.9,6,0
27001000240,27,001,000240,14.2,5.3,1,1,0,15.2,4.2,2,0,0,16.2,3.2,1,0,12.2,4.2,2,2,0,14.2,4.2,2,0
27001000255,27,001,000255,8.7,8.6,0,0,0,8.8,8.4,0,0,0,8.8,8.4,0,0,8.8,7.4,1,0,0,8.8,7.3,1.1,0
27001000260,27,001,000260,28.1,50.7,0.2,0,0,41.3,37.5,1.3,0,0,41.5,36.3,1.2,0,37.5,35.1,6.2,0.1,0,41.8,35,3.3,0
27001000285,27,001,000285,16.8,19.4,0,1.1,0,16.9,20.1,0.2,0,0,18.9,15.8,2.3,0,17.9,15.8,3.2,0.2,0,17.1,16.6,3.4,0
27001000290,27,001,000290,21,15,1,3,0,24,13,1,2,0,24,8,8,0,24,11,3,2,0,26,11,3,0
27003000005,27,003,000005,900.9,717,40.3,8.9,0,1034.7,576.1,36.5,13.8,0,1027.9,537.8,59.1,0,1002.3,534.8,72.8,27.6,0,1057.3,504.2,82.9,1
27003000010,27,003,000010,669.3,666.9,34.4,9.7,0.9,773.3,545.5,44,14.1,0,771.5,505.9,59,0.9,747.8,503.1,79.2,30.8,0,802.3,467.2,94.1,1.8
