GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17001023025,17,001,023025,216.46,469.57,4.26,0,0,0,208.79,463.61,5.97,5.97,2.56
17001023026,17,001,023026,197.01,389.5,10.41,1.12,0,0,175.75,394.31,8.19,8.19,5.09
17001023027,17,001,023027,176.01,461.11,11.04,0.14,1.95,0,176.26,464.81,3.1,3.16,2.09
17001023028,17,001,023028,179,411,6,1,2,0,185,409,0,6,1
17001023029,17,001,023029,188,383,8,2,0,0,188,374,3,6,6
17001023030,17,001,023030,122,254,5,0,1,0,124,247,1,1,4
17001023031,17,001,023031,171.98,445.18,11.34,2.11,2.06,0,175.86,437.67,4.45,7.28,3.23
17001023032,17,001,023032,173,369,13,3,2,0,185,350,6,12,1
17001023033,17,001,023033,149,350,8,4,2,1,163,332,3,8,2
17001023034,17,001,023034,138,218,9,1,2,0,136,212,5,10,2
17001023035,17,001,023035,122.45,335.03,6.85,3.91,0,0,128.31,327.2,1.97,3.92,0.99
17001023036,17,001,023036,86.32,133.55,8.01,0,0,0,98.35,121.49,2.02,3.01,1.01
17001023037,17,001,023037,136.55,231.54,4.95,0.99,0,1.98,147.44,205.82,8.91,3.96,2.97
17001023038,17,001,023038,138,262,8,2,1,0,151,239,4,8,6
17001023039,17,001,023039,149.12,191.91,9.04,3.01,1,1.02,153.21,180.7,7.07,9.03,2.02
17001023040,17,001,023040,155,185,2,4,2,3,157,175,6,9,3
17003000101,17,003,000101,153,26,1,0,0,1,149,20,0,4,1
17003000102,17,003,000102,111.15,13.02,0,0,0,0,109.14,8.01,4,0,1
17003000103,17,003,000103,76.85,9.98,0,0,0,0,74.86,6.99,1,0,0
17003000104,17,003,000104,184,105,2,1,0,2,187,95,1,6,1
17003000105,17,003,000105,85,32,0,0,0,0,87,25,0,0,0
17003000201,17,003,000201,64.04,47.51,0.02,0.99,0,0,68.38,42.09,0.99,1.03,0
17003000301,17,003,000301,73.79,44.08,0,0,0,0.96,78.58,35.46,0.96,0,0
17003000401,17,003,000401,159.99,375.98,0,3,0,0,184.99,338.98,2,4,2
17003000601,17,003,000601,86.01,238.03,1,0,0,2,101.01,200.03,7,2,1
17003000801,17,003,000801,51,262,1,0,0,0,66,233,1,2,1
17003000901,17,003,000901,65.73,330.34,1.98,0,0,0,108.38,277.77,0,3.97,0
1700500BG01,17,005,00BG01,115.44,328.49,12.02,4,1,0.01,151.55,279.34,7.01,8.03,5.01
1700500BG02,17,005,00BG02,73.82,246.74,6.8,0.97,0.97,0,86.46,229.25,2.91,4.85,2.91
1700500BG03,17,005,00BG03,59.29,301.32,5.12,3.02,2.02,0,81.51,276.02,1.05,4.09,3.05
1700500CN01,17,005,00CN01,190.87,347.72,18.96,4.99,5.98,0,198.95,338.59,5.99,11.98,7.98
1700500CN02,17,005,00CN02,105,147,6,2,1,1,107,139,3,8,2
1700500CN03,17,005,00CN03,114,162,8,2,1,0,112,156,3,7,7
1700500CN04,17,005,00CN04,123,173,8,3,1,2,132,162,3,9,3
1700500CN05,17,005,00CN05,117.18,271.66,3.19,0.08,4,0,140.85,244.84,2.04,4.19,2.12
1700500CN06,17,005,00CN06,112.09,240.93,11.11,2.03,0.04,0,133.11,217.9,0.04,6.07,1.05
1700500CN07,17,005,00CN07,100.87,258.55,8.81,3.92,0,0,131.23,221.33,1.96,8.81,5.88
1700500CN1A,17,005,00CN1A,169.03,292.33,11.93,3.98,2.98,0,186.93,264.49,4.97,8.95,5.97
1700500LG01,17,005,00LG01,49.44,192.74,9.07,1.01,0,1.01,68.66,177.56,0.01,3.04,2.02
1700500LG02,17,005,00LG02,135.57,353.27,6.93,0.99,0,0.99,156.35,336.45,0.99,3.96,1.98
1700500MG01,17,005,00MG01,95,290,5,2,0,1,116,259,1,11,1
1700500MG02,17,005,00MG02,68,192,1,0,0,1,91,166,1,4,1
1700500ML00,17,005,00ML00,68.64,244.05,1.08,0.01,0.01,1.99,87.71,218.94,1.03,2.05,1.03
1700500OR00,17,005,00OR00,116.82,370.41,12.98,2,0,0,144.77,335.47,3,11.98,3
1700500PM01,17,005,00PM01,56.6,200.58,1.99,0,0,0,80.43,167.81,2.98,1.99,0
1700500PM02,17,005,00PM02,85.33,194.19,2.01,3,0,1,107.48,157.99,3.02,10.01,3
1700500SH01,17,005,00SH01,53,145,5,1,0,0,68,124,4,3,0
1700500SH02,17,005,00SH02,44,77,2,0,2,0,48,69,2,5,2
1700500SH03,17,005,00SH03,52,108,0,0,0,0,66,84,3,2,1
1700500SH04,17,005,00SH04,113,290.01,8,1,0,0,136,260.01,1,8,2
1700500TM01,17,005,00TM01,37,111,3,0,0,0,44,97,3,5,0
1700500TM02,17,005,00TM02,33,87,0,0,0,0,38,79,0,2,0
17007001001,17,007,001001,198,195,5,3,0,0,194,177,2,6,8
17007001002,17,007,001002,169,196,11,1,1,0,168,187,8,4,8
