GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17031790041,17,031,790041,135.99,209.56,13.2,6.1,144.25,219.42,3.15,227.77,127.87,11.18,167.72,184.98,15.1,158.44,188.18,16.16
17031790042,17,031,790042,221,328,22,11,227,348,9,386,173,20,293,263,18,279,277,15
17031790043,17,031,790043,221,297,6,10,236,286,8,375,147,12,289,223,15,264,240,15
17031790044,17,031,790044,343.85,567.45,13.91,14.91,389.57,540.62,13.91,628.08,291.18,24.84,475.03,443.23,19.88,445.22,472.05,17.89
17031790045,17,031,790045,449,278,31,34,454,292,43,588,164,41,506,249,39,484,252,49
17031790046,17,031,790046,181.85,247.8,12.99,7.99,192.84,244.8,12.99,290.77,156.87,6.99,225.82,208.83,12.99,209.83,214.83,16.99
17031790047,17,031,790047,280,300,11,12,278,308,12,443,138,17,360,226,12,337,241,12
17031790048,17,031,790048,280,183,14,11,296,178,21,358,116,25,331,145,15,312,160,22
17031790049,17,031,790049,191.19,169.59,17.93,9.5,177.53,202.55,11.65,253.7,126.21,15.86,213.25,164.51,14.15,191.45,179.82,16.59
17031790050,17,031,790050,359,249,15,24,381,258,12,469,157,21,435,196,12,393,216,23
17031790051,17,031,790051,235.43,139.31,18.39,5.26,228.4,155.78,11.27,277.16,101.93,16.44,258.35,129.83,8.28,236.68,134.17,17.47
17031790052,17,031,790052,328.92,286.82,29.66,11.82,344.87,303.58,13.87,482.28,172.53,16.61,403.93,244.67,19.61,366.85,274.58,22.67
17031790053,17,031,790053,257.02,296.03,20.01,9.01,263.02,302.05,18,386.04,182.01,16.01,316.01,253.04,15.01,287.02,273.04,14.01
17031790054,17,031,790054,157,139,15,5,170,140,8,232,79,9,191,115,8,173,132,9
17031790055,17,031,790055,256,391,11,11,276,386,8,436,227,8,321,338,12,293,353,17
17031790056,17,031,790056,461.51,133.99,18.86,14.89,461.51,157.81,21.83,515.11,100.24,31.76,498.23,125.05,18.86,457.54,147.88,28.78
17031790057,17,031,790057,401,82,5,15,385,108,16,430,70,13,421,73,21,401,85,22
17031790058,17,031,790058,210,148,10,9,200,158,15,246,114,20,229,136,11,209,145,17
17031790059,17,031,790059,270,127,12,11,256,150,15,322,83,14,281,119,17,271,128,15
17031790060,17,031,790060,594,72,11,21,604,90,15,639,47,23,633,57,22,606,69,27
17031790061,17,031,790061,249,301,18,6,259,313,9,400,170,9,319,242,19,295,263,20
17031790062,17,031,790062,81,190,8,3,84,195,2,166,114,3,121,159,1,105,175,0
17031790063,17,031,790063,320.63,488.51,21.9,10.45,347.8,475.74,16.4,508.79,311.14,19.25,395.35,430.17,10.35,365.86,451.08,17.5
17031790064,17,031,790064,295,145,15,10,307,148,15,373,82,15,328,120,14,310,134,16
17031790065,17,031,790065,349,247,31,19,345,273,28,450,180,25,392,235,25,365,252,33
17031790066,17,031,790066,228.99,94.05,10.33,5.16,226.69,105.47,9.33,274.63,59.69,7.24,252.19,82.98,8.32,235.84,91.21,13.36
17031790067,17,031,790067,338,165,20,24,349,172,23,427,106,17,375,140,31,348,164,28
