GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17001001001,17,001,001001,74,210,51,11,58,278,8,147,192,9,99,236,10,92,243,7
17001002001,17,001,002001,53,234,46,18,47,286,17,141,194,16,87,244,15,74,258,16
17001003001,17,001,003001,42,202,32,9,37,245,5,100,182,6,62,215,9,50,223,9
17001003002,17,001,003002,41,250,38,15,34,297,8,111,225,7,62,265,14,58,268,11
17001004001,17,001,004001,12,84,11,0,13,92,1,36,69,1,20,84,1,20,85,0
17001005001,17,001,005001,46.35,234.28,40.04,6.08,45.26,268.42,8.07,122.96,196.74,4.04,62.5,255.16,7.05,70.52,242.14,9.05
17001006001,17,001,006001,44.88,171.58,15.96,7.98,46.88,186.54,4.99,113.7,123.7,2.99,69.82,165.59,4.99,67.82,164.59,4.99
17001007001,17,001,007001,37.07,237.33,15.97,7.58,29.29,258.49,7.72,101.05,189.45,4.47,51.27,235.72,5.64,56.11,229.75,6.71
17001007002,17,001,007002,53.71,190.9,30.69,10.55,54.66,214.88,13.43,117.01,159.24,9.59,82.48,186.11,11.51,77.68,189.94,12.47
17001008001,17,001,008001,28.89,163.14,16.26,5.77,27.79,173.86,5.77,78.89,131.27,2.9,51.68,153.71,4.81,54.59,148.91,5.76
17001009001,17,001,009001,87.15,348.92,24.1,8.04,71.15,380.97,13.03,177.44,284.74,6.02,106.3,342.86,13.03,107.32,341.82,13.03
17001010001,17,001,010001,15,57.01,7,1,13,63.01,2,36,43.01,0,19,58.01,1,20,56.01,1
17001011001,17,001,011001,11.47,74.14,6.4,0.07,11.2,78.74,2.07,29.14,62.87,3,17.6,70.34,2.07,17.6,70.27,2.13
17001012001,17,001,012001,20,102,21,4,21,123,4,42,102,3,28,113,5,28,115,4
17001013001,17,001,013001,33.96,212.78,27.97,5.99,27.97,244.74,4.99,93.9,179.81,6.99,51.95,217.77,6.99,47.95,224.76,5.99
17001014001,17,001,014001,73.99,399.97,45,19,68,453.97,10,205.99,323.98,8,120.99,401.97,7,117.99,401.97,9
17001015001,17,001,015001,24.7,131.41,16.8,6.92,20.75,155.13,0.99,61.26,115.6,1.98,36.56,137.34,3.95,34.58,138.33,3.95
17001016001,17,001,016001,82.07,356.36,41.04,14.01,65.06,407.41,13.01,192.17,287.3,13.01,104.1,367.36,15.01,115.1,350.36,21.01
17001017001,17,001,017001,51,309,37,12,42,356,9,147,261,1,86,315,5,88,311,3
17001018001,17,001,018001,84.19,282.93,41.68,9.12,76.25,324.22,15.42,183.08,227.51,10.3,118.75,279.84,18.27,105.75,289.93,19.21
17001018002,17,001,018002,39.11,162.66,22.52,3.96,41,172.65,13.6,68.66,148.88,9.73,57.69,159.82,8.78,57.67,162.74,6.84
17001019001,17,001,019001,82.96,348.85,19.99,7,70.97,377.84,4,188.92,270.88,2,109.95,337.85,8,126.94,321.86,7
17001019002,17,001,019002,94.24,307.65,43.06,14.01,91.21,353.73,13.02,203.43,254.53,5.01,135.27,306.67,13.02,141.3,297.64,16.02
17001019003,17,001,019003,98.17,265.4,20.49,8.31,87.2,299.97,3.71,174.93,215.77,4.75,122.91,258.68,8.87,132.8,249.66,8.77
17001020001,17,001,020001,59.06,340.46,26.33,9.2,67.05,361.8,5.2,143.98,284.87,6.13,92.92,326.8,16.06,106.65,316,12.13
17001020002,17,001,020002,110,433,39,15,101,485,7,237,353,6,150,429,14,153,428,12
17001020003,17,001,020003,89.61,234.09,37.01,10.17,88.61,272.94,7.44,159.76,203.68,7.4,115.67,241.33,12.04,114.9,242.01,11.13
17001020004,17,001,020004,56.08,254.69,16.45,7.56,56.58,265.8,4.93,124.11,204.02,3.91,72.5,248.92,6.83,76.41,244.1,7.76
17001020005,17,001,020005,85.71,287.01,22.02,5.07,71.01,324.01,4.68,161.51,234.95,3.44,102.58,289.64,4.09,115.37,276.78,4.07
17001020006,17,001,020006,94,281,24,5,85,311,7,162,232,8,118,271,10,132,261,9
17001021001,17,001,021001,44,193.97,17.25,7.34,46.97,212.27,2.25,97.36,159.95,5.25,55.88,197.2,6.41,57.86,199.23,2.38
17001022001,17,001,022001,42.87,189.76,9.83,2.81,40.06,202.39,1.41,94.15,149.01,2.81,57.61,180.63,4.92,62.52,177.12,4.22
17001022002,17,001,022002,55.26,228.04,25.57,4.17,52.07,253.87,4.11,121.01,188.98,3.08,73.96,226.91,7.19,81.85,218.86,4.27
17001022003,17,001,022003,100.83,432.01,19.22,5.16,95.56,453.05,5.55,199.51,348.63,7.77,122.84,420.01,12.6,129.18,414.44,10.36
17001023001,17,001,023001,103.46,244.55,14.98,9.04,91.53,275.88,11.05,176.62,193.59,6.43,112.76,245.63,14.51,128.53,233.7,11.43
17001023002,17,001,023002,84.96,175.26,17.15,2.18,86.93,180.37,6.24,149.49,127.85,9.21,116.26,149,14.2,125.2,148.09,7.24
17001023003,17,001,023003,90.89,111.41,7.82,7.82,89.91,116.3,10.75,119.23,89.91,9.77,106.53,97.73,9.77,104.57,101.64,10.75
17001023004,17,001,023004,146,193,25,16,140,234,11,213,166,12,181,191,14,176,189,23
17001023005,17,001,023005,110,82,11,10,112,95,9,150,64,6,122,84,9,123,80,12
17001023006,17,001,023006,34,36,8,8,35,43,11,56,28,5,43,38,8,41,38,10
17001023007,17,001,023007,60,45,6,8,65,43,8,79,32,8,70,39,7,68,39,10
17001023008,17,001,023008,67.29,177.5,18.53,4.88,61.44,204.8,2.93,117.03,150.19,1.95,86.8,177.5,4.88,82.9,174.57,8.78
17001023009,17,001,023009,105.45,296.46,19.9,8.95,97.49,321.33,6.96,199.96,225.83,4.97,145.25,271.59,12.93,143.26,275.57,8.95
17001023010,17,001,023010,72,85,12,13,73,94,11,101,72,9,87,81,10,81,84,12
17001023011,17,001,023011,91,177,22,6,85,204,5,138,155,3,108,181,3,111,178,3
17001023012,17,001,023012,93.32,158.89,4.07,4.03,84.29,180.02,2.01,137.58,125.73,3.01,100.41,162.87,2.03,112.44,146.84,4.03
17001023013,17,001,023013,83,116,20,7,75,139,11,119,98,13,89,128,9,92,119,11
17001023014,17,001,023014,94,115,25,11,92,146,7,142,100,4,115,119,11,117,114,12
17001023015,17,001,023015,117.12,252.59,12.75,6.37,103.5,271.72,8.16,183.47,198.1,9.07,134.4,242.61,11.8,137.16,238.96,10.89
17001023016,17,001,023016,131,231,23,14,123,254,22,194,182,21,141,230,29,155,219,24
17001023017,17,001,023017,131.06,201.64,31.94,11.98,121.02,243.58,11,213.1,160.51,7.01,156.03,210.56,11.02,157.07,208.54,11.01
17001023018,17,001,023018,132.08,352.83,30.69,7.3,112.79,398.98,9.11,233.5,289.36,6.14,145.98,363.6,12.27,165.23,348.36,8.29
17001023019,17,001,023019,58,66,5,3,53,75,3,83,46,2,62,63,6,66,61,2
17001023020,17,001,023020,135,236,19,15,123,279,12,188,212,15,151,241,21,153,242,18
17001023021,17,001,023021,161,284,11,12,157,298,10,230,231,7,186,264,15,188,260,13
17001023022,17,001,023022,151,236,22,12,138,271,11,216,199,8,165,240,13,162,242,14
17001023023,17,001,023023,86.92,202.38,20.7,4.87,74.97,230.26,7.73,157.56,156.25,1.97,107.38,203.51,2.89,107.75,199.29,6.74
17001023024,17,001,023024,87.84,366.79,26.26,7.36,80.95,400.08,6.37,195.47,289.12,5.47,116.44,359.14,9.92,132.04,344.52,8.06
17001023025,17,001,023025,151.69,320.43,14.49,11.08,138.91,352.82,6.82,231.8,262.48,6.82,163.63,322.14,11.08,180.67,310.21,5.97
17001023026,17,001,023026,107.32,291.52,23.36,12.3,95.27,330.99,8.25,186.74,240.54,9.19,132.23,290.85,10.18,138.08,283.99,13.19
17001023027,17,001,023027,131.34,360.53,21.38,3.57,116.21,391.05,9.01,226.76,285.6,6.05,151.27,354.84,9.94,157.97,348.95,10.08
17001023028,17,001,023028,148,284,20,8,138,308,8,232,225,4,164,277,16,172,267,15
17001023029,17,001,023029,141,264,26,8,131,298,10,224,212,6,171,263,6,165,263,9
17001023030,17,001,023030,69,209,19,8,74,224,4,143,161,5,96,202,6,100,200,5
17001023031,17,001,023031,116.43,308.26,23.26,13.62,106.38,344.63,10.45,210.68,238.45,10.45,146.02,293.71,14.74,160.96,285.77,10.68
17001023032,17,001,023032,126,186,22,9,111,218,12,172,161,10,134,195,16,138,190,13
17001023033,17,001,023033,115,177,30,17,114,217,11,177,158,7,142,191,10,146,187,9
17001023034,17,001,023034,92,126,15,8,94,138,7,141,98,3,108,123,8,107,126,5
17001023035,17,001,023035,94.99,200.86,25.49,6.86,91.08,227.34,6.86,175.28,146.07,4.9,119.48,198.93,8.82,125.34,189.16,8.82
17001023036,17,001,023036,63.28,66.26,7.03,5.04,70.26,68.32,3.03,86.36,52.22,1.04,76.33,59.27,5.03,74.3,62.28,4.05
17001023037,17,001,023037,119.73,111.81,12.86,14.84,108.85,136.55,13.85,153.37,92.02,18.8,137.54,112.8,13.85,126.66,117.75,19.79
17001023038,17,001,023038,107,117,27,11,87,155,16,142,106,14,120,126,14,119,127,12
17001023039,17,001,023039,101.99,117.92,11.11,5.12,99.9,130.12,8.11,128.26,101.76,7.15,115.13,112.93,9.11,109.04,114.97,12.16
17001023040,17,001,023040,97,107,24,14,93,141,12,136,95,16,116,112,17,108,118,19
17003000101,17,003,000101,152,14,3,2,154,15,4,158,13,2,156,13,2,148,12,4
17003000102,17,003,000102,103.13,10.02,2,2,111.15,7.02,1,115.15,5.01,1,110.15,8.01,2,111.15,5.01,4
17003000103,17,003,000103,68.87,11.98,0,1,80.85,7.98,0,79.85,5.99,2,77.85,5.99,1,78.85,5.99,1
17003000104,17,003,000104,162,84,2,2,149,100,5,178,77,4,170,85,5,156,95,5
17003000105,17,003,000105,82,26,1,2,82,29,3,94,20,2,84,27,2,83,28,2
17003000201,17,003,000201,59.31,28.31,4.17,2.03,55.14,38.58,1.06,68.49,27.3,2.01,56.34,33.45,4.99,57.21,34.55,2.01
17003000301,17,003,000301,80.5,23.96,0.96,3.83,83.38,23,1.92,92.96,20.13,0,88.17,23.96,0.96,87.21,24.92,0
17003000401,17,003,000401,180.99,212.99,43,8,141.99,287.99,23,212.99,241.99,7,189.99,256.99,13,168.99,266.99,14
17003000601,17,003,000601,90.01,141.02,11,6,74.01,160.02,12,102.02,139.02,7,89.01,147.02,9,83.01,156.02,6
17003000801,17,003,000801,80,149,14,4,63,178,8,91,152,7,77,164,8,71,170,8
17003000901,17,003,000901,91.49,175.6,22.82,4.97,67.67,216.29,7.94,121.27,173.61,2.98,92.46,196.44,3.99,78.59,209.33,2.98
1700500BG01,17,005,00BG01,144.5,171.02,28.15,16.02,127.45,197.11,19.07,190.75,144.88,16.04,156.52,173.04,18.07,136.48,186.09,20.06
1700500BG02,17,005,00BG02,89.36,133.12,19.43,4.86,81.59,149.63,10.69,126.28,114.66,3.89,105.86,124.39,10.69,98.09,132.16,8.74
1700500BG03,17,005,00BG03,80.57,148.33,15.34,11.09,71.43,167.62,11.19,110.21,140.01,9.07,75.85,157.18,18.19,75.72,164.31,10.15
1700500CN01,17,005,00CN01,174.89,268.59,43.93,15,147.95,323.44,21.98,266.65,227.74,13.01,182.91,292.49,19.99,159.91,310.48,19.01
1700500CN02,17,005,00CN02,105,100,19,4,93,126,6,136,89,5,100,114,9,103,114,8
1700500CN03,17,005,00CN03,94,89,17,10,91,106,10,121,77,13,100,92,18,87,104,15
1700500CN04,17,005,00CN04,115,90,19,8,98,114,13,144,77,8,114,106,9,101,114,11
1700500CN05,17,005,00CN05,96.27,139.47,34.75,6.14,85.15,180.19,6.16,152.28,122.01,5.28,102.59,156.72,10.28,98.41,161.81,10.29
1700500CN06,17,005,00CN06,102.99,160.53,24.25,13.08,88.84,194.84,13.13,140.54,152.27,8.07,108.04,180.66,11.11,98.9,186.76,14.1
1700500CN07,17,005,00CN07,104.79,158.65,34.28,5.88,98.91,191.95,6.86,150.82,137.11,12.73,118.5,170.41,12.73,110.67,174.32,13.71
1700500CN1A,17,005,00CN1A,156.11,196.88,31.82,14.91,139.21,225.71,17.9,210.8,178.98,13.92,168.04,202.84,17.9,144.18,219.75,20.88
1700500LG01,17,005,00LG01,60.29,118.65,21.38,5.11,55.16,133.07,12.13,92.95,103.46,7.09,60.37,126.88,10.14,65.36,122.84,11.14
1700500LG02,17,005,00LG02,121.72,250.36,35.62,9.9,108.85,289.94,11.87,184.06,232.55,8.91,128.64,272.13,12.86,128.64,268.17,12.86
1700500MG01,17,005,00MG01,111,141,41,10,101,173,14,172,123,7,125,155,13,114,156,19
1700500MG02,17,005,00MG02,84,103,15,5,81,116,5,132,70,5,80,108,13,81,109,9
1700500ML00,17,005,00ML00,79.78,171.92,26.13,3.05,69.73,192.04,10.09,120.07,149.78,7.02,79,181.76,11.09,73.92,189.82,9.07
1700500OR00,17,005,00OR00,132.79,236.62,30.95,7.99,122.81,246.61,17.97,195.69,200.68,6.99,144.77,227.64,19.97,132.79,238.62,18.97
1700500PM01,17,005,00PM01,55.61,119.16,22.84,14.89,58.59,137.03,10.92,100.29,107.24,5.96,81.42,118.16,7.94,69.51,131.07,4.96
1700500PM02,17,005,00PM02,96.33,94.71,41.14,7.09,94.35,131.81,10.06,139.59,93.63,7.04,117.48,110.7,12.05,99.41,123.78,10.03
1700500SH01,17,005,00SH01,59,83,15,3,47,100,5,87,67,4,68,82,6,57,91,4
1700500SH02,17,005,00SH02,52,47,12,2,46,60,3,57,50,5,54,53,4,50,54,6
1700500SH03,17,005,00SH03,51,66,19,1,46,76,6,83,55,1,64,65,3,59,64,7
1700500SH04,17,005,00SH04,126,183.01,17,8,107,209.01,7,182.01,145.01,8,129,186.01,11,121,190.01,12
1700500TM01,17,005,00TM01,36,73,18,4,32,91,5,64,67,4,45,79,7,38,86,6
1700500TM02,17,005,00TM02,41,45,10,1,31,60,4,46,52,0,40,54,3,36,54,6
17007001001,17,007,001001,145,103,30,10,141,147,6,182,110,4,151,132,9,149,134,9
17007001002,17,007,001002,123,109,24,12,120,134,11,155,99,15,133,118,14,124,121,20
17007001003,17,007,001003,121.33,91.44,24.84,7.33,118.04,115.42,11.33,146.26,86.16,10.51,130.51,99.9,11.47,120.33,109,13.51
17007001004,17,007,001004,223,137,31,16,222,174,16,267,131,14,238,153,20,232,157,19
17007001005,17,007,001005,108.67,90.56,17.16,6.67,102.96,110.58,6.67,127.74,84.84,10.49,112.49,100.1,9.53,108.67,102,10.49
17007001006,17,007,001006,98,108,31,6,101,132,9,126,108,10,110,120,12,108,119,11
17007001007,17,007,001007,146,111,21,12,137,136,21,184,104,7,155,124,11,147,126,16
17007001008,17,007,001008,212.88,132.21,39.16,9.37,209.92,172.45,14.34,254.3,131.94,12.44,226.56,156.55,14.45,217.44,160.58,18.5
17007001009,17,007,001009,153,137,43,7,152,178,13,214,120,13,173,163,8,167,167,6
17007001010,17,007,001010,77.21,40.93,14.88,1.86,76.28,58.6,4.65,96.74,41.86,0.93,81.86,53.95,2.79,79.07,56.74,2.79
17007001011,17,007,001011,178.2,169.72,33.85,11.94,177.21,213.49,9.96,222.13,166.58,12.95,192.16,198.51,11.95,181.24,204.46,14.93
17007001012,17,007,001012,285.8,300.2,58.54,17.86,271.96,363.7,23.79,362.35,282.19,21.83,314.59,324.98,22.82,282.93,336.85,33.71
17007001013,17,007,001013,120,90,27,9,124,116,7,167,78,2,140,101,5,135,101,7
17007001014,17,007,001014,132,92,24,3,134,113,7,169,79,8,151,98,6,132,112,9
17007001015,17,007,001015,189,165,34,9,178,208,13,220,167,13,194,190,13,187,192,17
17007001016,17,007,001016,404.27,630.42,78.65,24.99,406.98,714.33,23.28,568,543.85,30.86,449.24,653.52,31.01,441.71,655.88,34.1
17007001017,17,007,001017,412.84,548.18,98.34,29.21,409.92,656.26,30.18,596.86,481,17.53,477.1,584.21,29.21,455.68,591.99,37.97
17007001018,17,007,001018,123,316,34,10,123,356,7,201,274,9,140,332,10,131,337,12
17007001019,17,007,001019,146,333,30,9,146,362,9,236,273,12,160,343,11,158,343,11
17007001020,17,007,001020,140.13,364.19,47.02,8.01,157.13,402.21,8.01,240.18,304.16,20.01,184.14,363.2,17,175.14,375.2,12.01
17007001021,17,007,001021,147,345,15,12,154,362,11,230,295,5,164,345,18,174,339,16
17007001022,17,007,001022,184,303,57,8,184,353,14,287,254,11,213,319,16,210,321,16
17007002001,17,007,002001,289.16,252.97,66.72,17.8,299.08,322.94,16.84,391.18,234.18,14.49,316.94,297.97,26.81,309.33,295.21,31.03
17007002002,17,007,002002,133,221,42,7,132,258,13,202,194,10,163,228,11,155,237,9
17007003001,17,007,003001,491.22,753.89,89.81,29.82,474.48,864.23,21.13,674.49,671.1,30,547.57,790.18,30.95,534.42,778.63,37.91
17007003002,17,007,003002,260.91,308.89,63.98,24.99,276.9,355.87,28.99,356.87,283.9,24.99,297.89,323.89,35.99,278.9,332.88,43.98
17007003003,17,007,003003,229.69,280.11,58.34,14.77,226.75,335.86,21.37,290.8,271.61,24.81,241.45,323.8,20.86,224.95,332.67,25.06
17007004001,17,007,004001,122.25,261.39,41.74,8.94,125.23,299.15,7.95,195.79,230.58,5.96,148.09,272.32,11.93,146.1,270.33,12.92
17007005001,17,007,005001,114.6,199.57,46.43,11.86,112.63,243.04,14.82,176.84,187.71,9.88,143.25,215.38,13.83,129.42,227.23,12.84
17007006001,17,007,006001,79.59,152.03,36.24,11.48,87.5,176.82,11.49,128.19,136.15,13.23,99.04,160.88,16.76,97.23,160.05,19.4
17007006002,17,007,006002,131,250,62,9,133,309,11,225,230,5,168,278,7,158,279,13
17007006003,17,007,006003,401.83,284.69,72.93,25.56,382.91,360.06,37.56,489.44,268.53,26.8,412.47,329.89,36.29,397.23,337.77,42.65
17007007001,17,007,007001,76.98,147.96,26.99,5,75.98,175.96,6,121.97,129.97,7,82.98,162.96,12,78.98,167.96,10
17007007002,17,007,007002,113.02,125.04,44.01,8,122.02,151.04,16,158.03,122.03,10,129.02,147.04,14,126.02,146.04,14
17007008001,17,007,008001,63.09,135.14,16.01,4.01,63.1,150.15,5.01,92.15,121.1,6.01,69.11,144.13,5.01,67.1,144.14,5.01
17007009001,17,007,009001,354.02,390.72,87.61,31.35,337.03,490.62,35.13,480.75,349.62,33.33,396.87,425.97,38.03,364.55,449.74,42.77
17007009002,17,007,009002,109.01,159.14,31.14,5.57,114.03,187.97,4.79,158.92,133.38,11.58,124.04,172.79,8.87,116.45,177.97,9.12
17007009003,17,007,009003,129.9,151.86,34.38,9.55,136.58,185.29,7.64,162.37,152.82,14.33,147.09,169.06,13.37,135.63,174.79,16.24
17009000101,17,009,000101,6.54,29.88,5.6,0.93,2.8,38.28,0.93,15.87,26.15,0,8.4,32.68,0.93,8.4,31.75,1.87
17009000201,17,009,000201,40.33,76.72,33.44,6.89,31.48,122.96,2.95,64.92,94.43,1.97,44.26,112.14,0.98,40.33,115.09,0.98
17009000301,17,009,000301,28.99,60.97,33.98,10.99,29.99,101.95,4,60.97,73.96,2,43.98,82.96,9,37.98,88.96,7
17009000401,17,009,000401,16,71,23,5,18,93,3,43,71,1,33,79,3,28,81,3
17009000501,17,009,000501,8,40,18,3,13,53,1,29,39,2,21,45,1,17,50,1
17009000601,17,009,000601,92,178,78,16,89,253,13,186,166,10,133,210,14,123,213,15
17009000602,17,009,000602,54.77,82.7,53.77,7.97,52.77,142.44,5.98,111.53,91.64,2.99,81.65,115.55,5.98,67.71,124.52,4.98
17009000603,17,009,000603,13.23,66.3,13.23,2.03,10.23,79.56,2.02,36.47,50.36,5.01,20.35,67.45,4.02,15.29,72.48,3.02
17009000604,17,009,000604,36,78,39,9,38,123,5,75,87,6,46,110,8,39,112,14
17009000605,17,009,000605,33,67,40,6,35,102,6,70,74,3,53,87,6,39,96,8
17009000701,17,009,000701,6.07,67.1,16.03,4,10.06,78.14,6,37.13,53.07,4,17.1,74.1,3.01,19.09,70.11,4
17009000801,17,009,000801,7,13,10,3,5,26,2,12,20,1,7,25,1,8,22,3
17009000901,17,009,000901,23.25,66.35,30.36,6.01,29.28,91.62,1.03,56.44,69.52,1.02,42.36,80.58,2.03,29.32,93.58,2.04
17009000902,17,009,000902,36.31,72.4,31.29,1.03,31.32,101.67,4.02,65.5,73.53,3.02,46.41,90.6,2.03,40.39,90.6,6.04
17011001001,17,011,001001,32,86,14,0,35,94,3,64,67,2,45,83,4,39,88,4
17011002001,17,011,002001,128,155,26,13,128,184,9,189,127,10,149,163,10,134,172,13
17011002002,17,011,002002,27,78,7,4,27,81,3,58,54,3,33,76,4,33,75,4
17011003001,17,011,003001,81,122,16,12,90,132,5,140,85,7,100,121,10,96,124,8
17011003002,17,011,003002,29,55,7,1,28,61,2,42,48,1,33,56,1,28,60,1
17011004001,17,011,004001,120,169,16,9,111,189,11,180,128,8,130,169,12,113,184,13
17011004002,17,011,004002,98,200,18,9,89,221,11,183,140,5,114,196,11,95,208,13
17011005001,17,011,005001,46,83,5,1,42,86,7,67,67,3,50,81,4,45,85,4
17011006001,17,011,006001,19,61,4,4,16,65,5,37,47,3,27,55,4,22,59,5
17011007001,17,011,007001,55,59,8,4,58,64,5,89,37,2,66,60,2,66,58,3
17011007002,17,011,007002,129,133,12,15,141,131,8,202,77,7,161,112,14,151,118,14
17011008001,17,011,008001,93,157,31,13,99,172,11,148,138,8,112,161,13,101,169,15
17011009001,17,011,009001,61,170,20,3,62,190,5,134,130,1,79,175,4,73,182,3
17011010001,17,011,010001,37,75,14,4,33,91,5,57,71,3,43,79,7,38,89,3
17011011001,17,011,011001,71,141,17,3,70,150,9,133,96,6,86,138,6,77,144,6
17011012001,17,011,012001,15.01,57.03,5,1,14.01,62.03,3,30.02,47.02,2,20.02,55.03,3,19.02,56.03,3
17011013001,17,011,013001,136,49,13,12,134,66,8,160,41,8,149,51,7,139,60,8
17011013002,17,011,013002,169,78,21,7,173,92,7,211,60,5,194,74,5,181,85,6
17011013003,17,011,013003,288,125,22,7,283,142,12,352,88,7,318,106,10,282,131,13
17011013004,17,011,013004,105,97,11,10,105,107,5,144,73,5,110,95,5,103,97,9
17011013005,17,011,013005,100.33,108.15,20.03,8.01,102.32,125.18,5.02,143.41,89.13,5.01,114.35,113.16,4.02,103.34,121.16,8.02
17011013006,17,011,013006,264.15,159.67,20.7,6.9,262.18,182.34,6.9,347.93,103.49,6.9,307.52,135.03,9.86,278.93,155.73,13.8
17011013007,17,011,013007,176.46,126.33,19.05,14.02,161.48,159.34,11.01,227.6,108.24,5.02,185.51,143.32,10.02,176.5,146.31,12.03
17011013008,17,011,013008,209.16,120.45,28.36,6.05,195.14,148.69,20.14,262.33,90.57,15.19,229.73,120.02,15.19,208.28,130.35,21.26
17011013009,17,011,013009,182.54,129.67,20.95,5.98,190.52,135.66,4.99,237.4,95.76,7.98,203.49,127.68,6.98,196.5,124.69,11.97
17011013010,17,011,013010,129.84,100.55,14.64,1.95,128.86,110.31,5.86,177.67,64.43,7.81,153.27,82.98,7.81,134.72,96.65,10.74
17011014001,17,011,014001,71.93,76.93,8.99,5.99,70.93,84.92,6.99,96.91,65.94,5.99,78.92,79.92,5.99,75.93,78.92,6.99
17011014002,17,011,014002,126,84,9,7,124,94,11,163,66,7,133,87,12,139,82,8
17011014003,17,011,014003,145.74,44.92,13.98,4.99,143.75,53.91,5.99,177.69,34.94,2,157.72,47.92,6.99,148.74,46.92,7.99
17011015001,17,011,015001,170,351,26,10,176,358,17,283,262,13,192,344,15,200,336,11
17011015002,17,011,015002,149,239,22,9,137,272,10,243,177,8,175,233,12,163,244,14
17011015003,17,011,015003,173,265,35,18,163,311,14,311,188,11,195,280,21,192,288,17
17011015004,17,011,015004,128,230,36,12,148,243,16,251,151,11,169,218,18,156,231,18
17011015005,17,011,015005,107,191,18,15,112,207,17,183,144,12,126,191,16,118,195,18
17011015006,17,011,015006,158.86,262.08,33.68,5.03,141.18,306.57,10.9,261.74,201.83,5.97,178.57,272.07,9.92,163.84,278,14.82
17011015007,17,011,015007,148,164,20,9,136,198,5,204,136,5,154,176,10,138,190,11
17011015008,17,011,015008,187,262,28,11,180,290,15,306,179,9,203,264,13,193,277,9
17011015009,17,011,015009,164.14,341.92,50.32,15.97,155.82,398.43,17.1,302.26,273.17,12.03,182.43,366.93,17.08,175.16,374,17.18
17011016001,17,011,016001,81,161,26,7,70,181,12,145,124,6,94,161,8,79,167,16
17011016002,17,011,016002,65,144,13,8,57,158,8,118,107,4,70,150,7,59,154,11
17011017001,17,011,017001,115,185,37,9,117,212,12,197,139,10,137,194,10,124,199,16
17011017002,17,011,017002,71,137,20,7,68,154,10,130,101,4,74,148,10,65,157,11
17011018001,17,011,018001,55,139,9,7,58,145,9,113,101,3,81,124,9,72,135,6
17011019001,17,011,019001,42.8,57.93,6.09,4.06,42.75,62.03,5.05,64.18,46.7,3.03,46.92,54.87,5.05,44.79,55.93,6.08
17011020001,17,011,020001,119,175,34,8,121,197,14,187,146,5,138,182,11,127,190,14
17011021001,17,011,021001,66,196,20,3,77,202,5,141,137,8,96,183,5,79,197,8
17011022001,17,011,022001,13,54,3,3,10,55,3,29,43,1,12,55,2,13,55,1
17011023001,17,011,023001,91,136,19,8,95,148,10,147,102,6,104,133,15,104,140,9
17011024001,17,011,024001,16,49,4,1,15,53,2,32,37,1,18,51,0,16,52,1
17011025001,17,011,025001,22,60,7,2,27,59,5,48,41,3,33,56,2,30,58,2
17013000001,17,013,000001,23,51,30,1,17,79,2,35,66,1,25,71,3,21,72,5
17013000002,17,013,000002,111,124,77,1,97,191,11,192,122,6,124,168,11,115,174,9
17013000003,17,013,000003,102,83,44,2,88,126,5,141,87,2,105,110,5,97,114,3
17013000004,17,013,000004,186,223,143,5,176,321,15,349,202,11,223,279,11,210,287,16
17013000005,17,013,000005,43,52,51,1,42,87,8,83,60,5,58,76,5,47,85,4
17013000006,17,013,000006,143,145,115,2,145,208,11,248,147,10,173,177,17,160,191,10
17013000007,17,013,000007,187.2,220.3,108.07,9.02,182.16,298.38,13.03,307.28,208.29,11.01,228.2,266.34,10.02,206.2,277.35,10.02
1701500CS01,17,015,00CS01,45.7,216.95,26.25,5.08,54.73,230.22,2.05,113.37,175.61,2.05,62.92,222.02,3.07,59.86,223.03,7.09
1701500CS02,17,015,00CS02,89,258,21,10,89,276,9,169,199,11,109,246,15,98,260,14
1701500EK00,17,015,00EK00,15,69,8,0,21,68,3,34,53,4,25,66,2,20,69,4
1701500FD00,17,015,00FD00,85.98,310.32,16.8,4.94,100.81,316.25,3.95,171.97,244.1,3.95,110.69,299.45,8.9,106.74,303.4,7.91
1701500FH00,17,015,00FH00,76,229,21,11,86,239,10,149,180,10,107,218,9,91,234,9
1701500MC01,17,015,00MC01,71,130,13,3,65,142,8,102,110,5,78,130,7,64,133,13
1701500MC02,17,015,00MC02,141.12,223.25,18.02,7.01,156.14,224.24,10.01,211.22,174.17,10.01,158.16,217.22,16.01,158.15,214.23,16.01
1701500MC03,17,015,00MC03,74,105,12,8,82,114,4,126,75,3,99,101,1,87,109,4
1701500RL01,17,015,00RL01,120,201,25,16,129,222,11,200,155,9,152,197,13,141,207,13
1701500RL02,17,015,00RL02,118,240,34,12,113,265,21,203,189,15,146,239,15,123,262,18
1701500SA01,17,015,00SA01,75.26,82.1,10.75,4.89,76.24,86.01,7.82,115.33,52.78,3.91,96.76,68.42,5.86,82.1,81.12,8.8
1701500SA02,17,015,00SA02,47.74,65.9,6.25,2.11,50.76,63.99,4.18,74.67,47.22,3.09,63.24,57.58,2.14,53.9,61.88,4.2
