GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR
1704500GR01,17,045,00GR01,35.5,200.2,4.93,0,1.97,43.39,187.38,6.9,3.94,0.99,53.26,170.62,8.88,5.92
1704500HU01,17,045,00HU01,18,93,2,0,0,22,85,0,2,0,14,86,6,2
1704500KS01,17,045,00KS01,80.5,306.8,23.07,4,3.03,101.61,286.62,8.1,17.06,0.01,86.74,294.38,16.12,11.08
1704500PA01,17,045,00PA01,79,215,18,5,3,88,199,13,7,0,91,197,12,5
1704500PA02,17,045,00PA02,111,250,26,6,6,121,234,23,14,1,121,241,19,10
1704500PA03,17,045,00PA03,94.54,211.99,17.91,0,3.98,110.47,200.04,10.95,6.97,0,92.56,209.99,8.96,9.95
1704500PA04,17,045,00PA04,40.96,105.89,7.99,0,0,49.95,93.9,4,2,0,46.95,94.9,4,2
1704500PA05,17,045,00PA05,64,175.01,14,3,5,77,162.01,11,5,2,72,162.01,11,7
1704500PA06,17,045,00PA06,49,111,5,1,0,43,108,7,3,0,45,106,7,2
1704500PA07,17,045,00PA07,108,201,12,0,2,113,189,10,8,1,111,193,9,1
1704500PA08,17,045,00PA08,44.92,103.58,2.75,1.83,1.83,45.83,90.75,5.5,5.5,0,44,91.67,7.33,4.58
1704500PA09,17,045,00PA09,61.23,160.52,6.01,0.01,0.01,66.23,141.46,12.03,2.03,0,65.22,142.46,7.04,5.02
1704500PA10,17,045,00PA10,100,237,20,2,2,109,215,22,5,0,105,221,19,8
1704500PA11,17,045,00PA11,59,147,5,1,1,75,116,1,7,0,63,128,5,5
1704500PA12,17,045,00PA12,61.86,147.89,15.24,3.16,2.16,69.94,145.79,9.47,4.47,0,65.78,141.87,11.63,5.39
1704500PA14,17,045,00PA14,109.5,327.12,11.09,4,3.02,118.58,315.06,16.06,10.04,0,103.49,331.11,8.05,10.05
1704500PA15,17,045,00PA15,79,244.99,10,2,2,73,246.99,8,5,1,62,252.99,8,6
1704500PR01,17,045,00PR01,30,92,6,1,1,36,90,1,2,0,38,84,3,1
1704500RS01,17,045,00RS01,49.01,257.03,15,2,3,70.01,235.03,13,6,0,48.01,248.03,9,11
1704500RS02,17,045,00RS02,54,260,18,0,2,73,239,9,11,0,66,237,12,11
1704500SH01,17,045,00SH01,16.14,63.62,6.02,1.01,1,17.18,65.59,2.01,1,0,18.15,63.59,2.01,2.01
1704500ST01,17,045,00ST01,46,186.01,7,2,2,54,180.01,6,1,0,46,175.01,9,2
1704500SY01,17,045,00SY01,72,235,10,0,0,75,213,9,3,0,70,208,9,5
1704500SY02,17,045,00SY02,43,186,7,1,2,50,178,5,3,0,56,159,10,5
1704500YA01,17,045,00YA01,47.08,147.31,12.01,2,3,56.07,147.28,4.03,8.01,0,57.09,140.26,5.02,8.01
1704500YA02,17,045,00YA02,17.91,66.66,1.99,0,0,15.92,59.7,5.97,1.99,0,18.9,54.72,3.98,2.98
17047000101,17,047,000101,91.85,487,21.87,1.15,6.26,147.61,406.2,16.68,6.49,2.13,104.69,435.15,17.83,8.56
17047000102,17,047,000102,39.17,287.65,12.1,1.87,3.72,63.41,249.43,9.31,6.52,1.85,50.34,249.47,11.18,7.45
17047000103,17,047,000103,50.99,274.35,11.03,2.98,2.02,81.98,226.37,10,5.99,0.02,61.97,235.38,11.99,6.99
17047000201,17,047,000201,28.5,156.34,3.68,0.01,1.84,40.5,132.44,2.78,2.75,0,41.3,121.55,2.78,4.59
17047000202,17,047,000202,59.18,333.9,8.02,1.98,3.02,95.15,285.73,11.96,3.04,0,69.43,295.34,11.96,8.04
17047000301,17,047,000301,19,149,2,0,3,39,115,3,3,0,26,124,6,2
17047000302,17,047,000302,14,131,3,0,2,29,107,0,3,0,13,119,0,3
17047000401,17,047,000401,29.9,188.1,6.75,0.96,1.93,52.09,151.45,10.61,3.86,0.96,47.27,161.09,4.82,2.89
17047000501,17,047,000501,26,165,4,0,2,42,130,5,4,1,31,141,5,5
17047000601,17,047,000601,41.84,384.38,10.7,2.92,5.84,83.69,329.88,13.62,5.84,0.97,61.31,338.64,20.44,5.84
17047000701,17,047,000701,12.97,122.76,2,0,0,20.96,101.8,0,3.99,1,14.97,106.79,2.99,1
17047000801,17,047,000801,16,68,5,0,0,24,61,2,0,0,22,56,1,2
17049000101,17,049,000101,42,224,7,0,5,54,206,6,4,4,53,204,5,3
17049000201,17,049,000201,81.25,438.96,14.86,5.95,0.99,100.08,398.33,16.84,16.84,0,107.02,399.33,15.85,6.94
17049000202,17,049,000202,83,496,31,2,15,116,469,25,10,0,108,479,17,9
17049000203,17,049,000203,78.75,385.04,14.14,5.05,5.01,101.92,350.67,17.16,10.16,0,95.98,352.67,18.15,8.06
17049000301,17,049,000301,38,239,5,2,1,45,217,10,8,1,43,218,3,8
