GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOFUE,G20PREOLAR,G20PREOCAR,G20PREOWRI,G20USSDREE,G20USSRWAT,G20USSOWRI
440010304002022,19.1,6.6,0.3,0,0,0,0.3,19,6.6,0
440010304002013,23.2,8.1,0.4,0.1,0,0,0.4,23.1,8,0.1
440010304001015,22.5,7.8,0.4,0.1,0,0,0.3,22.4,7.8,0.1
440010304001007,9.6,3.3,0.2,0,0,0,0.1,9.5,3.3,0
440010304001008,21.5,7,0.3,0.1,0,0.1,0.3,21.2,7.4,0
440010301004012,12.3,5.4,0.2,0,0,0,0.1,12.7,4.7,0
440010304001006,35.2,11.5,0.6,0.1,0,0.1,0.4,34.7,12,0.1
440010302001032,0,0,0,0,0,0,0,0,0,0
440010301004024,23,8.3,0.3,0,0,0,0.1,23.2,7.8,0
440010301004010,17.8,6.4,0.3,0,0,0,0.1,17.9,6,0
440010301001032,6.7,3,0.1,0,0,0,0.1,7,2.6,0
440010304001017,0,0,0,0,0,0,0,0,0,0
440010303003002,0,0,0,0,0,0,0,0,0,0
440010302002003,57.2,20.7,0.8,0.1,0.1,0,0.3,57.6,19.3,0
440010301001019,12.3,5.4,0.2,0,0,0,0.1,12.7,4.7,0
440010301003030,0,0,0,0,0,0,0,0,0,0
440010303002003,33.4,13.3,0.4,0,0.1,0.1,0.3,33.9,12.2,0.1
440010305002028,3.5,2,0,0,0,0,0,3.7,1.5,0
440010306011024,35.6,29.2,1,0.1,0.1,0.1,0.5,39.4,24,0
440010306024019,0,0,0,0,0,0,0,0,0,0
440010306021006,16.9,9.4,0.2,0,0.1,0,0.2,17.9,7.4,0.1
440010306024012,4,2.3,0.1,0,0,0,0,4.3,1.8,0
440010306011020,1.4,0.8,0,0,0,0,0,1.5,0.6,0
440010306011018,3.8,3.1,0.1,0,0,0,0,4.2,2.5,0
440010306021009,0,0,0,0,0,0,0,0,0,0
440010304002024,7.5,2.6,0.1,0,0,0,0.1,7.5,2.6,0
440010304002014,21.2,7.4,0.4,0,0,0,0.3,21,7.3,0
440010303001021,9.6,3.3,0.2,0,0,0,0.1,9.5,3.3,0
440010302001033,0,0,0,0,0,0,0,0,0,0
440010301003000,136.2,49.3,2,0.2,0.2,0,0.7,137.1,45.9,0
440010302003023,20.6,8.2,0.2,0,0.1,0,0.2,20.9,7.5,0
440010304001009,2.2,0.7,0,0,0,0,0,2.1,0.7,0
440010301003018,7.9,2.6,0.1,0,0,0,0.1,7.8,2.7,0
440010303003011,26.3,10.5,0.3,0,0.1,0.1,0.2,26.7,9.6,0
440010302001035,20.8,9.2,0.3,0,0,0.1,0.2,21.7,8,0.1
440010304002006,17.9,5.9,0.3,0.1,0,0.1,0.2,17.7,6.1,0
440010306023000,21.9,12.3,0.5,0.1,0,0.1,0.2,23.6,9.8,0.1
440010306021001,33,18.3,0.3,0.1,0.1,0,0.3,35.1,14.5,0.2
440010306013021,0,0,0,0,0,0,0,0,0,0
440010306012019,8.4,6.9,0.2,0,0,0,0.1,9.3,5.7,0
440010306022008,9.4,5.3,0.2,0,0,0,0.1,10.1,4.2,0
440010306013009,3.4,2.7,0.1,0,0,0,0,3.7,2.3,0
440010306013018,2.9,2.4,0.1,0,0,0,0,3.2,2,0
440010306021004,17.9,10,0.2,0,0.1,0,0.2,19.1,7.9,0.1
440010306021023,26,14.4,0.3,0.1,0.1,0,0.3,27.7,11.4,0.1
440010306012026,0,0,0,0,0,0,0,0,0,0
440010305002001,0,0,0,0,0,0,0,0,0,0
440010305001015,12.7,7,0.1,0,0,0,0.1,13.5,5.6,0.1
440010306023005,21.4,12,0.5,0.1,0,0.1,0.2,23.1,9.6,0.1
440010306021011,10.2,5.7,0.1,0,0,0,0.1,10.8,4.5,0.1
440010305002016,20.1,11.3,0.5,0.1,0,0.1,0.2,21.7,9,0.1
440010305001011,10.2,5.7,0.1,0,0,0,0.1,10.8,4.5,0.1
440010306021021,15.5,8.6,0.2,0,0,0,0.2,16.4,6.8,0.1
440010304002030,21.9,7.6,0.4,0.1,0,0,0.3,21.7,7.5,0.1
440010304002018,18.4,6.4,0.3,0,0,0,0.3,18.3,6.4,0
440010303001023,0,0,0,0,0,0,0,0,0,0
440010304002021,94.9,33,1.6,0.2,0.1,0.1,1.4,94.4,32.7,0.2
440010303001019,23.2,8.1,0.4,0.1,0,0,0.4,23.1,8,0.1
440010304001005,73.8,25.6,1.3,0.2,0.1,0.1,1.1,73.3,25.4,0.2
440010304002019,53.3,18.5,0.9,0.1,0.1,0.1,0.8,53,18.4,0.1
440010304003014,12.9,4.2,0.2,0,0,0,0.2,12.7,4.4,0
440010302001009,6.1,2.7,0.1,0,0,0,0.1,6.4,2.4,0
440010304002029,0,0,0,0,0,0,0,0,0,0
440010302002015,30.3,11,0.4,0.1,0,0,0.2,30.5,10.2,0
440010302003027,13.2,4.8,0.2,0,0,0,0.1,13.2,4.4,0
440010304003001,13.6,4.5,0.2,0,0,0,0.2,13.5,4.7,0
440010303002033,35.3,14,0.4,0,0.1,0.1,0.3,35.9,12.9,0.1
440010303003014,6.4,2.6,0.1,0,0,0,0.1,6.5,2.3,0
440010303002007,26.3,10.5,0.3,0,0.1,0.1,0.2,26.7,9.6,0
440010303002012,14.1,5.6,0.2,0,0.1,0,0.1,14.4,5.1,0
440010304001018,45.9,15,0.7,0.1,0,0.1,0.6,45.3,15.7,0.1
440010302003008,8.2,2.8,0.1,0,0,0,0.1,8.1,2.8,0
440010304001020,7.2,2.3,0.1,0,0,0,0.1,7.1,2.5,0
440010304002016,15.7,5.5,0.3,0,0,0,0.2,15.6,5.4,0
440010303003009,0,0,0,0,0,0,0,0,0,0
440010302001005,0,0,0,0,0,0,0,0,0,0
440010301004007,9.9,3.6,0.1,0,0,0,0.1,9.9,3.3,0
440010307004003,22.8,14.6,0.5,0,0,0,0.2,25,11.5,0.1
440010301003012,8.6,3.1,0.1,0,0,0,0,8.6,2.9,0
440010301001003,14.1,6.2,0.2,0,0,0,0.1,14.7,5.4,0
440010301001036,55.2,24.3,0.7,0,0,0.2,0.5,57.3,21.2,0.2
440010302001011,12.3,5.4,0.2,0,0,0,0.1,12.7,4.7,0
440010302001008,14.7,6.5,0.2,0,0,0,0.1,15.3,5.6,0
440010302001019,9.2,4.1,0.1,0,0,0,0.1,9.6,3.5,0
440010301001017,7.4,3.2,0.1,0,0,0,0.1,7.6,2.8,0
440010301003007,5.3,1.9,0.1,0,0,0,0,5.3,1.8,0
440010301003004,11.2,4,0.2,0,0,0,0.1,11.3,3.8,0
440010301002007,11.2,4,0.2,0,0,0,0.1,11.3,3.8,0
440010304003021,11.5,3.8,0.2,0,0,0,0.1,11.3,3.9,0
440010304003015,4.3,1.4,0.1,0,0,0,0.1,4.2,1.5,0
440010304003016,6.5,2.1,0.1,0,0,0,0.1,6.4,2.2,0
440010302002016,11.8,4.3,0.2,0,0,0,0.1,11.9,4,0
440010302003024,15.8,5.7,0.2,0,0,0,0.1,15.9,5.3,0
440010304003006,13.6,4.5,0.2,0,0,0,0.2,13.5,4.7,0
440010303001004,43.7,15.2,0.7,0.1,0.1,0.1,0.7,43.5,15.1,0.1
440010303002031,19.9,7.9,0.2,0,0.1,0,0.2,20.2,7.2,0
440010302003014,0,0,0,0,0,0,0,0,0,0
440010302002019,13.2,4.8,0.2,0,0,0,0.1,13.2,4.4,0
440010304003019,21.5,7,0.3,0.1,0,0.1,0.3,21.2,7.4,0
440010304003011,7.9,2.6,0.1,0,0,0,0.1,7.8,2.7,0
440010304001013,0,0,0,0,0,0,0,0,0,0
440010304001023,2.9,0.9,0,0,0,0,0,2.8,1,0
440010302003029,1.3,0.5,0,0,0,0,0,1.3,0.4,0
440010301002022,0,0,0,0,0,0,0,0,0,0
440010302001031,17.8,7.8,0.2,0,0,0.1,0.2,18.5,6.8,0.1
440010303001027,1.4,0.5,0,0,0,0,0,1.4,0.5,0
440010301003031,0,0,0,0,0,0,0,0,0,0
440010301004031,18.4,6.7,0.3,0,0,0,0.1,18.5,6.2,0
440010301004023,0,0,0,0,0,0,0,0,0,0
440010301004028,12.5,4.5,0.2,0,0,0,0.1,12.6,4.2,0
440010301001009,6.7,3,0.1,0,0,0,0.1,7,2.6,0
440010301004000,10.4,4.6,0.1,0,0,0,0.1,10.8,4,0
440010301001033,0,0,0,0,0,0,0,0,0,0
440010301004030,19.7,7.1,0.3,0,0,0,0.1,19.9,6.7,0
440010301001023,17.8,7.8,0.2,0,0,0.1,0.2,18.5,6.8,0.1
440010301001022,12.3,5.4,0.2,0,0,0,0.1,12.7,4.7,0
440010301001020,12.3,5.4,0.2,0,0,0,0.1,12.7,4.7,0
440010301001016,15.3,6.8,0.2,0,0,0,0.1,15.9,5.9,0
440010301001026,11.6,5.1,0.2,0,0,0,0.1,12.1,4.5,0
