GEOID,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREAFUE,G16PREOWRI
440010304002022,14.6,6.7,0.8,0.3,0,0.7
440010304002013,17.7,8.1,1,0.3,0.1,0.8
440010304001015,17.2,7.9,0.9,0.3,0.1,0.8
440010304001007,7.3,3.3,0.4,0.1,0,0.3
440010304001008,17.7,7.3,0.9,0.3,0,0.8
440010301004012,10.1,5.1,0.6,0.2,0,0.4
440010304001006,28.9,11.9,1.5,0.4,0,1.2
440010302001032,0,0,0,0,0,0
440010301004024,17.8,9.1,0.9,0.3,0,0.5
440010301004010,13.7,7,0.7,0.2,0,0.4
440010301001032,5.5,2.8,0.3,0.1,0,0.2
440010304001017,0,0,0,0,0,0
440010303003002,0,0,0,0,0,0
440010302002003,44.3,22.7,2.3,0.7,0.1,1.3
440010301001019,10.1,5.1,0.6,0.2,0,0.4
440010301003030,0,0,0,0,0,0
440010303002003,27.2,12.5,1.6,0.5,0,1.2
440010305002028,2.4,1.6,0.2,0.1,0,0.1
440010306011024,27.4,25.7,2,0.6,0.1,1.3
440010306024019,0,0,0,0,0,0
440010306021006,11.6,7.9,0.8,0.4,0.1,0.6
440010306024012,3.2,2,0.2,0.1,0,0.1
440010306011020,1,0.7,0.1,0,0,0.1
440010306011018,2.9,2.7,0.2,0.1,0,0.1
440010306021009,0,0,0,0,0,0
440010304002024,5.7,2.6,0.3,0.1,0,0.3
440010304002014,16.2,7.4,0.9,0.3,0,0.7
440010303001021,7.3,3.3,0.4,0.1,0,0.3
440010302001033,0,0,0,0,0,0
440010301003000,105.3,54,5.5,1.6,0.2,3.1
440010302003023,16.7,7.7,1,0.3,0,0.8
440010304001009,1.8,0.7,0.1,0,0,0.1
440010301003018,6.5,2.7,0.3,0.1,0,0.3
440010303003011,21.5,9.9,1.3,0.4,0,1
440010302001035,17.1,8.7,1,0.4,0,0.6
440010304002006,14.7,6.1,0.8,0.2,0,0.6
440010306023000,17.5,11.1,1.1,0.5,0,0.7
440010306021001,22.8,15.4,1.5,0.8,0.1,1.2
440010306013021,0,0,0,0,0,0
440010306012019,6.4,6,0.5,0.1,0,0.3
440010306022008,7.5,4.7,0.5,0.2,0,0.3
440010306013009,2.6,2.4,0.2,0.1,0,0.1
440010306013018,2.3,2.1,0.2,0,0,0.1
440010306021004,12.4,8.4,0.8,0.4,0.1,0.7
440010306021023,17.9,12.1,1.2,0.6,0.1,0.9
440010306012026,0,0,0,0,0,0
440010305002001,0,0,0,0,0,0
