GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29510000077,29,510,000077,111.8,607.92,13.98,7.99,5.99,83.85,611.91,20.96,8.98,9.98
29510000078,29,510,000078,41,109,2,1,4,28,118,2,3,3
29510000079,29,510,000079,86,646,8,5,4,79,622,23,8,6
29510000080,29,510,000080,108.29,260.77,7.94,1.01,2.03,93.47,261.65,10.97,4.01,3.98
29510000081,29,510,000081,158,587,5,5,5,121,606,14,6,4
29510000082,29,510,000082,64.71,278.23,4.06,1.99,4.97,62.53,269.35,10.03,4.99,3.02
29510000083,29,510,000083,136.5,499.18,11.96,10.96,7.97,124.55,506.16,18.93,10.96,1
29510000084,29,510,000084,120.97,485.86,6.94,4.96,5.95,93.21,490.82,17.85,10.91,4.96
29510000085,29,510,000085,194.83,244.68,8.12,1.07,9.13,155.19,273.93,14.24,3.07,5.23
29510000086,29,510,000086,384.77,582.63,9.94,2.98,6.96,308.22,615.44,20.88,7.95,14.91
29510000087,29,510,000087,146,366,11,9,6,109,379,22,7,3
29510000088,29,510,000088,308,668,9,3,8,240,685,27,12,7
29510000089,29,510,000089,316,817,13,10,6,239,863,25,8,15
29510000090,29,510,000090,345,737,12,6,11,280,756,37,8,14
29510000091,29,510,000091,0,0,0,0,0,0,0,0,0,0
29510000092,29,510,000092,207,790,11,6,13,179,781,32,12,8
29510000093,29,510,000093,322,771,11,4,10,267,794,20,11,10
29510000094,29,510,000094,91,534,9,5,6,85,531,11,11,5
29510000095,29,510,000095,245,677,12,6,8,204,683,26,13,13
29510000096,29,510,000096,0,0,0,0,0,0,0,0,0,0
29510000097,29,510,000097,139,524,5,8,9,130,508,16,10,10
29510000098,29,510,000098,156,556,7,3,7,136,552,17,10,0
29510000099,29,510,000099,79,374,4,2,5,66,372,12,5,3
29510000100,29,510,000100,88.17,454.07,13,5,4.06,75.92,448.19,17.06,9.06,1.06
29510000101,29,510,000101,170,705,12,5,8,148,709,25,3,6
29510000102,29,510,000102,41.91,220.53,3.99,1,2.99,44.9,213.54,4.99,2,2.99
