GEOID,G18USSRROM,G18USSDWIL,G18USSIMCC,G18USSLBOW,G18USSCAAL,G18USSOWRI
490011001001115,0,0,0,0,0,0
490011001001173,0,0,0,0,0,0
490011001001186,0,0,0,0,0,0
490011001001099,0,0,0,0,0,0
490011001001114,0,0,0,0,0,0
490011001001011,0,0,0,0,0,0
490011001001382,0,0,0,0,0,0
490011001001315,0,0,0,0,0,0
490011001001372,0,0,0,0,0,0
490011001001027,0,0,0,0,0,0
490011001001015,0,0,0,0,0,0
490011001001288,0,0,0,0,0,0
490011001001095,0,0,0,0,0,0
490011001001624,0,0,0,0,0,0
490011002003064,3.2,1.8,0.1,0.1,0.3,0.1
490011002001501,0,0,0,0,0,0
490011002001713,0,0,0,0,0,0
490011001001629,0,0,0,0,0,0
490011001001496,0,0,0,0,0,0
490011001001569,0,0,0,0,0,0
490011001001568,0,0,0,0,0,0
490011001001028,0,0,0,0,0,0
490011001001749,0,0,0,0,0,0
490011001001211,0,0,0,0,0,0
490011001001218,0.4,0,0,0,0.1,0
490011001001216,0,0,0,0,0,0
490011001001345,0,0,0,0,0,0
490011002002016,0,0,0,0,0,0
490011002001636,0,0,0,0,0,0
490011002001434,0,0,0,0,0,0
490011002001645,0,0,0,0,0,0
490011002001929,0,0,0,0,0,0
490011002001469,0,0,0,0,0,0
490011001002122,1.4,0.2,0,0,0.1,0
490011001003005,0,0,0,0,0,0
490011001001760,0,0,0,0,0,0
490011001002031,0,0,0,0,0,0
490011002001711,0,0,0,0,0,0
490011002001794,0,0,0,0,0,0
490011002001515,0,0,0,0,0,0
490011002001978,0.5,0.3,0,0,0,0
490011002001170,0,0,0,0,0,0
490011002001997,0,0,0,0,0,0
490011002001980,0,0,0,0,0,0
490011002001066,0,0,0,0,0,0
490011002001402,0,0,0,0,0,0
490011002001506,0,0,0,0,0,0
490011002001193,0,0,0,0,0,0
490011001002050,4.4,0.5,0.1,0.1,0.2,0
490011001001705,0.5,0.1,0,0,0,0
490011001001723,0,0,0,0,0,0
490011001001716,3.1,0.4,0,0,0.2,0
490011001001740,0,0,0,0,0,0
490011001001741,0,0,0,0,0,0
490011002001781,0,0,0,0,0,0
490011002001815,0.8,0.1,0,0,0.1,0
490011002001895,0,0,0,0,0,0
490011002002058,0,0,0,0,0,0
490011002002057,0,0,0,0,0,0
490011002001797,0,0,0,0,0,0
490011002002013,19.3,1.5,0.6,0.2,3.2,0.1
490011001001144,0,0,0,0,0,0
490011001001172,0,0,0,0,0,0
490011001001097,0,0,0,0,0,0
490011001001129,0,0,0,0,0,0
490011001001324,0,0,0,0,0,0
490011002001844,7.8,1.3,0.8,0.1,0.1,0.1
490011002001284,0,0,0,0,0,0
490011002001024,0,0,0,0,0,0
490011002001100,0,0,0,0,0,0
490011001001499,0,0,0,0,0,0
490011001001601,0,0,0,0,0,0
490011001001665,0,0,0,0,0,0
490011001001053,0,0,0,0,0,0
490011001001029,0,0,0,0,0,0
490011001001023,0,0,0,0,0,0
490011001001020,0,0,0,0,0,0
490011001001057,0,0,0,0,0,0
490011001001096,0,0,0,0,0,0
490011001001006,0,0,0,0,0,0
490011001001322,0,0,0,0,0,0
490011001001711,3.6,0.4,0,0,0.2,0
490011001001251,0,0,0,0,0,0
490011001001236,0,0,0,0,0,0
490011001002125,1.4,0.2,0,0,0.1,0
490011001001339,0,0,0,0,0,0
490011001001371,0,0,0,0,0,0
490011001001002,0,0,0,0,0,0
490011001001739,0,0,0,0,0,0
490011001001635,0,0,0,0,0,0
490011001001047,0,0,0,0,0,0
490011001001022,0,0,0,0,0,0
490011001001759,0,0,0,0,0,0
490011002001807,0,0,0,0,0,0
490011002001886,0,0,0,0,0,0
490011002001722,0,0,0,0,0,0
490011002001706,0,0,0,0,0,0
490011002001709,0,0,0,0,0,0
490011002001698,0,0,0,0,0,0
490011002003073,0,0,0,0,0,0
490011002001924,0,0,0,0,0,0
490011002002012,5.2,0.4,0.2,0.1,0.9,0
490011001001018,0,0,0,0,0,0
490011001001091,0,0,0,0,0,0
490011001001594,0,0,0,0,0,0
490011001001543,0,0,0,0,0,0
490011001001428,0,0,0,0,0,0
490011001001563,0,0,0,0,0,0
490011001001547,0,0,0,0,0,0
490011001001684,0,0,0,0,0,0
490011002001623,0,0,0,0,0,0
490011002001496,0.4,0.1,0,0,0,0
