GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45009000001,45,009,000001,58.3,81.3,0,49.3,90.2,0,48.3,10,81.2,4,0,47.3,8,87.2,0,101.3,6,95.2,0,8.4,5.2,94.3,2
45009000002,45,009,000002,74,155,2,69,162,0,67,1,163,2,0,66,5,161,0,179,2,169,0,17,7,168,0
45009000003,45,009,000003,230,275,0,215,292,0,215,3,279,6,0,220,1,284,0,302,6,292,0,18,23,291,0
45009000004,45,009,000004,850,214,0,838,216,2,830,7,211,7,1,841,8,206,1,277,11,219,3,133,63,230,8
45009000005,45,009,000005,70.5,29.7,0,68.4,30.8,0,67.4,1.1,28.7,0,0,66.4,0.1,28.8,0,35.9,0,33.9,0,3.1,5,33.9,0
45009000006,45,009,000006,27,28,0,25,30,0,25,0,29,1,0,25,0,31,0,35,0,32,0,6,0,31,0
45009000007,45,009,000007,76,78,0,74,78,0,72,0,81,1,0,76,1,78,0,94,2,84,0,12,10,82,0
45009000008,45,009,000008,7,83,0,5,88,0,5,0,88,0,0,5,0,87,0,86,0,88,0,0,1,86,0
45009000009,45,009,000009,16,87,0,16,86,0,14,3,85,1,0,15,2,86,0,90,0,90,0,1,2,88,0
45009000010,45,009,000010,104,130,0,101,129,0,100,4,127,2,0,105,4,124,0,140,2,122,10,3,11,128,2
45009000011,45,009,000011,528.8,188.4,0,511.6,200.5,0,508.5,14,185.5,3.1,0,510.5,9.9,188.7,0,237.1,6,196.6,0,86.3,37.1,212.9,2
45009000012,45,009,000012,614,113,0,601,121,0,599,5,115,7,0,599,7,119,1,173,2,125,5,84,42,136,3
45009000013,45,009,000013,172.4,89.6,0,162.7,95.5,0,158.8,2.9,91.6,5.8,0,157.8,0,99.4,0,126.6,2,100.3,2,29.2,11.7,113,0
45011000001,45,011,000001,166,135,0,152,149,0,148,5,148,1,0,145,9,144,0,166,3,148,3,21,16,153,1
45011000002,45,011,000002,261,461,1,239,477,0,234,8,467,11,0,240,5,482,0,506,2,484,3,38,30,487,0
45011000003,45,011,000003,346,453,3,310,483,0,298,15,473,8,1,299,14,484,2,532,12,481,7,44,45,502,1
45011000004,45,011,000004,377,238,0,372,245,0,360,11,238,4,0,360,9,246,0,284,5,246,6,29,48,250,5
45011000005,45,011,000005,352,134,0,350,135,0,343,6,132,4,1,349,4,135,0,166,5,136,2,32,33,138,5
45011000006,45,011,000006,208,100,0,205,108,0,208,3,100,2,0,204,4,108,0,128,1,107,3,24,16,115,0
45011000007,45,011,000007,165,185,0,162,190,0,163,7,180,3,0,165,4,187,0,198,1,189,0,14,17,189,1
45011000008,45,011,000008,38,289,0,32,293,0,28,8,290,3,0,22,2,298,0,299,1,296,2,6,8,298,0
45011000009,45,011,000009,136,165,0,131,172,0,128,5,168,3,0,126,2,173,0,188,2,175,2,12,14,177,1
45011000010,45,011,000010,377,101,0,367,106,0,365,1,106,3,0,363,4,107,0,138,1,113,0,33,28,112,1
45011000011,45,011,000011,54,411,1,48,414,0,46,6,410,9,0,49,6,417,1,432,2,418,2,15,14,419,1
45011000012,45,011,000012,278,331,0,267,342,0,273,11,328,1,0,271,7,331,0,379,4,355,1,39,29,353,3
45011000013,45,011,000013,480,254,1,464,266,0,459,8,259,6,0,462,7,263,0,309,4,269,0,48,36,274,3
45011000014,45,011,000014,106,207,0,88,224,0,89,5,218,3,0,84,2,222,0,242,5,227,2,9,20,228,0
45011000015,45,011,000015,200.6,264.2,0,191.8,273,0,190.8,5.9,268.1,2,0,188.9,2.9,274,0,288.7,1,279.9,2,18.6,18.6,278.9,0
45011000016,45,011,000016,4.4,5.8,0,4.2,6,0,4.2,0.1,5.9,0,0,4.1,0.1,6,0,6.3,0,6.1,0,0.4,0.4,6.1,0
45013000101,45,013,000101,313.1,122.5,1,293.8,140.7,2,282.8,13.2,131.6,10.1,2,288.8,19.1,126.6,5,207.3,12,148.9,7,46.2,99.9,135.8,7
45013000102,45,013,000102,321.7,307.2,5.8,277.7,346,0,273.3,13.1,322.6,14.5,0,288.8,21,313.2,0,424.4,25.8,350.6,7.1,33.8,144.6,347.3,2
45013000103,45,013,000103,338.8,412.5,0,295.8,442.3,2,296.4,23.2,418.5,10.1,0,295.2,24.4,420.8,2,528.2,4.5,464.6,4.1,34.9,139.3,448.2,0.3
45013000110,45,013,000110,350.5,435.1,0.8,321.2,458.6,1.7,300.2,23.5,434.3,21.8,1.7,312.8,32.7,440.1,0,555.8,8.4,457.8,6.7,66.2,116.6,460.3,4.2
45013000111,45,013,000111,491.3,114.1,3,494.3,123.1,0,486.4,16.9,109.2,5,0,484.4,17.9,110.2,0,184.6,11.9,123.1,3,63.5,71.5,134,2
45013000112,45,013,000112,565.7,416.4,1.2,527.1,448.9,0.3,521.1,17.5,428.2,12.2,2.3,524.5,21.3,435.3,2,571.5,21.6,456.7,4.3,77.7,160.2,461.2,3.8
45013000113,45,013,000113,315.3,404.3,0,298.3,419.4,0,288.2,19.1,410.4,4.1,0,300.2,19.1,404.4,0,507.6,12,430.4,5,38.2,115.3,430.4,0
45013000114,45,013,000114,426.7,432.7,1,407.7,452.6,0,390.8,22.9,433.6,17.9,0,382.8,27.9,448.6,0,532.4,8,464.6,12,74.8,107.7,459.6,2
45013000115,45,013,000115,393.4,711.5,0,356.6,736.2,0,347.6,13.1,722.1,11,0,349.2,29,716.6,0,835,4.8,763.8,3.6,36.2,129.1,753.4,0
45013000116,45,013,000116,98.7,88,0,99.7,88,0,89.8,6.1,83,6,0,90.8,5.1,88.9,0,110.3,1.1,87.1,0,8.4,31.2,83.2,2
45013000120,45,013,000120,397.4,732.1,1,349.5,773.9,0,336.5,14.4,770.5,6.6,0,332.6,13.9,764.4,0,859.7,3.5,796.1,8.6,30,124.8,794,0.1
45013000121,45,013,000121,252,553,3,243,564,0,236,7,555,8,0,231,9,566,0,638,3,575,4,29,95,577,0
45013000130,45,013,000130,366.1,451.8,4.8,345.8,474.9,2.9,336.2,14.4,448.9,18.3,1,340.1,8.7,474.9,0,560.7,17.3,485.5,3.9,61.6,117.5,480.7,1.9
45013000131,45,013,000131,437,533.8,0.1,391,569,0,378.9,13.6,566.2,4.5,1,406.7,16.4,546.7,2,650.5,18.5,580,4,40.1,145.6,563.7,11
45013000132,45,013,000132,351,654,0,311,691,0,296,35,651,19,0,302,31,672,1,797,5,715,3,45,142,697,3
45013000133,45,013,000133,332,502,0,297,533,0,284,8,527,6,0,309,11,516,0,625,11,549,5,41,101,559,2
45013000134,45,013,000134,216,348.1,0,200.5,358.9,0,192.7,5.9,343.5,13.4,0,204.9,6.9,349.4,0,408.1,6.7,370.4,3.8,24,61.6,379.8,0
45013000135,45,013,000135,224.1,481.7,1,196.2,505.6,2,179.3,10,502.6,8,1,201.2,12,496.6,0,556.4,8,506.6,6,21.9,76.7,510.6,2
45013000140,45,013,000140,231.6,376.6,4,202.6,401.5,0,191.6,10.1,389.3,8,0,204.1,20.2,387.8,0,467.7,12.8,408.3,6.6,39.3,77.7,405.8,3
45013000141,45,013,000141,248.2,395.7,0.9,230.2,411,0,211.3,20.7,390.3,18,0,222.1,21.6,399.3,0,507.2,14.4,426.3,11.7,42.3,104.3,416.4,0
45013000142,45,013,000142,278,347,1,248,372,0,246,15,343,14,0,251,12,356,0,445,8,376,8,29,108,361,3
45013000150,45,013,000150,346.4,313.3,2,329.3,331.5,1,326.1,12.2,313.3,11.1,0,328.1,18.2,305.4,1,407.2,12.2,325.6,8.1,41.5,137.2,332.5,5
45013000151,45,013,000151,321.6,241.7,0,310.7,252.5,0,301.9,11.8,243.7,5.9,1,301.9,12.8,246.6,0,308.8,14.8,261.4,4,34.5,85.8,254.5,3
45013000160,45,013,000160,406.1,206.3,2,406.1,212.3,0,397.2,10.9,200.4,8.9,0,397.2,6.9,213.3,0,275.6,7.9,215.2,7.9,49.5,50.5,215.2,6.9
45013000161,45,013,000161,276,236,1,272,246,0,271,12,227,8,0,263,15,239,0,293,5,239,1,42,66,251,0
45013000162,45,013,000162,401.6,123.7,0,399.6,130.7,0,397.6,4,127.6,4,0,397.6,4,128.6,0,188.3,4,141.6,6,54.7,57.7,141.6,3
45013000163,45,013,000163,479.4,311.6,0,461.2,330.7,0,460.7,12.2,308.4,11.9,0,461.9,16.4,307.8,0,383.8,10.3,329.4,6.1,63.5,81.2,321.2,5.3
45013000170,45,013,000170,325,273.9,0,323.2,274.8,0,317.7,1.8,271.2,10,0,319.6,4.6,275.7,0,315,3.6,281.2,0.9,34.7,53,279.4,2.7
45013000174,45,013,000174,398.8,65.4,1,399.6,71.3,0,399.2,5.7,65.9,4.1,0,396.2,7.2,65.4,0.2,110,5.8,67.4,4,57.8,39.6,72.1,0.6
45013000179,45,013,000179,147.8,111.5,0,147.7,114.6,0,143.7,8,106.5,2,0,143.7,5,112.5,0,147.7,4,118.6,0,29.1,39.2,114.6,0
45013000180,45,013,000180,603,125.8,0,594.2,135.4,1,578.8,20.3,126.7,11.6,0,594.3,12.6,127.7,0,204.1,20.3,137.4,0,88.9,78.3,153.8,9.7
45013000181,45,013,000181,616.4,151.6,0.9,617.3,156.3,2.8,612.6,7.5,155.3,3.8,0,610,16.5,156.2,0,229.8,11.1,169.1,2.7,64.6,97.4,168.3,5.6
45013000182,45,013,000182,472,679,0,422,715,0,411,8,710,6,0,417,6,727,1,816,5,743,3,32,123,738,2
45013000183,45,013,000183,517.5,312.8,1,506.6,322.7,1,505.6,10.8,310.9,6.9,0,495.8,15.7,318.7,0,412.2,10.8,326.6,5.9,90.5,116.1,336.4,2
45013000184,45,013,000184,646,165,1,651,168,1,639,23,154,7,0,631,23,158,0,271,14,174,3,122,130,167,5
45013000185,45,013,000185,333.5,475.4,0.1,316.6,493.9,0.3,307.2,4.7,482.8,15.3,0,313.9,5.6,491.9,0,562.8,6,520.1,3.3,26.1,93.3,522,2.5
45013000186,45,013,000186,234.5,387.4,0.2,217.5,403.4,0.1,196.1,20.7,379.2,19.8,0,211.1,21.6,388.3,0,449.1,7.8,404.9,5.2,29.8,83.4,401.8,0.1
45013000187,45,013,000187,237.1,338.4,0,208.3,366.2,0,193.5,12.9,350.3,10.9,0,194.6,16.9,360.1,0,434.6,4.1,383,5,28.7,76.6,384.9,0
45013000200,45,013,000200,112,190.9,2,103.9,201,0,101.8,1.1,197.9,2.1,0,104.8,2.1,191,0,216.5,1.1,200,5,7.2,36.6,199.1,2
45013000201,45,013,000201,206.4,169.2,0,192.7,181.8,0,180.1,8.2,173.6,7.7,0,180.1,9.8,181.8,0,236,6,182.3,4.9,25.7,67.3,186.7,1.1
45013000202,45,013,000202,542.6,468.8,1,517.3,490.2,0,502.9,12.8,477.4,10.3,1,512.9,10.2,479.2,0,605,9,503.7,7.1,79.3,154.7,506.3,0.9
45013000203,45,013,000203,443.8,399.4,2,430.2,409.7,0,412.2,15,403.7,9,0,407.4,16.9,416.6,0,508.1,9.9,430,4,49.9,155.2,427.9,3
45013000204,45,013,000204,485.6,296.9,0,476.9,305.9,0,459.7,15.6,282.4,24.7,0,463.8,20.8,293.5,0.1,424.7,8.8,316.4,6.9,76.3,164.1,309.5,3
45013000205,45,013,000205,439.8,762.3,0,385.4,790,0,371.5,7,790,8,0,386.3,6,789.1,0,886.3,1,830.6,4,25.9,123.3,818.7,2
45013000206,45,013,000206,211,385,0,175,404,0,178,7,390,6,0,180,4,398,0,460,1,417,0,16,78,415,1
45013000207,45,013,000207,245,338,0,206,370,0,200,11,358,7,0,205,8,359,0,422,3,376,1,12,76,389,0
45013000208,45,013,000208,578.5,859.2,0,542.1,891.1,0,526.4,15.2,883.3,10.7,0,535.8,7.5,889.1,0,1018.2,5.1,922.8,7.1,36.6,164.7,934.6,0.1
45013000209,45,013,000209,296,347,0,275,365,0,272,11,358,5,0,270,7,365,0,444,8,382,8,16,143,371,1
45013000210,45,013,000210,100.1,149,0,92,157.5,0,92.3,3.7,149.3,3,0,94,0.7,154.7,0,179.2,1.7,159.5,1.7,8.1,40.4,155.8,0
45013000211,45,013,000211,311,442,0,288,460,0,271,6,456,9,0,283,13,454,0,557,5,476,5,26,134,484,0
45013000212,45,013,000212,261,391,0,239,406,0,236,6,391,7,0,238,5,402,0,471,3,419,4,13,91,413,1
45013000213,45,013,000213,265.8,379.4,1,229.8,411.4,1,222.7,7,404.4,7,1,234.7,5,402.4,1,470.6,3,432.4,3,26.1,92.3,419.4,0
45013000214,45,013,000214,359.6,537.7,0,309.4,581.7,0,300.6,12.3,563.2,13.2,0,316.4,13.2,564.1,0.9,678.7,6.2,593.2,7,25.6,128.7,601.1,0
45013000216,45,013,000216,319.8,481.4,0,296.5,500.5,0,278.2,7.2,491.4,19.2,0,286.4,15.2,494.4,0,578.7,1.1,523.7,10.1,32.4,116.9,524.6,0
45013000217,45,013,000217,304.2,464.6,0,286.5,474.5,0,264.8,14.8,465.6,10.8,0,278.6,9.8,470.6,0,552.3,4.9,485.3,8.9,23.6,120.1,483.4,0
