GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PREASKE,G16USSDDIX,G16USSRSCO,G16USSLBLE,G16USSASCA,G16USSOWRI
45001000001,45,001,000001,257.48,534.18,18.54,0.69,3.43,2.06,2.06,230.01,556.84,11.67,1.37,1.37
45001000002,45,001,000002,484.7,328.51,7.64,0,1.7,1.7,0.85,440.56,340.4,5.94,4.24,0
45001000003,45,001,000003,327.96,361.96,7,3,4,4,2,303.96,367.96,13,4,0
45001000004,45,001,000004,201,356,6,1,2,3,0,184,342,19,5,0
45001000005,45,001,000005,163.36,646.15,9.23,1.09,4.03,2.07,0,159.57,630.45,14.33,8.96,0
45001000006,45,001,000006,96.75,283.33,4.18,1.03,3.09,0.05,0.01,105.8,266.03,2.23,2.1,2.02
45001000007,45,001,000007,789.16,522.81,8.13,3.02,4.02,4.01,3.01,749.12,510.64,10.19,8.02,0
45001000008,45,001,000008,144.39,524.27,8.45,4.22,1.33,1.25,0.05,143.15,518.83,10.53,1.17,0
45001000009,45,001,000009,67,324,3,2,3,3,0,78,301,6,3,0
45001000010,45,001,000010,351.79,659.59,16.69,8.88,12.83,9.8,1.95,343.64,684.88,18.78,5,0.04
45001000011,45,001,000011,206.23,322.24,2.97,0.99,4.96,0,0,173.51,331.16,3.97,4.96,0
45001000012,45,001,000012,161.54,607.14,4.97,4.8,6.73,1.93,0.01,191.91,555.54,11.72,5.8,1.92
45001000013,45,001,000013,125.73,628.42,10.14,2.95,1.13,2.94,0.01,129.59,602.82,15.23,1.15,0
45001000014,45,001,000014,162.84,390.19,12.87,1.98,1.98,0.99,0.99,155.88,373.36,18.81,1.98,0
45001000015,45,001,000015,197.95,290.14,9.4,0.3,1.79,1.2,1.04,178.19,302.08,6.12,1.35,0.6
45003000000,45,003,000000,15.02,18.89,0.63,0.21,0.29,0.12,0.08,14.83,17.96,1.19,0.3,0.02
45003000001,45,003,000001,219.26,508.73,35.11,12.97,18.09,1.01,1.03,178.08,581.06,17.08,3.03,0
45003000002,45,003,000002,534.02,156.71,12.98,4.99,2,2,0,503.08,171.69,8.98,7.99,1
45003000003,45,003,000003,745,136,12,5,7,2,1,714,143,18,8,1
45003000004,45,003,000004,335.83,51.83,4.31,4.95,2.06,1.01,0.01,317.99,66.44,3.37,0.99,0
45003000005,45,003,000005,359.1,271.54,14.76,8.85,4.92,0.98,6.89,323.68,314.83,13.77,0.98,0
45003000006,45,003,000006,259.68,553.55,32.02,7.88,8.35,3.96,1.1,192.28,626.8,18.05,3.08,2.92
45003000007,45,003,000007,261,311,9,0,4,0,4,268,278,11,2,1
45003000008,45,003,000008,599.65,519.51,9.92,6.8,6.94,1.97,1.01,574.11,502.22,21.56,12.7,0.02
45003000009,45,003,000009,525,575,32,10,11,3,3,530,554,33,10,3
45003000010,45,003,000010,514.46,219.01,14.88,1.05,10.91,1.99,2.97,488.59,235.6,15,7.02,0.99
45003000011,45,003,000011,620.01,273.31,9.12,1.03,1.03,1.02,3,604.09,259.18,15.11,5.03,1
45003000012,45,003,000012,209.3,233.58,4.22,0.15,1.15,1.04,0.02,198.73,234.19,5.48,0.28,1
45003000013,45,003,000013,321.99,760.19,48.23,10.01,14.9,2.02,3.94,295.74,797.24,28.3,7.03,0.03
45003000014,45,003,000014,229.02,754.48,27.76,6.94,7.93,3.97,0,248.85,724.73,24.79,5.95,0.99
45003000015,45,003,000015,148,558,17,3,7,5,3,153,548,21,7,1
45003000016,45,003,000016,278,441,8,7,5,2,4,255,443,15,16,0
45003000017,45,003,000017,224.26,865.26,14.31,1.15,4.05,2,0.98,237.15,817.07,21.45,5,0.06
45003000018,45,003,000018,190,588,16,6,6,4,3,190,553,24,13,1
45003000019,45,003,000019,159.51,468.83,6.15,6.05,4.06,2.04,3,162.47,445.61,10.2,8.07,0
45003000020,45,003,000020,324.11,740.9,46.1,10.03,13.03,1,2.02,283.17,809.66,28.13,5.04,0
45003000021,45,003,000021,401.2,418.99,9.88,2.96,5.93,1.98,0.99,372.54,421.95,18.78,5.93,0.99
45003000022,45,003,000022,363,727,31,6,11,5,1,343,748,26,6,4
45003000023,45,003,000023,490.41,528.52,17.82,6.57,4.71,0.94,0.94,466.91,527.76,37.41,2.81,2.81
45003000024,45,003,000024,118,435,10,2,4,6,1,105,439,11,6,1
45003000025,45,003,000025,351,503,32,7,8,1,1,321,539,22,5,1
