GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PREASKE,G16USSDDIX,G16USSRSCO,G16USSLBLE,G16USSASCA,G16USSOWRI
45003000026,45,003,000026,317,377,16,6,6,2,3,296,389,22,5,1
45003000027,45,003,000027,177.63,931.69,36.24,6.05,11.13,2.06,0.01,131.39,991.19,23.2,0.02,3
45003000028,45,003,000028,196,624,32,8,11,1,0,156,679,18,8,1
45003000029,45,003,000029,251,543,31,12,12,1,1,225,575,26,3,1
45003000030,45,003,000030,153.04,554.45,16.4,5.21,6.14,2.14,1.07,167.6,534.27,17.63,3.14,0.09
45003000031,45,003,000031,194,433,12,2,11,1,3,196,413,15,6,0
45003000032,45,003,000032,293,215,6,0,4,2,0,274,217,7,1,1
45003000033,45,003,000033,117,348,21,2,1,4,1,118,346,14,3,0
45003000034,45,003,000034,294.96,856.55,16.6,8.79,5.86,5.86,2.93,276.4,848.73,26.37,5.86,3.91
45003000035,45,003,000035,308.92,461.42,25.58,7.87,9.84,0.98,0.98,278.42,487.98,21.64,4.92,0
45003000036,45,003,000036,227,258,10,2,2,4,1,212,261,7,6,0
45003000037,45,003,000037,405.83,663.03,19.78,5.05,4.96,1.94,0.05,377.26,665.83,32.08,4.87,0.14
45003000038,45,003,000038,352.22,641.58,25.94,9.98,10.98,3.99,0,340.25,667.52,12.97,4.99,0
45003000039,45,003,000039,595,757,13,7,8,6,1,548,723,31,8,2
45003000040,45,003,000040,395.6,606.39,16.98,4.99,11.99,0,1,363.64,603.4,24.97,8.99,3
45003000041,45,003,000041,254.37,889.48,23.08,7.04,7.06,1,3.99,266.02,834.18,29.96,9.97,0.01
45003000042,45,003,000042,257,309,6,0,2,1,0,255,285,9,8,0
45003000043,45,003,000043,238,455,12,3,9,1,1,238,425,21,9,0
45003000044,45,003,000044,341.75,620.57,26.98,3,9.99,7.99,1,328.76,605.58,35.97,6,0
45003000045,45,003,000045,323,589.59,20.32,4.68,5.49,3.93,0,309.85,590.97,16.46,5.5,0.78
45003000046,45,003,000046,658.05,69.87,8.44,3.14,1.17,1.02,0.02,625.5,80.33,2.37,5.1,0
45003000047,45,003,000047,239.18,423.69,27.73,3.09,17.49,2.03,3.87,199.93,492.82,16.8,4.88,0.08
45003000048,45,003,000048,220,476,9,2,7,0,3,208,474,9,7,0
45003000049,45,003,000049,180,678,7,8,2,9,1,198,628,23,5,0
45003000050,45,003,000050,516.28,1032.57,37.8,12.93,17.91,0.99,1.99,492.41,1047.49,35.81,10.94,0
45003000051,45,003,000051,484.06,1111.23,29.78,9.33,13.56,8.11,0,446.28,1133.67,27.67,9.56,1.22
45003000052,45,003,000052,353.01,464.84,35.01,5.83,4.86,1.94,0,329.67,487.21,26.26,4.86,0.97
45003000053,45,003,000053,212.13,540.78,16.93,4.98,17.93,0,0,156.36,607.5,16.93,1.99,0
45003000054,45,003,000054,414.19,337.08,21.01,2,11,2,0,397.18,355.09,17.01,5,0
45003000055,45,003,000055,166.42,471.09,25.54,8.81,15.85,1.76,0,159.38,503.67,18.49,0.88,0
45003000056,45,003,000056,296.53,539.15,21.97,3,1,3.99,0,294.54,504.21,35.94,6.99,4.99
45003000057,45,003,000057,243.07,497.63,28.93,3.2,7.02,2.01,1.1,229.33,490.73,31.85,1.02,0
45003000058,45,003,000058,237.54,782.66,21.96,2,13.97,0.01,1,214.62,809.54,10.99,5,0
45003000059,45,003,000059,240.92,955.85,22.53,0.98,19.59,0.98,3.92,233.09,937.24,21.55,19.59,0
45003000060,45,003,000060,207.38,639.38,25.51,8.13,21.4,2.09,1,163.77,696.8,17.25,3.04,1.01
45003000061,45,003,000061,608.91,496.5,18.46,5.77,3.9,0.99,0.02,578.42,496.68,27.21,2.96,1.92
45003000062,45,003,000062,409.12,345.04,3.94,9.86,3.94,5.91,0.99,382.5,359.82,12.82,0,2.96
45003000063,45,003,000063,213,468,23,2,11,4,0,202,489,15,2,0
45003000064,45,003,000064,310.01,816.32,24.59,8.39,12.85,0.85,1.02,267.28,870.72,15.18,1.41,1.06
45003000065,45,003,000065,295.08,1054.15,36.47,5.02,27.41,5.02,2.08,229.91,1134.76,31.45,8.41,0
45003000066,45,003,000066,217.39,480.65,13.96,4.99,5.98,1,1,169.52,540.48,9.97,1,2.99
45003000067,45,003,000067,186.37,651.31,27.76,5.95,14.87,6.94,0.99,158.61,708.81,22.8,1.98,0
45003000068,45,003,000068,311.62,1135.21,45.41,12.11,23.3,1.23,3.02,300.35,1178.96,40.67,10.1,0.03
45003000069,45,003,000069,254,724,28,5,14,2,5,175,841,8,1,0
45003000070,45,003,000070,283,570,45,5,18,7,0,269,613,27,3,0
45003000071,45,003,000071,376.22,1023.02,23.19,7.11,9.5,5.28,0.16,367.67,996.04,29.3,10.24,0.16
45003000072,45,003,000072,250,363,38,12,8,0,0,232,409,17,3,0
45003000073,45,003,000073,216.61,844.34,37.12,5.15,7.1,0.09,3.02,176.15,889.63,18.22,5.02,0.04
45003000074,45,003,000074,132.25,296.43,5.02,1,5.01,1.01,0,130.24,287.42,15.03,5,0
45003000075,45,003,000075,349,777,22,12,21,6,0,299,838,23,8,1
45003000076,45,003,000076,338,907,60,7,37,5,0,255,1067,21,2,2
45003000077,45,003,000077,223.62,687.62,33.49,8.87,26.6,5.91,0,183.23,781.2,16.75,2.96,0.99
45003000078,45,003,000078,147.21,253.97,12.85,0,4.49,1.29,0,144.01,256.48,8.39,1.93,0.01
45003000079,45,003,000079,171.87,290.19,21.83,3.18,5.31,0.03,0.06,150.23,318.05,15.51,0.12,0
45003000080,45,003,000080,152.58,477.91,19.46,6.19,9.15,0.24,0,147.62,485.33,18.51,3.12,0
45003000081,45,003,000081,236.39,461.81,8.98,1,3.99,1.99,0,237.39,422.91,13.96,4.99,1
45003000082,45,003,000082,266.81,469.34,14.61,4.87,8.76,3.89,2.92,274.6,434.29,31.16,9.74,0
45003000083,45,003,000083,169,193,21,6,7,0,0,144,226,17,0,0
45003000084,45,003,000084,177.27,481.16,12.66,0.84,8.44,1.69,0.84,157.85,496.35,13.51,1.69,0.84
45005000001,45,005,000001,459,87,4,3,3,5,2,416,99,6,5,0
45005000002,45,005,000002,525.32,12.55,3.86,2.9,0,0,0.97,484.76,15.45,3.86,2.9,0
45005000003,45,005,000003,277.68,109.45,2.14,0.1,6,0,4.03,250.24,114.55,5.14,7.1,0
45005000004,45,005,000004,693,73,4,3,0,4,3,641,91,3,1,0
45005000005,45,005,000005,222.82,41.48,0,0,0.96,1.93,1.93,207.39,44.37,1.93,2.89,0
45005000006,45,005,000006,88,205,3,0,2,0,0,91,186,6,0,1
45005000007,45,005,000007,83,93,3,0,0,0,0,78,89,3,0,0
45005000008,45,005,000008,386.18,167.52,2,2,0.04,0.07,0.07,375.61,156.63,3.07,3.11,0
45007000000,45,007,000000,271.55,229.31,5.13,4.2,1.77,0.59,1.14,251.62,221.7,8.16,5.04,0.29
45007000009,45,007,000009,217,194,10,5,1,1,1,188,199,12,2,0
45007000010,45,007,000010,28.63,242.91,0.92,0,0,0,0,33.25,229.06,5.54,0.92,0
45007000011,45,007,000011,265,787,19,4,5,5,1,262,752,18,6,2
45007000012,45,007,000012,248.69,132.95,2.82,0.05,0.99,0.91,0,220,148.94,1.97,1.85,0.02
45007000013,45,007,000013,340.76,1040.22,27.48,11.14,11.54,7.95,5,279.85,1088.92,35.27,3.58,3.94
45007000015,45,007,000015,71,354,8,0,4,0,1,73,344,8,3,0
45007000016,45,007,000016,193.62,355.69,7.89,3.59,5.74,4.3,0,190.04,360.71,8.61,0.72,0
45007000017,45,007,000017,273,1362,30,7,11,6,1,210,1423,27,9,2
45007000018,45,007,000018,168,718,9,4,8,0,0,168,684,20,0,0
45007000019,45,007,000019,430,1246,25,15,6,4,2,375,1266,30,14,1
45007000020,45,007,000020,159.69,208.07,8.03,1.05,6,0.04,0.01,155.86,193.76,9.08,8.02,1
45007000021,45,007,000021,419.58,1509.29,42.75,16.9,22.87,6.96,3.98,348.99,1585.85,42.75,7.95,3.98
45007000023,45,007,000023,62,646,13,2,5,2,0,76,628,10,2,0
45007000024,45,007,000024,197.01,691.13,23.89,7.9,6.92,1,1.03,166.4,728.81,11.18,8.03,1
45007000025,45,007,000025,430.94,712.28,38.24,10.08,18.07,1.01,1.01,358.63,759.69,36.1,12.08,1.01
45007000027,45,007,000027,243.64,712.43,20.16,3.36,7.56,0.84,0.84,192.39,759.48,19.32,6.72,0
45007000028,45,007,000028,185.47,676.83,8.9,1.82,5.9,0.18,1,179.02,651.32,21.52,6.99,0.36
45007000029,45,007,000029,205.53,702.79,13.71,2.12,7.27,0.05,1.06,150.46,722.89,18.49,5.35,0.03
45007000030,45,007,000030,179.39,835.43,22.88,5.95,8.98,1.97,1,157.89,837.69,26.9,10.92,0
45007000031,45,007,000031,102.48,548.44,4.94,3.99,1.68,3.22,0.8,115.2,519.61,8.94,4.07,0.02
45007000032,45,007,000032,483.81,596.66,10.23,6.95,8.33,1.39,2.75,457.59,558.55,22.26,10.51,0.53
45007000033,45,007,000033,333.03,1237.73,33.54,6.95,6.95,1.96,3.92,306.08,1218.87,30.44,15.73,1.96
45007000035,45,007,000035,198.99,646.53,9.2,3.84,5.87,1.92,0.07,200.58,606.58,18.75,6.91,1.01
45007000036,45,007,000036,339.48,1014.13,46.12,8.03,23.12,6.03,1,266.1,1102.61,25.07,6,0
45007000037,45,007,000037,57.6,368.23,5.03,2.02,2.01,1.02,1,54.68,372.06,2.05,0.02,0
45007000038,45,007,000038,107.28,131.23,2.47,1.76,1.06,0.35,0.53,99.88,124.71,4.58,2.11,0.18
45007000039,45,007,000039,189.34,782.83,18.87,1.98,3.96,1.98,0.99,168.95,782.67,25.19,6.01,0.99
45007000040,45,007,000040,226,748,26,2,12,5,1,151,826,16,3,0
45007000041,45,007,000041,174.91,745.21,12.75,3.64,10.02,1.82,0.91,186.76,706.04,17.31,8.2,0
45007000042,45,007,000042,123.49,774.03,20.75,1,4.95,1,4,112.56,763.9,16.61,6.96,0
45007000043,45,007,000043,164,453,10,7,13,0,0,156,456,18,6,1
45007000045,45,007,000045,127,348,11,5,6,5,0,113,358,15,2,0
45007000046,45,007,000046,403.55,1054.08,26.21,4.01,13.67,0.99,1.05,352.08,1101.5,19.63,11.58,0
45007000047,45,007,000047,153.44,449.06,6.76,0.04,4.23,1.65,0.86,152.49,423.45,14.21,5.81,3.25
45007000049,45,007,000049,405.31,728.05,19.18,5.95,13.01,2.09,0,376,725.06,24.03,9.15,1.98
45007000050,45,007,000050,251.53,782.32,30.74,4.11,25.29,1.04,0.03,166.68,882.13,18.66,2.22,1
45007000051,45,007,000051,63.57,414.56,10.18,1.93,0.99,0.97,0,83.24,377.58,10.2,6.43,0.9
45007000053,45,007,000053,852.54,812.76,60.48,21.46,37.07,3.9,13.66,675.01,1002.96,42.93,9.75,0
45007000054,45,007,000054,122.95,437.04,8.64,7.68,3.84,1.92,0,125.83,432.24,14.41,4.8,0.96
45007000055,45,007,000055,226,1118,27,10,15,4,8,196,1146,24,2,1
45007000057,45,007,000057,150,619,8,2,4,0,4,120,632,11,1,0
45007000058,45,007,000058,135.42,424.29,10.14,0.06,2.1,0.08,1,132.36,406.38,4.15,1.01,0
45007000061,45,007,000061,107.98,448.59,8.68,0.12,1.13,0.07,0.93,100.83,437.81,8.93,3.09,0.95
45007000062,45,007,000062,309.23,1354.46,46.29,9.76,16.4,10.6,0.97,280.49,1382.19,45.44,15.47,0.98
45007000063,45,007,000063,97.47,559.78,9.16,0.18,1.47,0.93,0.09,104.27,527.83,11.26,2.49,0.93
45007000064,45,007,000064,231.98,1382.95,36.68,3.97,18.84,5.95,0,206.2,1394.84,42.63,14.87,0.99
45007000065,45,007,000065,74.89,424.4,10.03,4.86,1.34,0.69,1.17,77.65,404.19,12.9,8.86,0
45007000066,45,007,000066,96.77,438.08,9.57,4.04,5.29,1.99,1.01,84.53,425.67,19.19,5.23,0
45007000067,45,007,000067,209.44,716.9,26.08,2.19,14.39,4.03,1.05,150.66,801.33,13.08,2.38,0
45007000068,45,007,000068,193.14,1030.82,25.5,5.29,4.41,4.26,0.02,185.11,1005.07,27.44,7.75,1.08
45007000069,45,007,000069,84.45,238.09,4.18,0,0.41,1.2,1.06,74.99,229.71,7.85,2.61,0.34
45007000070,45,007,000070,327.12,1670.65,46.41,17.08,20.07,11.07,3,327.96,1670.24,43.44,15.12,3.02
45007000071,45,007,000071,311.47,1098.47,37.83,11,13.91,5,2.96,273.89,1122.96,27.98,6.07,0.99
45007000072,45,007,000072,273,1375,29,8,7,3,2,252,1341,37,20,3
45007000073,45,007,000073,91.98,584.54,5.32,1.47,3.02,1.21,0.08,102.33,560.63,6.09,5.85,0.09
45007000074,45,007,000074,329.17,477.82,21.23,8.04,12.21,1.02,0.01,272.65,528.44,17.17,3.05,0.01
45007000075,45,007,000075,216.04,574.44,15.93,4.98,5.97,4.98,2.99,154.31,639.15,14.93,1.99,1.99
45007000076,45,007,000076,220.09,528.82,24.9,11.95,23.9,3.98,0,192.21,584.59,18.92,1.99,0
45007000077,45,007,000077,507,833,41,7,25,4,1,406,927,32,15,0
45007000078,45,007,000078,252,148,13,2,7,0,1,230,176,3,7,0
45007000079,45,007,000079,253.93,202.51,4.81,2.27,3.45,2.36,0.18,238.4,210.66,4.72,1.56,0.37
45007000080,45,007,000080,562.39,88.8,11.78,4.48,2,1,1.7,508.54,115.84,9.39,7.17,0
45007000081,45,007,000081,821.29,305.62,8.37,4.34,5.71,3.26,0.87,756.89,334.04,6.63,6.03,1.63
45007000083,45,007,000083,526,111,1,2,7,1,0,497,114,2,3,0
45007000084,45,007,000084,361.27,614.45,40.02,11.01,20.01,4,3,289.23,710.48,25.02,2.01,0
45007000085,45,007,000085,471,119,8,5,2,0,0,418,154,7,2,0
45007000086,45,007,000086,223.12,316.69,9.16,3.33,5.83,1.67,0.83,213.14,309.17,12.5,5.83,0
45007000087,45,007,000087,566,842,15,6,10,7,4,529,823,34,11,0
45007000091,45,007,000091,467,1110,37,11,14,4,2,412,1152,29,23,0
45007000092,45,007,000092,286.33,897.57,30.89,4.98,27.83,1.99,1,217.53,978.24,21.95,6.99,0.99
45007000093,45,007,000093,145.87,370.74,27.17,1.07,13.13,0.04,1.01,101.48,428.26,11.14,1.02,0.01
45007000094,45,007,000094,282,1400,34,2,21,8,0,227,1455,28,7,0
45007000111,45,007,000111,299,866,29,7,9,2,1,275,883,29,6,0
45007000121,45,007,000121,410.66,1445.22,36.98,15.15,11.43,11.29,0.06,389.07,1462.75,34.13,8.58,0.97
45007000132,45,007,000132,379,730,16,14,18,6,0,324,787,15,3,1
45007000136,45,007,000136,261.52,729.87,20.88,4.97,20.88,4.97,0,194.9,814.39,12.93,0,0
45007000157,45,007,000157,332.75,1197.76,19.18,2.04,12.04,2.05,3.97,325.51,1161.56,30.29,9.18,1.1
45007000164,45,007,000164,466.1,2159.48,69.38,16.61,26.38,18.57,4.89,392.81,2255.24,53.74,11.73,2.93
45009000001,45,009,000001,47.72,101.59,0.05,0.04,0.01,1.03,1,55.51,91.63,5.03,0.01,0
45009000002,45,009,000002,75,164,8,0,0,0,0,70,165,5,2,0
45009000003,45,009,000003,243.39,302.12,9,0,1,0,0,239.38,287.11,6.01,0,0
45009000004,45,009,000004,956.84,203.1,4.6,2.14,7.25,2.14,1,947.86,211.52,8.49,3.25,0
45009000005,45,009,000005,77.39,41.91,0,0,0,0.01,3.01,81.46,33.82,2.05,1,0
45009000006,45,009,000006,43,31,1,0,1,0,0,40,34,0,0,0
45009000007,45,009,000007,89,85,1,0,1,0,0,77,86,2,0,0
45009000008,45,009,000008,4,89,0,0,0,0,0,7,82,1,0,0
45009000009,45,009,000009,8,93,0,0,0,0,0,15,87,0,0,0
45009000010,45,009,000010,119,151,0,0,0,2,0,121,137,3,3,2
45009000011,45,009,000011,972.74,299.85,9.52,8.09,1.23,7.1,0.99,945.94,291.3,15.39,2.23,0
45009000012,45,009,000012,761,108,2,3,3,0,1,750,107,5,3,0
45009000013,45,009,000013,495.83,529.01,15.67,3.69,6.45,3.69,0,470.03,540.07,12.9,6.45,0
45011000001,45,011,000001,200,178,2,2,0,0,0,192,173,5,3,0
45011000002,45,011,000002,318,565,6,2,6,4,0,316,552,12,4,1
45011000003,45,011,000003,394,583,24,9,6,2,2,373,596,16,7,2
45011000004,45,011,000004,517,308,8,1,4,1,1,482,323,7,4,0
45011000005,45,011,000005,439,178,2,2,3,0,1,428,170,3,3,0
45011000006,45,011,000006,281,117,0,1,6,4,0,266,123,4,2,0
45011000007,45,011,000007,203,214,2,4,2,1,0,188,213,8,3,0
45011000008,45,011,000008,30,443,0,2,1,0,0,47,386,9,6,0
45011000009,45,011,000009,163,242,9,2,0,0,1,154,242,8,1,0
45011000010,45,011,000010,460,112,4,2,2,1,0,437,124,2,3,0
45011000011,45,011,000011,76,546,0,1,5,0,2,89,504,3,2,0
45011000012,45,011,000012,387,450,7,1,1,0,0,367,418,12,8,0
45011000013,45,011,000013,579,327,10,5,3,4,0,550,345,3,2,0
45011000014,45,011,000014,122.34,257.2,5.78,0,1.93,0.96,0,122.34,256.24,6.74,1.93,0
45011000015,45,011,000015,225.69,360.9,7.07,0.98,2.03,5.9,0,212,359.89,8.08,5.94,0
45011000016,45,011,000016,4.97,7.9,0.15,0.02,0.04,0.13,0,4.66,7.87,0.18,0.13,0
45013000101,45,013,000101,351.74,171.54,10.21,9.04,4.09,3,1.02,337.44,187.99,12.13,1.02,3
45013000102,45,013,000102,307,294,35,5,1,1,0,245,367,16,1,1
45013000103,45,013,000103,288.1,421.02,34.97,5.99,14,0.03,3.01,237.92,495.14,21.99,4,0
45013000110,45,013,000110,315.32,501.32,16.77,5.87,11.74,0.84,2.52,296.02,527.33,13.42,5.03,2.51
45013000111,45,013,000111,508.54,128.27,16.88,3,0.02,3.97,0.99,470.84,149.12,10.93,3.98,0
45013000112,45,013,000112,540.95,449.15,25.2,8.12,16.24,1.16,3.48,465.36,533.01,17.56,6.96,0.49
45013000113,45,013,000113,320.98,570.06,26.55,3.18,4.23,5,3.07,281.48,575.43,28.43,8.25,4
45013000114,45,013,000114,441.02,555.94,30.45,9.82,12.77,0,3.93,413.52,576.57,23.57,13.75,0
45013000115,45,013,000115,390.24,763.71,26.15,3.18,12.73,4.02,3.97,323.94,842.64,16.76,3.18,0
45013000116,45,013,000116,192.57,112.61,5.07,10.89,6.92,2.01,0.01,196.23,115.74,5.02,3.98,0.99
45013000120,45,013,000120,415.28,765.21,29.73,3.24,18.36,0,0,280.4,912.91,12.29,3.05,1.01
45013000121,45,013,000121,268.25,512.99,25.93,5.67,9.72,0.81,0,228.54,559.18,13.78,2.43,0.81
45013000130,45,013,000130,342.95,527.91,44.31,4.82,11.56,0,0.96,305.38,567.41,26.97,9.63,0.96
45013000131,45,013,000131,451.97,548.38,29.67,1.13,5.1,0.12,0.1,354.3,657.75,9.49,0.15,3.07
45013000132,45,013,000132,293,773,35,9,9,5,4,226,862,21,1,0
45013000133,45,013,000133,272,506,22,7,12,0,0,223,570,10,1,0
45013000134,45,013,000134,203.53,395.76,11.43,5.16,8.4,2.09,0.02,172.04,427.55,16.3,4.14,0.01
45013000135,45,013,000135,223,485,17,14,5,1,1,170,551,11,1,0
45013000140,45,013,000140,259.49,433.08,21.28,5.2,5.79,2.05,0,207.83,486.42,13.84,5.2,1
45013000141,45,013,000141,228.43,458.65,23.38,3.6,14.39,0.9,0,179.86,519.81,15.29,3.6,0
45013000142,45,013,000142,283.75,382.6,32.04,8.24,6.41,0.92,0.92,239.81,432.03,17.39,3.66,0
45013000150,45,013,000150,323.77,363.41,14.01,3.04,3.99,5.97,4.9,278.39,397.13,12.96,3.98,0
45013000151,45,013,000151,380.92,354.6,22.67,7.66,5.52,6,0.08,356.17,385.77,16.39,4.28,0
45013000160,45,013,000160,490.33,234.02,13.86,4.95,2.97,1,0.99,455.65,249.91,4.95,1.99,0
45013000161,45,013,000161,312,354,9,6,7,5,1,314,341,17,8,0
45013000162,45,013,000162,428.6,158.6,5.01,2,3.99,0.01,0.99,395.91,174.46,4,3.98,0
45013000163,45,013,000163,560.07,396.41,21.68,5.31,8.21,3.22,1,560.87,401.23,12.26,6.4,0
45013000170,45,013,000170,404.49,277.57,9.13,3.65,2.74,2.74,0,373.44,306.79,3.65,4.57,0
45013000174,45,013,000174,534.25,72.15,4.61,2.55,5.35,1.42,0.12,508.34,97.28,0.5,3.92,0
45013000179,45,013,000179,150.73,210.13,12.95,2.99,4.99,0,0,146.64,206.28,11.94,7.96,0.99
45013000180,45,013,000180,540.71,117.88,14.83,2.62,0.87,0,0,511.9,144.95,8.72,2.62,2.62
45013000181,45,013,000181,685.39,182.62,15.01,3,1,0,0,649.42,197.73,10,1.01,0.02
45013000182,45,013,000182,385,658,31,6,12,1,3,217,852,4,4,0
45013000183,45,013,000183,510.57,303.98,8.85,2.95,7.87,0.98,0.98,480.07,335.46,6.89,3.94,0
45013000184,45,013,000184,663,197,5,4,8,3,3,615,225,9,2,3
45013000185,45,013,000185,340.49,555.51,16.77,2.31,7.1,5,0,285,622.64,9.05,0.3,0.29
45013000186,45,013,000186,252.48,422.1,30.83,7.23,7.57,0.02,2.05,214.55,472.13,16.14,1.43,1.04
45013000187,45,013,000187,192.03,389.97,14.77,0.98,17.73,2.95,0.98,155.59,438.23,10.83,3.94,0
45013000200,45,013,000200,109.44,176.68,10.49,0.03,2.89,0.02,0,91.39,196.63,6.69,0.02,0.01
45013000201,45,013,000201,231.58,228.3,12.04,1.64,6.57,3.28,0.55,206.95,243.63,9.31,5.47,0.55
45013000202,45,013,000202,605.42,538.7,23.96,2.36,8.43,2.72,1.45,506.05,616.37,15.69,5.53,0.45
45013000203,45,013,000203,470.88,506.77,25.27,8.77,2.96,0,0.01,414.07,555.53,10.78,4.87,0.04
45013000204,45,013,000204,617.67,366.93,23.35,12,12.5,3.72,0.15,565.08,403.93,25.19,5.24,0
45013000205,45,013,000205,391.52,839.08,15.27,7.07,4.99,0,0.99,253.34,952.45,13.03,4.04,2.96
45013000206,45,013,000206,228,436,24,1,5,1,1,142,510,6,5,0
45013000207,45,013,000207,194,358,21,1,9,0,0,138,435,7,4,1
45013000208,45,013,000208,565.27,906.35,45.68,6.39,11.43,1.54,1.63,385.48,1053.81,14.1,7.09,0.54
45013000209,45,013,000209,344,444,21,9,4,1,1,271,507,13,1,1
45013000210,45,013,000210,96.79,144.49,6.69,0.56,3.07,0.28,0.84,67.78,173.22,2.79,0.56,0.28
45013000211,45,013,000211,351,509,13,5,4,2,0,229,603,15,0,0
45013000212,45,013,000212,287,474,29,1,5,0,0,203,552,11,2,0
45013000213,45,013,000213,341.93,556.66,29.5,4.51,10.07,1.22,0.53,247.94,653.24,14.06,0.42,1.18
45013000214,45,013,000214,375.64,638.11,35.26,1.55,20.91,4.25,0.85,280.95,749.59,21.1,2.57,0
45013000216,45,013,000216,267.89,432.06,18.49,3.35,2.62,0,0,220.44,474.43,7.57,4.13,0
45013000217,45,013,000217,338.64,539.47,20.67,2.95,8.86,0,0,261.86,608.38,8.86,0,0
