GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39003002ADE,39,003,002ADE,416,100,19,1,2,440,72,3,10,9
39003002ADF,39,003,002ADF,424,119.4,19.2,1.1,3,448.3,89.1,7,9.1,8.1
39003002ADG,39,003,002ADG,312.8,149.4,17,6,2,345.7,113.4,5,8,9
39003002ADI,39,003,002ADI,324.6,187.9,26.1,2.1,1.1,346.4,156.7,6.3,10.7,12.5
39003002ADQ,39,003,002ADQ,378.4,100.1,18,1,3,378.4,80.1,7,11,12
39003002ADR,39,003,002ADR,428,104,12,4,3,446,82,3,6,2
39003002ADT,39,003,002ADT,431.3,77.4,14.9,1,1,434,64.5,3,11.9,11
39003002ADU,39,003,002ADU,164.7,22.6,4.1,1,0,154.9,18.5,0,4.1,8
39003002ADW,39,003,002ADW,530,115,27,5,3,546,98,7,9,13
39003002ADY,39,003,002ADY,396.6,105.7,18.6,1.1,4,398,99.7,3.7,8.1,1.5
39003002ADZ,39,003,002ADZ,477,90,15,4,1,487,77,2,7,8
39003002AEA,39,003,002AEA,366,66,21,3,3,384,60,3,1,5
39003002AEB,39,003,002AEB,396,81,15,2,4,397,72,5,9,6
39003002AEC,39,003,002AEC,247.3,127.3,16,5.1,3.1,250.7,116.4,9.4,7.9,9.6
39003002AED,39,003,002AED,359.9,86.2,19.9,0.9,0,378.8,72,1.9,5.7,4.7
39003002AEE,39,003,002AEE,431,176,25,3,4,458,146,6,7,8
39003002AEF,39,003,002AEF,430,144,15,3,3,448,122,3,8,10
39003002AEG,39,003,002AEG,272.3,88.1,12.2,5.2,3.5,277.5,72.4,5.2,9.6,9.6
39003002AEN,39,003,002AEN,679,103,25,3,3,679,84,12,6,18
39003002AEO,39,003,002AEO,151.6,28.8,7.5,0.2,1.1,156.6,24.6,1.1,2.2,3.4
39003002AEQ,39,003,002AEQ,618.4,87.2,17.5,5.8,1.9,619.4,80.4,3.9,7.8,10.7
39003002AES,39,003,002AES,615,102,14,6,5,618,90,6,15,10
39003002AET,39,003,002AET,583.6,117.7,15.1,9,3,597.9,93.3,2.1,16.9,11
39003002AEW,39,003,002AEW,185.9,57.6,5.2,3,0,187,45.6,5,4.1,0.1
39003002AEX,39,003,002AEX,416,45,9,1,4,424,30,3,5,7
39003002AEY,39,003,002AEY,351,46.4,10.8,0,3,355,40.4,3,3.9,8.9
39003002AEZ,39,003,002AEZ,491,89,20,5,4,515,72,2,7,11
39003002AFB,39,003,002AFB,365,133.1,17,3,4,379.9,112.1,5,10,14
39003002AFC,39,003,002AFC,249.4,134.2,8,4,2,230.9,127.4,4.1,12,8.1
39003002AFE,39,003,002AFE,121.7,12.3,7,0,1,114.8,22.2,2,2,1
39003002AFF,39,003,002AFF,390.7,114,25,1,4,424.6,92.1,9,6,3
39003002AFG,39,003,002AFG,413,101.6,18.4,2.9,1.9,442.1,79.3,3.9,3.9,5.8
39003002AFI,39,003,002AFI,404.8,280.1,17.6,5.1,1.1,473.7,216.5,7.1,6.1,9.2
39003002AFJ,39,003,002AFJ,319.8,244,22,6,1,355.8,210,10,4,9
39003002AFK,39,003,002AFK,381,172,29,4,5,443,123,5,8,4
39003002AFN,39,003,002AFN,418,130,20,3,1,442,99,4,5,6
39003002AFO,39,003,002AFO,366.9,148.9,16,5,2,394.8,123,11,4,10
39003002AFP,39,003,002AFP,337.9,106.2,20,5,3.2,345.3,87.7,9.2,6.2,11.5
39003002AFQ,39,003,002AFQ,370.4,127.5,21.6,1,3.8,423.8,74.2,2,4.1,9.9
39003002AFR,39,003,002AFR,356,141,17,5,1,362,118,6,7,6
39003002AFS,39,003,002AFS,440,177,11,2,3,475,123,6,7,4
39003002AFT,39,003,002AFT,455,138,17,3,1,497,95,3,3,7
39003002AFU,39,003,002AFU,400,124,28,10,4,426,101,15,12,14
39003002AFV,39,003,002AFV,450,114,18,4,2,456,106,3,8,6
39003002AGB,39,003,002AGB,436.8,158.4,31.5,3.9,1,477.1,119.9,4.9,12.8,16.7
39003002AGC,39,003,002AGC,430.2,135.1,29,5,1,453.2,110,7,7,16
39003002AGD,39,003,002AGD,413,105,16,4,0,412,87,7,10,9
39003002AGI,39,003,002AGI,352.5,57.6,10.9,1,1,357.4,42.7,2,2,9.9
39003002AGK,39,003,002AGK,353.5,60.4,22.1,4,5,357.6,58.3,10,7,11.1
39003002AGL,39,003,002AGL,336,62,10,2,6,340,57,2,8,9
39003002AGN,39,003,002AGN,536,100,17,1,1,545,80,4,6,12
39005003AAA,39,005,003AAA,467,210,14,5,4,481,167,5,19,9
39005003AAB,39,005,003AAB,482,255,42,3,4,558,197,9,12,7
39005003AAD,39,005,003AAD,534.1,210.3,17.3,7,5,558.4,166.2,8.1,7.1,13.1
39005003AAF,39,005,003AAF,375.9,108.1,22.8,2,5,410.7,89.3,1,16.9,6
39005003AAG,39,005,003AAG,470,161,41,4,4,458,154,13,17,16
39005003AAH,39,005,003AAH,491.5,242.2,44,8,5,510.5,202.2,22,15,23
39005003AAJ,39,005,003AAJ,458.2,193.4,34.7,2,6.9,495.9,166.6,7.9,12.9,9.9
39005003AAQ,39,005,003AAQ,301,161,29,3,8,316,143,5,15,9
39005003AAS,39,005,003AAS,458,244,30,8,9,496,196,7,17,11
39005003AAU,39,005,003AAU,425.5,195.7,19.1,1,7,479.4,131.9,6,13,8
39005003AAV,39,005,003AAV,194,101,15,2,1,190,92,7,8,6
39005003AAZ,39,005,003AAZ,325.8,130.3,20.5,9.1,4,310.6,123.1,7.2,10.2,20.3
39005003ABB,39,005,003ABB,202.3,105.5,13,8,4,185.2,100.4,10,20,7.1
39005003ABC,39,005,003ABC,355.8,144.7,13.9,4,6.9,343.1,132.8,10.9,19.8,13.6
39005003ABG,39,005,003ABG,748,151,30,11,9,712,153,13,22,26
39005003ABI,39,005,003ABI,532.1,183,28,4,8,520,164,15,17.1,21
39005003ABJ,39,005,003ABJ,314.9,83,15,2,1,298,75,9,16.9,11
39005003ABN,39,005,003ABN,565.6,223.1,40.2,6.3,4.2,600,180.2,12.6,16.7,11.3
39005003ABO,39,005,003ABO,589.4,231.9,33.8,8.7,5.8,603,205.8,17.4,21.3,7.7
39005003ABS,39,005,003ABS,474,197,30,4,5,478,171,12,25,16
39005003ABT,39,005,003ABT,704,181,27,6,2,675,172,16,15,14
39005003ABV,39,005,003ABV,224,68,16,4,4,232,66,7,4,6
39005003ABZ,39,005,003ABZ,648.6,153.2,20,10,6,646.6,125.2,12,19,14
39005003ACA,39,005,003ACA,324.3,66,6.2,0,6,305.6,68.8,3,12.1,5
39005003ACB,39,005,003ACB,153.9,62,8,2,0,142.9,59,4,12,3
39005003ACC,39,005,003ACC,587.1,146,36,3,13,575.1,130,12,29,11
39005003ACE,39,005,003ACE,397.5,95.8,18.9,1,2,418.5,75.7,5,7,6
39005003ACF,39,005,003ACF,482.5,125.8,28.6,3,3.1,471.7,115.8,10.9,11,17
39005003ACH,39,005,003ACH,329,60,13,2,1,315,66,3,12,1
39005003ACI,39,005,003ACI,585,167,22,5,5,559,135,17,25,12
39005003ACJ,39,005,003ACJ,349,81,20,3,3,346,68,8,10,13
39005003ACM,39,005,003ACM,743,170,27,3,4,707,155,6,34,21
39005003ACN,39,005,003ACN,342,93,13,5,3,339,80,8,10,10
39005003ACO,39,005,003ACO,453,115,17,7,3,409,119,13,22,10
39005003ACP,39,005,003ACP,331,120,14,6,5,301,111,11,21,8
39005003ACQ,39,005,003ACQ,443,110,30,3,3,402,131,4,14,14
39005003ACS,39,005,003ACS,470,131,12,0,2,453,127,6,13,16
39005003ACT,39,005,003ACT,634.4,133.1,25,14,6,600.4,141.1,17,23,16
39005003ACV,39,005,003ACV,526.6,130.9,19,6,5,507.6,126.9,6,5,15
39007004AAA,39,007,004AAA,244,296,20,7,4,262,262,19,16,5
39007004AAB,39,007,004AAB,202,225,12,4,2,235,191,12,6,3
39007004AAC,39,007,004AAC,145,238,16,4,3,162,217,8,9,7
39007004AAE,39,007,004AAE,136,176,6,2,3,143,157,11,3,5
39007004AAH,39,007,004AAH,179.5,243.5,14.3,7.6,4.8,178.6,220.6,16.2,11.5,9.6
39007004AAI,39,007,004AAI,183.6,260.2,12.6,8.3,2.2,190.5,228.3,17.7,13.5,8.4
39007004AAJ,39,007,004AAJ,109.9,138.2,6.1,5,2,100.9,133.1,13.1,5.1,5
39007004AAM,39,007,004AAM,67,128,7,3,2,89,107,4,2,6
39007004AAN,39,007,004AAN,41,83,3,1,2,36,89,2,2,1
39007004AAO,39,007,004AAO,76,127,6,5,4,83,106,11,7,7
39007004AAP,39,007,004AAP,82,115,7,2,3,81,110,5,6,5
39007004AAQ,39,007,004AAQ,39,165,5,0,4,49,143,5,7,5
