GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39035018BJC,39,035,018BJC,321.5,462.5,25.7,8.2,3.3,374.5,362.1,26.1,16.8,8.5
39035018BJF,39,035,018BJF,250,407,22,12,4,301,316,18,19,13
39035018BJG,39,035,018BJG,289,428,15,5,4,323,358,19,17,9
39035018BJI,39,035,018BJI,188,376,20,2,5,216,332,10,10,9
39035018BJJ,39,035,018BJJ,151,234,11,5,2,156,200,10,14,4
39035018BJK,39,035,018BJK,163,260,11,5,4,180,220,9,14,15
39035018BJM,39,035,018BJM,258,373,19,5,3,285,285,19,24,7
39035018BJN,39,035,018BJN,226,320,21,4,4,244,260,12,12,15
39035018BJO,39,035,018BJO,202,355,19,12,1,234,287,17,15,8
39035018BJS,39,035,018BJS,65,606,7,14,0,144,492,21,5,4
39035018BJT,39,035,018BJT,67,550,19,8,4,113,473,19,3,6
39035018BJV,39,035,018BJV,55.7,562.3,19.6,4.9,0,137.9,470.4,6.8,5.9,4.9
39035018BJW,39,035,018BJW,53.4,502.9,14.1,4,0,95,430.2,19,5,8
39035018BJX,39,035,018BJX,145,756,10,9,0,255,616,22,5,5
39035018BJY,39,035,018BJY,113,670,22,4,1,225,543,18,3,6
39035018BKG,39,035,018BKG,47,711,18,9,3,85,641,15,8,9
39035018BKH,39,035,018BKH,136.7,776.5,11.9,13.1,3.1,244.8,660.8,21,6.1,0.1
39035018BKI,39,035,018BKI,141,726,14,11,0,259,605,20,6,5
39035018BKM,39,035,018BKM,94.6,610.5,13.1,6.6,0.9,155.4,531.9,19.7,4.7,1.9
39035018BKO,39,035,018BKO,92,685,24,12,0,152,603,26,7,10
39035018BKQ,39,035,018BKQ,126,721,20,8,0,235,618,20,3,2
39035018BKW,39,035,018BKW,30,563,7,11,2,49,523,18,7,5
39035018BKX,39,035,018BKX,53,610,12,16,2,117,541,17,5,0
39035018BKY,39,035,018BKY,25.6,375.2,5.3,14.1,0.9,35.3,333.7,20.3,7.1,8.8
39035018BKZ,39,035,018BKZ,48.4,509,8.9,5.9,0,89.9,438.8,23.7,3,4
39035018BLB,39,035,018BLB,75,517,20,7,1,136,453,12,3,0
39035018BLC,39,035,018BLC,29,488,10,8,0,51,446,13,5,12
39035018BLG,39,035,018BLG,112.5,714,11.5,3.3,2.1,141.7,653.2,15.2,7.3,9.7
39035018BLH,39,035,018BLH,285,421,9,2,5,312,370,4,8,4
39035018BLK,39,035,018BLK,133,493,12,10,2,161,447,16,6,3
39035018BLM,39,035,018BLM,45,693,9,12,4,86,610,32,7,9
39035018BLO,39,035,018BLO,136,588,12,6,3,151,526,20,13,7
39035018BLQ,39,035,018BLQ,245,546,5,2,1,280,466,11,8,6
39035018BLR,39,035,018BLR,107,800.2,12.9,9.9,2,193.1,697.2,9.9,7.9,6.9
39035018BLS,39,035,018BLS,68.6,690.3,6,3.3,0,108.4,615.5,11.3,4.3,5.2
39035018BLT,39,035,018BLT,68.4,577.8,4.2,4.2,0.2,100.1,501.4,15.7,4.2,2.4
39035018BLZ,39,035,018BLZ,72,813,21,11,3,132,739,15,15,4
39035018BMA,39,035,018BMA,55,784,3,8,3,85,707,10,11,8
39035018BMD,39,035,018BMD,21.1,830.6,2,8,1,36.2,751.5,9,8,6
39035018BMF,39,035,018BMF,58,797,12,5,3,92,722,16,11,4
39035018BMH,39,035,018BMH,48.7,768.4,5,11.9,3,85.4,694,19.8,17.8,4
39035018BMI,39,035,018BMI,45.8,873.7,1.4,8.1,1,69.2,820.7,9.6,8.4,5.1
39035018BMQ,39,035,018BMQ,8.6,544.3,0.9,2.9,0.9,19,476.8,7.6,7.6,7.6
39035018BMR,39,035,018BMR,13.8,522.2,1.4,5.6,1.3,26.8,457.6,1.4,7.8,1.4
39035018BMS,39,035,018BMS,18,484,2.8,5,1.1,29.8,427.6,6,12,3.2
39035018BMW,39,035,018BMW,7,372,0,2,2,13,338,5,7,4
39035018BNF,39,035,018BNF,10,445,2,1,2,18,397,2,12,5
39035018BNG,39,035,018BNG,6.1,434,1,1,1,12.6,389.4,2.1,11.2,6
39035018BNJ,39,035,018BNJ,10.1,400.3,0,5,2,17.1,357.4,6.1,5.2,7.1
39035018BNM,39,035,018BNM,12.4,344.6,1,4.8,0,23,317.8,6.7,5.7,1.9
39035018BNN,39,035,018BNN,6,451,3,4,2,22,392,3,4,5
39035018BNV,39,035,018BNV,4,315.6,2,5,0,15,279.6,8,2,1
39035018BNW,39,035,018BNW,8,463,3,3,1,15,423,5,9,4
39035018BNY,39,035,018BNY,42.4,503.1,4.8,1,0,60.7,444.3,9.6,7.7,2.9
39035018BNZ,39,035,018BNZ,8,446,1,4,1,23,394,3,3,7
39035018BOA,39,035,018BOA,6,453,0,2,0,7,410,2,3,1
39035018BOB,39,035,018BOB,5,416,3,5,3,20,369,2,8,4
39035018BOK,39,035,018BOK,171,302,16,9,0,218,238,12,13,2
39035018BOM,39,035,018BOM,100,425,7,4,2,112,372,12,9,8
39035018BON,39,035,018BON,103,489,12,3,1,132,427,7,5,12
39035018BOO,39,035,018BOO,143,452,19,4,1,174,394,13,12,5
39035018BOP,39,035,018BOP,84,487,3,10,2,111,428,9,14,4
39035018BOR,39,035,018BOR,110.7,441.8,7.8,2.8,1.4,118.3,393.2,8,5.7,5
39035018BOS,39,035,018BOS,202,416,21,5,2,269,343,8,15,10
39035018BOT,39,035,018BOT,215,539,18,8,2,267,464,11,14,5
39035018BOU,39,035,018BOU,100,533,8,6,4,131,469,14,8,7
39035018BOW,39,035,018BOW,94,436,4,7,1,109,388,11,8,10
39035018BPD,39,035,018BPD,117,451,9,2,2,140,402,7,15,3
39035018BPE,39,035,018BPE,67,368,3,7,3,87,320,13,4,3
39035018BPF,39,035,018BPF,22.9,508,3.2,3.2,1.6,38.7,450.5,7.9,9.5,3.9
39035018BPH,39,035,018BPH,112,378,6,3,3,137,333,5,4,11
39035018BPJ,39,035,018BPJ,77,339,5,6,1,86,306,9,8,4
39035018BPK,39,035,018BPK,4.8,14.2,0.3,0.1,0,5,12.6,0.3,0.1,0.2
39035018BPL,39,035,018BPL,213.6,314,17.7,3.9,1,248.1,269.7,8.9,18.7,4.9
39035018BPM,39,035,018BPM,193,343,14,4,2,214,297,11,9,8
39035018BPN,39,035,018BPN,167,387,14,6,1,188,315,15,12,7
39035018BPZ,39,035,018BPZ,41.8,250.6,0.9,0,0,48.3,202.3,0.9,7.4,3.7
39035018BQA,39,035,018BQA,144,475,9,5,2,162,422,9,11,7
39035018BQC,39,035,018BQC,60,517,5,4,2,58,481,11,6,12
39035018BQD,39,035,018BQD,111,396.5,5.1,3.1,2,115.5,352.6,3.1,16.1,8
39035018BQE,39,035,018BQE,4.9,410.7,4.9,2.9,0,15.6,370.6,6.8,5.9,2
39035018BQF,39,035,018BQF,91,422,2,1,1,98,367,13,6,3
39035018BQH,39,035,018BQH,130,418,10,3,0,149,359,12,14,5
39035018BQI,39,035,018BQI,165,530,14,5,2,172,490,12,14,10
39035018BQJ,39,035,018BQJ,180,449,13,8,1,184,403,12,18,13
39035018BQK,39,035,018BQK,184.1,465.3,7.1,6.1,3,209.4,404.4,9.2,13.1,10
39035018BQT,39,035,018BQT,55.6,464.7,4.4,2.7,0.9,72.5,427.2,4.5,7.1,5.4
39035018BQU,39,035,018BQU,72,484.6,1.9,5.8,1,83.5,450.1,7.7,2.9,10.6
39035018BQV,39,035,018BQV,38.8,496.7,5.7,5.8,1,69.4,446.6,7.8,2.9,4.1
39035018BQW,39,035,018BQW,17,928,0,3,4,40,776,8,15,13
39035018BQX,39,035,018BQX,35.1,517.1,2.3,0.3,1,42.8,465.4,7.4,12.2,11.2
39035018BQY,39,035,018BQY,151.8,492.6,7.6,4.8,1.9,191.4,413.8,12.4,11.6,7.6
39035018BQZ,39,035,018BQZ,88,493.5,8.9,7.9,1,133.5,417.4,9.9,12.9,4
39035018BRC,39,035,018BRC,116.1,654.7,12.2,5,4,151.7,585.4,10.2,12.7,8.3
39035018BRD,39,035,018BRD,174.2,716.1,7.6,4.3,3.1,243,600.2,11.9,22.7,5.5
39035018BRE,39,035,018BRE,25,539,1,4,2,41,464,10,13,9
39035018BRM,39,035,018BRM,342.4,390.5,16.6,5.1,6,458.4,275.5,7.2,6.2,5.1
39035018BRN,39,035,018BRN,246,332,23,11,1,331,237,11,13,7
39035018BRP,39,035,018BRP,200.6,332.9,17.1,9,2,263.8,251.6,13,8,6
39035018BRS,39,035,018BRS,61.7,88.3,5.7,2.9,0.9,62.6,75.9,3.8,1.9,10.4
39035018BRU,39,035,018BRU,284,381,30,6,1,334,310,21,8,7
39035018BRV,39,035,018BRV,313.3,453.7,22.3,9.2,8.1,370.4,353.1,12.2,21.1,8.6
39035018BRX,39,035,018BRX,312,368,18,3,0,356,287,7,12,2
39035018BRZ,39,035,018BRZ,323,410,20,7,2,412,297,16,12,5
39035018BSA,39,035,018BSA,260.4,384.1,24.9,9,2,348.2,276.4,17,10,14
39035018BSE,39,035,018BSE,401,454,26,9,1,426,355,24,19,14
39035018BSG,39,035,018BSG,311,489,32,10,5,377,385,17,24,12
39035018BSJ,39,035,018BSJ,427,401,30,2,5,505,292,20,10,8
39035018BSM,39,035,018BSM,401,438,27,9,3,463,347,17,27,9
39035018BSP,39,035,018BSP,58.9,703.5,6.6,6.3,3.1,81.3,626.5,9.5,11.8,11.5
39035018BSQ,39,035,018BSQ,8.1,577.5,0,1.8,0,19.7,523.8,2.7,6.3,2.7
39035018BSR,39,035,018BSR,9.4,521.1,1,2,1,20.3,472.6,7.9,6,4
39035018BSX,39,035,018BSX,133,380.6,13.4,10.2,0.1,144.3,334.3,14.5,12.8,5.4
39035018BSY,39,035,018BSY,176.3,400.8,11.8,5.9,0,183.2,350.4,9.9,11.8,9.9
39035018BTA,39,035,018BTA,128.3,331.2,9.6,5.8,2,152.3,278.8,5.8,8.7,8.7
39035018BTG,39,035,018BTG,191.5,569.2,17,17.1,5,203.9,499.8,17.4,15.5,16.7
39035018BTI,39,035,018BTI,185.9,544.2,10.8,6.9,4,192,479.4,16.6,24.6,10
39035018BTM,39,035,018BTM,114.5,292.3,7.7,3.6,0.9,109.9,264.8,9.3,9.3,6
39035018BTN,39,035,018BTN,214,399,11,8,4,228,360,9,14,6
39035018BTO,39,035,018BTO,180.5,433,15.1,10.1,2,214.5,357.8,12.1,12.1,9.1
39035018BTT,39,035,018BTT,253.2,476.4,20,6,1,259.2,406.4,19,17,15
39035018BTU,39,035,018BTU,260.8,532.6,19,6,4,282.8,458.6,19,30,9
39035018BUA,39,035,018BUA,220,447.9,15,4,0,249,387,3,20,8
39035018BUB,39,035,018BUB,207,413.1,9,6,4,223,352,8,17,12
39035018BUD,39,035,018BUD,225.7,406,16.6,5.3,4.1,265.9,345.7,8.6,15.4,8.2
39035018BUJ,39,035,018BUJ,276,529,9,6,5,279,459,12,24,8
39035018BUK,39,035,018BUK,174.3,414,14.4,7.7,2.9,205.1,353.3,15.4,10.6,3.9
39035018BUL,39,035,018BUL,201,416,11,3,2,205,373,7,16,5
39035018BUP,39,035,018BUP,353.1,314.2,12.2,2,2,441.7,223.7,6,6,5
39035018BUQ,39,035,018BUQ,318.9,269.8,16.6,2,1,391.4,196.5,11.4,1.4,3
39035018BUS,39,035,018BUS,373.2,335.6,11.9,7.9,0,481.2,229.7,10.9,4,4
39035018BUT,39,035,018BUT,282.7,302.7,16.5,4,1,376.5,218,3.1,4.1,5
39035018BUW,39,035,018BUW,314.8,263.2,18.5,2,0,416.3,167.5,4,3.9,0
39035018BUX,39,035,018BUX,337.4,248.5,19.3,2.9,1.9,391.5,177.9,8.7,5.8,6.8
39035018BUZ,39,035,018BUZ,331.3,265.4,21.4,4,2,393.9,187.6,8.6,8.6,5
39035018BVA,39,035,018BVA,355.6,301.5,15.7,5.1,2.1,385.5,259.1,6.3,7.2,3.2
39035018BVD,39,035,018BVD,541.6,348.8,14.8,6.4,0,590.2,239.4,12,16.6,9.2
39035018BVF,39,035,018BVF,471.9,280.7,27.3,7.8,2,495.3,221.1,8.9,16.6,11.7
39035018BVH,39,035,018BVH,503.4,253.5,29.7,4.5,0,544.7,184.2,12.7,5.6,7.2
39035018BVI,39,035,018BVI,589,329,19,7,0,608,255,10,17,17
39035018BVJ,39,035,018BVJ,447.8,261,27.6,5,3,483.7,189.2,15.3,15.6,7.5
39035018BVM,39,035,018BVM,323.4,569.5,26.1,7.9,1,492.5,410.1,12.1,6.2,7
39035018BVO,39,035,018BVO,179,456,28,14,2,279,365,17,9,6
39035018BVP,39,035,018BVP,193,481,27,15,0,251,397,18,11,7
39035018BVQ,39,035,018BVQ,198,439,21,16,2,244,377,18,13,3
39035018BVR,39,035,018BVR,199,464,26,6,1,284,359,19,10,3
39035018BVU,39,035,018BVU,142,426,24,11,1,190,358,20,12,4
39035018BVW,39,035,018BVW,194,527,33,8,5,260,432,22,14,11
39035018BVX,39,035,018BVX,187,437,26,11,0,228,397,17,4,4
39035018BWA,39,035,018BWA,158,586,26,15,3,218,482,29,17,8
39035018BWG,39,035,018BWG,162.3,576.5,28.9,3.1,2,276,456.1,18.8,16.8,5
39035018BWH,39,035,018BWH,160,469,20,5,2,193,397,20,9,9
39035018BWI,39,035,018BWI,204,520,42,10,0,282,442,18,17,9
39035018BWK,39,035,018BWK,137,560,32,15,1,188,481,23,9,9
39035018BWL,39,035,018BWL,201,473,41,8,1,258,413,21,6,9
39035018BWP,39,035,018BWP,140,443,36,12,1,220,354,18,9,7
39035018BWQ,39,035,018BWQ,191,564,28,10,3,258,445,28,17,12
39035018BWR,39,035,018BWR,230,608,33,4,3,282,517,33,16,4
39035018BWU,39,035,018BWU,168,409,18,7,2,195,349,14,11,11
39035018BXC,39,035,018BXC,287.3,483,24,5,3,397.5,369.8,12,8,4
39035018BXF,39,035,018BXF,146,371,17,5,1,216,289,15,10,4
39035018BXI,39,035,018BXI,181,522,20,10,1,255,410,20,12,8
39035018BXK,39,035,018BXK,184,505,20,4,4,248,397,23,6,6
39035018BXL,39,035,018BXL,137,351,7,12,2,164,283,19,14,12
39035018BXM,39,035,018BXM,199,542,33,7,3,266,456,26,9,6
39035018BXN,39,035,018BXN,191.5,598.3,29.3,11.6,4.2,266.7,492.8,31.4,13.4,11.6
39035018BXO,39,035,018BXO,179.5,401.7,24.7,11.4,2.9,220.3,336.2,25.6,8.6,11.4
39035018BXP,39,035,018BXP,170,537,26,9,0,234,447,27,8,12
39035018BXV,39,035,018BXV,191.9,383.8,15.9,5.6,1.9,249.9,308.9,6.6,3.7,4.7
39035018BXW,39,035,018BXW,147.7,361.9,12.7,7.6,0.6,182.5,309.9,12.7,8.9,5.1
39035018BXX,39,035,018BXX,130,462,30,12,2,167,395,25,11,10
39035018BXZ,39,035,018BXZ,55,369,20,9,0,72,322,22,2,12
39035018BYC,39,035,018BYC,282.4,854.3,46.4,13.8,1.5,396.5,703.2,25.8,14.4,16.2
39035018BYD,39,035,018BYD,147,503,16,15,2,199,409,23,11,8
39035018BYF,39,035,018BYF,92,358,16,7,3,112,299,16,15,13
39035018BYG,39,035,018BYG,158,456,18,8,1,173,400,20,12,8
39035018BYH,39,035,018BYH,95,376,10,11,1,131,300,15,8,8
39035018BYK,39,035,018BYK,106,340,10,4,1,125,275,19,11,10
39035018BYQ,39,035,018BYQ,211.9,396.8,18.7,5.6,2.8,295,291.3,12.1,12.1,2.8
39035018BYR,39,035,018BYR,299.3,439.7,18.4,6.8,1.9,379.7,332.2,20.3,4.8,3.9
39035018BYS,39,035,018BYS,219,382,7,2,2,287,298,12,6,1
39035018BYW,39,035,018BYW,343.7,513.5,29.3,12.7,1.3,430.7,411.3,18.8,8.1,10.7
39035018BYX,39,035,018BYX,397,472,24,8,0,457,384,10,7,8
39035018BZB,39,035,018BZB,212.7,549.4,4.9,3.9,4.8,320.5,421.2,4.9,5.8,9.7
39035018BZC,39,035,018BZC,260,456.2,19.3,3.6,4,357.8,343,16,5.4,5.3
39035018BZD,39,035,018BZD,237.8,426.4,17.4,8.6,0,301.7,332.9,17.9,4.4,6.5
39035018BZJ,39,035,018BZJ,228.9,406,20.3,9.4,0.2,310.8,319.6,9.9,6.9,6.2
39035018BZL,39,035,018BZL,254,425,20.8,9.4,2.8,329.6,335.3,14.2,9.4,2.8
39035018BZM,39,035,018BZM,228.5,451,18,4,2,351.2,339.3,6,6,2
39035018BZR,39,035,018BZR,251.9,608.7,6.6,8.2,2,269.1,517.9,16.6,17.4,7.8
39035018BZS,39,035,018BZS,136.4,621.7,6.1,5.1,4,166.9,547.2,6.1,18.4,6.2
39035018BZW,39,035,018BZW,114.7,617.4,5.5,5.5,0.9,139.5,541.2,3.7,19.3,11
39035018BZX,39,035,018BZX,90.9,614.1,5.6,8.3,1.9,115.7,530.2,8.3,12.1,10.2
39035018CAC,39,035,018CAC,165.1,620,14.3,5.4,2,166.9,573.9,13.2,21.2,10.7
39035018CAE,39,035,018CAE,107.6,535.2,7,2,3.9,116.6,475.5,8.1,18.8,9.1
39035018CAG,39,035,018CAG,60,498,4,2,1,77,433,7,12,6
39035018CAH,39,035,018CAH,44,479,1,2,0,60,437,5,7,3
39035018CAJ,39,035,018CAJ,34.1,359.1,6.5,2.4,0.8,41.4,324.9,7.3,7.3,8.1
39035018CAL,39,035,018CAL,79.6,669.3,4.1,6,0,89,614.5,10.2,15.1,9
39035018CAM,39,035,018CAM,62.4,698.4,5,4.4,4.1,87.5,610,13.2,23.1,13.3
39035018CAR,39,035,018CAR,51.4,739.9,6.5,7.2,2.1,62.6,676.8,6.5,17.7,4.2
39035018CAS,39,035,018CAS,51,721,2,2,3,72,633,12,16,9
39035018CAW,39,035,018CAW,35,522,5,2,4,51,462,6,13,3
39035018CAX,39,035,018CAX,41.8,620.2,7.2,3.1,0,62.2,553.2,8.2,12.2,7
39035018CAY,39,035,018CAY,23.6,549.8,7.5,3.8,0.9,39.4,503.9,7.5,10.3,2.8
39035018CBA,39,035,018CBA,263.5,375.6,11.1,3,2,313.5,307.3,9,7.1,4
39035018CBE,39,035,018CBE,89,480,10,6,2,118,421,13,8,7
39035018CBI,39,035,018CBI,331.2,367.3,16.1,4.8,5.7,355.9,292.3,13.3,18,2.9
39035018CBK,39,035,018CBK,170.8,302.7,7.8,5.4,1.6,220.2,233.8,8.5,2.8,3.9
39035018CBM,39,035,018CBM,164.5,298.4,7.9,3,2,229.5,217.7,2,4.9,0
39035018CBP,39,035,018CBP,304,380,22,6,3,335,321,8,10,14
39035018CBR,39,035,018CBR,240,349,19,4,3,265,270,13,9,10
39035018CBT,39,035,018CBT,375,441,32,6,2,398,359,19,19,5
39035018CBV,39,035,018CBV,424,462,30,5,0,473,354,17,5,10
39035018CBX,39,035,018CBX,408,409,31,10,4,443,315,21,12,13
39035018CBY,39,035,018CBY,265.9,678.3,16.4,7,3.8,316.5,570.4,13.1,14.8,9.9
39035018CCA,39,035,018CCA,224,435.7,16.7,2.9,2.9,296.4,332.5,12.1,12.4,5.4
39035018CCB,39,035,018CCB,173.2,222.3,8.4,1.5,0.8,189.3,183.2,4.6,6.9,3.1
39035018CCH,39,035,018CCH,394,380.5,22,5.9,5.9,428.8,280.5,13.6,18.6,16.1
39035018CCI,39,035,018CCI,178,209,3.9,1,1,193.5,164.5,8.7,15.5,2.9
39035018CCJ,39,035,018CCJ,384,431,19,11,4,423,353,13,21,15
39035018CCN,39,035,018CCN,370.1,325.4,23.9,11.9,7,414.9,240.8,22.9,13.9,10.9
39035018CCO,39,035,018CCO,331.2,269.1,31.1,11.1,3,371.5,219.6,8.1,10.1,10.1
39035018CCQ,39,035,018CCQ,264,222,11,11,0,252,197,13,13,10
39035018CCT,39,035,018CCT,387.4,325.5,17,3,1,413.3,249.6,5,20,7
39035018CCV,39,035,018CCV,401.6,327.5,22,5,6,437.7,267.4,13,18,8
39035018CCX,39,035,018CCX,454,368.5,28,10.1,1.1,482.2,284.5,21.4,21.4,6.9
39035018CDB,39,035,018CDB,549,391,23,8,3,583,299,13,18,8
39035018CDD,39,035,018CDD,468,365,42,7,3,510,306,13,21,11
39035018CDI,39,035,018CDI,496,447,36,12,3,541,355,26,15,24
39035018CDJ,39,035,018CDJ,443.2,477,34.4,5.3,3.1,547.3,339.9,11.3,22.5,10.1
39035018CDL,39,035,018CDL,413.8,443.6,22.5,4.5,1.8,506.7,333.6,9,19.8,5.4
39035018CDN,39,035,018CDN,319.9,394.6,30.9,11,5,376.7,308.9,15.9,17.9,7
39035018CDT,39,035,018CDT,436,466,24,13,4,505,349,21,19,26
39035018CDU,39,035,018CDU,336,425,25,5,1,378,336,14,20,6
39035018CDV,39,035,018CDV,316,323,20,9,1,353,266,13,13,9
39035018CDZ,39,035,018CDZ,308,367,23,10,2,361,284,16,21,9
39035018CEB,39,035,018CEB,399,406,20,9,1,446,307,22,22,8
39035018CEE,39,035,018CEE,297,385,19,6,0,342,299,12,16,11
39035018CEF,39,035,018CEF,85.4,98.2,1.2,0.2,0,109.1,70.6,1.2,4.3,0.2
39035018CEG,39,035,018CEG,453.9,455.6,26.5,9.2,3,539.6,327.4,20.4,20.2,13.3
39035018CEH,39,035,018CEH,410,394.4,26.6,11.1,1.1,495.3,283.5,20.8,8.8,13.1
39035018CEJ,39,035,018CEJ,380,424.6,23.1,6.7,1.9,422.5,357.3,3.9,20.1,7.7
39035018CEL,39,035,018CEL,506,441,38,9,2,546,359,15,23,24
39035018CET,39,035,018CET,333,388,24,7,1,381,297,15,23,5
39035018CEW,39,035,018CEW,309.8,412.9,24,9,6,345.8,337.7,19,14.1,12
39035018CEX,39,035,018CEX,340,354.4,17,7,3,425.7,255.7,12,8,5
39035018CEY,39,035,018CEY,321.3,388.2,19,13,7,340.3,314.4,21,27,18
39035018CEZ,39,035,018CEZ,231,337,11,6,1,247,269,11,17,7
39035018CFD,39,035,018CFD,415.1,255.8,26.6,10.6,2.6,426.6,200.9,16.8,15.9,13.3
39035018CFE,39,035,018CFE,505.4,312.6,23.1,8.2,6.2,542.9,224.3,18.9,13.1,9.5
39035018CFG,39,035,018CFG,513.1,344.1,21.6,4.3,3.2,539.4,265.7,16.4,20.2,10.3
39035018CFI,39,035,018CFI,545.8,306.3,20.3,8.9,4.1,587,226.2,21.9,10.8,11.3
39035018CFJ,39,035,018CFJ,563.8,267.1,16.2,4,3.1,565.2,225.6,8.1,17.1,6
39035018CFK,39,035,018CFK,435.8,276.9,18.8,3.1,2.9,493.6,187,9.1,11.2,7.7
39035018CFL,39,035,018CFL,130.1,63.2,5,1,0,146,46.1,2,0,1
39035018CFQ,39,035,018CFQ,447.9,225.7,18.7,5.2,1,504.2,173.7,1.5,8.6,9.1
39035018CFR,39,035,018CFR,538.4,396.2,17.5,7.1,3,557.7,302.2,13.3,15.1,9.1
39035018CFS,39,035,018CFS,415.1,270.3,20.3,4.8,1,451.8,215.3,14.5,15.4,2.9
39035018CFT,39,035,018CFT,193.7,188.8,16.5,4.9,1,206.3,152.8,10.7,4.9,2.9
39035018CFW,39,035,018CFW,474,310.2,19.3,3.9,2.9,505.8,238.9,15.4,18.3,9.6
39035018CFZ,39,035,018CFZ,445.9,281.3,13.6,4.1,3,496.4,195.6,9.3,13.3,11.3
39035018CGB,39,035,018CGB,373,356.8,24.7,5.2,5.1,367.2,293.1,9.6,22.7,17.4
39035018CGC,39,035,018CGC,275.2,259.5,16.7,9.8,3.9,326.3,213.3,8.8,9.8,3.9
39035018CGE,39,035,018CGE,394.8,299.5,16.3,11.2,3.1,432.7,221.7,10.2,15.2,6.1
39035018CGF,39,035,018CGF,480,368,32,7,3,548,271,7,13,8
39035018CGG,39,035,018CGG,394,330,21,9,5,428,274,14,13,8
39035018CGH,39,035,018CGH,353.3,254.2,19,5,5,361.3,214.2,11,26,10
39035018CGI,39,035,018CGI,609.2,302.4,18.4,7.2,3.2,639,231.2,10.5,8.3,9.4
39035018CGK,39,035,018CGK,569.9,278.5,20.4,4.8,6.8,614.8,208.2,9.7,12.6,11.7
39035018CGL,39,035,018CGL,423.5,207.8,7.3,3.9,4,454.1,155.6,7.8,21.1,7
39035018CGN,39,035,018CGN,178.1,196.3,16.9,7.4,0.9,215.2,147.5,7.6,9.3,6.7
39035018CGO,39,035,018CGO,247.7,258.6,26.6,5.2,4,313.6,188.9,9.5,7.3,4.3
39035018CGP,39,035,018CGP,250.4,250.4,20.8,7.6,1.9,288.3,191.8,15.1,9.4,7.5
39035018CGQ,39,035,018CGQ,352.5,345.3,21.8,5.3,4.2,401.9,244.8,19.1,22.3,11.6
39035018CGS,39,035,018CGS,478.4,472.1,27.1,6,0.8,560.8,344,16.2,12.9,12.5
39035018CGT,39,035,018CGT,177.9,207.6,16.3,2.6,0.2,198.2,157.3,11.7,6.6,13.4
39035018CGV,39,035,018CGV,263.2,266.1,17.1,5,2,293.4,214.9,6,11.1,6.1
39035018CGW,39,035,018CGW,277.6,270.9,22.8,7.6,4.8,319.4,212,6.7,12.4,16.2
39035018CGX,39,035,018CGX,185,245,21,3,2,197,192,10,16,10
39035018CGY,39,035,018CGY,275,284,15,15,4,274,242,14,16,11
39035018CHA,39,035,018CHA,402,356,36,8,2,436,277,20,17,8
39035018CHC,39,035,018CHC,205,338,14,8,3,209,292,10,15,13
39035018CHE,39,035,018CHE,312,321,30,12,5,333,275,28,13,12
39035018CHG,39,035,018CHG,270,335,15,6,4,244,313,8,23,10
39035018CHL,39,035,018CHL,288.5,296.9,23.8,7.2,0.9,292.6,243.7,10.9,10.9,20.1
39035018CHM,39,035,018CHM,317.2,296.6,20.5,4.1,7.4,318.8,255.6,9.9,23,12.3
39035018CHS,39,035,018CHS,367,375,25,3,9,374,310,17,31,20
39035018CHU,39,035,018CHU,436.1,426.6,39.1,8.3,3.2,460.5,353.8,14.7,21.9,15.5
39035018CHV,39,035,018CHV,337,335,27,10,1,371,259,17,21,9
39035018CIC,39,035,018CIC,358.1,312.2,26.4,13.1,2,350.6,261.4,17.2,21.4,21.4
39035018CID,39,035,018CID,339.4,317.6,20.2,7.1,3,357.4,237,30.2,12.2,18.2
39035018CIE,39,035,018CIE,361.8,386.4,32.5,7.9,3.6,375.2,304.4,19.1,28,22.7
39035018CIF,39,035,018CIF,266,259,33,15,7,273,229,11,34,14
39035018CII,39,035,018CII,281,224,21,2,5,274,200,8,19,10
39035018CIJ,39,035,018CIJ,247.6,259.4,17.8,9.9,3,249.6,222,16.8,12.8,13.8
39035018CIP,39,035,018CIP,267.3,424.7,20.8,16.8,5,271.3,377.2,24.8,17.8,13.9
39035018CIR,39,035,018CIR,315,373,28,9,5,337,303,28,20,12
39035018CIS,39,035,018CIS,311,370,22,10,3,347,277,15,27,15
39035018CIT,39,035,018CIT,335.7,315,30.3,11.2,1.1,342.9,250.2,25.4,18.3,15.1
39035018CIV,39,035,018CIV,349.7,394.3,35.2,11.2,11.1,355.7,330.8,32.2,16.2,18.1
39035018CJB,39,035,018CJB,462.1,383.3,22.1,6,3,462.3,324.8,13.1,20.2,14.1
39035018CJE,39,035,018CJE,390.7,306.4,19.8,5.7,2.3,400,259.4,6.2,23.8,6.3
39035018CJF,39,035,018CJF,451,296,17,5,1,495,231,8,7,14
39035018CJG,39,035,018CJG,308.4,233.8,5.6,11.2,2.8,289.7,204,9.3,9.3,5.6
39035018CJI,39,035,018CJI,480,330,17,2,3,485,258,16,15,7
39035018CJJ,39,035,018CJJ,362,245.1,11.2,4.3,1.7,395.6,187.5,7.7,5.2,8.6
39035018CJP,39,035,018CJP,361.1,302.2,20.6,3.7,2.8,358.3,248.9,15,21.5,15
