GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39087044ABG,39,087,044ABG,189.76,50.94,2,0,0,167.79,52.93,4,3,4.99
39087044ABH,39,087,044ABH,309.24,80.06,15,3,2,280.21,94.07,7,10,8.01
39087044ABI,39,087,044ABI,182,78,10,3,2,171,85,6,5,5
39087044ABJ,39,087,044ABJ,403,128,12,7,3,361,157,6,6,11
39087044ABK,39,087,044ABK,249,93,4,3,2,219,112,3,6,3
39087044ABL,39,087,044ABL,244.94,153.45,6.89,1.97,5.9,195.75,171.16,3.93,12.79,7.87
39087044ABM,39,087,044ABM,366.06,149.55,11.11,6.03,4.1,329.25,171.84,12.07,8.21,7.13
39087044ABN,39,087,044ABN,309,162,14,7,5,275,183,5,9,5
39087044ABO,39,087,044ABO,221.07,89.03,5,1,3,190.05,104.05,6,11,4
39087044ABP,39,087,044ABP,85,45,5,0,0,89,43,1,0,2
39087044ABQ,39,087,044ABQ,302,78,13,0,4,255,109,2,8,6
39087044ABR,39,087,044ABR,255,92,4,2,1,239,99,3,2,5
39087044ABS,39,087,044ABS,385,86,4,1,3,316,148,0,5,3
39087044ABT,39,087,044ABT,201,42,8,0,1,154,78,1,4,4
39087044ABU,39,087,044ABU,146,30,7,0,1,122,47,1,6,4
39087044ABV,39,087,044ABV,307,125,10,3,0,243,163,3,7,10
39087044ABW,39,087,044ABW,352.62,88.62,6.46,0.92,0,298.16,128.31,3.69,6.46,7.38
39087044ABX,39,087,044ABX,210.99,40,4,0,1,176.99,62,1,2,4
39087044ABY,39,087,044ABY,365.38,115.38,9.54,3.08,2,313.85,135.69,5.31,12.54,6.62
39087044ABZ,39,087,044ABZ,327,156,10,4,0,281,173,10,7,16
39087044ACA,39,087,044ACA,162,51,5,4,0,147,60,2,4,6
39087044ACB,39,087,044ACB,271,133,7,7,0,246,150,8,4,5
39087044ACC,39,087,044ACC,93,34,0,0,0,80,41,0,1,1
39087044ACD,39,087,044ACD,273,88,13,2,2,248,97,9,7,5
39087044ACE,39,087,044ACE,618.8,213.17,21.71,1.97,7.9,585.24,240.81,8.88,14.8,7.9
39087044ACF,39,087,044ACF,256,94,7,3,1,232,104,5,0,8
39087044ACG,39,087,044ACG,397.6,153.46,15.94,1.99,1,374.69,145.49,9.97,9.97,10.96
39087044ACH,39,087,044ACH,213.69,88.89,5.39,0.9,1.8,211.89,90.68,2.69,8.08,0
39087044ACI,39,087,044ACI,533.91,158.48,6.96,3.14,6.31,484.18,178.02,5.46,15.15,9.14
39087044ACJ,39,087,044ACJ,221,83,7,2,1,200,90,11,4,3
39087044ACK,39,087,044ACK,445,131,15,2,0,382,165,3,8,11
39087044ACL,39,087,044ACL,172,38,3,0,1,129,59,1,5,9
39087044ACM,39,087,044ACM,256.82,73.66,3.98,2.99,1,215.02,88.59,5.97,5.97,4.98
39087044ACN,39,087,044ACN,203,46,7,2,0,174,60,2,14,2
39087044ACO,39,087,044ACO,457,113,17,1,5,405,145,5,11,9
39087044ACP,39,087,044ACP,302,106,8,3,1,261,123,3,6,7
39087044ACQ,39,087,044ACQ,399.18,129.34,10.02,0.01,3,348.98,163.41,5.03,8.03,5.02
39087044ACR,39,087,044ACR,428,133,16,2,1,365,162,4,16,11
39087044ACS,39,087,044ACS,301,99,6,0,0,261,121,3,6,4
39087044ACT,39,087,044ACT,160,71,9,1,1,130,96,2,3,5
39087044ACU,39,087,044ACU,89.49,33.24,4.02,0,0,81.44,35.25,1.01,6.01,2.03
39087044ACV,39,087,044ACV,136.51,66.76,5.98,1,1,122.56,68.75,2.99,2.99,8.97
39087044ACW,39,087,044ACW,131,47.47,3.8,2.85,0.95,109.17,63.6,1.9,2.85,1.9
39087044ACX,39,087,044ACX,242,86,11,3,4,221,99,3,4,2
39087044ACY,39,087,044ACY,331.64,99.66,14.5,0.26,1.51,277.63,130.22,4.54,8.34,1.54
39087044ACZ,39,087,044ACZ,177,83,9,0,3,156,97,3,2,5
39087044ADA,39,087,044ADA,126,33,9,2,0,96,49,4,6,4
39087044ADB,39,087,044ADB,266.84,90.61,7.02,1.03,1.01,222.59,123.74,2.05,6.05,4.03
39087044ADC,39,087,044ADC,238.16,79.39,1.98,3.97,0.99,205.41,95.26,5.95,5.95,3.97
39087044ADD,39,087,044ADD,56,18,1,0,1,48,20,0,1,0
39087044ADE,39,087,044ADE,277,73,12,2,2,258,83,2,1,12
39087044ADF,39,087,044ADF,459,131,9,3,3,393,166,2,8,18
39089045AAA,39,089,045AAA,573.98,304.74,26.05,8.04,11.02,626,240.68,11.04,24.05,9.04
39089045AAB,39,089,045AAB,336,239,23,13,4,355,216,19,20,10
