GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39045023ACM,39,045,023ACM,467,181,3,2
39045023ACN,39,045,023ACN,618,247,8,1
39045023ACO,39,045,023ACO,784.8,269.31,10.18,0.93
39045023ACP,39,045,023ACP,469.04,162.97,7.95,0
39045023ACQ,39,045,023ACQ,516,216,12,0
39045023ACR,39,045,023ACR,583.2,244.69,19.82,5.07
39045023ACS,39,045,023ACS,485.96,200.03,8.05,2
39045023ACV,39,045,023ACV,771,118,4,2
39045023ACW,39,045,023ACW,788,325,11,4
39045023ACX,39,045,023ACX,550.09,203.02,5,1
39045023ACY,39,045,023ACY,494,148,5,5
39045023ACZ,39,045,023ACZ,393,176,9,2
39045023ADA,39,045,023ADA,509.81,312.59,12.13,3.01
39045023ADE,39,045,023ADE,379.08,97,4.95,0.99
39045023ADF,39,045,023ADF,561.92,145,7.05,2.01
39045023ADG,39,045,023ADG,406.74,126.92,7.99,2
39045023ADH,39,045,023ADH,630,172,13,0
39045023ADI,39,045,023ADI,487.26,197.08,5.01,3
39045023ADK,39,045,023ADK,292.82,464.09,6.99,0
39045023ADL,39,045,023ADL,466.24,309.48,8.93,1.62
39045023ADM,39,045,023ADM,664.71,489.18,10.92,1.37
39045023ADN,39,045,023ADN,535,453,17,3
39045023ADO,39,045,023ADO,341,322,13,2
39045023ADP,39,045,023ADP,562.97,520.49,11.75,0
39045023ADQ,39,045,023ADQ,392.46,348.12,11.34,0.01
39045023ADR,39,045,023ADR,240,193,5,1
39045023ADS,39,045,023ADS,575.19,343.1,14.94,0.01
39045023ADT,39,045,023ADT,574.56,377.89,12.08,1
39045023ADU,39,045,023ADU,354,310,7,2
39045023ADV,39,045,023ADV,340,350,4,3
39045023ADW,39,045,023ADW,451,244,11,1
39045023ADX,39,045,023ADX,353.63,312.02,8.02,1
39045023ADY,39,045,023ADY,331.94,359.17,4.8,0
39045023ADZ,39,045,023ADZ,341,321,11,0
39045023AED,39,045,023AED,680.45,251.88,6.58,1.88
39045023AEE,39,045,023AEE,630,213,5,4
39045023AEF,39,045,023AEF,683.55,211.12,18.42,4.12
39045023AEG,39,045,023AEG,591.91,149.98,8,4
39045023AEJ,39,045,023AEJ,263.67,503.71,12.87,4.9
39045023AEK,39,045,023AEK,192,690,9,5
39045023AEL,39,045,023AEL,211,522,18,9
39045023AEM,39,045,023AEM,360.75,454.03,10.64,3.13
39045023AEN,39,045,023AEN,625.57,463.39,10.91,0.99
39045023AEO,39,045,023AEO,302.08,314.56,10.09,0
39045023AEQ,39,045,023AEQ,98.52,460.17,5.11,5
39045023AEV,39,045,023AEV,264.85,441.21,2.05,1.01
39045023AEW,39,045,023AEW,439.82,612.51,14.13,5
39045023AEX,39,045,023AEX,601.22,714.36,17.11,2.06
39045023AEY,39,045,023AEY,374,236,8,1
39045023AEZ,39,045,023AEZ,215.5,528.61,4.83,0.97
39045023AFA,39,045,023AFA,517.63,201.96,9.8,1.96
39045023AFB,39,045,023AFB,461.76,265.79,9.93,3.16
39045023AFC,39,045,023AFC,582.05,251.27,11.25,1.83
39045023AFD,39,045,023AFD,456,229,13,1
39045023AFE,39,045,023AFE,210.15,365.79,5.95,0.99
39045023AFF,39,045,023AFF,166.07,386.65,7.66,0
39045023AFG,39,045,023AFG,438.35,567.28,9.92,2.98
39047024AAA,39,047,024AAA,362,179,7,4
39047024AAB,39,047,024AAB,417.57,182.54,8.07,3.04
39047024AAE,39,047,024AAE,203.41,77.72,4.04,0
39047024AAG,39,047,024AAG,300.58,117.02,7.09,0.02
39047024AAH,39,047,024AAH,316.92,115.88,4,0
39047024AAK,39,047,024AAK,468.33,191.07,5,2
39047024AAM,39,047,024AAM,580.88,206.38,10.46,2.84
39047024AAN,39,047,024AAN,489.37,176.21,3.83,1.92
39047024AAO,39,047,024AAO,360.61,147.34,9.14,0.07
39047024AAP,39,047,024AAP,226.05,118.55,3.71,0
39047024AAQ,39,047,024AAQ,217.11,76.98,5.04,1.01
39047024AAS,39,047,024AAS,590,108,13,3
39047024AAU,39,047,024AAU,291.96,59.8,2.99,0
39047024AAX,39,047,024AAX,271.8,52.83,5.16,0
39047024AAY,39,047,024AAY,331.6,102.01,3.92,0.98
39047024AAZ,39,047,024AAZ,276.58,139.91,4.08,2.02
39047024ABB,39,047,024ABB,477,94,2,3
39047024ABC,39,047,024ABC,302,87,2,1
39047024ABE,39,047,024ABE,209.69,82.88,4.99,2
39047024ABG,39,047,024ABG,376.06,87.44,2.85,0
39047024ABH,39,047,024ABH,469.27,85.17,3.11,2.02
39047024ABI,39,047,024ABI,274.33,80.57,3.04,0.02
39047024ABJ,39,047,024ABJ,379.43,131.46,3.93,1.96
39047024ABK,39,047,024ABK,695.44,157.24,7.55,1.11
39047024ABM,39,047,024ABM,585,118,6,0
39049025AAA,39,049,025AAA,170.33,639.19,3.52,4.51
39049025AAB,39,049,025AAB,336.54,891.65,5.69,0.14
39049025AAD,39,049,025AAD,212,677.03,6.84,0.98
39049025AAE,39,049,025AAE,243,833,16,3
39049025AAG,39,049,025AAG,177,675,15,1
39049025AAH,39,049,025AAH,126.76,534.77,5.94,3.96
39049025AAI,39,049,025AAI,141.29,476.88,2.84,0.09
39049025AAJ,39,049,025AAJ,108.37,266.61,1.92,0.96
39049025AAK,39,049,025AAK,182.92,587.24,1.38,1.87
39049025AAL,39,049,025AAL,156.03,530.49,10.7,0.89
39049025AAN,39,049,025AAN,195,690,7,2
39049025AAO,39,049,025AAO,171,581,15,4
39049025AAP,39,049,025AAP,199,831,25,5
39049025AAQ,39,049,025AAQ,104,491,8,4
39049025AAR,39,049,025AAR,137,699,20,1
39049025AAS,39,049,025AAS,189,867,11,0
39049025AAT,39,049,025AAT,186.72,801.81,12.98,3
39049025AAU,39,049,025AAU,153,667,9,3
39049025AAV,39,049,025AAV,133.3,677.68,7.15,2.06
39049025AAW,39,049,025AAW,52,515,7,0
39049025AAX,39,049,025AAX,66,472,5,7
39049025AAY,39,049,025AAY,123,687,8,7
39049025AAZ,39,049,025AAZ,131,501,8,5
39049025ABA,39,049,025ABA,53.83,430.61,8.97,1.99
39049025ABB,39,049,025ABB,69,523,8,3
39049025ABC,39,049,025ABC,40,463,5,6
39049025ABD,39,049,025ABD,41,485,6,4
39049025ABE,39,049,025ABE,52.94,545.13,7.11,0.12
39049025ABF,39,049,025ABF,47,423,6,2
39049025ABG,39,049,025ABG,20.92,374.6,1,1.99
39049025ABI,39,049,025ABI,40.06,458.71,2.14,2.17
39049025ABJ,39,049,025ABJ,41.12,595.73,6.57,2.83
39049025ABK,39,049,025ABK,53.3,502.15,5.13,2
39049025ABL,39,049,025ABL,71.09,587.55,3.17,3
39049025ABM,39,049,025ABM,29,464,2,4
39049025ABN,39,049,025ABN,32.97,420.82,3.05,3
39049025ABO,39,049,025ABO,34,397,5,3
39049025ABP,39,049,025ABP,38,615,4,6
39049025ABQ,39,049,025ABQ,39,546,4,6
39049025ABR,39,049,025ABR,59.91,627.04,10.98,0
39049025ABS,39,049,025ABS,29,298,3,2
39049025ABT,39,049,025ABT,114.15,472.78,2.27,0
39049025ABU,39,049,025ABU,82,495,9,2
39049025ABV,39,049,025ABV,188.44,783.68,15.95,1
39049025ABW,39,049,025ABW,177,853,7,3
39049025ABX,39,049,025ABX,223.85,464.86,8.08,8.08
39049025ABY,39,049,025ABY,166.72,528.4,6.97,6.96
39049025ABZ,39,049,025ABZ,106.58,315.53,5.84,1.07
39049025ACA,39,049,025ACA,70.77,232.69,4.44,2.72
39049025ACB,39,049,025ACB,181.82,498.32,7,7
39049025ACC,39,049,025ACC,204.31,511.22,9.73,0
39049025ACD,39,049,025ACD,311.5,608.42,12.01,2.57
39049025ACN,39,049,025ACN,100.37,312.26,3,3
39049025ACO,39,049,025ACO,237.69,255.21,9.94,3.98
39049025ACP,39,049,025ACP,273,459,7,3
39049025ACQ,39,049,025ACQ,306,318,7,4
39049025ACR,39,049,025ACR,334,319,7,7
39049025ACS,39,049,025ACS,112,793,6,4
39049025ACT,39,049,025ACT,162.01,1120.1,17,12
39049025ACU,39,049,025ACU,171,870,9,4
39049025ACV,39,049,025ACV,142,594,7,1
39049025ACW,39,049,025ACW,47.12,354.42,7.11,1.02
39049025ACX,39,049,025ACX,23,336,1,1
39049025ACY,39,049,025ACY,19.49,302.91,2.06,2.08
39049025ACZ,39,049,025ACZ,37.39,446.75,4.79,5.75
39049025ADA,39,049,025ADA,329.56,1329.7,22.93,2.58
39049025ADB,39,049,025ADB,148,707,10,3
39049025ADC,39,049,025ADC,128.26,711.7,9.64,2.89
39049025ADD,39,049,025ADD,27.72,183.12,2.55,0.36
39049025ADE,39,049,025ADE,125.76,604.48,12.8,3.38
39049025ADF,39,049,025ADF,139.21,366.54,7.07,0.04
39049025ADG,39,049,025ADG,75,647,11,4
39049025ADH,39,049,025ADH,84,501,14,3
39049025ADI,39,049,025ADI,73,483,14,6
39049025ADJ,39,049,025ADJ,87.23,486.75,13.04,6.01
39049025ADK,39,049,025ADK,72,472,9,3
39049025ADL,39,049,025ADL,78,532,3,15
39049025ADM,39,049,025ADM,29,663,5,8
39049025ADN,39,049,025ADN,16,331,3,0
39049025ADO,39,049,025ADO,18,362,3,8
39049025ADQ,39,049,025ADQ,96,757,12,3
39049025ADR,39,049,025ADR,108.85,712.45,6.14,4.05
39049025ADS,39,049,025ADS,88,901,11,3
39049025ADT,39,049,025ADT,74,506,6,0
39049025ADU,39,049,025ADU,79,723,8,0
39049025ADV,39,049,025ADV,77.15,673.55,12.86,4.95
39049025ADW,39,049,025ADW,145,589,10,0
39049025ADX,39,049,025ADX,176.68,760.22,11.04,1.7
39049025ADY,39,049,025ADY,175,671,4,1
39049025ADZ,39,049,025ADZ,106.84,452.57,7.8,3
39049025AEA,39,049,025AEA,170,523,2,1
39049025AEB,39,049,025AEB,124,780,9,0
39049025AEC,39,049,025AEC,272.48,1016.2,18.15,4.3
39049025AED,39,049,025AED,107,861,5,3
39049025AEE,39,049,025AEE,233.02,1017.86,8.64,1.91
39049025AEF,39,049,025AEF,87.68,855.29,8.98,8.74
39049025AEG,39,049,025AEG,84,785,10,9
39049025AEH,39,049,025AEH,213.9,570.69,11.81,0.95
39049025AEI,39,049,025AEI,286.52,1020.49,16.07,6.09
39049025AEJ,39,049,025AEJ,163.49,602.82,13.94,2.99
39049025AEK,39,049,025AEK,115,498,9,5
39049025AEL,39,049,025AEL,232.7,773.11,5.58,2.07
39049025AEM,39,049,025AEM,176.88,609.69,9.93,0
39049025AEN,39,049,025AEN,221,694,14,4
39049025AEO,39,049,025AEO,169,559,8,2
39049025AEP,39,049,025AEP,197,703,10,1
39049025AEQ,39,049,025AEQ,294.75,617.57,12.85,3.62
39049025AER,39,049,025AER,199,404,4,3
39049025AES,39,049,025AES,197,507,12,3
39049025AET,39,049,025AET,159,640,9,2
39049025AEV,39,049,025AEV,120,498,8,3
39049025AEW,39,049,025AEW,102.08,520.55,3.98,6.92
39049025AEX,39,049,025AEX,187,621,6,4
39049025AEY,39,049,025AEY,232.83,710.62,5.62,5.79
39049025AEZ,39,049,025AEZ,113,316,4,2
39049025AFA,39,049,025AFA,184,453,8,7
39049025AFB,39,049,025AFB,166.78,356.46,10.01,4
39049025AFC,39,049,025AFC,79,423,4,3
39049025AFD,39,049,025AFD,173,385,7,2
39049025AFE,39,049,025AFE,64,525,6,4
39049025AFF,39,049,025AFF,56.98,500.8,7,3
39049025AFG,39,049,025AFG,36,654,3,5
39049025AFH,39,049,025AFH,29,543,1,2
39049025AFI,39,049,025AFI,25,523,3,5
39049025AFJ,39,049,025AFJ,26.84,497.86,5.02,2.02
39049025AFK,39,049,025AFK,18,310,3,3
39049025AFL,39,049,025AFL,66.32,554.95,5.4,4.84
39049025AFM,39,049,025AFM,69.77,565.19,4,2.89
39049025AFN,39,049,025AFN,57.89,392.66,3.56,3.34
39049025AFQ,39,049,025AFQ,66,404,6,2
39049025AFR,39,049,025AFR,58,371,5,1
39049025AFS,39,049,025AFS,240,505,12,1
39049025AFT,39,049,025AFT,118,472,7,3
39049025AFU,39,049,025AFU,111,447,7,2
39049025AFV,39,049,025AFV,333,520,4,3
39049025AFW,39,049,025AFW,41.63,522.2,4.52,2.79
39049025AFX,39,049,025AFX,22.05,464.28,1.81,4.45
39049025AFY,39,049,025AFY,64,549,4,0
39049025AFZ,39,049,025AFZ,169.43,553.16,1.83,2.75
39049025AGA,39,049,025AGA,102.75,923.55,2.63,2.92
39049025AGB,39,049,025AGB,93,497,2,3
39049025AGC,39,049,025AGC,169.8,373.56,6.99,4
39049025AGD,39,049,025AGD,139,145,2,1
39049025AGE,39,049,025AGE,335.19,216.34,11.61,3.12
39049025AGF,39,049,025AGF,392.13,208.41,3.99,1
39049025AGG,39,049,025AGG,67.69,136.62,2.47,0
39049025AGH,39,049,025AGH,111.19,371.57,9.27,1.85
39049025AGI,39,049,025AGI,360.93,785.05,15.51,6.25
39049025AGJ,39,049,025AGJ,151.02,416.04,3,5
39049025AGM,39,049,025AGM,108,385,4,1
39049025AGN,39,049,025AGN,190,231,6,1
39049025AGO,39,049,025AGO,140,231,3,3
39049025AGP,39,049,025AGP,74,134,2,1
39049025AGQ,39,049,025AGQ,120,171,4,0
39049025AGR,39,049,025AGR,291,700,7,0
39049025AGS,39,049,025AGS,217,432,10,1
39049025AGT,39,049,025AGT,260.72,446.2,3.99,4.96
39049025AGU,39,049,025AGU,187,461,4,0
39049025AGV,39,049,025AGV,108.18,437.6,5.42,4.1
39049025AGW,39,049,025AGW,122.44,598.76,15.3,1.91
39049025AGX,39,049,025AGX,126.52,542.93,8.97,2.99
39049025AGY,39,049,025AGY,177.29,691.11,8.6,1.89
39049025AGZ,39,049,025AGZ,101,646,12,1
39049025AHA,39,049,025AHA,162.87,558.04,9.93,1.98
39049025AHB,39,049,025AHB,176.4,640.19,16.03,1
39049025AHC,39,049,025AHC,78.7,410.6,5.04,0.01
39049025AHD,39,049,025AHD,114,550,7,7
39049025AHE,39,049,025AHE,92.77,547.66,4.99,0
39049025AHF,39,049,025AHF,62.23,334.34,2.01,4
39049025AHG,39,049,025AHG,200.62,508.89,2.71,5.42
39049025AHH,39,049,025AHH,81,390,2,0
39049025AHI,39,049,025AHI,127.52,587.11,7.97,1.77
39049025AHJ,39,049,025AHJ,48.46,548.18,6.47,1.34
39049025AHK,39,049,025AHK,30,576,8,2
39049025AHL,39,049,025AHL,40.95,541.3,8.99,2
39049025AHM,39,049,025AHM,60,483,3,1
39049025AHN,39,049,025AHN,322.1,299.87,7.02,0.01
39049025AHO,39,049,025AHO,320.78,413.66,9,3.59
39049025AHP,39,049,025AHP,195.38,628.04,9.9,6.26
39049025AHQ,39,049,025AHQ,278.92,196.24,6.97,1
39049025AHR,39,049,025AHR,228.12,325.65,6.27,0.92
39049025AHS,39,049,025AHS,143.08,378.55,11.05,2.01
39049025AHT,39,049,025AHT,118.66,247.8,6.87,3.93
39049025AHU,39,049,025AHU,209.75,276.11,7.2,1.58
39049025AHV,39,049,025AHV,271.64,247.13,14.09,2.66
39049025AHW,39,049,025AHW,231,340,8,5
39049025AHX,39,049,025AHX,57.56,186.16,1.03,1.03
39049025AHY,39,049,025AHY,221.75,281.32,11.05,2.07
39049025AHZ,39,049,025AHZ,14.71,92.14,2.23,1.84
39049025AIA,39,049,025AIA,97.32,664.71,11.02,8.26
39049025AIB,39,049,025AIB,88.38,467.17,9.26,0
39049025AIC,39,049,025AIC,117,728,13,3
39049025AID,39,049,025AID,143.74,952.3,9.36,4.11
39049025AIE,39,049,025AIE,69,377,8,2
39049025AIF,39,049,025AIF,32,136,6,0
39049025AIG,39,049,025AIG,97,464,7,0
39049025AIH,39,049,025AIH,61,330.72,2.73,0.66
39049025AII,39,049,025AII,109,387,10,2
39049025AIJ,39,049,025AIJ,179.72,443.64,3.78,5.68
39049025AIK,39,049,025AIK,31,129,1,1
39049025AIL,39,049,025AIL,155.93,301.98,4.61,0
39049025AIM,39,049,025AIM,118.69,447.39,3.13,5.06
39049025AIO,39,049,025AIO,188.03,364.38,5.77,1.92
39049025AIP,39,049,025AIP,256.44,457.42,5.37,2
39049025AIQ,39,049,025AIQ,185.28,432.36,5.22,1.32
39049025AIR,39,049,025AIR,224,397,5,6
39049025AIT,39,049,025AIT,72,727,3,2
39049025AIU,39,049,025AIU,44,415,8,4
39049025AIV,39,049,025AIV,59,549,1,8
39049025AIW,39,049,025AIW,63,596,4,1
39049025AIX,39,049,025AIX,79.89,421.6,9.16,6.13
39049025AIY,39,049,025AIY,157.81,705.74,9.33,4.76
39049025AIZ,39,049,025AIZ,36.83,619.04,2.52,3.31
39049025AJE,39,049,025AJE,128,461,4,2
39049025AJF,39,049,025AJF,82.61,303.35,2.32,2.32
39049025AJG,39,049,025AJG,101.74,599.5,7.98,4.99
39049025AJH,39,049,025AJH,146.18,405.13,7.91,6.85
39049025AJI,39,049,025AJI,143.01,452.05,6,3
39049025AJJ,39,049,025AJJ,125.25,400.43,3.8,2.85
39049025AJK,39,049,025AJK,135,401,8,2
39049025AJL,39,049,025AJL,43.9,614.58,5.85,2.93
39049025AJM,39,049,025AJM,190,485,14,2
39049025AJN,39,049,025AJN,177,568,12,4
39049025AJO,39,049,025AJO,152.18,422.97,5.47,6.35
39049025AJP,39,049,025AJP,157.15,817.13,9.65,1.2
39049025AJQ,39,049,025AJQ,141.62,480.64,8.11,3.75
39049025AJR,39,049,025AJR,193.02,371.39,8.62,1.72
39049025AJS,39,049,025AJS,311.66,648.09,20.01,2.86
39049025AJT,39,049,025AJT,246.11,530.16,8.75,0.97
39049025AJU,39,049,025AJU,420.56,631.33,11.87,0.99
39049025AJV,39,049,025AJV,245.44,536.95,5.22,7.02
39049025AJY,39,049,025AJY,175.74,752.54,11.58,2.95
39049025AJZ,39,049,025AJZ,54.51,569.67,2.31,5.13
39049025AKA,39,049,025AKA,127,446,2,7
39049025AKB,39,049,025AKB,99,534,9,3
39049025AKC,39,049,025AKC,120,444,4,1
39049025AKD,39,049,025AKD,51,293,3,1
39049025AKE,39,049,025AKE,101.81,571.11,6.79,4.85
39049025AKF,39,049,025AKF,47,377,6,3
39049025AKG,39,049,025AKG,62,656,5,0
39049025AKH,39,049,025AKH,64,575,5,4
39049025AKI,39,049,025AKI,60,602,5,5
39049025AKK,39,049,025AKK,323.06,303.46,9.67,1.23
39049025AKL,39,049,025AKL,369.94,281.95,10.41,3.78
39049025AKM,39,049,025AKM,99,342,6,3
39049025AKN,39,049,025AKN,465.13,255.6,9.86,2.96
39049025AKO,39,049,025AKO,233.59,235.9,7.67,1.81
39049025AKP,39,049,025AKP,48,401,6,5
39049025AKQ,39,049,025AKQ,59,489,3,1
39049025AKR,39,049,025AKR,369.89,547.39,9.7,5.98
39049025AKS,39,049,025AKS,77,611,2,3
39049025AKT,39,049,025AKT,113.97,446.38,5.7,2.85
39049025AKU,39,049,025AKU,82,543,1,4
39049025AKV,39,049,025AKV,37.09,356.55,5.9,1.69
39049025AKW,39,049,025AKW,233,596,4,4
39049025AKX,39,049,025AKX,184,599,7,4
39049025AKY,39,049,025AKY,206,454,6,6
39049025AKZ,39,049,025AKZ,105,466,9,1
39049025ALA,39,049,025ALA,103,455,6,2
39049025ALB,39,049,025ALB,112,536,13,3
39049025ALD,39,049,025ALD,396.46,703.15,15.82,4.92
39049025ALE,39,049,025ALE,231.09,264.64,2.8,2.8
39049025ALF,39,049,025ALF,247.41,429.15,6.23,2.21
39049025ALG,39,049,025ALG,161.95,571.86,15.55,1.83
39049025ALH,39,049,025ALH,178.75,524.26,9.99,1
39049025ALI,39,049,025ALI,94.04,461.78,10.12,4.05
39049025ALJ,39,049,025ALJ,176.61,617.02,7.69,1.28
39049025ALK,39,049,025ALK,62.72,299.89,7.52,2.81
39049025ALM,39,049,025ALM,111.87,596.65,8.83,1.96
39049025ALN,39,049,025ALN,133,518,3,2
39049025ALO,39,049,025ALO,139.07,365.51,6.24,0
39049025ALP,39,049,025ALP,175,462,4,4
39049025ALQ,39,049,025ALQ,131,453,2,4
39049025ALR,39,049,025ALR,132.13,499.35,1.17,0.04
39049025ALS,39,049,025ALS,60.12,511.77,8.19,5
39049025ALT,39,049,025ALT,70,691,6,5
39049025ALU,39,049,025ALU,76,745,7,4
39049025ALV,39,049,025ALV,90,645,5,3
39049025ALW,39,049,025ALW,71.51,493.11,2.73,3.32
39049025ALX,39,049,025ALX,37.08,360.78,3.87,2.95
39049025ALY,39,049,025ALY,83.94,366.97,3.42,2.69
39049025ALZ,39,049,025ALZ,48.22,658.31,5.18,3.42
39049025AMA,39,049,025AMA,34.15,443.13,0.05,0.78
39049025AMF,39,049,025AMF,165.82,295.63,6.02,1
39049025AMG,39,049,025AMG,219.94,360.27,4.98,7.96
39049025AMH,39,049,025AMH,193.9,381.81,8.71,2.89
39049025AMI,39,049,025AMI,308.3,518.68,7.65,0.77
39049025AMJ,39,049,025AMJ,183.88,392.22,11.73,0.91
39049025AMK,39,049,025AMK,219.82,313.89,8.01,4.25
39049025AMN,39,049,025AMN,279.13,421.49,14.17,9.14
39049025AMO,39,049,025AMO,444.14,513,12.97,2.99
39049025AMP,39,049,025AMP,386.22,249.18,12.13,0.96
39049025AMQ,39,049,025AMQ,274.94,268.34,9.09,5.01
39049025AMR,39,049,025AMR,340.32,329.03,15.3,4.25
39049025AMS,39,049,025AMS,340.12,334.32,14.36,4.79
39049025AMT,39,049,025AMT,259.13,337.11,3.68,2.76
39049025AMU,39,049,025AMU,262.02,211.76,6.11,1.81
39049025AMV,39,049,025AMV,235.1,475.21,16.36,3
39049025AMW,39,049,025AMW,268.9,513.79,8.64,0
39049025AMX,39,049,025AMX,239.26,610.69,16.51,2.2
39049025AMY,39,049,025AMY,194.54,714.19,20.62,3.03
39049025AMZ,39,049,025AMZ,168.77,577.8,18.48,1
39049025ANB,39,049,025ANB,266.65,580.68,16.41,4.96
39049025ANC,39,049,025ANC,297.85,591.81,11.18,1.87
39049025AND,39,049,025AND,460.73,747.9,11.4,2.35
39049025ANE,39,049,025ANE,345.49,520.55,10.1,3.48
39049025ANF,39,049,025ANF,263.73,557.89,15.57,4.81
39049025ANG,39,049,025ANG,371.78,455.94,8.8,1.26
39049025ANH,39,049,025ANH,452.3,832.45,21.31,5.68
39049025ANI,39,049,025ANI,147,344,4,3
39049025ANJ,39,049,025ANJ,112.35,588.14,12.77,0
39049025ANK,39,049,025ANK,121,587,10,3
39049025ANL,39,049,025ANL,290.67,645.91,8.31,3.75
39049025ANM,39,049,025ANM,286.23,535.87,7.67,1.26
39049025ANN,39,049,025ANN,295.51,885.18,15.47,7.66
39049025ANO,39,049,025ANO,221.31,595.74,8.24,2.73
39049025ANP,39,049,025ANP,266.62,671.49,17.77,12.84
39049025ANQ,39,049,025ANQ,210.66,394.03,4.26,1.71
39049025ANV,39,049,025ANV,308.01,499.5,2.53,0
39049025ANW,39,049,025ANW,263.29,557.5,11.97,1
39049025ANX,39,049,025ANX,394.77,698.7,14.41,6.31
39049025ANY,39,049,025ANY,288.47,627.01,14.3,5.72
39049025ANZ,39,049,025ANZ,285,451,9,2
39049025AOA,39,049,025AOA,187.68,474.95,8.62,2.87
39049025AOB,39,049,025AOB,244.77,390.39,6.23,4.01
39049025AOC,39,049,025AOC,176.44,392.6,6.51,2.18
39049025AOF,39,049,025AOF,316.34,477.29,13.14,1.02
39049025AOG,39,049,025AOG,261.57,533.97,6.92,0.99
39049025AOH,39,049,025AOH,243,592,11,6
39049025AOI,39,049,025AOI,163,409,11,0
39049025AOJ,39,049,025AOJ,300.46,557.45,24.15,2.9
39049025AOK,39,049,025AOK,329.19,641.96,10.91,0.98
39049025AOL,39,049,025AOL,229.42,401.47,13.84,0
39049025AOM,39,049,025AOM,229,371,7,1
39049025AON,39,049,025AON,308.86,488.17,11.22,3
39049025AOO,39,049,025AOO,280.3,598.5,18.95,1.99
39049025AOP,39,049,025AOP,311,533,12,1
39049025AOQ,39,049,025AOQ,224,448,13,0
39049025AOR,39,049,025AOR,325,523,11,4
39049025AOS,39,049,025AOS,164.88,532.11,6,1.96
39049025AOT,39,049,025AOT,104.12,394.9,12.72,2.93
39049025AOU,39,049,025AOU,217.6,581.11,11.81,2.53
39049025AOV,39,049,025AOV,227,500,13,0
39049025AOW,39,049,025AOW,172.26,454.77,6.15,1.04
39049025AOX,39,049,025AOX,351,340.56,10.44,0.95
39049025AOY,39,049,025AOY,291.03,344.39,7.76,1.94
39049025AOZ,39,049,025AOZ,269,353,5,4
39049025APA,39,049,025APA,120,209,6,0
39049025APB,39,049,025APB,252.17,326.74,11.6,3.26
39049025APC,39,049,025APC,292.79,277.86,10.23,3.91
39049025APD,39,049,025APD,428.9,461.63,16.26,4.02
39049025APE,39,049,025APE,276.53,260.27,5.25,0.02
39049025APF,39,049,025APF,278,329,16,5
39049025APH,39,049,025APH,93,405,2,6
39049025API,39,049,025API,52,382,4,4
39049025APJ,39,049,025APJ,31.17,213.1,4.6,3.07
39049025APL,39,049,025APL,296.42,512.78,8.82,5.36
39049025APM,39,049,025APM,230.64,387.18,15.23,2.05
39049025APN,39,049,025APN,384.91,676.21,16.97,2.01
39049025APO,39,049,025APO,375.01,527.17,9.88,1.97
39049025APP,39,049,025APP,436.99,628.72,15.32,0.06
39049025APQ,39,049,025APQ,283.09,389.63,11.07,0
39049025APR,39,049,025APR,245.3,383.22,11.89,4.77
39049025APU,39,049,025APU,243.87,405.42,9.86,2.93
39049025APV,39,049,025APV,262.29,436.19,7.56,4.61
39049025APW,39,049,025APW,228.39,499.56,5.77,0.95
39049025APX,39,049,025APX,291.16,556,11.07,3
39049025APY,39,049,025APY,145.79,523.38,8.67,2.16
39049025APZ,39,049,025APZ,390.02,814.47,20.11,2.77
39049025AQA,39,049,025AQA,249.6,374.8,12.01,2
39049025AQB,39,049,025AQB,351.67,761.12,14.94,0
39049025AQC,39,049,025AQC,232.65,559.01,12.99,4.01
39049025AQD,39,049,025AQD,304,542,12,2
39049025AQE,39,049,025AQE,87,223,5,4
39049025AQL,39,049,025AQL,231,482,4,0
39049025AQM,39,049,025AQM,263.34,456.15,3.94,0.01
39049025AQN,39,049,025AQN,244.03,301.06,7.11,0.79
39049025AQO,39,049,025AQO,236.59,466.74,12.09,0.03
39049025AQP,39,049,025AQP,360,636,4,5
39049025AQQ,39,049,025AQQ,352.19,515.38,11.39,5.31
39049025AQR,39,049,025AQR,164.47,267.92,2.68,2.45
39049025AQS,39,049,025AQS,161.7,413.23,9.98,2.99
39049025AQT,39,049,025AQT,314.49,536.44,17.02,2.02
39049025AQU,39,049,025AQU,357.17,643.64,16.07,2.02
39049025AQV,39,049,025AQV,212,381,7,0
39049025AQW,39,049,025AQW,293.13,635.12,17.95,3.99
39049025AQX,39,049,025AQX,205.72,426.99,6.86,0.84
39049025AQY,39,049,025AQY,319,441,10,2
39049025AQZ,39,049,025AQZ,239.58,346.53,7.16,0
39049025ARA,39,049,025ARA,328,461,5,0
39049025ARB,39,049,025ARB,179,394,9,1
39049025ARC,39,049,025ARC,299.34,573.68,13.38,6.11
39049025ARD,39,049,025ARD,216,466,13,7
39049025ARE,39,049,025ARE,304,638,12,3
39049025ARG,39,049,025ARG,433,585,10,2
39049025ARH,39,049,025ARH,371.62,410.1,11.3,1.23
39049025ARI,39,049,025ARI,455.89,628.53,11.04,1
39049025ARJ,39,049,025ARJ,319.8,426.89,9.01,0
39049025ARK,39,049,025ARK,480.97,540.79,8.17,2.05
39049025ARL,39,049,025ARL,309.4,337.77,4.84,0.93
39049025ARM,39,049,025ARM,182,276,4,2
39049025ARN,39,049,025ARN,186,313,7,1
39049025ARO,39,049,025ARO,363,493,11,2
