GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39003002AGN,39,003,002AGN,574,109,8,2
39005003AAA,39,005,003AAA,458,255,7,4
39005003AAB,39,005,003AAB,470,299,13,4
39005003AAD,39,005,003AAD,566.32,243.59,12.07,5.01
39005003AAF,39,005,003AAF,399.75,161.69,7.94,1.98
39005003AAG,39,005,003AAG,493,177,17,0
39005003AAH,39,005,003AAH,505.5,253.23,13.01,6
39005003AAJ,39,005,003AAJ,489.94,231.07,9.92,1.98
39005003AAQ,39,005,003AAQ,308,213,12,0
39005003AAS,39,005,003AAS,426,273,13,3
39005003AAU,39,005,003AAU,471.11,239.62,5.99,0.02
39005003AAV,39,005,003AAV,259.99,112,11,2
39005003AAZ,39,005,003AAZ,422.52,132.45,0.18,5.04
39005003ABB,39,005,003ABB,226.13,119.64,6.02,3
39005003ABC,39,005,003ABC,425.23,127.75,3.91,0
39005003ABG,39,005,003ABG,807,170,16,5
39005003ABI,39,005,003ABI,637.2,201.3,9.04,2.03
39005003ABJ,39,005,003ABJ,365.8,110.7,6.96,2.97
39005003ABN,39,005,003ABN,649.66,239.22,14.71,7
39005003ABO,39,005,003ABO,679.34,292.78,20.29,0
39005003ABS,39,005,003ABS,535,242,9,2
39005003ABT,39,005,003ABT,768,206,10,6
39005003ABV,39,005,003ABV,268,73,4,4
39005003ABZ,39,005,003ABZ,688.05,177.32,10.01,3
39005003ACA,39,005,003ACA,334.47,77.42,3.07,0.02
39005003ACB,39,005,003ACB,166.93,64.97,2,2
39005003ACC,39,005,003ACC,689.07,165.03,12,5
39005003ACE,39,005,003ACE,386.8,111.75,3,1.98
39005003ACF,39,005,003ACF,524.15,135.48,9.9,1.96
39005003ACH,39,005,003ACH,389,94,1,3
39005003ACI,39,005,003ACI,647,164,12,7
39005003ACJ,39,005,003ACJ,390,106,8,1
39005003ACM,39,005,003ACM,837,153,13,1
39005003ACN,39,005,003ACN,417,89,9,2
39005003ACO,39,005,003ACO,546,136,5,3
39005003ACP,39,005,003ACP,458,127,4,2
39005003ACQ,39,005,003ACQ,506,98,6,4
39005003ACS,39,005,003ACS,520,140,7,0
39005003ACT,39,005,003ACT,693.49,180.12,6.01,3
39005003ACV,39,005,003ACV,582.54,148.88,11.99,0
39007004AAA,39,007,004AAA,283,328,4,1
39007004AAB,39,007,004AAB,209,260,8,2
39007004AAC,39,007,004AAC,204,246,7,2
39007004AAE,39,007,004AAE,130,200,4,0
39007004AAH,39,007,004AAH,198.63,279.8,10.5,1.91
39007004AAI,39,007,004AAI,217.36,268.78,8.44,2.08
39007004AAJ,39,007,004AAJ,111.01,145.43,1.05,0.01
39007004AAM,39,007,004AAM,100,107,5,4
39007004AAN,39,007,004AAN,51,55,2,0
39007004AAO,39,007,004AAO,84,101,1,0
39007004AAP,39,007,004AAP,99,108,3,2
39007004AAQ,39,007,004AAQ,56,141,4,2
39007004AAR,39,007,004AAR,85,102,2,2
39007004AAS,39,007,004AAS,86,112,9,3
39007004AAT,39,007,004AAT,118,128,6,4
39007004AAU,39,007,004AAU,271,230,9,3
39007004AAW,39,007,004AAW,77,84,1,1
39007004AAX,39,007,004AAX,74,95,4,2
39007004AAY,39,007,004AAY,204.04,206.87,8.5,0
39007004ABA,39,007,004ABA,113,127,4,2
39007004ABB,39,007,004ABB,143.14,117.08,1,2
39007004ABC,39,007,004ABC,193,71,3,1
39007004ABD,39,007,004ABD,240.06,196.59,6.02,2
39007004ABF,39,007,004ABF,231,194,5,7
