GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI
090010305002017,15.7,9.7,0.4,0.1,0
090010305002018,18.1,11.1,0.4,0.1,0
090010305003002,7.9,4.8,0.2,0,0
090010304003016,0.3,0.2,0,0,0
090010303003040,0,0,0,0,0
090010304003011,14,8.1,0.3,0.1,0
090010302002016,0,0,0,0,0
090010303001006,17.2,11,0.1,0.1,0
090010302001018,0,0,0,0,0
090010303003028,31.1,18.1,0.7,0.2,0
090010305001023,6.4,3.9,0.1,0,0
090010305001000,23.3,14.4,0.5,0.2,0
090010301001027,9.9,6.4,0.3,0,0
090010301001028,2.6,1.7,0.1,0,0
090010301002018,11.2,7.2,0.3,0,0
090010301001014,13.8,8.9,0.4,0.1,0
090010304001049,11.7,7.7,0.4,0.1,0
090010105006010,96.9,54.5,1,0.2,0
090010101013011,17.1,13.4,0.3,0.1,0
090010101013000,5.3,4.1,0.1,0,0
090010101014034,0,0,0,0,0
090010101014036,0.4,0.3,0,0,0
090010101014025,0,0,0,0,0
090010101014027,2.6,2.1,0,0,0
090010101013001,0,0,0,0,0
090010101023052,0,0,0,0,0
090010101013038,0,0,0,0,0
090010101013036,5.3,4.1,0.1,0,0
090010101011000,0,0,0,0,0
090010101012017,0,0,0,0,0
090012303003014,9.6,7,0.2,0.1,0
090012305022034,0,0,0,0,0
090012302001012,3.5,2.7,0.1,0,0
090012302001024,22.7,17.8,0.4,0.1,0
090012303003000,3.2,2.3,0.1,0,0
090012305022040,10.1,7.9,0.2,0.1,0
090012304002000,34,24.8,0.6,0.3,0
090012305022030,0,0,0,0,0
090012304001000,46.7,34.1,0.8,0.4,0
090012304001010,0,0,0,0,0
090012304001005,26.5,19.4,0.4,0.2,0
090012401003022,40.6,20.9,0.6,0.3,0
090012402002002,1.7,1,0,0,0
090012402002000,4,2.3,0.1,0,0
090012402001029,1.7,1,0,0,0
090012401003009,22,11.3,0.3,0.1,0
090012401003024,5.6,2.9,0.1,0,0
090012402003030,0,0,0,0,0
090012402003054,0,0,0,0,0
090012401003037,1.1,0.6,0,0,0
090012401002012,61.5,31.7,0.9,0.4,0.1
090012402003048,0,0,0,0,0
090012401001009,0,0,0,0,0
090010215003003,61.9,12.7,0.3,0.3,0
090010215004005,40.1,8.2,0.2,0.2,0
090010215003004,42.6,8.7,0.2,0.2,0
090010209002010,54.2,24.2,0.6,0.2,0
090010210002014,14.3,7.9,0.2,0.1,0
090010210001000,18.8,8.4,0.2,0.1,0
090010210001013,3.8,1.7,0,0,0
090010218022003,19.1,8.2,0.3,0.2,0
090010218021004,35,12.8,0.4,0.2,0
090010218021013,23.2,8.5,0.2,0.1,0
090010223002008,36,10.7,0.3,0.1,0
090010223001026,19.6,5.8,0.1,0.1,0
090010215003000,5.4,1.1,0,0,0
090010201001000,44,12.9,0.7,0.2,0
090010217003002,86.4,28.9,1.1,0.5,0
090010201002015,0,0,0,0,0
090010217002001,156.2,45.9,2.6,0.8,0.1
090010222002008,6.5,1.9,0,0,0
090010222002006,0,0,0,0,0
090010906002014,51.3,40.9,1,0.5,0.1
090010905003019,0,0,0,0,0
090010905002017,0.8,0.5,0,0,0
090010904004012,0,0,0,0,0
090010905002031,17.1,11.6,0.3,0.1,0
090010904004020,13.9,9.4,0.2,0.1,0
090010904004025,0,0,0,0,0
090010905002042,5.6,3.8,0.1,0,0
090010903002023,22.8,15.2,0.4,0.1,0
090010905004008,2.4,1.6,0,0,0
090010903001003,12.8,8.5,0.2,0.1,0
090010907001002,6.9,5.9,0.1,0.1,0
090010901002019,16.6,14.4,0.4,0.1,0
090010905001019,0,0,0,0,0
090010905002011,0,0,0,0,0
090010901002023,8.7,7.5,0.1,0.1,0
090010901002037,0,0,0,0,0
090010451023004,132.5,66.9,2.3,0.8,0
090010451023019,50.5,25.5,0.9,0.3,0
090010451023018,20.7,10.4,0.4,0.1,0
090010454001019,4.9,2.5,0.1,0,0
090010454002013,7.4,3.7,0.2,0,0
090010454002004,6.8,3.4,0.2,0,0
090010453001020,6.2,3.1,0.2,0,0
090010454002037,0,0,0,0,0
090010454002024,0.6,0.3,0,0,0
090010454001015,17.6,8.9,0.3,0.1,0
090010454001013,38.9,19.6,0.7,0.2,0
090010454001024,21.9,11,0.4,0.1,0
090012052001005,18.3,17,0.4,0.1,0
090012052003005,0.4,0.4,0,0,0
090012053003021,4.7,4.8,0.1,0,0
090012052002043,0,0,0,0,0
090012052001019,84.4,78.5,1.7,0.5,0.1
090012052002001,0,0,0,0,0
090012053001004,0.9,0.8,0,0,0
090012052001017,0,0,0,0,0
090012051002017,0,0,0,0,0
090012110001017,0,0,0,0,0
090012109004001,6.2,4.9,0.2,0,0
090012110002000,28.7,26.7,0.5,0.1,0
090012110001016,0,0,0,0,0
090012113001001,37.2,29.8,0.5,0.2,0
090012114002008,7,7.1,0.1,0.1,0
090012113003016,35.9,28.8,0.4,0.2,0
090012113003019,0,0,0,0,0
090012110003007,8.5,6.8,0.2,0,0
090012112002011,0,0,0,0,0
090012101001002,2.2,1.1,0,0,0
090012107011002,54.3,25.6,0.8,0.5,0
090012107012001,0.7,0.3,0,0,0
090012107011001,0.9,0.3,0,0,0
090012112003018,0,0,0,0,0
090012103001015,18.8,12.7,0.3,0.1,0
090012103001020,15.4,10.4,0.2,0.1,0
090012105004007,19.9,15.1,0.3,0.1,0
090012101001015,4.5,2.6,0,0,0
090012102002003,12,5.6,0.1,0.1,0
090011052002037,0,0,0,0,0
090011051001022,15.5,12.2,0.3,0.1,0
090011051001025,5.7,4.5,0.1,0,0
090011051001056,6.7,5.3,0.1,0,0
090011051001055,9.3,7.3,0.2,0.1,0
090011051002021,22.3,17.5,0.4,0.2,0
090011052002005,1,0.8,0,0,0
090011051001001,35.2,27.6,0.6,0.2,0
090011051001033,12.4,9.7,0.2,0.1,0
090011051001049,37.3,29.2,0.6,0.3,0
090011052001018,10.4,8.1,0.2,0.1,0
090010611001017,9.7,4,0.2,0.1,0
090010612002000,84.2,44.4,0.9,0.8,0.1
090010612002016,17,9,0.2,0.2,0
090010612002017,15,7.9,0.2,0.1,0
090010613001005,16,8.5,0.2,0.1,0
090010614002001,25,14.1,0.3,0.2,0
090010613002023,28.5,16,0.4,0.2,0
090010614002004,33.6,18.9,0.4,0.2,0
090010607004019,0,0,0,0,0
090010616001030,12.5,6.2,0.2,0.1,0
090010606001004,0,0,0,0,0
090010607003014,0,0,0,0,0
090010616001020,26.7,13.2,0.5,0.2,0
090010616001021,13.1,6.5,0.2,0.1,0
090010607002045,8,4.2,0.1,0,0
090010607002018,0,0,0,0,0
090010616001019,21.4,10.6,0.4,0.1,0
090010616001032,9.5,4.7,0.2,0.1,0
090010616003001,0,0,0,0,0
090010102011017,6.6,5.1,0.1,0,0
090010102011014,0,0,0,0,0
090010101013029,16.6,13,0.2,0,0
090010102021008,0,0,0,0,0
090010108001002,41.2,27,3.3,0.1,0
090010112001009,0,0,0,0,0
090010111002006,1.8,0.7,0,0,0
090010103002019,8.9,5.1,0.2,0,0
090010103002013,92.1,52.5,1.6,0.4,0
090019900000024,0,0,0,0,0
090010112002019,0,0,0,0,0
090010102021012,20.1,13.2,1.6,0,0
090010108001009,8.4,5.3,0.2,0.1,0
090010107004012,21.3,14.2,0.2,0.1,0
090011001001002,18.4,17.5,0.3,0.2,0
090012303003003,1.1,0.8,0,0,0
090012301001030,0,0,0,0,0
090012305021017,0.9,0.7,0,0,0
090012305022046,0,0,0,0,0
090012301002032,0,0,0,0,0
090012301001056,0,0,0,0,0
090012304004027,0,0,0,0,0
090012305022021,3.5,2.7,0.1,0,0
090012304003010,1.2,0.7,0,0,0
090012304002035,15.4,12.3,0.4,0.2,0
090012304003016,9.6,7,0.2,0.1,0
090010430001009,36.6,22,0.4,0.2,0
090010437001022,47.7,14.3,0.6,0.2,0
090010437001011,11.6,5.1,0.1,0.1,0
090011102021003,10.5,10,0.2,0.1,0
090011105003008,6.8,9.5,0.1,0.1,0
090011106003011,17.3,24.2,0.4,0.2,0
090011105003005,10.2,14.2,0.2,0.1,0
090011104003014,9.9,13.8,0.2,0.1,0
090011104001004,10.5,14.7,0.2,0.1,0
090011104001011,10.4,14.5,0.2,0.1,0
090011104002011,13.6,19,0.3,0.1,0
090011104002019,19.4,27,0.4,0.2,0
090011106004021,13.1,18.4,0.3,0.1,0
090011106003025,5.2,7.3,0.1,0.1,0
090011104001022,9.5,13.3,0.2,0.1,0
090010219004009,7.4,2.3,0.1,0.1,0
090010218021007,0.7,0.3,0,0,0
090010203002040,9.8,7.3,0.1,0.1,0
090010202001042,0,0,0,0,0
090010202001043,1.1,0.7,0,0,0
090010203002032,19.6,10.4,0.3,0.1,0
090010218021012,77.5,33.3,1.1,0.7,0
090019900000018,0,0,0,0,0
090010216004002,0,0,0,0,0
090010213001001,20,9.4,0.2,0.1,0
090010203004007,3.1,1.5,0.1,0,0
090010805003002,46,33.7,0.7,0.5,0
090010805001034,0,0,0,0,0
090010551003006,0,0,0,0,0
090010551004016,10.2,3.7,0.2,0.1,0
090010551003003,1.4,0.5,0,0,0
090010552002000,87.4,31.8,1.7,0.4,0.2
090010551001013,65,22.2,1,0.4,0
090010551004013,0,0,0,0,0
090010551002005,11.5,4.2,0.2,0.1,0
090010551001047,0,0,0,0,0
090010552002004,0,0,0,0,0
090010552001018,11.3,3.9,0.2,0.1,0
090010502001003,4.3,1.4,0.1,0,0
090010501001001,7.9,2.6,0.1,0,0
090010502001001,12.9,4.2,0.2,0,0
090010703001001,0,0,0,0,0
090010704001031,32.8,7.4,0.1,0.1,0
090010704001033,0.2,0,0,0,0
090010706001057,14.8,2.8,0,0.1,0
090010706001058,0,0,0,0,0
090010706001060,0,0,0,0,0
090010706001071,0,0,0,0,0
090010706001091,0,0,0,0,0
090010705001009,30.2,6.8,0.1,0.1,0
090010705001013,22.5,5.1,0.1,0.1,0
090010705001001,0,0,0,0,0
090010705001007,37.3,8.4,0.1,0.2,0.1
090010705001002,4.3,1,0,0,0
090010704001008,2.2,0.5,0,0,0
090010734003001,39.7,8.5,0.3,0,0
090010734001002,28.3,6.6,0.1,0.1,0
090010735001000,54.1,14.2,0.3,0.5,0
090010735003000,33.7,8.2,0.1,0.1,0
090010735003007,35.5,8.6,0.1,0.1,0
090010735003002,0,0,0,0,0
090010735003004,13,3.2,0,0,0
090010739004000,18.5,4.5,0.1,0,0
090010302003016,19.6,12.5,0.2,0.1,0
090010302003014,25.3,16.1,0.2,0.2,0
090010304001027,6.4,4.2,0.2,0,0
090010303003001,42.4,28,1.3,0.3,0
090010301001019,7.9,5.1,0.2,0,0
090010302001002,61.1,39.6,1.6,0.3,0
090010302001008,0,0,0,0,0
090010303001010,0,0,0,0,0
090010303001011,6.3,4,0.1,0,0
090010303002011,13.2,8.8,0.4,0.1,0
090010303001032,10.6,7,0.3,0.1,0
090010304002011,76.1,44.3,1.8,0.4,0
090010301002007,7.3,4.5,0.2,0,0
090010303001000,19.6,12.5,0.2,0.1,0
090010101022029,0,0,0,0,0
090010104003013,2.6,2,0,0,0
090010103005003,18.9,13.7,0.2,0.1,0
090010104002004,4.9,3.6,0,0,0
090010104001002,14.4,10.4,0.1,0.1,0
090010104003015,5.7,4.4,0,0,0
090010104003006,20.1,15.7,0.1,0.1,0.1
090010104003001,53.2,41.7,0.3,0.1,0.1
090010104003007,19.6,15.4,0.1,0.1,0.1
090010104004002,51.2,37.2,0.4,0.3,0
090010104005006,62.9,45.7,0.5,0.4,0
090010105006008,41.3,23.2,0.4,0.1,0
090010103004013,23.1,16.6,0.3,0.2,0.1
090012305011004,42.4,33.2,0.7,0.3,0
090012305022023,11.4,8.9,0.2,0.1,0
090012305022004,1.7,1.4,0,0,0
090012304001012,7.4,5.4,0.1,0.1,0
090012305022061,0,0,0,0,0
090012305012013,36.7,28.7,0.6,0.2,0
090012305011023,13.5,10.6,0.2,0.1,0
090012305022074,21.9,17.1,0.4,0.1,0
090012304003009,14.1,8.3,0.3,0,0.1
090012304003012,0,0,0,0,0
090012402003009,22.6,11.6,0.3,0.1,0
090012401001007,0,0,0,0,0
090012402001039,59.8,30.8,0.9,0.4,0.1
090012453001024,21.9,11.9,0.4,0.1,0
090012456004007,0,0,0,0,0
090012451001002,0,0,0,0,0
090012455001001,1.2,0.6,0,0,0
090012453003024,46.1,25.1,0.9,0.3,0
090012453003029,3.1,1.6,0.1,0,0
090012453001019,3.5,1.9,0.1,0,0
090012451001027,28.2,15.4,0.6,0.2,0
090012452002014,4.6,2.5,0.1,0,0
090012452002025,9.2,5,0.2,0.1,0
090012456003019,103.2,60.1,2.1,0.5,0.2
090012454001010,2.5,1.3,0.1,0,0
090010221003005,0,0,0,0,0
090010201002014,0,0,0,0,0
090010222001013,49.4,15.3,1,0.2,0
090010214004008,32.5,6.7,0.2,0.2,0
090010223003005,0,0,0,0,0
090010223003019,0,0,0,0,0
090010213003012,28.7,9.2,0.2,0.2,0
090010214001003,22.1,4.5,0.1,0.1,0
090010213003002,26.1,8.3,0.2,0.2,0
090010213003009,26.8,5.5,0.1,0.1,0
090010215001004,186.2,38.1,1,0.9,0
090010215004003,39.1,8,0.2,0.2,0
090010217004000,0,0,0,0,0
090010222001003,0,0,0,0,0
090010221002010,4.9,2.5,0.1,0,0
090010221002022,0,0,0,0,0
090010221001020,82.5,25.7,1.1,1,0
090010221001011,0,0,0,0,0
090010221001018,43.8,13.6,0.6,0.5,0
090010221003003,140.6,70.4,1.5,0.6,0.1
090010902004018,49.7,43.2,1.3,0.3,0.1
090010907002018,5.5,4.7,0.1,0,0
090010902001020,0,0,0,0,0
090010902004023,13,11.3,0.3,0.1,0
090010902002009,15.7,13.6,0.4,0.1,0
090010902003025,6.3,5.5,0.2,0,0
090010902002015,16.6,14.4,0.4,0.1,0
090010902002004,26.5,17.7,0.5,0.1,0
090010902002038,5,3.3,0.1,0,0
090010902002037,7.8,5.2,0.1,0,0
090010902003030,9,7.8,0.2,0.1,0
090010907001004,0,0,0,0,0
090010907001007,12.4,10.6,0.2,0.1,0
090010907001036,29.4,25.2,0.4,0.2,0
090010907001033,58.4,50.1,0.9,0.5,0
090010454001029,28.6,14.4,0.5,0.2,0
090010453002018,10.5,5.3,0.3,0.1,0
090010451021000,9.5,4.6,0.2,0.1,0
090010451021001,1.3,0.6,0,0,0
090010451021014,6.3,3.1,0.1,0,0
090010451021050,0,0,0,0,0
090010451021009,14.6,7.1,0.3,0.1,0
090010451021023,21.6,10.4,0.5,0.1,0
090010453002009,1.2,0.6,0,0,0
090010454001011,2.4,1.2,0,0,0
090010451013008,14.6,7.1,0.3,0.1,0
090010451013010,6.3,3.1,0.1,0,0
090010454002017,0,0,0,0,0
090010454001009,1.2,0.6,0,0,0
090010453002016,7.4,3.7,0.2,0,0
090010454002041,3.7,1.9,0.1,0,0
090010452002016,8,4.1,0.2,0,0
090012103003002,80.7,64.6,1,0.4,0
090012101003000,29.8,17,0.3,0.1,0
090012106004007,17.5,6.5,0.1,0.1,0
090012101003010,25.7,14.7,0.3,0.1,0
090012106005006,3.9,2.2,0,0,0
090012103001013,12.6,8.5,0.2,0.1,0
090012103001014,17,11.4,0.2,0.1,0
090012103002012,19.6,15.7,0.2,0.1,0
090012102002010,10.5,4.8,0,0,0
090012102003005,8.4,4.7,0.1,0.1,0
090012103003007,33,26.4,0.4,0.1,0
090012104003017,11.9,7,0.1,0.1,0
090012104003014,0,0,0,0,0
090012104003021,50.5,29.5,0.4,0.4,0
090012104001010,15,8.8,0.1,0.1,0
090012104003029,18.5,10.8,0.1,0.2,0
090012104002016,30.8,17.2,0.2,0.2,0
090012108003002,0,0,0,0,0
090012109003001,18.6,14.8,0.5,0.1,0
090012107022008,41.7,27.7,0.6,0.2,0
090012112003005,59.2,39.9,0.9,0.4,0.1
090012109003005,122.8,97.8,3,0.6,0
090012104002015,15.3,8.5,0.1,0.1,0
090012108001006,0,0,0,0,0
090012108003021,0,0,0,0,0
090012108003023,0,0,0,0,0
090012108001012,21.6,14.3,0.3,0.1,0
090012105003056,110.7,72.2,1,0.5,0.1
090012105003029,0,0,0,0,0
090012104004015,1.5,0.9,0,0,0
090012114003027,1.3,1,0,0,0
090012105002040,0,0,0,0,0
090012105002027,0,0,0,0,0
090012105003005,0,0,0,0,0
090012107012012,9.4,4.5,0.1,0.1,0
090012108003018,12.7,8.4,0.2,0.1,0
090012105003027,0,0,0,0,0
090012114001008,0,0,0,0,0
090012107023002,46.3,36.1,0.7,0,0
090012114003034,0,0,0,0,0
090012112001002,0.7,0.5,0,0,0
090012109004019,0,0,0,0,0
090012104001015,27.6,16.1,0.2,0.2,0
090012104001023,0,0,0,0,0
090012104001022,160.2,93.5,1.2,1.4,0
090010305003006,0,0,0,0,0
090010305002007,26,16,0.6,0.2,0
090010305003018,15.1,9.3,0.4,0.1,0
090011052002024,0,0,0,0,0
090011051001024,147.6,115.8,2.4,1,0.2
090011051001009,26.9,21.1,0.4,0.2,0
090011051002026,0,0,0,0,0
090011051002039,2.6,2,0,0,0
090011052002039,2.6,2,0,0,0
090010602001011,0,0,0,0,0
090010602002001,27.2,11.3,0.4,0.1,0
090010602002006,36.3,15,0.6,0.2,0
090010611003009,135.3,71.4,1.4,1.3,0.1
090010615003022,18.4,9,0.3,0.1,0
090010616001018,9.5,4.7,0.2,0.1,0
090010616001022,45.8,22.3,0.8,0.2,0
090010616001028,2.8,1.4,0.1,0,0
090010616001011,14.3,7.1,0.3,0.1,0
