GEOID,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
090012102003001,5.5,2.9,0.2,0.1,0,7.5,2.3,0.1,0.1,0
090012104003013,0,0,0,0,0,0,0,0,0,0
090012104003019,0,0,0,0,0,0,0,0,0,0
090012104003023,12.7,6.8,0.5,0.3,0,17.5,5.4,0.2,0.3,0
090012104001014,34,20.6,1.3,1.1,0,36,17.5,0.5,0.7,0
090010451022001,0,0,0,0,0,0,0,0,0,0
090010452001004,0,0,0,0,0,0,0,0,0,0
090010451022008,5.8,3.7,0.4,0.1,0,5.4,4.5,0.1,0.1,0
090010452001007,23.9,14.8,1.5,0.5,0.1,22.9,17.4,0.4,0.2,0
090010453002002,52.7,32.7,3.4,1,0.2,50.6,38.5,0.8,0.4,0
090010452001018,63.2,39.1,4,1.2,0.3,60.6,46.1,1,0.5,0
090010452002014,0,0,0,0,0,0,0,0,0,0
090010453001015,27.4,16.9,1.8,0.5,0.1,26.2,20,0.4,0.2,0
090010451023007,33.2,20.7,2.2,0.6,0.2,31.7,24.4,0.5,0.4,0
090010729003015,0,0,0,0,0,0,0,0,0,0
090010706001084,18.4,2.7,0.2,0.3,0,16.6,2.3,0.1,0.2,0
090010727001009,0,0,0,0,0,0,0,0,0,0
090010734001020,0,0,0,0,0,0,0,0,0,0
090010728002011,0,0,0,0,0,0,0,0,0,0
090010725001001,21.4,9.5,0.4,0.4,0,23,6.3,0.3,0.3,0
090010734001025,2.5,0.4,0,0,0,2.4,0.3,0,0,0
090010734001016,0,0,0,0,0,0,0,0,0,0
090010720001004,4.8,1.4,0.1,0.1,0,4.9,1.1,0.1,0,0
090010706001004,0,0,0,0,0,0,0,0,0,0
090010721003012,77.7,23.4,1.4,1.4,0.1,79,17.5,0.9,0.8,0
090010703001060,0,0,0,0,0,0,0,0,0,0
090010704001021,0,0,0,0,0,0,0,0,0,0
090010710001009,0,0,0,0,0,0,0,0,0,0
090010710001057,0,0,0,0,0,0,0,0,0,0
090010743004009,0,0,0,0,0,0,0,0,0,0
090010744004003,0,0,0,0,0,0,0,0,0,0
090010740001029,0,0,0,0,0,0,0,0,0,0
090010722002009,27.2,9.4,0.5,0.5,0,28.2,6.7,0.3,0.3,0
090010721003004,11.4,3.4,0.2,0.2,0,11.6,2.6,0.1,0.1,0
090010726005004,68.7,30.6,1.3,1.2,0,73.9,20.3,0.8,1,0
090012052002003,0,0,0,0,0,0,0,0,0,0
090012052002015,21.8,24.7,1.5,0.5,0.1,24.2,22.5,0.5,0.4,0
090012052002021,16.9,19.1,1.1,0.4,0.1,18.8,17.5,0.4,0.3,0
090012051001002,0,0,0,0,0,0,0,0,0,0
090012051001014,11.7,14.7,0.7,0.3,0,13.5,12.6,0.3,0.4,0
090012051003004,5.5,7,0.4,0.2,0,6.4,6,0.1,0.2,0
090012051003003,5.5,7,0.4,0.2,0,6.4,6,0.1,0.2,0
090012051003011,13.7,17.2,0.9,0.4,0,15.7,14.8,0.3,0.4,0
090012051003012,2.3,2.9,0.1,0.1,0,2.6,2.5,0.1,0.1,0
090012051002021,7.2,9,0.5,0.2,0,8.2,7.7,0.2,0.2,0
090012051003016,9.8,12.3,0.6,0.3,0,11.2,10.5,0.2,0.3,0
090012053003020,29.3,36.9,1.9,0.8,0,33.7,31.6,0.7,0.9,0
090012051001001,0,0,0,0,0,0,0,0,0,0
090012052003004,7.8,8.8,0.5,0.2,0,8.6,8,0.2,0.1,0
090012052003000,93.4,105.7,6.3,2.1,0.3,103.6,96.4,2.1,1.6,0
090012051001017,17.2,21.7,1.1,0.5,0,19.9,18.6,0.4,0.5,0
090012052003009,25.7,29.1,1.7,0.6,0.1,28.6,26.5,0.6,0.4,0
090012052003013,13.7,15.6,0.9,0.3,0,15.3,14.2,0.3,0.2,0
090012053002005,0.7,0.8,0,0,0,0.8,0.7,0,0,0
090012053001009,9.2,10.4,0.6,0.2,0,10.2,9.5,0.2,0.2,0
090012053002039,0,0,0,0,0,0,0,0,0,0
090012053002018,8.1,10.2,0.5,0.2,0,9.4,8.8,0.2,0.2,0
090012053002017,0,0,0,0,0,0,0,0,0,0
090012053002009,5.9,7.4,0.4,0.2,0,6.7,6.3,0.1,0.2,0
090012052002023,0,0,0,0,0,0,0,0,0,0
090012053001012,30.6,34.7,2.1,0.7,0.1,34,31.6,0.7,0.5,0
090012052001021,3.9,4.4,0.3,0.1,0,4.3,4,0.1,0.1,0
090012052001027,4.2,4.8,0.3,0.1,0,4.7,4.4,0.1,0.1,0
090012112001018,20.3,23.3,1,0.7,0,24.2,19.3,0.4,0.3,0
090012105003001,0,0,0,0,0,0,0,0,0,0
090012107013003,43,29,2.1,0.8,0,21,24.5,0.9,0.8,0
090012109003004,24.7,23.6,1.6,0.6,0,28.9,20.9,0.4,0.3,0
090012107022014,3.5,2,0.1,0.1,0,3.4,1.7,0,0.1,0
090012107021002,26.9,9.3,0.8,0.5,0,25.9,8,0.5,0.6,0
090012105004000,0,0,0,0,0,0,0,0,0,0
090012113002003,5.2,4.8,0.3,0.1,0,5.8,4.1,0.1,0.1,0
090012113001007,5,4.6,0.2,0.1,0,5.5,3.9,0.1,0.1,0
090012113003012,11.6,10.6,0.6,0.3,0,12.9,9,0.2,0.3,0
090012112002000,37.3,27.3,1.6,0.7,0,41.5,21.2,0.7,0.4,0
090012112003004,20.8,15.2,0.9,0.4,0,23.1,11.8,0.4,0.2,0
090012105001001,20.6,9.1,0.7,0.5,0.2,19.8,2,0.5,0.4,0
090012104004011,15.5,8.3,0.6,0.3,0,21.2,6.6,0.2,0.4,0
090012104004005,7.7,4.1,0.3,0.2,0,10.6,3.3,0.1,0.2,0
090012114003002,0,0,0,0,0,0,0,0,0,0
090012114003006,0,0,0,0,0,0,0,0,0,0
090012114003040,0,0,0,0,0,0,0,0,0,0
090012114003038,1.9,1.8,0.1,0,0,2.2,1.5,0,0,0
090012104001003,0,0,0,0,0,0,0,0,0,0
090012105001005,0,0,0,0,0,0,0,0,0,0
090012105002016,36.7,28.1,2.1,0.7,0,32.7,25.9,2.1,0.9,0
090012105002025,50.4,38.6,2.9,0.9,0,44.8,35.5,2.8,1.2,0
090012110001007,11.7,13.4,0.6,0.4,0,13.9,11.1,0.2,0.2,0
090012113003011,0,0,0,0,0,0,0,0,0,0
090012108001009,28.9,19.4,1.4,0.5,0,14.1,16.4,0.6,0.5,0
090012108001020,0,0,0,0,0,0,0,0,0,0
090012109001012,0.9,0.9,0.1,0,0,1.1,0.8,0,0,0
090012110003011,13,12.4,0.8,0.3,0,15.2,10.9,0.2,0.2,0
090012102001013,0,0,0,0,0,0,0,0,0,0
090012108003003,0,0,0,0,0,0,0,0,0,0
090012111001000,33.5,27.9,1.7,0.6,0,37,22.1,1,0.7,0
090012112001012,0,0,0,0,0,0,0,0,0,0
090012110001012,0.6,0.6,0,0,0,0.7,0.5,0,0,0
090012114001009,0,0,0,0,0,0,0,0,0,0
090012104001005,0,0,0,0,0,0,0,0,0,0
090010303003016,0,0,0,0,0,0,0,0,0,0
090010303001024,1.7,1.4,0.2,0,0,1.4,1.9,0,0,0
090010303003032,1.4,1,0.1,0,0,1.2,1.4,0,0,0
090010303003025,3.5,2.7,0.4,0.1,0,2.7,3.7,0.1,0,0
090010303003046,0.9,0.7,0.1,0,0,0.8,0.9,0,0,0
090010303003047,1.3,1,0.2,0,0,1,1.4,0,0,0
090010301002031,17.1,12.8,1.5,0.2,0.1,14.7,16.6,0.3,0.1,0
090010301001053,5.5,5.1,0.8,0.1,0.1,3.9,7.7,0.1,0,0
090011052002003,10.7,10.3,0.6,0.3,0,11.2,10.1,0.2,0.2,0
090011052001004,0,0,0,0,0,0,0,0,0,0
090011052002011,0,0,0,0,0,0,0,0,0,0
090011052002034,42.7,41.3,2.5,1.1,0.2,44.8,40.6,0.8,0.8,0
090011051002045,10.3,9.9,0.6,0.3,0,10.8,9.7,0.2,0.2,0
090011051002036,0.8,0.8,0,0,0,0.9,0.8,0,0,0
090011051002030,1.6,1.6,0.1,0,0,1.7,1.6,0,0,0
090011051002038,2.9,2.8,0.2,0.1,0,3,2.7,0.1,0.1,0
090011051002014,7,6.8,0.4,0.2,0,7.3,6.6,0.1,0.1,0
090010616001031,0,0,0,0,0,0,0,0,0,0
090010607002014,10.5,7.7,0.6,0.2,0,10.5,7.9,0.2,0.2,0
090010616001007,19.5,13,1.1,0.3,0.1,18.8,14.5,0.2,0.2,0
090010616003010,18.1,12.1,1,0.3,0.1,17.5,13.5,0.2,0.2,0
090010607002005,8.2,6,0.5,0.1,0,8.3,6.2,0.1,0.2,0
090010607002023,0,0,0,0,0,0,0,0,0,0
090010616001008,5.8,3.6,0.3,0.1,0,5.8,3.8,0,0.1,0
090010607002029,0,0,0,0,0,0,0,0,0,0
090010615003010,6.4,4.7,0.4,0.1,0,6.4,4.8,0.1,0.1,0
090010616001003,0,0,0,0,0,0,0,0,0,0
090010614001027,4,2.5,0.2,0.1,0,4.4,2,0.1,0.1,0
090010614001038,0,0,0,0,0,0,0,0,0,0
090010616001038,17,10.4,0.8,0.3,0.1,17,11,0.1,0.2,0
090010616002004,35.4,21.7,1.7,0.6,0.1,35.4,22.8,0.2,0.4,0
090010616002006,18.8,11.5,0.9,0.3,0.1,18.8,12.1,0.1,0.2,0
090010616002007,23.7,14.6,1.1,0.4,0.1,23.8,15.3,0.2,0.3,0
090010615004015,25.1,15.4,1.2,0.5,0.1,25.1,16.2,0.2,0.3,0
090010616002008,24.2,14.8,1.1,0.4,0.1,24.2,15.6,0.2,0.3,0
090010615001019,0,0,0,0,0,0,0,0,0,0
090010615001021,10.9,7.1,0.5,0.2,0.1,10.7,7,0.2,0.1,0
090010614001047,0,0,0,0,0,0,0,0,0,0
090010611004005,27.1,13.7,1.4,0.5,0.1,28.1,13.7,0.4,0.3,0
090010611001008,0,0,0,0,0,0,0,0,0,0
090010611002008,14.1,7.1,0.7,0.3,0.1,14.6,7.1,0.2,0.1,0
090010610003019,37.1,30.9,2,0.3,0,38,31.1,0.3,0.6,0
090010609001004,21,17.5,1.1,0.2,0,21.5,17.6,0.2,0.3,0
090010609002008,21.2,16.4,1.1,0.4,0,23.4,14.6,0.3,0.2,0
090010609002005,16.1,12.5,0.8,0.3,0,17.8,11.1,0.2,0.1,0
090010609001013,8.5,6.6,0.4,0.2,0,9.4,5.9,0.1,0.1,0
090010609001002,14.4,11.2,0.7,0.3,0,15.9,10,0.2,0.1,0
090010608001008,31.2,20.4,1.4,0.6,0.2,30.5,20.1,0.5,0.3,0
090010602001016,6.4,4.9,0.3,0.1,0,7,4.4,0.1,0.1,0
090010605001048,21.3,14.2,1.2,0.3,0.1,20.6,15.9,0.3,0.2,0
090010606002000,14.5,9.7,0.8,0.2,0.1,14,10.8,0.2,0.2,0
090010608001006,18.5,12.1,0.8,0.4,0.1,18.1,11.9,0.3,0.2,0
090010606002019,1.8,1.2,0.1,0,0,1.7,1.4,0,0,0
090010605001014,6.8,5,0.4,0.1,0,6.9,5.1,0.1,0.1,0
090010605001035,7.3,4.8,0.4,0.1,0,7,5.4,0.1,0.1,0
090010101014044,0,0,0,0,0,0,0,0,0,0
090010101023020,2.6,2.4,0.2,0,0,2.4,2.8,0,0,0
090010101021004,4.2,3.8,0.4,0,0,3.8,4.4,0.1,0,0
090010101022000,0,0,0,0,0,0,0,0,0,0
090010101023046,0,0,0,0,0,0,0,0,0,0
090010101021034,0.9,0.6,0.1,0,0,0.7,0.9,0,0,0
090010101012011,0,0,0,0,0,0,0,0,0,0
090010113002017,0,0,0,0,0,0,0,0,0,0
090010113001032,0.8,0.6,0.1,0,0,0.8,0.7,0,0,0
090010102013017,9.2,6.4,0.9,0.1,0,7.7,9.1,0.2,0.1,0
090010108001004,36.7,28.3,2.1,0.7,0,36.9,29,0.6,0.5,0
090010112001014,0,0,0,0,0,0,0,0,0,0
090010112001055,4,3,0.4,0.1,0,3.8,3.5,0.1,0.1,0
090010109003007,0.8,0.6,0,0,0,0.8,0.6,0,0,0
090010109004011,0,0,0,0,0,0,0,0,0,0
090010111004014,0,0,0,0,0,0,0,0,0,0
090010111003003,0,0,0,0,0,0,0,0,0,0
090012305012002,19,18.4,1.3,0.5,0.2,21.7,16,0.5,0.3,0
090012305011000,0,0,0,0,0,0,0,0,0,0
090012301003039,10.9,10.2,0.7,0.3,0.1,11.8,9.4,0.2,0.2,0
090012305021002,30.9,33.7,2.4,1,0,35.4,29.8,0.4,0.9,0
090012305022069,33.6,32.5,2.3,0.9,0.3,38.4,28.3,0.8,0.5,0
090012305022047,0,0,0,0,0,0,0,0,0,0
090012305022049,0,0,0,0,0,0,0,0,0,0
090012303003013,0,0,0,0,0,0,0,0,0,0
090012456001028,38.8,33.4,4,0.6,0.4,37.5,38.6,0.6,0.9,0
090012453001010,0,0,0,0,0,0,0,0,0,0
090012454002019,19,13.2,1.3,0.4,0.1,17.9,15,0.4,0.2,0
090012454002034,0.9,0.7,0.1,0,0,0.9,0.8,0,0,0
090012451001009,0.9,0.7,0.1,0,0,0.9,0.7,0,0,0
090012455002006,1.4,1,0.1,0,0,1.3,1.1,0,0,0
090012456002001,37.8,27.3,2.3,0.7,0.2,37.4,29.2,0.7,0.5,0
090012456003001,0,0,0,0,0,0,0,0,0,0
090012452001016,60.7,44,3.6,1,0.5,59.1,47.7,0.9,0.6,0
090012453001023,9,6.5,0.6,0.2,0,8.9,7,0.2,0.1,0
090012456004005,1.4,1,0.1,0,0,1.4,1.1,0,0,0
090012456002011,0.4,0.3,0,0,0,0.4,0.3,0,0,0
090012452002012,0,0,0,0,0,0,0,0,0,0
090012455001000,79.7,55.3,5.6,1.7,0.4,75.2,63.2,1.6,0.8,0
090012456004036,0,0,0,0,0,0,0,0,0,0
090012456002012,5.2,3.6,0.4,0.1,0,4.9,4.1,0.1,0.1,0
090010204001008,30.9,26.9,1.5,0.5,0.1,33.4,23.8,0.4,0.5,0
090010214004001,116.6,39.8,3.4,1.2,0.3,114.5,39.6,1.2,0.6,0
090010210002010,0.7,0.4,0,0,0,0.8,0.3,0,0,0
090010217003001,91.7,27.7,3.1,1.4,0.3,87.4,29.6,1.7,1.5,0
090010210001011,0,0,0,0,0,0,0,0,0,0
090010221003002,0,0,0,0,0,0,0,0,0,0
090010206001011,9.4,6.8,0.4,0.2,0,10.6,5.3,0.1,0.1,0
090010223001007,0,0,0,0,0,0,0,0,0,0
090010222002015,0,0,0,0,0,0,0,0,0,0
090010203001008,0,0,0,0,0,0,0,0,0,0
090010203002033,0.9,0.6,0,0,0,1,0.5,0,0,0
090010202002020,0,0,0,0,0,0,0,0,0,0
090010202002033,2.7,1.7,0.1,0,0,2.7,1.6,0.1,0,0
090010207003010,0,0,0,0,0,0,0,0,0,0
090010210002012,0,0,0,0,0,0,0,0,0,0
090010212001016,2,1.4,0.1,0,0,2.2,1.2,0,0,0
090010214003016,0,0,0,0,0,0,0,0,0,0
090010218021011,0,0,0,0,0,0,0,0,0,0
090010551001050,8.9,4,0.4,0.1,0,8.1,5.1,0.1,0.1,0
090010552001010,8.9,4,0.4,0.1,0,8.1,5.1,0.1,0.1,0
090010551001046,55.5,24.8,2.8,0.6,0.1,50.6,32.1,0.7,0.6,0
090010552001006,4.4,2,0.2,0,0,4,2.6,0.1,0,0
090010552003033,5.5,2.3,0.3,0.1,0,5.1,3,0.1,0.1,0
090010552002011,6.6,2.8,0.4,0.1,0,6.1,3.7,0.1,0.1,0
090010552001022,2.8,1.2,0.1,0,0,2.5,1.6,0,0,0
090010552003032,11.6,4.9,0.7,0.2,0,10.8,6.4,0.2,0.1,0
090010551004021,58.2,24.3,3.4,1,0.1,53.8,32,0.8,0.6,0
090010551002015,8.9,3.7,0.5,0.2,0,8.2,4.9,0.1,0.1,0
090010551002017,45.4,18.9,2.6,0.8,0.1,42,25,0.6,0.5,0
090010551004000,147.3,61.4,8.5,2.7,0.2,136.3,81,2.1,1.6,0
090010552003028,0,0,0,0,0,0,0,0,0,0
090010714004001,21.5,2.3,0.2,0.1,0,20.3,1.8,0.2,0.2,0
090010714004003,23.8,2.5,0.2,0.1,0,22.4,1.9,0.2,0.2,0
090010712003000,19.3,2,0.2,0.1,0,18.1,1.6,0.1,0.2,0
090010711002007,30,3.3,0.2,0.3,0,27.3,2.7,0.2,0.4,0
090010712004007,19.2,3.1,0.4,0.3,0,18.2,2.5,0.3,0.3,0
090010729003007,0,0,0,0,0,0,0,0,0,0
090012572002003,1.4,0.2,0,0,0,1.4,0.1,0,0,0
090012572002024,0,0,0,0,0,0,0,0,0,0
