GEOID,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDBLU,G16USSRCAR,G16USSLLIO,G16USSGRUS,G16USSOWRI
090012572002010,12.2,1.3,0.1,0.1,0,11.5,1,0.1,0.1,0
090010712004008,36.7,5.9,0.8,0.6,0,34.6,4.8,0.5,0.5,0
090010709001007,0,0,0,0,0,0,0,0,0,0
090010703001022,0,0,0,0,0,0,0,0,0,0
090010703001011,0,0,0,0,0,0,0,0,0,0
090010714002000,24.4,2.6,0.2,0.2,0,23,2,0.2,0.2,0
090010714001005,5.8,0.6,0,0,0,5.5,0.5,0,0.1,0
090010714003008,0,0,0,0,0,0,0,0,0,0
090010714003006,24.4,2.6,0.2,0.2,0,23,2,0.2,0.2,0
090010714003014,17.6,1.9,0.2,0.1,0,16.6,1.4,0.1,0.2,0
090012572002027,0,0,0,0,0,0,0,0,0,0
090010713002000,0.8,0.1,0,0,0,0.8,0.1,0,0,0
090010706001051,0,0,0,0,0,0,0,0,0,0
090010706001024,0,0,0,0,0,0,0,0,0,0
090010706001052,10.6,1.7,0.2,0.2,0,10,1.4,0.2,0.1,0
090010305002017,12,9,1.1,0.1,0,10.3,11.7,0.2,0.1,0
090010305002018,13.9,10.4,1.2,0.2,0,11.9,13.5,0.2,0.1,0
090010305003002,6,4.5,0.5,0.1,0,5.1,5.8,0.1,0,0
090010304003016,0.9,0.6,0.1,0,0,0.8,0.8,0,0,0
090010303003040,0,0,0,0,0,0,0,0,0,0
090010304003011,10.9,8,0.9,0.1,0.1,9.2,10.5,0.1,0.1,0
090010302002016,0,0,0,0,0,0,0,0,0,0
090010303001006,12.5,10.3,1,0.1,0.1,11,12.7,0.2,0.1,0
090010302001018,0,0,0,0,0,0,0,0,0,0
090010303003028,24.2,17.7,2,0.3,0.2,20.5,23.3,0.3,0.3,0
090010305001023,4.2,2.9,0.4,0.1,0,3.7,3.4,0.1,0.1,0
090010305001000,15.3,10.5,1.3,0.3,0,13.4,12.4,0.3,0.3,0
090010301001027,6.3,5.9,0.9,0.1,0.1,4.4,8.9,0.1,0.1,0
090010301001028,1.7,1.6,0.2,0,0,1.2,2.4,0,0,0
090010301002018,7.2,6.6,1,0.1,0.1,5,10.1,0.1,0.1,0
090010301001014,8.9,8.2,1.3,0.1,0.1,6.2,12.4,0.1,0.1,0
090010304001049,9.5,7.5,1.1,0.2,0,7.5,10.2,0.2,0.1,0
090010105006010,77.8,45.1,2.4,0.9,0,81.7,39,1.8,0.7,0
090010101013011,13.6,12.1,1,0.3,0,12.5,14.3,0.2,0.3,0
090010101013000,4.2,3.7,0.3,0.1,0,3.8,4.4,0,0.1,0
090010101014034,0,0,0,0,0,0,0,0,0,0
090010101014036,0.3,0.3,0,0,0,0.3,0.4,0,0,0
090010101014025,0,0,0,0,0,0,0,0,0,0
090010101014027,2.1,1.9,0.1,0,0,1.9,2.2,0,0,0
090010101013001,0,0,0,0,0,0,0,0,0,0
090010101023052,0,0,0,0,0,0,0,0,0,0
090010101013038,0,0,0,0,0,0,0,0,0,0
090010101013036,4.2,3.7,0.3,0.1,0,3.8,4.4,0,0.1,0
090010101011000,0,0,0,0,0,0,0,0,0,0
090010101012017,0,0,0,0,0,0,0,0,0,0
090012303003014,7.1,6.5,0.5,0.2,0,7.9,6,0.1,0.1,0
090012305022034,0,0,0,0,0,0,0,0,0,0
090012302001012,2.7,2.6,0.2,0.1,0,3.1,2.3,0.1,0,0
090012302001024,17.7,17.1,1.2,0.5,0.2,20.2,14.9,0.4,0.3,0
090012303003000,2.4,2.2,0.2,0.1,0,2.6,2,0,0,0
090012305022040,7.8,7.6,0.5,0.2,0.1,8.9,6.6,0.2,0.1,0
090012304002000,25.1,23.3,1.8,0.7,0.1,28.1,21.2,0.5,0.4,0
090012305022030,0,0,0,0,0,0,0,0,0,0
090012304001000,34.6,32,2.5,0.9,0.2,38.6,29.1,0.7,0.5,0
090012304001010,0,0,0,0,0,0,0,0,0,0
090012304001005,19.6,18.2,1.4,0.5,0.1,22,16.5,0.4,0.3,0
090012401003022,33.7,21.6,1.8,0.7,0.1,33.4,23.6,0.5,0.6,0
090012402002002,1.4,1,0.1,0,0,1.3,1.1,0,0,0
090012402002000,3.2,2.3,0.2,0.1,0,3.1,2.6,0.1,0.1,0
090012402001029,1.4,1,0.1,0,0,1.3,1.1,0,0,0
090012401003009,18.2,11.7,1,0.4,0.1,18.1,12.8,0.3,0.3,0
090012401003024,4.7,3,0.3,0.1,0,4.6,3.3,0.1,0.1,0
090012402003030,0,0,0,0,0,0,0,0,0,0
090012402003054,0,0,0,0,0,0,0,0,0,0
090012401003037,0.9,0.6,0.1,0,0,0.9,0.7,0,0,0
090012401002012,51,32.6,2.8,1.1,0.2,50.6,35.7,0.8,0.9,0
090012402003048,0,0,0,0,0,0,0,0,0,0
090012401001009,0,0,0,0,0,0,0,0,0,0
090010215003003,57.8,9.1,0.8,1,0,24.9,8.1,0.5,0.6,0
090010215004005,37.5,5.9,0.5,0.7,0,16.1,5.2,0.3,0.4,0
090010215003004,39.8,6.3,0.6,0.7,0,17.2,5.5,0.4,0.4,0
090010209002010,44.4,23.4,2,0.9,0.1,38.2,18.4,1,1,0
090010210002014,12.1,7.6,0.5,0.2,0,13.3,5.7,0.2,0.3,0
090010210001000,15.4,8.1,0.7,0.3,0,13.3,6.4,0.3,0.3,0
090010210001013,3.1,1.7,0.1,0.1,0,2.7,1.3,0.1,0.1,0
090010218022003,18.3,7.5,0.5,0.4,0,18.6,6.3,0.3,0.3,0
090010218021004,31.4,10.7,0.7,0.6,0.1,32.8,7.9,0.5,0.4,0
090010218021013,20.8,7.1,0.5,0.4,0,21.7,5.2,0.3,0.2,0
090010223002008,29.8,7.8,0.5,0.4,0,28.9,7.3,0.4,0.4,0
090010223001026,16.3,4.3,0.3,0.2,0,15.7,4,0.2,0.2,0
090010215003000,5,0.8,0.1,0.1,0,2.2,0.7,0,0.1,0
090010201001000,34.2,10.4,1.2,0.5,0.1,32.6,11,0.6,0.6,0
090010217003002,80.1,24.2,2.7,1.2,0.3,76.3,25.8,1.5,1.3,0
090010201002015,0,0,0,0,0,0,0,0,0,0
090010217002001,121.6,36.8,4.1,1.9,0.4,115.8,39.2,2.2,2,0
090010222002008,5.4,1.4,0.1,0.1,0,5.2,1.3,0.1,0.1,0
090010222002006,0,0,0,0,0,0,0,0,0,0
090010906002014,39.5,44.6,1.9,1,0.2,45.6,38.5,0.3,0.8,0
090010905003019,0,0,0,0,0,0,0,0,0,0
090010905002017,0.6,0.5,0,0,0,0.7,0.4,0,0,0
090010904004012,0,0,0,0,0,0,0,0,0,0
090010905002031,13.6,11.6,0.7,0.5,0.1,16,9.5,0.3,0.3,0
090010904004020,11.1,9.4,0.6,0.4,0.1,13,7.7,0.2,0.2,0
090010904004025,0,0,0,0,0,0,0,0,0,0
090010905002042,4.4,3.8,0.2,0.2,0,5.2,3.1,0.1,0.1,0
090010903002023,17.2,18.5,0.9,0.4,0.2,20.5,15.4,0.3,0.2,0
090010905004008,1.9,1.6,0.1,0.1,0,2.2,1.3,0,0,0
090010903001003,9.6,10.4,0.5,0.2,0.1,11.5,8.6,0.2,0.1,0
090010907001002,5.3,5.9,0.3,0.1,0.1,6.3,5.2,0.1,0.1,0
090010901002019,13.5,14.5,0.7,0.2,0,15.8,12.4,0.1,0.2,0
090010905001019,0,0,0,0,0,0,0,0,0,0
090010905002011,0,0,0,0,0,0,0,0,0,0
090010901002023,6.7,7.5,0.4,0.2,0.1,8,6.5,0.1,0.1,0
090010901002037,0,0,0,0,0,0,0,0,0,0
090010451023004,105,65.3,6.8,1.8,0.7,100,77.2,1.5,1.1,0
090010451023019,40,24.9,2.6,0.7,0.3,38.1,29.4,0.6,0.4,0
090010451023018,16.4,10.2,1.1,0.3,0.1,15.6,12,0.2,0.2,0
090010454001019,3.9,2.4,0.2,0.1,0,3.7,2.8,0.1,0,0
090010454002013,6,3.7,0.4,0.1,0,5.7,4.4,0.1,0,0
090010454002004,5.5,3.4,0.4,0.1,0,5.2,4,0.1,0,0
090010453001020,5,3.1,0.3,0.1,0,4.8,3.6,0.1,0,0
090010454002037,0,0,0,0,0,0,0,0,0,0
090010454002024,0.5,0.3,0,0,0,0.5,0.4,0,0,0
090010454001015,14,8.7,0.9,0.2,0.1,13.3,10.3,0.2,0.2,0
090010454001013,30.8,19.2,2,0.5,0.2,29.4,22.7,0.4,0.3,0
090010454001024,17.3,10.8,1.1,0.3,0.1,16.5,12.8,0.2,0.2,0
090012052001005,14.4,16.3,1,0.3,0,16,14.9,0.3,0.2,0
090012052003005,0.4,0.4,0,0,0,0.4,0.4,0,0,0
090012053003021,3.6,4.5,0.2,0.1,0,4.1,3.9,0.1,0.1,0
090012052002043,0,0,0,0,0,0,0,0,0,0
090012052001019,66.6,75.4,4.5,1.5,0.2,73.9,68.7,1.5,1.1,0
090012052002001,0,0,0,0,0,0,0,0,0,0
090012053001004,0.7,0.8,0,0,0,0.8,0.7,0,0,0
090012052001017,0,0,0,0,0,0,0,0,0,0
090012051002017,0,0,0,0,0,0,0,0,0,0
090012110001017,0,0,0,0,0,0,0,0,0,0
090012109004001,4.9,4.7,0.3,0.1,0,5.8,4.2,0.1,0.1,0
090012110002000,22.8,26.2,1.2,0.7,0,27.2,21.7,0.5,0.3,0
090012110001016,0,0,0,0,0,0,0,0,0,0
090012113001001,31.4,28.9,1.5,0.8,0,35.1,24.5,0.7,0.8,0
090012114002008,5.4,6.8,0.5,0.2,0,6.7,5,0.2,0,0
090012113003016,30.3,27.9,1.5,0.8,0,33.8,23.6,0.6,0.8,0
090012113003019,0,0,0,0,0,0,0,0,0,0
090012110003007,6.8,6.5,0.4,0.2,0,8,5.7,0.1,0.1,0
090012112002011,0,0,0,0,0,0,0,0,0,0
090012101001002,2.1,0.7,0.1,0,0,2,0.5,0,0,0
090012107011002,36.5,16.4,1.1,0.6,0,33.9,12.8,0.5,1,0
090012107012001,0.5,0.2,0,0,0,0.4,0.2,0,0,0
090012107011001,0.9,0.3,0,0,0,0.9,0.3,0,0,0
090012112003018,0,0,0,0,0,0,0,0,0,0
090012103001015,16.2,11.9,0.7,0.3,0,18.1,9.3,0.3,0.2,0
090012103001020,13.3,9.8,0.6,0.2,0,14.8,7.6,0.3,0.2,0
090012105004007,15.6,13,0.6,0.5,0,16.7,11.8,0.2,0.3,0
090012101001015,4.5,2,0.1,0.1,0,4.4,0.5,0.1,0.1,0
090012102002003,14.2,5.3,0.3,0.4,0,12.9,4.9,0.2,0.3,0
090011052002037,0,0,0,0,0,0,0,0,0,0
090011051001022,12.3,11.9,0.7,0.3,0.1,12.9,11.7,0.2,0.2,0
090011051001025,4.5,4.4,0.3,0.1,0,4.7,4.3,0.1,0.1,0
090011051001056,5.3,5.2,0.3,0.1,0,5.6,5.1,0.1,0.1,0
090011051001055,7.4,7.2,0.4,0.2,0,7.8,7,0.1,0.1,0
090011051002021,17.7,17.1,1,0.4,0.1,18.5,16.8,0.3,0.3,0
090011052002005,0.8,0.8,0,0,0,0.9,0.8,0,0,0
