GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
220010001-1,22,001,0001-1,1045.66,80.67,6.97,2.99,3.98,987.9,28.88,27.88,24.9,3.98,4.98,0,0,2.99,1.99,3.98,9.96,17.93,2.99,2.99
220010001-2,22,001,0001-2,683.7,238.28,10.71,1.57,10.1,657.02,18.86,73.78,67.36,12.63,17.07,2,2.07,4.65,7.24,9.19,8.62,12.76,6.74,6.09
220010001-3,22,001,0001-3,617.08,130.23,10.02,3.72,1.15,590.66,15.34,42.43,44.26,19.52,0.9,2.88,4.02,2.27,2.12,6.71,0.9,5.21,2.11,1.74
220010001-4,22,001,0001-4,676.11,136.89,8.11,1.04,7.13,656.77,14.38,29.17,64.27,8.08,7,0.04,5.06,1.06,5.08,4.08,11.02,8.13,1.04,0
220010001-5,22,001,0001-5,343.9,245.37,6.93,0.98,4,312.41,13.72,120.36,54.59,9.95,5.93,2,2.93,0,7.95,0,7.93,9.89,1,5.91
220010001-6,22,001,0001-6,106.66,683.67,8.95,4.97,9.9,111.63,1.97,302.69,175.66,39.64,30.72,3.93,2.95,5.97,4.95,0,24.9,18.81,6.95,8.93
220010001-8,22,001,0001-8,456.92,124.69,4.27,1.71,1.71,421.05,12.81,46.12,31.6,14.52,5.12,5.12,5.98,0,2.56,5.98,2.56,5.12,0,4.27
220010001-9,22,001,0001-9,488.63,47.15,4.68,1.88,5.61,473.39,16.74,10.99,14.42,4.38,0.28,1.88,2.77,2.85,3.81,3.75,1.04,5.73,2.03,0.07
220010002-1,22,001,0002-1,990,62,7,1,2,932,24,25,13,2,15,0,7,3,2,3,8,4,1,1
220010002-2,22,001,0002-2,711.8,28.46,9.63,0,2.93,685.55,10.79,7.42,14.95,0.04,1.95,0.04,3.83,0.98,0,2.93,0.98,2.89,0,0
