GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
22051000041,22,051,000041,435.5,170.2,3.4,0.1,9.1,439.2,2.2,79.8,44.7,13.1,10.2,7.1,2.1,3.3,3.1,1,1.1,0.1,0,1
22051000042,22,051,000042,563.8,304.5,12.1,1.4,6.4,570.1,11.5,135,68.2,26.6,22.9,3,4.9,5.3,3.8,0.4,5.3,4.8,0.9,1.1
22051000043,22,051,000043,439.7,188,4.2,0.1,3.2,455.6,7.4,71.9,36.1,19,13.7,9.3,3.3,4,0.2,0.1,1.2,4.2,0,1.1
22051000044,22,051,000044,524.5,274.7,12.5,2.6,2.6,509.3,8.8,112.7,72.8,27.3,11.4,6.2,5.4,7.8,10.3,2.5,7.9,4.5,5.1,0.8
22051000045,22,051,000045,413.8,317.8,17.4,1,2.9,417.6,8.7,144.4,96.9,30,9.7,6.8,9.7,3.9,1.9,0,7.8,6.8,0,0
22051000046,22,051,000046,251.3,206,2.8,0.9,2.8,250.4,6.6,83.1,52.9,17,12.3,4.7,5.7,0,2.8,0.9,2.8,2.8,0,0.9
22051000051,22,051,000051,702.6,218.2,12.1,4,4,690.5,22.2,75.6,74.5,4.4,10.3,0.2,7,4.3,5.1,3,6.2,7.2,0,0
22051000052,22,051,000052,860,273,14,3,4,831,23,118,84,22,21,2,6,9,2,1,11,4,1,3
22051000053,22,051,000053,557,187,10,1,2,554,7,63,64,4,13,2,7,12,2,0,1,4,1,1
22051000054,22,051,000054,422,189,4,3,6,431,12,108,38,13,6,2,3,2,2,0,3,7,3,1
22051000055,22,051,000055,475,193,9,4,3,480,10,69,40,9,21,2,6,4,5,1,4,5,1,0
22051000056,22,051,000056,515,239,10,1,4,497,21,82,78,18,8,7,11,7,3,0,3,11,1,3
22051000057,22,051,000057,388,248,9,1,4,362,16,94,64,11,23,7,6,2,5,0,8,14,4,1
22051000058,22,051,000058,202,267,3,1,2,198,6,78,96,13,4,5,1,4,8,0,10,9,0,1
22051000059,22,051,000059,563.7,273.2,14.2,1,6.1,567.7,15.3,108.6,74.3,26.4,17.5,2.1,10.1,6.2,0.1,3.1,4.2,7.3,1,0.1
22051000060,22,051,000060,1014.2,385.9,31.1,3,4.1,1005.6,29.2,187.6,87.9,22.3,11.3,5,8.1,17.1,3.1,6.1,6.1,13.2,0,0
22051000061,22,051,000061,551,237,6,1,2,521,16,96,69,15,15,5,3,9,2,1,6,11,3,1
22051000062,22,051,000062,377,145,12,1,3,358,19,94,36,7,4,2,4,0,3,0,5,4,0,0
22051000063,22,051,000063,398,166,6,0,2,399,7,82,46,4,6,5,8,3,3,4,0,4,0,0
22051000064,22,051,000064,300,143,8,3,2,307,7,49,31,11,6,5,6,3,2,0,0,5,1,1
22051000065,22,051,000065,472,179,8,0,2,441,15,90,42,15,8,0,6,13,3,0,9,5,3,1
22051000066,22,051,000066,662,218,19,0,4,674,10,125,47,11,4,2,7,9,3,1,5,5,0,0
22051000067,22,051,000067,205,65,6,0,0,201,10,29,9,4,2,9,0,2,0,0,3,1,0,0
