GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
22069003-10,22,069,003-10,81,8,0,0,0,73,5,6,2,0,0,0,0,0,2,0,0,0,0,0
2206901-10A,22,069,01-10A,212.5,50.9,3.4,0,5.2,208.4,7.8,31.4,14.2,0.8,0.2,0.2,1,0,0.2,0,0.2,1,0.9,0
2206901-10B,22,069,01-10B,275,50,8,0,0,271,10,29,4,5,2,2,6,0,0,0,2,0,3,0
220710001-1,22,071,0001-1,91.1,420.6,9.3,0.1,2.3,94.7,7.4,199.1,117.9,38.8,17.2,0.1,5,4,2.2,0,2,2.1,3,0
220710001-2,22,071,0001-2,48,233,10,0,2,52,2,166,34,38,4,7,4,0,2,0,3,0,0,0
220710001-5,22,071,0001-5,111,292,13,0,2,122,3,204,52,27,8,0,10,2,0,0,3,0,0,0
220710001-6,22,071,0001-6,18,493,2,3,2,12,3,222,113,57,19,0,2,4,2,2,7,7,3,2
220710002-1,22,071,0002-1,178.9,279.4,9.7,3.9,9.7,196.3,12.6,177.9,55.1,24.2,5.8,2.9,0,0,6.8,0,0,1.9,0,0
220710002-2,22,071,0002-2,92,243,3,0,4,100,2,127,36,33,4,5,0,0,2,0,4,5,0,3
220710002-4,22,071,0002-4,19.4,789,3,6.9,5,29,0.1,483.2,108.2,16.2,36.7,21.9,4,2,8.9,0,10,7,3.1,4
220710002-6,22,071,0002-6,13,478,2,2,0,20,0,195,127,16,4,10,2,5,2,2,7,9,2,2
220710002-7,22,071,0002-7,16.2,765.6,3,4,7,22.2,0,291.6,263,46.2,51.1,15.1,4,5,10,2,4,13,5,2
220710003-1,22,071,0003-1,273.9,546.7,12.6,2.7,8.1,316.9,9,298.4,113.2,48.7,19,4.6,8.1,7.2,0,2.7,2.7,0.1,1.8,0
220710003-8,22,071,0003-8,82.7,865.3,3.5,2.4,4,76.1,8.9,396,232,40.4,31.4,24.5,3,4.8,7,2.3,10.3,9,12,3
220710003-9,22,071,0003-9,21,380,2,3,3,20,5,184,98,46,13,7,0,2,5,0,6,3,2,2
220710004-2,22,071,0004-2,101.8,577.4,9.9,2,3,111.7,7.9,289.7,125.6,34.6,22.7,14.8,6.9,4,2,0,4,8.9,2,3
220710004-3,22,071,0004-3,34,508,6,0,0,42,0,201,132,33,17,5,7,4,7,2,4,7,0,4
220710004-5,22,071,0004-5,23,302,3,3,0,30,3,145,77,16,4,5,0,4,0,0,7,2,2,2
220710004-6,22,071,0004-6,45.2,204.3,3.5,2,0,50.3,2.2,129.7,26.6,28.8,8.9,7,0.4,0.2,0,0.2,0.3,2.2,2.2,0.2
220710004-7,22,071,0004-7,64,170,4,0,0,63,2,98,18,35,2,5,4,2,0,2,2,0,0,2
220710004-8,22,071,0004-8,127.7,444.7,17,0.2,0.3,127.7,7.2,285.7,63.3,59.8,23.8,11.1,10,5.2,5.1,3.1,2.3,5.4,0.1,2.1
220710004-9,22,071,0004-9,329.2,473.8,18.6,3.7,4.7,363.8,2.8,302.2,71.8,48.5,10.3,11.2,21.4,1.9,1.9,1.9,2.8,8.4,2.8,1.9
220710005-1,22,071,0005-1,63,165,0,2,0,68,2,107,27,11,4,3,2,2,2,0,3,2,0,0
220710005-2,22,071,0005-2,80.2,189,3,3,0,83.2,3,130.6,34.2,3.1,2,3,4,0,2,0,2,0,3,0
220710005-3,22,071,0005-3,89.8,417,4,3,2,100.8,2,263.4,76.8,48.9,8,7,5,0,9,2,0,2,0,0
220710005-5,22,071,0005-5,8,411,0,2,5,14,2,216,98,41,13,5,0,0,2,2,6,6,0,3
220710005-7,22,071,0005-7,11,602,3,3,5,12,5,264,177,65,15,5,2,4,2,0,10,3,5,2
220710005-8,22,071,0005-8,18,345,2,0,2,17,3,184,79,35,8,5,0,0,2,0,10,3,5,0
220710005-9,22,071,0005-9,10,231,3,3,2,19,0,121,45,22,8,5,2,2,3,0,3,2,0,0
220710006-1,22,071,0006-1,119,368,3,2,2,117,5,261,39,27,27,10,3,0,2,6,0,7,2,2
220710006-2,22,071,0006-2,124,444,4,0,2,150,2,311,41,44,11,12,5,5,3,0,2,2,0,0
220710006-4,22,071,0006-4,22,388,3,2,2,22,3,228,95,49,17,5,3,2,2,0,3,2,0,0
220710006-6,22,071,0006-6,31,688,0,4,5,34,5,350,147,46,37,7,2,4,5,3,7,5,2,2
220710006-7,22,071,0006-7,11,413,2,0,5,14,0,278,70,38,17,3,0,0,2,0,4,0,2,0
220710006-8,22,071,0006-8,64,327,6,0,5,57,3,228,48,44,11,5,5,0,2,2,2,0,3,2
220710006-9,22,071,0006-9,76.7,307.6,4.8,1.3,1.7,87.6,4.5,212.4,46.5,30.8,1.8,4.7,0.7,0,0,0,2,5.5,0,0.5
220710007-1,22,071,0007-1,84,454,3,0,5,93,2,267,77,65,19,12,2,0,3,0,4,3,0,3
220710007-2,22,071,0007-2,51,342,2,2,3,54,3,204,48,68,6,10,2,0,5,0,0,0,2,3
220710007-4,22,071,0007-4,5,355,3,6,3,8,2,178,68,30,17,7,3,0,2,0,12,5,0,0
220710007-5,22,071,0007-5,18,451,0,3,7,14,5,210,109,54,17,0,3,2,2,2,4,5,0,2
220710007-6,22,071,0007-6,27,297,0,0,7,30,3,193,45,22,13,3,0,0,5,0,6,0,5,0
220710007-7,22,071,0007-7,19,478,2,2,2,24,0,198,102,30,21,15,0,0,7,0,6,5,6,2
220710007-8,22,071,0007-8,10,571,3,3,2,14,0,228,150,25,15,10,0,0,9,2,15,9,3,4
220710008-1,22,071,0008-1,53,302,7,0,3,52,2,198,48,27,13,0,2,5,0,0,2,4,0,3
220710008-2,22,071,0008-2,32,428,4,1,0,35,3,327,57,46,8,10,2,2,2,0,2,0,2,0
220710008-4,22,071,0008-4,10,276,0,0,2,8,2,118,66,38,6,0,3,0,0,0,3,3,0,0
220710008-6,22,071,0008-6,19,559,3,1,12,12,0,362,84,83,25,5,3,5,5,2,9,4,3,2
220710008-7,22,071,0008-7,2,352,3,1,3,10,0,198,86,27,8,10,0,4,0,0,2,0,2,0
220710008-8,22,071,0008-8,11,518,4,0,2,14,5,237,125,60,27,2,0,2,5,0,4,6,2,2
220710008-9,22,071,0008-9,14,655,4,4,7,27,0,270,143,63,29,7,3,0,5,0,10,18,2,0
220710009-1,22,071,0009-1,64,726,4,4,5,64,5,327,177,68,15,10,5,2,9,5,6,12,0,1
220710009-3,22,071,0009-3,32,625,0,6,7,37,2,284,168,52,29,12,3,3,9,2,2,4,3,1
220710009-4,22,071,0009-4,6,441,4,0,0,12,0,187,150,33,15,0,3,2,9,2,4,6,0,1
220710009-5,22,071,0009-5,18,574,0,3,2,19,2,237,193,25,17,5,5,3,3,0,10,4,3,1
220710009-6,22,071,0009-6,27,911,1,6,5,32,12,377,271,74,27,22,2,3,5,2,13,7,6,0
220710009-7,22,071,0009-7,14,526,4,3,7,19,2,258,104,60,23,5,2,3,2,2,4,6,3,0
220710009-8,22,071,0009-8,10.3,551.9,2.8,0.9,0,23.5,0,225.7,159.8,46.1,32,14.1,0,0,1.9,0,8.5,5.6,1.9,0
220710009-9,22,071,0009-9,50,498,3,0,7,51,0,356,59,63,15,5,2,2,3,2,7,3,0,0
220710010-3,22,071,0010-3,93,843,9,1,5,91,2,377,188,85,43,29,12,3,2,2,16,10,3,1
220710010-6,22,071,0010-6,51,511,4,1,2,56,7,278,86,22,23,15,5,0,5,0,4,12,3,0
220710010-7,22,071,0010-7,56,238,10,0,2,61,0,163,34,19,2,5,5,5,2,0,2,2,1,0
220710010-8,22,071,0010-8,87,183,9,0,5,112,3,133,16,14,4,2,2,0,0,0,2,2,0,0
220710010-9,22,071,0010-9,112,241,9,1,5,139,0,178,27,30,2,2,0,2,0,3,2,2,1,0
220710011-2,22,071,0011-2,56,576,17,3,2,73,2,330,88,63,19,17,10,3,7,3,7,7,1,4
220710011-3,22,071,0011-3,31,246,3,1,2,34,0,142,43,35,2,2,0,2,3,0,3,2,0,0
220710011-4,22,071,0011-4,51,365,4,1,5,61,2,267,59,27,8,5,3,2,2,0,3,2,0,0
220710011-5,22,071,0011-5,138,454,12,3,2,167,2,249,54,68,19,7,7,3,3,3,7,2,0,4
220710011-8,22,071,0011-8,138,210,6,0,2,171,0,127,25,8,6,5,2,2,2,0,2,3,0,0
220710011-9,22,071,0011-9,273,480,13,3,2,325,3,333,43,46,4,15,5,3,2,0,2,0,5,0
220710012-1,22,071,0012-1,42,411,3,1,2,52,0,284,54,38,8,12,0,0,0,0,2,0,0,0
220710012-2,22,071,0012-2,55,498,3,0,3,66,0,305,95,27,17,5,2,2,5,2,3,4,0,0
220710012-3,22,071,0012-3,59,483,4,1,3,78,2,272,93,60,8,0,2,3,0,0,2,4,0,1
220710012-4,22,071,0012-4,50,264,3,3,0,57,0,154,54,35,4,5,0,0,0,0,3,3,1,0
220710012-5,22,071,0012-5,101,286,6,0,2,113,2,198,50,30,4,2,7,2,2,0,0,4,0,1
220710012-6,22,071,0012-6,84,302,6,1,2,105,3,228,25,19,4,0,3,3,0,0,2,2,0,1
220710012-7,22,071,0012-7,82,332,14,1,7,106,0,234,30,24,15,7,3,0,5,2,3,0,0,1
220710012-8,22,071,0012-8,63,139,3,1,0,78,0,98,25,24,0,2,2,0,0,0,0,0,1,0
220710012-9,22,071,0012-9,45,324,9,0,0,51,0,190,66,35,13,5,3,3,0,2,2,3,0,3
220710013-1,22,071,0013-1,43,330,3,1,2,49,3,207,52,33,11,12,3,0,2,2,2,0,0,1
220710013-2,22,071,0013-2,79,393,6,0,3,93,3,252,61,27,11,5,2,2,2,2,3,3,1,3
220710013-3,22,071,0013-3,69,317,3,1,3,74,3,195,48,33,4,7,7,2,5,0,2,2,0,3
220710013-4,22,071,0013-4,137,469,25,0,9,169,8,365,36,44,0,12,17,3,7,0,0,6,3,1
220710013-5,22,071,0013-5,84,350,12,0,3,90,3,240,45,38,11,17,0,2,8,0,2,3,0,0
220710013-6,22,071,0013-6,93,286,4,1,2,118,0,201,39,16,2,5,5,2,2,0,0,0,0,0
220710013-7,22,071,0013-7,90,243,1,3,0,105,5,204,23,14,4,5,0,2,0,0,0,2,1,0
220710013-8,22,071,0013-8,188,378,7,1,0,228,0,275,45,14,4,15,3,0,0,0,0,0,0,3
220710013-9,22,071,0013-9,138,276,3,1,0,157,5,195,34,3,4,20,3,2,0,0,2,2,1,0
220710014-1,22,071,0014-1,149,286,1,1,0,157,2,246,27,22,0,7,2,3,2,0,2,2,1,3
220710014-2,22,071,0014-2,138,322,4,4,0,169,0,237,32,33,2,10,3,2,0,3,2,0,0,1
220710014-3,22,071,0014-3,122,347,4,1,0,159,0,225,54,14,8,5,2,3,3,0,2,0,0,0
220710014-4,22,071,0014-4,103,251,9,1,0,112,0,216,11,22,2,2,7,7,0,0,1,0,0,1
220710014-5,22,071,0014-5,125,246,6,0,0,142,0,184,23,8,4,5,3,0,2,0,1,0,0,0
220710014-6,22,071,0014-6,212,279,6,1,0,282,3,172,16,14,2,7,0,0,0,2,0,0,0,0
220710014-7,22,071,0014-7,247,388,10,4,5,333,0,284,34,11,8,12,2,3,0,3,4,2,0,0
220710014-8,22,071,0014-8,167,203,7,1,0,211,2,116,34,3,0,2,0,0,0,0,0,0,0,0
220710014-9,22,071,0014-9,207,223,4,0,2,259,0,130,18,8,4,2,2,2,0,0,1,0,0,0
220710015-1,22,071,0015-1,46.9,138.8,3,1,3,48.9,2,88.8,18,16,0,0,7,2,3,0,1,2,1,0
220710015-2,22,071,0015-2,144.5,430.1,13.8,3,4.9,152.5,2,303.4,70.9,21.6,10.7,9.7,6.7,2,6.8,0,3.8,4,1,0
220710015-3,22,071,0015-3,58.1,163.9,8.6,2.9,1.9,65.7,1.9,118.1,21.9,10.5,3.8,1.9,0,1.9,2.9,0,0,3.8,0,0.9
220710015-5,22,071,0015-5,32.5,323.3,1.6,3.1,9.2,40.8,2.1,173.6,85.2,23,6.5,5.4,0.3,3.1,2.3,0,0.2,7.2,0,1
220710015-6,22,071,0015-6,34,378,1,0,3,32,5,201,91,35,13,2,2,2,3,0,4,0,3,1
220710015-8,22,071,0015-8,8,312,1,0,0,15,0,163,82,14,11,0,0,2,3,0,0,4,0,1
220710015-9,22,071,0015-9,24,368,1,1,3,17,3,160,102,24,8,5,3,2,2,5,3,4,0,1
220710016-1,22,071,0016-1,67,312,4,0,2,85,0,204,59,22,2,5,5,0,2,1,1,0,0,0
220710016-2,22,071,0016-2,130,307,7,1,0,145,3,198,34,19,8,12,5,5,2,0,1,3,0,1
220710016-3,22,071,0016-3,103,375,4,0,2,108,1,267,52,30,6,5,0,2,2,0,0,4,0,1
220710016-4,22,071,0016-4,58,456,10,3,7,69,5,315,66,49,13,12,5,2,5,0,1,4,1,1
220710016-5,22,071,0016-5,88,360,10,6,2,122,0,255,32,52,15,15,5,2,2,0,0,2,0,0
220710016-6,22,071,0016-6,80,574,6,1,7,85,3,398,88,41,21,10,3,3,0,1,6,2,1,0
220710016-7,22,071,0016-7,66,286,3,0,3,71,5,201,48,19,2,7,3,2,2,0,1,2,0,0
220710016-8,22,071,0016-8,108,297,7,0,2,135,3,213,32,14,2,12,7,7,0,1,0,0,0,0
220710016-9,22,071,0016-9,24,324,1,3,0,29,0,124,77,38,21,5,0,3,3,0,4,2,0,0
220710017-1,22,071,0017-1,61,416,7,1,5,73,0,315,45,44,8,22,2,2,2,1,4,2,0,0
220710017-2,22,071,0017-2,77,314,4,0,2,85,5,195,52,19,10,0,3,0,2,0,0,4,0,0
220710017-3,22,071,0017-3,45,493,9,1,5,49,3,258,91,44,19,12,3,0,3,0,13,3,6,3
220710017-4,22,071,0017-4,37,332,1,4,2,41,0,216,66,22,8,0,3,2,2,0,4,3,0,0
220710017-5,22,071,0017-5,53,451,3,1,2,54,5,264,75,60,27,10,2,2,5,3,1,3,0,1
220710017-6,22,071,0017-6,18,660,9,4,9,30,7,345,150,44,25,7,7,3,10,1,6,7,3,1
220710017-7,22,071,0017-7,32,478,4,1,10,37,0,333,73,49,8,12,3,3,0,1,4,7,0,0
220710017-8,22,071,0017-8,29,526,0,1,5,41,3,246,129,57,21,7,0,2,5,0,4,12,1,1
220710017-9,22,071,0017-9,10,516,3,1,0,12,0,278,113,11,21,7,3,0,3,1,9,4,0,0
22071003-12,22,071,003-12,82,739,20,3,12,81,3,389,138,77,25,12,15,5,15,2,7,15,2,3
22071003-14,22,071,003-14,42,266,7,0,3,49,0,187,27,57,8,5,0,0,0,0,2,2,0,0
22071003-15,22,071,003-15,35,355,2,0,0,44,2,190,45,54,13,10,2,0,2,0,3,5,0,2
22071003-18,22,071,003-18,41.8,554.8,10.9,5,2.5,47.7,2.5,250.2,102.9,67,46.9,12.6,11.7,1.7,2.5,1.7,7.5,5.9,2.5,1.7
22071003-19,22,071,003-19,124,536,10,3,5,120,3,377,73,63,8,15,5,5,5,0,3,9,0,0
22071003-20,22,071,003-20,76.4,269.9,6.7,1.9,0.1,69.4,6.7,155.2,57.6,24.6,10.7,9.5,5,4.8,2.9,1.9,0.1,0.2,0,0.1
22071004-11,22,071,004-11,223.9,303.9,5.9,2,2.9,236.7,6.8,188.1,26.5,39.9,14.5,4.9,8.8,3.9,2.9,0,3.9,5.8,0,1.9
22071004-14,22,071,004-14,635,490,31,7,3,736,8,290,59,49,11,10,10,5,3,0,0,5,2,0
22071004-15,22,071,004-15,425,368,12,2,2,451,7,234,61,22,13,7,4,0,2,2,2,3,0,2
22071004-17,22,071,004-17,433,281,12,0,2,476,8,148,27,35,2,10,5,4,0,0,3,3,2,0
22071004-18,22,071,004-18,467,261,19,0,2,525,8,145,18,22,4,5,7,5,0,0,0,2,0,0
22071004-20,22,071,004-20,342.9,153.1,12,2,2,380.1,2,68.7,30.1,19,2,0,2,4,3,0,2,0,0,2
22071004-21,22,071,004-21,313.1,187.6,7,2,2,356.9,0,117.7,16,8,2,5,2,0,3,0,3,3,0,2
22071004-22,22,071,004-22,227,164.3,11.9,0,0,247,2,91.6,26.9,5,4,10,0,7,0,0,0,2,0,3
22071004-23,22,071,004-23,247,142,4,0,2,254,3,95,14,11,4,5,2,0,0,0,0,0,0,0
22071005-10,22,071,005-10,14,299,2,2,2,14,0,178,57,38,6,3,4,4,3,2,0,3,3,2
22071005-11,22,071,005-11,35.8,218.7,5.5,0,0,37.7,1.8,155.3,18.4,20.2,10.1,0,4.6,1.8,0,2.8,3.7,1.8,1.8,1.8
22071005-12,22,071,005-12,96,451,6,2,7,100,7,258,61,80,29,15,10,2,3,0,2,2,0,2
22071005-13,22,071,005-13,93.7,324.6,7.8,6.7,0.1,116,2,241.7,36,31.4,9.2,2.9,3.4,0,0,0,1.8,2.9,0,2.5
22071005-15,22,071,005-15,158.8,417.3,12.6,3.9,4.8,186.9,1.9,277.9,62,36.8,12.6,21.3,8.7,4.8,0,0,5.8,2.9,0,0
22071005-16,22,071,005-16,97.5,287.2,4.2,0.4,3.6,112.7,3.8,177.4,42.1,39.5,5.4,8.8,4,0.4,3.2,0.2,0.6,1.2,0.5,0.3
22071005-17,22,071,005-17,287,147,6,2,5,309,5,77,14,11,11,3,3,5,2,0,0,7,0,0
22071005-18,22,071,005-18,330,193,9,4,0,383,2,101,14,8,8,12,2,2,2,2,2,2,2,0
22071007-10,22,071,007-10,6,347,0,3,2,8,2,127,84,16,8,15,0,2,2,2,3,5,8,0
22071007-11,22,071,007-11,21,518,2,2,2,19,2,237,98,63,25,5,0,5,3,3,7,12,2,0
22071007-12,22,071,007-12,48,434,2,4,0,54,2,267,95,30,13,3,2,2,2,0,4,5,0,0
22071007-13,22,071,007-13,10,421,0,4,3,15,0,216,102,38,8,10,0,0,7,0,7,6,0,2
22071007-14,22,071,007-14,13,454,4,3,5,15,7,234,93,60,17,5,3,0,5,0,3,5,3,4
22071007-15,22,071,007-15,22,436,2,6,2,25,2,252,86,44,23,7,0,0,7,0,4,3,0,0
22071007-16,22,071,007-16,2.6,409,2.6,0,7.7,6.8,1.7,243,56.5,35.1,16.3,6,1.7,0,4.3,1.7,3.4,6,1.7,1.7
22071007-17,22,071,007-17,64,327,16,0,2,73,2,228,50,38,6,10,7,5,2,0,0,2,2,0
22071007-18,22,071,007-18,85.4,684,7.4,4,3.3,82.2,2.3,394,147.5,35.9,33.7,13,5.3,7,3.7,3.3,9.6,3,5.3,0.3
22071007-19,22,071,007-19,40,466,7,1,2,42,5,210,138,35,6,12,5,2,2,2,7,2,2,7
22071007-20,22,071,007-20,13,726,3,7,10,24,3,311,184,83,29,24,0,2,5,0,6,19,2,4
22071007-21,22,071,007-21,26,604,2,8,3,25,2,299,141,54,27,10,2,0,7,0,9,7,0,2
22071007-23,22,071,007-23,11,845,4,6,7,30,3,424,212,41,29,15,2,4,7,2,7,13,2,2
22071007-24,22,071,007-24,19,327,2,1,2,12,0,121,98,33,29,10,0,5,3,0,6,5,0,2
22071007-25,22,071,007-25,13,480,6,0,5,22,3,237,123,27,13,15,0,2,2,2,6,7,2,2
22071007-26,22,071,007-26,13,483,3,6,2,19,0,216,132,35,21,12,2,2,2,2,2,7,2,0
22071007-27,22,071,007-27,8,423,0,0,0,14,7,210,109,27,15,10,2,2,2,0,3,2,0,0
22071007-28,22,071,007-28,24.9,452.6,1.9,3.7,2.8,27.7,2.8,178.3,121.9,23.1,12,11.1,2.8,3.7,1.9,1.9,3.7,4.6,4.6,2.8
22071007-29,22,071,007-29,24,325,0,0,2,20,2,151,89,41,6,0,0,0,2,2,3,3,2,2
22071007-30,22,071,007-30,77,521,9,3,0,79,0,267,134,49,19,5,7,7,9,2,3,3,5,0
22071007-32,22,071,007-32,135,180,4,1,0,134,3,101,54,22,2,0,0,0,3,0,0,2,2,0
22071007-33,22,071,007-33,72,330,4,0,0,76,5,127,93,38,11,15,5,2,3,0,2,5,2,0
22071007-35,22,071,007-35,39,683,6,4,7,39,2,318,212,57,15,17,0,5,5,3,6,10,3,0
22071007-37,22,071,007-37,32,521,6,4,5,29,2,261,138,30,19,10,5,2,5,2,6,7,3,0
22071007-40,22,071,007-40,164,579,20,4,9,186,7,321,118,57,21,20,12,7,3,2,2,7,5,0
22071007-41,22,071,007-41,201,284,2,3,2,235,0,190,41,11,0,7,2,2,2,2,0,2,0,0
22071007-42,22,071,007-42,98,152,2,1,0,117,5,104,20,3,0,3,3,2,0,0,2,0,0,0
22071007-9A,22,071,007-9A,5,269,0,1,0,7,3,101,84,5,4,10,0,5,0,3,7,2,0,0
22071008-12,22,071,008-12,18,909,2,4,7,24,5,350,228,77,34,5,7,5,7,0,18,21,3,3
22071008-13,22,071,008-13,13,342,1,1,2,14,2,118,102,27,15,10,0,0,7,0,6,6,3,2
22071008-14,22,071,008-14,8,421,4,0,2,15,0,175,120,41,17,5,3,0,0,0,4,2,0,3
22071008-15,22,071,008-15,34,769,3,1,0,25,3,422,170,52,25,7,3,4,2,2,4,9,6,2
22071008-19,22,071,008-19,34,718,4,4,5,46,2,359,219,52,8,7,3,0,5,0,4,4,6,3
22071008-20,22,071,008-20,45,330,0,0,2,51,0,181,75,8,8,5,0,2,7,0,4,6,3,1
22071008-21,22,071,008-21,40,256,3,0,5,41,5,124,45,57,8,7,2,0,2,0,4,2,2,0
22071008-22,22,071,008-22,53,274,4,0,0,51,0,157,66,25,6,7,3,0,3,0,0,0,0,0
22071008-23,22,071,008-23,66,297,1,0,2,69,2,210,54,22,4,5,0,2,2,0,2,0,2,0
22071008-24,22,071,008-24,39,271,12,3,0,37,3,181,64,19,2,2,3,3,2,0,4,4,2,0
22071008-25,22,071,008-25,55,587,9,1,9,56,2,342,129,46,31,10,3,3,5,0,2,3,2,1
22071008-26,22,071,008-26,31,385,6,3,0,39,0,184,129,25,6,0,0,3,2,2,4,2,2,0
22071008-27,22,071,008-27,40,483,0,0,0,41,2,255,125,46,21,2,0,0,2,2,3,9,2,0
22071008-28,22,071,008-28,72,304,6,3,0,74,3,181,66,25,2,5,7,2,3,2,2,2,2,0
22071008-30,22,071,008-30,29.1,641,1,6,3,35,2,242.7,236.6,52,25,17,0,2,3,0,4,7,5,1
22071009-10,22,071,009-10,39.3,786.2,0,6,10.2,37.7,2.1,348.3,191.4,96.5,32,20.1,0.1,3,7.5,2.1,9,15.2,5,3
22071009-11,22,071,009-11,21,274,3,4,12,19,2,172,34,68,11,12,2,0,3,0,3,2,0,0
22071009-12,22,071,009-12,32,418,3,6,2,37,0,284,48,88,11,5,0,2,0,2,2,4,0,0
22071009-13,22,071,009-13,43,327,1,1,2,39,2,207,45,63,8,10,2,3,0,0,0,2,0,0
22071009-14,22,071,009-14,13,307,6,0,5,15,3,198,39,54,6,7,5,2,0,2,3,4,0,0
22071009-15,22,071,009-15,39,485,4,1,5,37,3,380,50,60,15,7,2,2,0,0,3,3,0,0
22071009-16,22,071,009-16,24,368,6,1,0,32,0,216,61,63,17,5,2,0,2,0,4,2,0,0
22071009-17,22,071,009-17,10,556,7,3,3,10,2,237,120,49,41,5,2,0,7,0,9,3,3,0
22071009-19,22,071,009-19,24,523,1,6,3,30,2,293,104,52,21,0,0,3,2,2,9,4,0,0
22071009-21,22,071,009-21,27,772,3,1,5,22,7,401,191,54,25,10,0,2,5,2,10,9,5,0
22071009-23,22,071,009-23,6,357,4,3,5,7,0,148,100,30,8,7,3,0,5,0,4,2,2,1
22071009-25,22,071,009-25,21,812,3,1,7,22,2,321,210,38,31,17,3,5,9,0,16,10,2,7
22071009-26,22,071,009-26,5.7,284.8,0,0,2.8,11.3,1.9,103.7,89.6,7.5,16,1.9,1.9,0,8.5,1.9,0,2.8,0,0
22071009-28,22,071,009-28,10,434,0,1,0,12,2,181,125,27,17,2,2,3,5,2,4,6,2,6
22071009-29,22,071,009-29,26,155,1,0,7,34,3,71,25,14,4,2,3,0,2,2,3,4,2,0
22071009-30,22,071,009-30,170,325,12,6,20,198,8,136,102,27,13,5,5,2,0,0,3,10,0,1
22071009-31,22,071,009-31,6,299,3,3,0,12,0,136,59,22,6,0,3,2,5,0,7,4,0,0
22071009-32,22,071,009-32,11.7,129.1,0.2,0.1,0,15.5,0,55.3,40.2,5.9,2,0.9,0,0,2.1,0,0.5,0.4,0.1,0
22071009-33,22,071,009-33,16,769,1,4,0,30,2,321,242,30,27,22,3,0,9,0,9,3,2,4
22071009-35,22,071,009-35,3,114,0,3,0,3,0,44,32,11,8,0,0,2,0,0,0,0,0,0
22071009-36,22,071,009-36,14,511,1,6,2,17,0,231,175,35,17,5,2,0,5,2,4,2,3,1
22071009-37,22,071,009-37,11,335,0,4,3,14,2,136,109,14,17,10,0,2,2,3,2,9,0,1
22071009-38,22,071,009-38,13.9,254,0,0,0,14.9,2,52.6,101.2,15.9,16.9,6.9,0,0,2,0,3,2,3,0
22071009-39,22,071,009-39,16.1,535,0,1,0,22.1,2,246.4,154.8,35.1,25.1,15.1,0,0,5,0,3,3,2,1
22071009-40,22,071,009-40,9.7,321.7,0,0.9,6.2,13.2,0,170.1,88.1,14.1,16.8,1.8,1.8,0,1.8,1.8,1.8,5.3,0,2.6
22071009-41,22,071,009-41,148,609,0,6,2,134,3,237,184,33,25,12,0,3,7,3,21,10,0,0
22071009-42,22,071,009-42,22,871,3,1,2,37,5,311,287,63,27,15,0,0,12,0,12,9,3,0
22071009-44,22,071,009-44,11,398,1,0,3,14,0,175,134,35,21,0,0,2,9,0,2,2,3,0
22071009-45,22,071,009-45,442.3,145.1,3.1,0,0,436.6,5.2,88.2,25,3.5,4.2,0.1,2,5.1,3,3,7.3,4.1,2,1
22071010-11,22,071,010-11,43,513,1,6,5,44,2,267,120,60,13,2,0,2,5,0,9,7,6,1
22071010-12,22,071,010-12,11,416,0,4,2,17,2,252,64,35,8,7,0,2,2,0,6,4,3,0
22071010-13,22,071,010-13,14,385,0,1,2,10,0,169,89,38,15,5,0,3,3,2,7,3,1,1
22071010-14,22,071,010-14,8,368,1,0,2,10,0,181,91,25,13,5,0,2,2,2,2,4,3,1
22071011-10,22,071,011-10,59,495,3,0,2,59,5,296,84,54,21,10,2,5,5,0,2,2,3,3
22071011-11,22,071,011-11,24,538,7,1,5,20,7,305,145,22,19,17,0,0,2,0,7,6,3,0
22071011-12,22,071,011-12,13,454,1,0,0,22,3,193,111,19,17,15,0,2,2,0,4,4,0,0
22071011-13,22,071,011-13,8,370,0,1,0,10,0,169,86,22,19,10,2,7,0,0,3,2,0,0
22071011-14,22,071,011-14,13,906,0,1,9,20,3,478,200,63,23,10,2,7,3,2,15,12,5,4
22071011-17,22,071,011-17,11,604,3,4,9,24,3,261,163,44,19,10,2,0,7,0,10,12,1,0
22071012-10,22,071,012-10,103,271,4,0,2,128,0,163,48,27,6,0,0,2,0,0,2,2,0,1
22071012-11,22,071,012-11,67,551,1,0,5,78,5,281,125,52,21,20,3,0,3,0,7,3,0,0
22071012-12,22,071,012-12,37,324,3,4,0,42,0,139,82,24,13,10,0,0,0,0,0,6,0,0
22071012-13,22,071,012-13,13,314,0,0,0,17,0,136,79,16,11,0,0,2,2,0,6,6,0,0
22071012-14,22,071,012-14,50,511,1,0,5,61,2,246,145,41,17,12,3,0,2,0,0,3,0,0
22071012-16,22,071,012-16,21,505,4,6,9,27,5,240,120,44,25,2,0,3,5,2,7,2,0,4
22071012-17,22,071,012-17,53,622,9,4,5,69,0,311,147,33,21,12,7,10,3,0,3,9,5,3
22071012-19,22,071,012-19,21,544,9,3,2,34,2,258,132,41,13,2,0,2,5,2,6,9,3,0
