GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
220010001-1,22,001,0001-1,320.67,83.65,57.76,80.67,33.86,54.77,22.9,50.79,9.96,203.16,10.95
220010001-2,22,001,0001-2,232.58,100.75,80.56,105.69,29.65,35.86,95.11,81.45,17.4,157.31,43.88
220010001-3,22,001,0001-3,220.19,87.9,51.73,103.29,18.14,44.18,46.26,49.69,6.73,145.73,25.52
220010001-4,22,001,0001-4,241.14,97.48,49.67,103.1,30.59,42.38,38.25,65.3,10.08,154.21,11.23
220010001-5,22,001,0001-5,111.35,38.4,20.68,58.22,10.77,29.63,91.56,79.45,14.86,53.92,43.82
220010001-6,22,001,0001-6,61.31,31.7,20.81,31.65,4.95,17.79,256.45,228.18,20.84,26.6,96.1
220010001-8,22,001,0001-8,111.19,36.78,25.92,47.65,13.38,28.42,35.95,33.44,0,61.03,16.72
220010001-9,22,001,0001-9,136.75,64.24,29.55,47.95,25.63,16.65,13.64,14.69,3.83,96.4,10.98
220010002-1,22,001,0002-1,261,95,39,106,24,47,23,38,11,167,16
220010002-2,22,001,0002-2,217.65,81.42,21.59,77.48,37.47,28.09,8.16,17.92,1.01,168.21,6.2
220010002-3,22,001,0002-3,232.16,90.41,55.63,61.44,21.43,45.97,22.41,34.15,2.94,172.78,16.06
220010002-5,22,001,0002-5,149,56,25,60,14,18,12,15,3,162,6
220010003-1,22,001,0003-1,121.92,42.17,33.6,66.21,15.9,30.25,34.6,49.46,12.02,245.38,101.85
220010003-2,22,001,0003-2,197,80,38,90,18,64,14,14,5,126,8
220010003-3,22,001,0003-3,295.57,85.7,86.84,161.38,30.74,74.54,75.34,105.43,32.27,585.91,206.26
220010003-4,22,001,0003-4,117.37,47.51,40.55,64.89,18.94,33.28,174.44,213.53,15.89,267.38,423.41
220010003-5,22,001,0003-5,162.14,38.07,29.09,57.1,23.04,43.09,41.11,28.32,1.05,102.47,40.54
220010003-7,22,001,0003-7,237.19,84.73,57.71,99.49,38.48,30.79,36.95,50.2,10.81,179.87,48.67
220010004-1,22,001,0004-1,118.82,73.24,25.52,38,10.22,34.59,11.15,23.26,5.04,122.42,11.12
220010004-2,22,001,0004-2,146,77,42,64,10,130,24,33,17,153,17
220010004-4,22,001,0004-4,229.13,63.66,63.98,103.72,40.24,101.79,19.71,41.32,6.88,213.26,21.72
220010004-5,22,001,0004-5,175.67,77.6,32.41,62.25,13.64,36.67,9.38,16.2,2.56,88.69,7.68
220010004-6,22,001,0004-6,155.4,64.59,33.92,69.68,8.81,117.17,9.56,13.96,7.15,155.25,19.45
220010005-1,22,001,0005-1,52.6,41.88,16.56,18.51,4.87,13.64,33.12,10.71,1.95,63.31,21.43
220010005-2,22,001,0005-2,70,38,21,28,9,16,18,15,4,104,25
220010005-3,22,001,0005-3,104.39,73.85,34.96,82.45,15.53,19.53,4.89,18.44,8.7,122.19,15.49
220010005-4,22,001,0005-4,110,39,34,66,10,17,17,18,12,175,30
220010005-5,22,001,0005-5,35.07,32.63,10.98,23.12,13.17,7.29,6.57,16.16,2.2,54.37,16.5
220010006-1,22,001,0006-1,47.07,15.48,16.29,22.17,3.94,18.18,90.92,79.67,6.52,51.24,129.06
220010006-2,22,001,0006-2,88,47,22,48,4,17,17,25,10,173,31
220010006-3,22,001,0006-3,90.42,34.14,24.23,41.03,9.53,12.5,65.77,83.34,9.89,155.04,122.5
220010006-4,22,001,0006-4,105,44,38,53,26,23,51,75,6,210,91
220010006-5,22,001,0006-5,83.69,32.64,33,37.22,3.83,14.9,36.62,44.84,3.79,163.22,63.26
220010006-6,22,001,0006-6,25.25,3.96,6.79,17.71,1.92,5.83,203,179.96,3.92,16.58,371.96
220010006-7,22,001,0006-7,146.77,34.06,53.33,98.51,14.12,31.69,37.73,40.97,11.12,259.99,72.6
220010006-8,22,001,0006-8,110.54,26.6,26.9,62.98,8.11,16.26,25.93,16.2,1.75,165.21,47.12
220010007-2,22,001,0007-2,133.97,59.33,32.29,36.45,7.04,45.54,26.69,38.87,2.18,76.38,13.28
220010007-3,22,001,0007-3,263.92,134.96,57.98,77.98,24.99,88.97,14,19.99,1,148.95,6
220010007-4,22,001,0007-4,184.67,110.53,47.92,74.38,26.07,57.53,12.15,12.23,6.38,158.61,10.76
22001006-10,22,001,006-10,61.41,21.71,7.81,33.91,3.36,14.45,8.11,9.43,0.2,59.84,3.36
22001006-12,22,001,006-12,128.57,64.78,16.69,59.87,11.78,21.59,16.69,43.19,5.89,216.91,41.22
22001006-13,22,001,006-13,75.38,36.85,13.77,24.54,9.38,16.85,3.77,21.46,0.15,90.85,11.46
22001006-14,22,001,006-14,167.46,67.4,50.1,97.02,13.89,28.74,15.07,26.8,7.25,159.79,26.88
22001006-15,22,001,006-15,50.18,15.62,9.99,26.25,1.02,12.48,5.32,7.2,0.96,30.13,4.54
22001006-16,22,001,006-16,75.45,27.25,11.56,22.24,18.65,11.46,10.1,18.56,2.14,65.79,6.34
220030001-1,22,003,0001-1,28.39,14.68,7.83,12.73,0.98,11.75,42.09,20.56,5.87,25.45,4.89
220030001-2,22,003,0001-2,17,14,12,11,4,12,16,20,0,15,12
220030001-3,22,003,0001-3,30.61,11.32,13.17,23.27,2.02,5.25,33.91,20.44,1.13,20.55,10.11
220030001-4,22,003,0001-4,7,2,0,8,1,1,111,34,5,0,60
220030001-5,22,003,0001-5,19,11,5,6,2,1,13,15,3,7,4
220030001-6,22,003,0001-6,28,14,14,35,2,13,27,25,6,28,8
220030002-1,22,003,0002-1,52,18,25,17,2,8,26,26,4,27,7
220030002-2,22,003,0002-2,134,63,38,64,15,30,14,26,4,138,10
220030002-3,22,003,0002-3,63.52,27.98,19.96,24.82,3.86,14.37,3.95,11.83,4.48,58.19,5.14
220030002-5,22,003,0002-5,5.02,3.95,1.03,0.07,0.03,2.9,50.13,42.41,8.67,8.9,86.58
220030002-6,22,003,0002-6,60.1,27.72,24.73,23.33,4,12.92,15.51,14.61,2.99,59.5,8.7
220030003-1,22,003,0003-1,86.08,43.37,35.98,23.95,7.3,22.2,9.41,14.16,5.9,65.18,5.68
220030003-2,22,003,0003-2,129.29,79.94,57.34,78.9,29.84,46.52,22.13,21.4,10.63,127.13,19.48
220030004-2,22,003,0004-2,111.26,22.57,12.33,30.79,6.51,20.49,3.73,2.74,0.13,37.34,1.17
220030004-3,22,003,0004-3,69.84,44.69,27.59,34.87,10.73,33.44,6.98,4.03,3.56,45.72,7.01
220030005-2,22,003,0005-2,100.69,46.28,18.1,31.21,4.02,46.29,10.04,15.05,1.02,55.38,3.03
220030005-3,22,003,0005-3,45.94,19.98,26.97,40.95,6.99,21.97,8.99,15.98,0,28.96,5.99
220030005-5,22,003,0005-5,57.19,25.66,13.92,21.43,10.07,25.05,4.83,5.56,1.21,28.02,1.93
220030005-7,22,003,0005-7,10.07,2.57,9.47,10.49,2.24,8.47,214.17,51.26,6.05,8.81,52.14
220030005-9,22,003,0005-9,51,23,28,45,7,37,100,31,3,46,49
22003005-10,22,003,005-10,125.84,41.35,25.95,37.49,16.35,49.96,12.48,24.94,2.88,82.55,15.34
22003005-12,22,003,005-12,4,2,3,11,0,1,38,7,1,0,14
22003005-13,22,003,005-13,0,0,0,0,0,0,0,0,0,0,0
22003005-8A,22,003,005-8A,8,8,2,2,0,2,8,5,0,9,3
2200302-2-A,22,003,02-2-A,32.19,20.15,9.04,12,4,8.12,21,18.69,3.35,26.35,22.46
2200302-4-C,22,003,02-4-C,78,25,26,41,2,24,25,47,10,55,19
2200302-4-O,22,003,02-4-O,96.79,48.89,28.94,31.93,14.97,7.98,56.87,47.89,5.99,111.75,20.95
2200305-4-C,22,003,05-4-C,92,32,32,36,10,33,48,26,1,62,21
2200305-4-O,22,003,05-4-O,67.25,35.53,29.76,30.76,15.36,29.78,10.56,16.31,2.88,50.87,8.63
22005000001,22,005,000001,293.87,257.51,136.5,73.98,29.3,44.94,115.01,104.16,15.22,242.27,84.73
22005000002,22,005,000002,291.7,209.9,89.52,58.65,17.75,56.33,60.19,69.45,13.12,196.01,43.99
22005000003,22,005,000003,277,185,79,51,33,44,95,80,11,190,52
22005000004,22,005,000004,188,127,87,55,21,37,74,67,5,165,41
22005000005,22,005,000005,238,130,72,73,13,35,120,100,14,147,83
22005000006,22,005,000006,365.6,216.92,151.12,121.87,24.37,56.67,178.54,135.88,18.28,295.53,102.98
22005000007,22,005,000007,159.68,133.38,85.01,42.74,16.91,25.83,96.75,68.1,14.09,114.59,63.4
22005000008,22,005,000008,238.25,213.86,86.29,73.16,28.14,51.59,95.67,80.67,13.13,187.6,65.66
22005000009,22,005,000009,295,163,104,70,36,55,150,156,19,230,128
22005000010,22,005,000010,330,212,130,75,39,50,87,85,10,262,55
22005000011,22,005,000011,308.58,200.21,121.4,83.24,32.46,61.55,181.68,120.54,11.15,215.7,93.15
22005000012,22,005,000012,287,214,78,119,32,60,74,83,11,214,61
22005000013,22,005,000013,282,214,95,73,14,48,82,85,10,268,51
22005000014,22,005,000014,233.51,126.87,55.96,55.68,8.27,28.46,21.7,46.69,6.16,165.58,27.4
22005000015,22,005,000015,280.63,153.96,71.51,60.25,28.56,38.96,33.16,78.51,15.4,184.24,41.81
22005000016,22,005,000016,308.64,207.19,119.95,76.18,22.61,56.95,125.51,97.63,17.75,206.72,96.76
22005000017,22,005,000017,236,144,62,63,19,34,193,153,23,115,97
22005000018,22,005,000018,297,213,100,92,19,35,105,85,21,179,65
22005000020,22,005,000020,205.24,143.67,63.53,55.71,20.52,25.41,77.21,69.39,6.84,165.17,51.8
22005000021,22,005,000021,99.14,60.45,28.21,41.91,12.09,16.12,20.15,35.46,4.84,70.93,18.54
22005000022,22,005,000022,165,102,45,47,12,29,17,41,6,147,31
22005000023,22,005,000023,97.92,75.11,28.52,22.82,18.06,8.56,36.13,34.23,8.56,79.86,33.27
22005000024,22,005,000024,16.87,9.79,3.36,2.94,2.19,2.2,4.51,4.53,0.95,13.05,3.73
22005000025,22,005,000025,122.23,62.94,33.76,39.84,14.41,11.81,22.3,29.16,6.72,88.47,15.96
22005000026,22,005,000026,380.53,216.55,95.81,116.11,35.22,48.88,41.66,91.72,17.76,364.6,59.55
22005000027,22,005,000027,339.61,171.72,110.05,113.8,38.35,36.91,38,62.34,23.34,276.34,42.11
22005000028,22,005,000028,80.75,50.79,22.36,19.98,10.42,13.68,123.82,68.68,6.28,85.43,57.98
22005000030,22,005,000030,77,30,15,13,15,5,148.01,65.01,7,67,64.01
22005000031,22,005,000031,105.52,52.43,47.65,29.8,11.29,16.46,149.81,93.64,9.31,99.59,71.86
22005000032,22,005,000032,160.34,86.94,46.4,57.25,10.09,31.12,165.18,139.23,14.04,155.99,134.16
22005000033,22,005,000033,465.29,296.66,136.62,105,39.4,39.95,68.37,85.15,18.4,342.61,56.33
22005000034,22,005,000034,185.14,110.14,86.39,60.71,7.3,15.64,100.41,80.37,12.18,125.14,56.3
22005000035,22,005,000035,223.34,140.81,61.28,59.71,28.48,36.34,25.96,56.71,6.09,152.62,25.56
22005000036,22,005,000036,96.21,69.91,31.51,42.56,9.52,20.64,448.38,239.3,10.33,47.21,223.63
22005000037,22,005,000037,37.2,22.32,23.46,15.45,5.15,7.44,361.67,192.28,10.87,22.89,188.85
22005000039,22,005,000039,33,21,8,30,3,10,52,71,2,28,43
22005000040,22,005,000040,216.43,176.84,108.46,72.34,25.83,29.36,178.15,109.15,9.87,239.35,119.88
22005000041,22,005,000041,203,141,68,62,11,18,23,46,11,168,31
22005000042,22,005,000042,42.76,19.56,14.63,13.61,1,4.87,70.7,56.12,3.87,41.84,42.64
22005000043,22,005,000043,234.92,152.77,77.96,64.76,33.47,19.4,30.62,55.78,10.07,161.7,14.67
22005000044,22,005,000044,49,30,23,13,4,8,210,204,4,32,123
22005000045,22,005,000045,14,9,5,1,0,1,40,62,2,11,36
22005000047,22,005,000047,30.23,25.1,4.09,22.05,3.03,13.01,241.25,243.04,6.04,19.04,117.59
22005000048,22,005,000048,45.81,26.18,21.5,25.24,0.93,0.93,43.01,33.66,3.74,47.68,22.44
22005000050,22,005,000050,57.66,18.33,18.79,27.05,1.96,7.69,67.1,100.69,2.91,33.13,43.13
22005000051,22,005,000051,33.96,12.72,12.41,10.7,4.03,2.06,177.74,135.3,7.22,9.27,86.97
22005000052,22,005,000052,80,19,23,12,3,4,13,25,4,43,31
22005000053,22,005,000053,68,43,28,27,10,10,66,52,4,60,37
22005000054,22,005,000054,60.06,38.49,15.43,24.16,4.11,13.17,115.95,112.39,5.03,55.51,107.42
22005000055,22,005,000055,24.81,19.04,10.48,8.6,0.96,2.87,122.18,110.67,1.92,19.06,80.15
22005000057,22,005,000057,15.91,3.98,3.98,6.96,0.99,2.98,87.5,70.6,3.98,8.95,52.7
22005000058,22,005,000058,211.69,114.67,46.47,53.44,23.46,35.79,111.55,103.6,19.19,195.5,58.13
22005000061,22,005,000061,81.16,58.4,24.91,16.32,4.94,15.67,16.75,19.32,3.65,54.53,12.24
22005000062,22,005,000062,163.42,96.96,67.55,54.47,10.89,25.33,79.81,60.74,8.17,132.1,46.03
22005000063,22,005,000063,70.97,42.11,29.34,23.66,4.73,11,34.66,26.38,3.55,57.37,19.99
22005000064,22,005,000064,182.89,152.88,96.91,49.02,19.38,29.72,110.23,77.74,16.05,131.4,72.27
22005000065,22,005,000065,9.54,5.72,6.02,3.96,1.32,1.91,92.74,49.3,2.79,5.87,48.42
22005000066,22,005,000066,192.55,161.7,99.56,64.48,23.4,26.15,166.91,99.65,9.04,219.94,112.98
22005000071,22,005,000071,339.7,183.92,156.34,82.39,24.17,46.67,221.73,180.67,16.11,205.37,146.39
22005000072,22,005,000072,158,92,57,32,12,22,74,62,12,109,45
22005000073,22,005,000073,67.55,56.29,19.3,5.63,2.41,9.65,10.45,9.65,1.61,77.2,5.63
22005000076,22,005,000076,306.69,229.12,117.68,82.86,32.99,55.72,85.57,84.47,19.85,193.18,48.72
22005000077,22,005,000077,192,114,77,37,14,28,83,59,11,132,44
22005000078,22,005,000078,208,146,93,36,12,35,98,92,6,153,44
220070001-1,22,007,0001-1,11.44,4.68,2.14,2.08,0.04,5.9,85.28,58.94,0.66,5.41,37.49
220070001-2,22,007,0001-2,111.46,35.84,56.91,37.79,12.31,12.86,214.19,109.15,3.48,59.3,124.56
220070002-1,22,007,0002-1,107,30,44,24,3,11,15,10,1,58,11
220070002-2,22,007,0002-2,22,3,3,6,0,4,1,4,0,14,0
220070002-3,22,007,0002-3,100,32,41,36,19,22,46,39,4,76,39
220070002-4,22,007,0002-4,65,12,22,13,6,10,10,11,4,41,10
220070002-5,22,007,0002-5,32,3,11,5,0,2,9,8,5,14,7
220070003-1,22,007,0003-1,49,12,18,22,11,9,9,6,0,37,4
220070003-2,22,007,0003-2,184.13,36.81,42.94,69.64,16.16,51.73,19.58,17.55,5.22,128.34,21.69
220070004-1,22,007,0004-1,21.66,7.53,13.18,9.42,4.71,4.71,48.97,20.72,0.94,11.3,21.66
220070004-2,22,007,0004-2,45,22,7,13,7,18,133,122,0,27,83
220070004-3,22,007,0004-3,22.34,10.47,21.82,9.58,6.29,7.29,31.03,23.28,1.06,31.7,13.34
220070005-1,22,007,0005-1,24,5,8,5,3,9,104,49,1,5,85
220070005-2,22,007,0005-2,103,36,49,28,9,18,60,34,7,67,35
220070005-3,22,007,0005-3,51.94,22.25,27.58,23.98,5.53,3.79,13.48,9.69,1.73,33.84,10.64
220070005-5,22,007,0005-5,5,0,1,1,0,0,0,0,0,2,0
220070006-1,22,007,0006-1,113.05,32.07,36.93,28.36,7.58,11.32,107.29,81.27,10.3,54.69,52.4
220070006-2,22,007,0006-2,21.05,6.14,8.77,0.88,2.63,6.14,151.77,34.21,3.51,11.4,80.71
220070006-3,22,007,0006-3,10,6,5,5,2,4,76,42,3,10,20
220070007-1,22,007,0007-1,128.01,58.56,50.27,19.75,12.8,22.83,154.66,76.7,4.29,61.86,68.14
220070007-2,22,007,0007-2,69.06,26.13,23.27,16.94,9.33,10.1,6.59,8.9,2.45,47.29,8.04
220070007-3,22,007,0007-3,53.33,9.13,18.13,20.08,2.06,7.06,1.03,2.04,1.01,28.23,4.04
220070008-1,22,007,0008-1,320,103,119,85,21,42,27,62,6,148,34
220070009-1,22,007,0009-1,282.73,98.68,88.63,53.99,20.36,33.36,27.28,30.72,1.85,139.84,21.55
220090001-1,22,009,0001-1,187.14,56.83,42.13,95.04,11.76,53.89,12.74,17.64,6.86,164.61,10.78
220090001-2,22,009,0001-2,237.47,97.27,30.88,111.24,20.61,55.83,10.58,25.36,4.56,204.37,8.17
220090001-3,22,009,0001-3,66.98,29.4,17.91,36.39,3.29,15.97,4.04,5.44,6.39,68,8.33
220090002-1,22,009,0002-1,94.45,30.93,13.37,65.2,2.51,20.9,56,52.66,7.52,82.75,37.61
220090002-2,22,009,0002-2,0,1,0,0,0,4,0,0,0,4,0
220090002-4,22,009,0002-4,70,25,16,34,5,24,125,74,8,63,104
220090002-5,22,009,0002-5,73.21,26.21,17.29,36.7,0.73,26.51,26.85,26.15,9.64,68.54,23.19
220090002-7,22,009,0002-7,15,3,3,12,0,3,73,34,2,9,55
220090002-8,22,009,0002-8,23,4,1,7,5,8,74,58,5,21,83
220090003-1,22,009,0003-1,47.79,36.84,12.94,56.75,8.96,28.87,150.33,125.44,17.92,65.71,58.74
220090003-3,22,009,0003-3,22.79,4.01,6.91,11.9,4.93,7.92,38.4,27.58,10.83,29.7,28.56
220090004-1,22,009,0004-1,53.55,11.48,11.54,26.22,1.08,28.85,17.49,21.36,7.31,67.51,11.37
220090004-2,22,009,0004-2,144.32,83.71,30.79,69.27,4.81,48.11,27.9,20.2,17.32,142.4,21.17
220090005-1,22,009,0005-1,103,41.01,23.84,71.53,0,39.1,12.4,18.12,3.81,107.77,20.03
220090006-2,22,009,0006-2,0,0,0,0,0,0,0,0,0,0,0
220090007-1,22,009,0007-1,103.37,23.87,21.86,39.76,6.96,24.85,104.28,67.53,10.93,77.53,45.69
220090007-3,22,009,0007-3,87.46,34.13,12.3,39.86,4,21.83,17.65,8.44,5.96,72.62,11.15
220090008-1,22,009,0008-1,29,10,19,16,1,13,5,5,0,45,5
220090008-3,22,009,0008-3,61,27,15,15,1,12,5,5,3,51,5
220090009-2,22,009,0009-2,21,4,6,14,0,8,16,6,1,22,12
220090009-3,22,009,0009-3,43.23,21.61,10.81,18.67,0.98,24.56,18.67,10.81,2.95,45.19,12.77
220090009-4,22,009,0009-4,142.03,44.7,44.6,75.29,7.34,42.2,21.2,31.39,18.97,149.98,26.24
220090010-2,22,009,0010-2,76,20,10,33,13,22,103,82,12,66,58
220090010-4,22,009,0010-4,38.01,10.88,9.48,19.64,1.08,14.28,173.24,122.72,11.16,19.68,77.32
220090011-1,22,009,0011-1,78.01,36.1,23.29,51.96,10.43,31.34,101.19,54.15,3.43,81.77,48.95
22009002-2A,22,009,002-2A,53.49,23.34,6.81,23.34,4.86,12.64,9.73,11.67,3.89,56.41,7.78
22009002-2B,22,009,002-2B,33,10,4,17,0,17,58,53,7,35,58
22009002-2C,22,009,002-2C,60,23,11,42,6,16,23,15,4,74,15
22009002-2D,22,009,002-2D,4,0,0,1,0,1,3,4,0,2,2
22009002-2F,22,009,002-2F,45,21,9,22,0,17,23,11,1,46,13
22009002-3A,22,009,002-3A,94.07,17.85,10.83,30.63,10.86,20.69,6.06,6.18,4.93,72.25,7.87
22009002-4A,22,009,002-4A,124,25,30,47,6,25,47,49,7,92,37
22009002-5B,22,009,002-5B,2.81,1.28,0.42,1.72,0.14,0.86,0.53,0.5,0.11,3.17,0.5
22009002-5E,22,009,002-5E,1.62,0.41,0.19,0.64,0.17,0.22,0.19,0.37,0.04,1.2,0.04
22009003-1B,22,009,003-1B,74,15,11,24,5,17,22,13,5,40,16
22009004-2A,22,009,004-2A,85,21,10,23,1,36,7,6,0,59,6
22009005-1A,22,009,005-1A,9,0,1,16,0,6,8,5,0,21,6
22009006-1A,22,009,006-1A,91.61,41.71,13.62,56.21,4.53,28.13,17.25,16.34,3.64,103.38,16.34
22009006-2A,22,009,006-2A,57.76,20.72,3.29,13.96,3.08,17.43,3.41,5.19,0.15,54.49,2.28
22009007-3B,22,009,007-3B,0.99,2.63,1.75,1.79,0.01,0.03,0.88,0.02,0.01,0.97,0.02
22009008-2A,22,009,008-2A,37,9,6,16,0,6,13,18,2,28,14
22009008-2B,22,009,008-2B,61,34,9,13,2,6,2,5,0,53,2
22009008-3A,22,009,008-3A,157,69,43,72,2,57,12,18,5,172,16
22009009-1A,22,009,009-1A,32.37,17.06,7.11,11.19,2.08,9.13,55.62,31.45,1.18,32.48,18.46
22009009-2A,22,009,009-2A,43,17,18,21,4,3,35,14,1,45,14
22009009-4B,22,009,009-4B,47.09,17.67,9.32,18.8,0.83,10.41,11.42,9.81,2.54,49.21,12.71
22009009-5B,22,009,009-5B,23,4,6,23,1,4,91,80,2,11,25
22009010-2A,22,009,010-2A,118,44,32,33,4,40,10,20,2,169,8
22009010-3A,22,009,010-3A,80,25,11,22,9,35,17,20,0,92,4
22009011-2A,22,009,011-2A,33.36,10.53,13.91,19.89,4.64,11.08,4.07,7.1,4.62,32.78,3.29
22011000001,22,011,000001,64.76,41.41,24.42,35.41,10.03,17.25,3.34,3.18,5.05,45.36,5.09
22011000002,22,011,000002,7.88,6.89,0.98,2.95,0,3.94,8.86,5.91,0,2.95,8.86
22011000003,22,011,000003,54.12,18.11,21.02,35.05,4,10.06,9.14,11.09,4,39.05,6.14
22011000004,22,011,000004,89,33,29,26,14,31,44,20,0,64,11
22011000005,22,011,000005,110.17,51.59,42.59,71.93,32.46,50.76,8.05,19.17,6.29,128.32,15.46
22011000006,22,011,000006,77.61,37.79,25.56,39.66,9.46,18.92,8.56,7.65,0,67.13,7.59
22011000007,22,011,000007,132.39,46.21,44.44,44.34,14.54,29.08,26.44,35.35,1,95.87,18.41
22011000009,22,011,000009,100.74,54.86,40.89,57.85,11.97,36.9,28.92,11.97,10.97,91.76,13.96
22011000010,22,011,000010,106,53,37,38,10,30,21,11,3,62,14
22011000011,22,011,000011,139,76,58,41,15,42,13,18,6,97,9
22011000012,22,011,000012,225.84,139.9,65.95,75.94,41.97,86.94,35.97,48.96,7.99,129.91,22.98
22011000013,22,011,000013,80,32,14,35,13,15,4,12,0,55,0
22011000014,22,011,000014,85.26,47.14,29.11,42.15,13.03,37.1,11.08,20.03,5.03,89.24,12.04
22011000015,22,011,000015,59,23,28,39,7,15,11,6,5,66,11
22011000016,22,011,000016,100.72,65.1,24.93,55.95,13.27,27.7,23.16,26.12,6.12,95.92,15.43
22011000017,22,011,000017,112,50,37,46,4,26,7,8,1,82,0
22011000018,22,011,000018,28,16,14,16,3,9,7,4,0,32,4
22011000019,22,011,000019,36,13,15,22,5,12,6,3,1,45,1
22011000020,22,011,000020,121.48,74.14,53.6,82.18,13.4,32.16,14.29,13.4,8.04,85.75,3.57
22011000021,22,011,000021,73.63,29.21,41.6,32.45,19.4,17.96,7.43,11.4,6.24,81.56,12.11
22011000022,22,011,000022,98.83,63.31,30.77,73.85,12.47,51.68,9.61,11.51,2.9,88.18,3.83
22011000025,22,011,000025,110.66,59.82,46.86,50.84,5.98,51.84,86.74,60.81,8.97,102.69,55.83
22011000026,22,011,000026,25.34,12.18,10.14,18.15,6.02,17.16,118.26,102.18,5.03,17.31,86.17
22011000027,22,011,000027,57,41,27,24,4,18,21,21,0,58,15
22011000028,22,011,000028,16,7,5,8,1,7,160,61,4,1,79
22011000030,22,011,000030,57,39,43,23,13,23,31,21,2,58,18
2201100012A,22,011,00012A,60.23,33.09,31.55,31.67,10.13,29.51,6.13,17.34,3.04,71.84,9.34
2201100012B,22,011,00012B,122.16,71.1,51.05,41.06,12.03,38.06,9.03,17.04,4.01,113.09,14.02
2201100013A,22,011,00013A,50.77,24.91,12.45,15.33,2.87,11.49,2.87,7.66,0.96,19.16,7.66
2201100014A,22,011,00014A,71.56,23.92,39.42,36.41,10.58,19.39,6.44,11.53,0.13,55.07,8.18
2201100016A,22,011,00016A,46,21,21,16,3,18,30,12,3,35,6
2201100016B,22,011,00016B,67.28,51.9,23.07,48.05,6.73,17.3,3.84,2.88,2.88,72.08,10.57
2201100017A,22,011,00017A,68,37,18,43,5,15,4,9,1,47,1
2201100018A,22,011,00018A,10,2,3,0,0,5,1,1,0,8,0
2201100019C,22,011,00019C,62,37,27,35,5,11,10,14,6,46,4
2201100025A,22,011,00025A,19,12,9,8,0,10,23,17,4,9,17
2201100025B,22,011,00025B,40,15,13,15,4,10,63,42,6,22,45
2201100027A,22,011,00027A,80,30,35,32,13,23,17,15,0,33,6
2201100027B,22,011,00027B,68,23,10,28,6,11,28,24,2,75,23
2201100027D,22,011,00027D,23,14,6,14,1,16,7,4,0,21,14
220130001-1,22,013,0001-1,19,17,1,10,0,9,42,25,1,41,80
220130001-2,22,013,0001-2,48,51,12,30,6,13,89,58,8,83,148
220130001-3,22,013,0001-3,22.35,8.41,5.09,6.4,0.22,2.05,16.84,19.86,1.99,21.69,30.94
220130001-4,22,013,0001-4,13,11,1,12,0,3,0,1,0,28,4
220130002-1,22,013,0002-1,14,5,4,7,3,5,108,74,2,10,218
220130002-2,22,013,0002-2,34.78,16.72,1.2,33.46,4.08,7.11,62.3,55.27,6.07,51.93,115.13
220130002-3,22,013,0002-3,1,0,0,0,0,0,0,0,0,3,0
220130002-4,22,013,0002-4,0.77,0.71,1.2,0.45,0.08,1.11,4.3,1.27,0.07,0.92,2.13
220130002-5,22,013,0002-5,4,1,1,1,0,2,15,4,0,10,23
220130002-6,22,013,0002-6,1,0,0,3,0,0,1,3,0,6,5
220130003-1,22,013,0003-1,12,16,3,11,3,5,103,80,0,14,72
220130003-2,22,013,0003-2,46.99,21.98,1,17.01,2.99,6,108.73,75.82,4.99,34.02,74.81
220130003-3,22,013,0003-3,32.76,17.6,4.14,25.51,2.04,8.17,48.65,11.55,0.02,34.01,23.35
220130003-4,22,013,0003-4,5,3,5,6,1,2,22,9,2,10,16
220130003-5,22,013,0003-5,14,3,1,7,1,5,4,3,0,7,5
220130003-6,22,013,0003-6,9.01,3.02,0,3.99,0.01,1,3.27,3.18,0.01,7.98,2.19
220130003-7,22,013,0003-7,0,0,0,1,0,0,3,4,0,0,4
220130004-1,22,013,0004-1,51,40,10,44,11,20,120,78,8,27,89
220130004-2,22,013,0004-2,12,6,2,18,0,5,0,1,0,24,3
220130004-4,22,013,0004-4,71,87,17,69,6,18,30,20,2,83,21
220130005-1,22,013,0005-1,47,28,1,38,6,14,125,74,4,31,114
220130005-2,22,013,0005-2,66.4,60.36,11.12,43.32,11.03,11.11,37.39,19.17,4.01,69.23,30.22
220130005-3,22,013,0005-3,39,25,2,21,4,12,4,3,5,57,2
220130005-4,22,013,0005-4,18,22,5,26,0,5,1,0,0,18,0
220130006-1,22,013,0006-1,8.7,10.88,3.26,15.59,1.45,11.96,0.36,2.9,0.73,27.19,3.63
220130006-2,22,013,0006-2,39,47,6,44,4,12,0,3,2,42,2
220130006-3,22,013,0006-3,74.37,67.54,22.44,47.14,3.7,16.63,40.7,32.51,2,56.22,42.63
220130006-4,22,013,0006-4,49.63,37.46,6.56,16.86,10.3,9.37,10.3,7.49,0,32.78,9.37
220130007-1,22,013,0007-1,24.25,4.3,1.09,28.11,3.11,5.01,59.27,35.47,0.01,35.38,61.44
220130007-2,22,013,0007-2,10,14,6,25,4,7,33,19,2,20,38
220130007-3,22,013,0007-3,23.4,22.29,5.82,21.49,10.67,2.94,45.9,47.67,0,39.93,54.62
