GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
22103000S03,22,103,000S03,71.84,40.38,51.11,40.56,243,21.28,46.75,43.76,6.37,213.72,44.58
22103000S04,22,103,000S04,74,31,33,44,180,14,29,30,10,187,46
22103000S05,22,103,000S05,80,89,113,60,287,33,66,86,10,325,67
22103000S06,22,103,000S06,50.17,45.12,44.17,39.2,219.59,22.11,138.85,97,8.08,198.33,62.65
22103000S07,22,103,000S07,13.2,22.15,20.16,9.22,51.83,8.09,134.56,88.34,5.07,60.51,64.24
22103000S08,22,103,000S08,44,55,67,28,161,25,86,82,9,185,67
22103000S09,22,103,000S09,61,23,51,22,168,9,34,37,5,177,37
22103000S10,22,103,000S10,62.92,44.94,54.93,36.95,269.67,17.98,65.92,91.89,10.99,196.76,85.89
22103000S11,22,103,000S11,32,24,61,25,181,8,46,50,11,97,49
22103000S13,22,103,000S13,25.99,22.99,25.99,19.99,84.97,9,25.99,39.99,1,86.97,35.99
22103000S15,22,103,000S15,29.02,17.43,45.04,27.15,115.61,16.21,78.4,64.57,8.01,78.29,56.1
22103000S16,22,103,000S16,26.92,11.54,29.8,30.76,145.15,6.73,67.29,44.22,0.96,60.56,31.72
22103000S17,22,103,000S17,18.7,10.55,14.62,9.81,46.65,4.63,29.06,22.03,1.67,31.66,15.92
22103000S18,22,103,000S18,38.98,30.38,47.57,33.27,121.8,12.39,23.22,38.25,2.89,98.88,12.64
22103000S19,22,103,000S19,9.81,6.87,9.81,11.78,34.35,6.87,113.83,60.84,4.91,18.64,39.25
22103000S20,22,103,000S20,82.3,46.45,64.38,43.19,205.35,20.37,127.94,96.97,7.33,139.34,70.08
22103000S21,22,103,000S21,25,9,27,22,80,8,111,82,1,23,33
22103000S22,22,103,000S22,52.51,31.61,90.02,31.64,160.03,14.14,123.89,50.68,6.07,80.13,56.64
22103000S23,22,103,000S23,39,10,23,10,78,7,17,27,3,48,19
