GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
220010001-1,22,001,0001-1,916.2,98.59,13.94,6.97,2.99,1,0,206.14,483,31.87,101.58,43.82,8.96,6.97,1,2.99,48.8,29.88,3.98,3.98,0,1,0,10.95,0,0,0,13.94,7.97,0,0,388.39,66.72
220010001-2,22,001,0001-2,689.22,240.05,13.34,9.27,2.67,1,1.68,140.11,439.13,41.04,59.75,14.77,14.05,5.69,0.07,2,73.86,69.78,10.24,14.29,0.05,6.61,2.02,3.99,1.1,0,0.07,8.76,3.08,3.97,0.99,315.29,78.51
220010001-3,22,001,0001-3,684.6,126.77,10.67,3.31,1.36,1,7.84,159.09,399.23,29.02,54.42,16.37,11.08,5.7,0.17,0.01,57.71,41.36,7.94,4.3,4.98,1.68,0,4.05,0.9,2,0,3.77,5.75,0.16,0,330.12,68
220010001-4,22,001,0001-4,681.57,134.89,11.13,1.11,1.06,5,4,152.52,455.99,24.76,45.65,25.32,7.04,9.02,1,0,37.42,29.44,5.04,4.02,5.04,4,2,4.02,0.04,0,1,3.08,4.02,2.06,0,331.67,55.61
220010001-5,22,001,0001-5,339.7,220.85,9.84,3.93,0.98,1,0.98,91.58,219.88,13.7,32.47,7.93,1,2.93,3.93,0,75.66,40.89,14.91,11.86,4.95,2,0.98,1.98,0,0,3.93,6.98,0,0,0,142.7,113.13
220010001-6,22,001,0001-6,87.89,657.48,1.98,2.95,4.93,3.95,5,26.74,188.37,7.88,7.86,10.9,4.93,0.98,0,1.98,207.26,109.03,27.67,27.7,9.95,6.91,7.98,1.98,1.97,2,0,22.74,3.97,1,2,48.29,190.26
220010001-8,22,001,0001-8,385.39,114.53,4.18,2.51,0,0,2.51,77.75,201.47,24.24,37.62,15.05,5.85,1.67,0.84,0,47.65,36.78,10.87,2.51,5.02,1.67,0,0,0,0,0,7.52,4.18,0.84,0,183.92,43.47
220010001-9,22,001,0001-9,500.51,44.79,5.48,4.59,2.8,0.05,0,151.92,260.29,32.87,28.39,13.75,1.94,0.96,0,0.02,20.19,20.31,2.2,1.26,1.86,0.14,0.02,0.95,1.85,0,0,3.9,0.96,2.75,0.01,246.06,28.19
220010002-1,22,001,0002-1,816,94,10,4,0,4,1,160,435,41,90,36,13,6,1,1,35,26,6,1,3,0,1,5,2,1,0,1,4,0,0,384,64
220010002-2,22,001,0002-2,621.63,35.2,5.84,0.98,3.83,0.02,2.87,172.66,310.79,23.37,68.75,33.88,1.93,0.98,2.87,0,10.33,17.63,1.03,0.05,1.95,0,0.96,1.01,0.96,0.96,0,4.83,7.68,0,0,350.25,36.25
220010002-3,22,001,0002-3,726.21,83.64,8.41,1.67,0.17,1.63,1.13,193.45,397.65,29.29,83.27,28.48,6.72,4.67,0.13,0,34.34,21.03,2.57,1.9,4.35,0,0.04,2.94,0.04,0.04,0,3.47,3.97,0,1,337.7,44.37
220010002-5,22,001,0002-5,411,32,1,4,7,1,0,85,267,12,41,8,4,0,0,0,12,13,1,1,2,0,0,0,0,0,0,0,0,0,0,209,25
220010003-1,22,001,0003-1,372.48,103.99,8.16,2.07,0,2.81,1.72,95.98,216.66,17.21,36.69,15.95,4.3,0.87,0.66,0.19,37.47,28.68,5.36,6.11,1.51,0.19,0.94,1.78,0.64,0.01,0,3.41,5.15,0.19,0.19,162.83,52.16
220010003-2,22,001,0003-2,711,34,3,3,3,1,1,194,322,33,89,39,4,2,0,0,23,16,2,4,1,0,1,3,1,0,0,1,4,0,1,326,34
220010003-3,22,001,0003-3,904.76,236.88,13.37,6.25,1,2.95,2.83,203.29,550.6,26.39,97.83,38.11,10.91,2.25,1.12,0.81,86.26,45.49,11.62,16.32,1.81,1.81,4.06,2.21,1.92,0.1,0,6.46,13.05,0.81,0.81,403.02,97.05
220010003-4,22,001,0003-4,358.64,519.1,10.8,4.65,0.99,2.8,5.65,102.15,266.08,20.62,33.47,18.94,5.9,0.56,0.56,0,147.9,162.15,39.76,17.8,4.65,3.97,3.97,4.22,0.56,0.99,0.99,13.28,3.91,3.97,0,159.04,248.89
220010003-5,22,001,0003-5,531.47,120.3,7.02,0.02,1.01,1,1.03,136.15,238.76,18.04,80.04,31.04,7.02,3,3,0,58.88,35.04,11.27,6.11,0.02,1.03,0.03,2.02,0,1.01,0.01,1.08,0,0.03,0,216.23,67.55
220010003-7,22,001,0003-7,727.82,120.89,12.4,0.35,0,4.79,1.77,179.33,386.46,25.09,100.94,30.6,9.22,5.67,2.66,0,57.81,25.97,9.38,3.71,0.7,0,0,2.82,0.89,0.89,0,2.47,1.24,0,0,334.94,67.73
220010004-1,22,001,0004-1,505.65,52.63,3.08,4.01,0.04,0,0.01,89.74,265.74,24.46,49.72,23.45,7.21,2.05,5,0,32.42,24.19,0.05,11.05,0,0.01,1,0,0.01,0,0,0.01,1.07,0,0.01,240.62,39.57
220010004-2,22,001,0004-2,610,100,4,3,1,0,0,106,278,32,104,29,16,2,1,0,64,27,6,4,0,0,0,0,4,1,0,2,8,1,0,284,66
220010004-4,22,001,0004-4,884.44,66.26,4.02,2.93,1.04,0,4.86,192.53,465.82,25.12,127.26,26.16,17.81,3.97,3.87,0,20.2,35.35,5.93,8.81,0.97,1.01,0,0.97,2.93,0.97,0,0.03,7.87,0,0.03,442.14,49.66
220010004-5,22,001,0004-5,539.81,39.23,5.12,0.85,2.56,0,0.85,108.3,295.92,28.99,45.2,28.14,12.79,3.41,0,0,26.44,11.94,3.41,3.41,0,0.85,0,0,0.85,0,0,0.85,4.26,0,0.85,225.99,35.82
220010004-6,22,001,0004-6,554.95,37.32,4.3,2.05,0.15,1,1.05,119.41,290.51,18.72,86.68,19.67,6.76,5.2,0,0,20.56,16.71,1.2,0.2,0,0.05,0,0,0.05,0,0,2.05,3.25,0,1.05,293.38,39.12
220010005-1,22,001,0005-1,238.64,36.04,3.9,0.97,2.92,1.95,0.97,49.68,109.09,11.69,30.19,10.71,5.84,0.97,1.95,0,15.58,18.51,3.9,2.92,0,0,0,0,0,0.97,0,2.92,0,0,0,116.88,28.25
220010005-2,22,001,0005-2,279,49,4,1,0,1,2,40,183,11,24,16,4,4,0,0,20,12,4,1,0,1,0,1,1,0,0,1,0,0,0,125,23
220010005-3,22,001,0005-3,495.71,29.21,2.93,3.87,6.77,0,1.94,128.11,242.22,16.59,52.41,27.21,10.7,0.99,0,0,18.51,15.52,3.88,0.02,0,0.01,0.97,0.97,0.01,0,0,2.9,0.99,0,0.01,209.93,33.05
220010005-4,22,001,0005-4,357,39,1,5,0,2,0,79,215,3,29,16,5,2,0,0,12,17,1,0,0,0,0,2,0,0,2,0,1,1,0,174,34
220010005-5,22,001,0005-5,203.53,21.9,0.13,0.1,0.03,0,0.16,52.67,108.94,5.74,12.08,13.67,1.57,0.13,0.13,0,5.58,13.01,2.17,0.29,0.03,1.02,0,0.03,0.1,0.03,0,0,0.26,0,0,83.55,17.4
220010006-1,22,001,0006-1,135.39,329.75,5.19,0.69,0.64,0,1.33,28.12,149.89,4.55,15.44,4.5,2.62,0.81,0,0.69,103.77,68.4,13.35,15.67,2.7,8.61,0.81,3.9,1.93,0.77,0,4.49,2.62,0.04,0,59.44,104.96
220010006-2,22,001,0006-2,271,51,5,2,1,1,1,39,182,23,16,6,4,2,0,0,16,21,4,1,0,0,0,0,1,0,0,1,7,0,0,152,26
220010006-3,22,001,0006-3,220.72,236.16,9.71,4.09,0.09,0,1.18,51.83,164.33,16.62,15.14,3.62,10.36,1.09,0,0.09,75.46,54.83,10.69,13.05,4.36,3.16,0.09,1.53,0.27,0.09,1,7.53,4.36,0,0,122.2,124.37
220010006-4,22,001,0006-4,348,212,6,4,3,1,4,67,268,21,24,11,7,1,0,0,80,25,14,3,4,2,1,2,3,1,0,3,3,1,1,173,67
220010006-5,22,001,0006-5,237.53,147.65,3.23,0.29,0.27,0,1.65,51.74,170.1,19.09,23.85,4.08,5.11,0.3,0,0.27,44.76,27.98,5.19,6.23,1.09,3.5,3.27,1.62,0.8,0.27,0,2.66,2.09,0.02,0,150.17,58.74
220010006-6,22,001,0006-6,7.71,643.62,0.96,1.96,0,0,0.96,15.54,109.79,0.96,0,1,0.96,3.83,0,0.96,245.38,153.29,41.88,27.12,3.88,6.75,4.83,2.96,0,2.88,0,21.38,0.96,0.96,0,6.75,291.54
220010006-7,22,001,0006-7,536.26,101.33,21.12,3.12,1.12,2,5,124.36,358.64,25.33,28.73,18.36,1.48,4,0,0,36.6,32.24,1.12,7.12,0.48,0,1,1.12,1,0,1,2,5.12,0,0,228.8,41.09
220010006-8,22,001,0006-8,318.42,74.74,2.55,0,0.11,0,0.03,49.18,220.38,10.67,27.81,4.11,4.22,0,1.56,0,20.85,16.74,10.16,2.36,0.78,0,0.78,1.56,0,0.08,0,4.76,5.59,0.81,0,121.08,38.42
220010007-2,22,001,0007-2,485.49,65.81,3.01,0.08,1,1.01,1.05,105.68,249.79,15.26,77.49,14.23,5.05,0.03,0,0,19.75,31.44,2.18,4.14,1,1,0.01,0.04,0,0,1,2.03,3,0.01,0,206.78,43.77
220010007-3,22,001,0007-3,901.73,45.99,9,0,4,1,0,235.93,375.89,87.97,119.96,32.99,7,7,5,0,27.99,14,2,3,1,2,0,2,3,0,1,3,4,0,0,383.88,24.99
220010007-4,22,001,0007-4,700.78,37.98,5.08,1.15,9,2.08,1,160.06,314.89,61.38,109.84,33.38,8.31,2,0,0,25.38,9.3,1.38,4.08,0,0,0,1.15,0,0.08,0,1.15,1.08,0,1,333.36,31.76
22001006-10,22,001,006-10,221.48,25.68,3.07,0.09,0.16,0,0.05,49.97,142.61,5.38,8.22,11.63,2.25,2.02,0,0,7.43,10.36,0.09,0,0,0,0.02,0.02,0,1,0,1.07,0.02,0,1,96.86,25.77
22001006-12,22,001,006-12,389.65,62.81,4.91,0.98,0,0,5.89,65.76,270.89,11.78,22.57,10.8,1.96,1.96,0,0,19.63,26.5,5.89,3.93,0.98,0.98,0,0.98,0,0,0,2.94,0.98,0.98,0,188.44,32.39
22001006-13,22,001,006-13,232.31,16.62,4.38,1,0,1,0.08,41.31,135.62,17,30.23,5.38,1.38,0.15,2,0.08,10.77,5,0.15,1.23,0,0,4,0,0.08,0,0,2.15,1.08,0,0,102.54,15
22001006-14,22,001,006-14,583.58,47.26,8.45,0,3.89,0,0.97,128.82,337.62,22.33,55.19,8.89,12.78,0,0.44,0,27.15,18.26,3.84,1.64,0.22,0,0.22,0.44,0,2.92,0,4.24,6.41,1.19,0,268.92,47.58
22001006-15,22,001,006-15,166.28,9.94,0.91,0.91,0.94,0,0.02,32.82,108.58,9.82,5.75,2.89,3.61,0.01,0,0,4.56,1.9,0.91,0.88,3.52,0,0.01,0.89,0,0,0,0.03,0.89,0,0,73.12,8.21
22001006-16,22,001,006-16,259.63,46.44,5.05,0.36,0.22,0,0.92,75.84,124.04,14.62,29.02,5.71,4.76,1.92,0,0.92,22.69,13.53,1.99,2.84,0.15,0,0,0.07,1.07,0,0,2.14,1,0.22,0,146.03,26.11
220030001-1,22,003,0001-1,108.65,67.54,4.89,3.92,1.96,0,0,19.58,56.77,12.73,5.87,11.75,2.94,0,0,0,30.34,11.75,9.79,6.85,0,1.96,0,0.98,1.96,0,0,0,1.96,0,0,54.82,29.37
220030001-2,22,003,0001-2,114,30,2,0,0,2,0,23,58,11,2,6,1,1,0,0,19,11,5,3,1,1,0,0,0,0,0,3,0,0,0,55,24
220030001-3,22,003,0001-3,115.35,62.46,2.11,0.08,0.04,0,0,26.42,44.23,19.27,4.13,9.25,2.06,0,0,0,36.66,9.25,1.21,4.15,0,1.04,0,3.02,1.04,0,0,2,1.04,0,0,49.18,22.63
220030001-4,22,003,0001-4,12,207,5,1,0,0,2,4,20,0,1,1,1,2,0,2,85,50,4,16,4,5,1,0,1,0,0,2,1,3,0,8,104
220030001-5,22,003,0001-5,42,43,1,0,0,0,0,14,29,2,4,1,1,0,0,0,12,9,7,5,1,1,0,0,0,0,0,1,3,0,0,22,22
220030001-6,22,003,0001-6,209,64,5,3,4,2,5,45,88,23,7,20,7,1,0,0,36,11,6,10,0,0,0,0,1,0,0,9,4,2,1,81,15
220030002-1,22,003,0002-1,203,84,4,5,3,0,5,41,109,32,9,5,5,1,2,0,34,31,6,8,0,0,3,1,0,0,0,0,1,0,0,60,27
220030002-2,22,003,0002-2,419,34,4,3,4,5,3,48,195,132,25,17,4,1,1,0,18,13,0,4,3,0,0,5,0,0,0,1,0,0,0,135,38
220030002-3,22,003,0002-3,233.01,15.83,3.63,0.09,0.04,1.51,1.55,36.66,108.51,47.48,21.41,11.76,1.73,4.25,0.04,0,7.63,3.19,0.75,3.01,0,0.04,0.71,0.13,0.71,0,0,0.75,0,0,0,106.07,4.8
220030002-5,22,003,0002-5,7.51,99.38,0.01,0.97,0,0,0,2.05,8.96,1.24,0.03,0.02,1.94,0.97,0,0,50.15,17.37,7.71,6.76,0.01,0.96,0.96,0.96,0,0,0,0.01,0.96,0,0,1.26,41.46
220030002-6,22,003,0002-6,249.65,35.88,3.87,3.87,0.98,0.05,2.94,32.6,104.06,82.78,17.67,7.31,1.13,0.96,0.02,1.91,25.14,4.02,3.85,2.97,0,0.98,0,0.07,0.96,0,0.96,0.02,0.96,0,0.96,87.65,21.72
220030003-1,22,003,0003-1,327.06,24.69,3.24,1.78,0.86,2.18,3.11,50.32,137.42,72.67,24.58,24.74,6.26,1.8,0.8,0.09,13.75,7.78,1.29,4.51,0,0.84,0.29,2.4,0.34,0,0.04,1.1,0.05,0,0.04,129.95,24.93
220030003-2,22,003,0003-2,630.28,62.6,5.25,2.26,6.12,2.26,0.4,97.42,293,94.07,61.34,38.2,17.88,1.99,1.13,0,36.49,18.01,8.11,8.51,0,0.13,1,2.39,1,0,0,5.12,1,0,0,199.33,55.55
220030004-2,22,003,0004-2,294.53,7.33,1.08,0.09,3.73,1.74,1.82,56.83,126.48,61.8,14.11,15.62,7.42,1.78,0.13,0.87,5.29,2.04,1.21,2.65,0,0.87,0,0.91,0.09,0,0.04,1.82,0.91,0.87,0,118.11,12.11
220030004-3,22,003,0004-3,375.26,32.83,6.01,2.14,6.21,0,2.07,72.77,148.85,50.94,28.32,40.66,11.46,1.11,3.11,0,24.12,7.55,7.9,1.43,0,0,0,1.04,2.07,0,0.96,1.99,1.27,0.31,0,113.56,20.04
220030005-2,22,003,0005-2,529.12,24.23,11.05,1.02,4.01,3,0.01,113.65,163.36,113.27,37.19,34.21,22.13,4.02,9,0.01,17.22,7.06,2.05,5.05,0,1.01,0,4.01,1,0,0.01,8.03,1.01,1,0,144.97,14.1
220030005-3,22,003,0005-3,292.65,28.96,0,2,1,0,2,61.93,106.87,50.94,6.99,16.98,8.99,4.99,0,0,22.97,10.99,7.99,3,3,0,0,0,1,0,0,4,1,0,0,83.9,13.98
220030005-5,22,003,0005-5,234.21,11.99,0.24,2.01,0.07,0,0.07,47.15,60.41,60.5,3.72,22.09,4.02,0.19,0,0,12.07,4.66,2.15,7.16,0.07,0.07,0.99,2.21,0.07,0,0,2.16,7.05,1.06,0,81.36,14.25
220030005-7,22,003,0005-7,47.1,441.43,3.06,0.02,0.02,3,3.02,16.06,23.94,6.6,2.29,6.51,2.14,2.08,0,0,134.52,169.12,34.02,28,7.02,5.02,4,2.08,5.02,0,0,3.05,4.06,6.02,0,21.81,118.28
220030005-9,22,003,0005-9,335,191,10,6,0,1,9,82,148,57,11,27,9,5,0,0,76,38,22,31,3,3,0,4,1,0,0,8,4,1,0,113,73
22003005-10,22,003,005-10,453.55,27.85,2.87,0.01,0.96,0,0.96,99.91,143.09,106.7,26.84,27.91,17.27,0.96,0,0,24.98,10.57,2.89,4.83,0.96,0.96,0.01,1.93,0.96,0,0,1.93,0.04,0.96,0,193.99,42.24
22003005-12,22,003,005-12,22,58,3,1,0,0,1,9,4,10,0,0,2,0,0,0,28,11,2,3,0,0,1,2,0,2,1,1,0,0,0,6,17
22003005-13,22,003,005-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22003005-8A,22,003,005-8A,30,20,1,0,0,0,0,5,10,9,5,1,2,1,0,0,4,7,2,3,0,0,0,1,0,0,0,0,0,0,0,15,11
2200302-2-A,22,003,02-2-A,132.27,64.96,0,3.04,2,0,0,24.08,61.35,34.04,7,7,1.08,1.04,0,2,30,17.69,2.31,3.27,0,0.04,0.04,1.04,0,0,0,2,0.04,0,0,41.04,21.65
2200302-4-C,22,003,02-4-C,351,84,7,3,2,0,2,49,148,83,25,18,2,4,0,2,43,18,11,1,3,1,0,6,1,2,0,9,0,0,1,95,28
2200302-4-O,22,003,02-4-O,350.22,155.66,5.99,2.99,0,2,0,56.87,138.69,127.72,14.97,7.98,7.98,2,1,0,69.85,29.93,6.98,14.97,2.99,1,0,1,0,2,0,2.99,0,1,0,133.7,49.89
2200305-4-C,22,003,05-4-C,438,105,4,1,3,0,3,97,165,68,21,25,18,1,2,0,55,31,7,15,0,0,1,1,0,0,0,7,1,3,1,162,48
2200305-4-O,22,003,05-4-O,319.91,26.88,3.83,0.97,0.96,0,0.96,66.29,121.93,37.57,18.21,31.69,8.64,4.8,0,0,32.62,7.69,0.97,0.02,0.96,0.96,0,4.8,0.96,0,0,2.88,3.85,0.96,0,113.33,17.29
22005000001,22,005,000001,1108.19,313.98,32.61,7.12,7.26,4,7.12,562.32,235.7,164.67,101.42,28.49,24.49,15.28,0.05,2.06,123.3,126.2,13.24,13.13,0.05,0.05,0.03,15.12,2.03,0,0,3.12,2.12,2.03,3,540.44,150.2
22005000002,22,005,000002,1088.86,178.26,36.27,6.95,15.43,0,6.95,557.93,221.48,159.74,84.89,29.32,29.32,16.98,3.09,3.86,77.94,71.77,14.66,7.72,3.09,3.09,1.54,6.95,1.54,0,0,6.95,6.95,1.54,0,445.27,71.77
22005000003,22,005,000003,1028,240,19,14,12,3,2,474,216,120,67,56,41,13,3,8,118,104,17,16,0,0,0,13,1,0,2,10,8,1,0,362,99
22005000004,22,005,000004,685,200,18,3,3,2,2,313,127,78,56,42,19,10,3,0,86,78,9,16,3,6,3,7,4,0,0,2,5,5,0,200,61
22005000005,22,005,000005,745,246,27,8,4,0,6,351,122,79,73,35,31,8,4,2,117,119,15,12,3,0,3,7,1,0,0,7,9,2,0,222,90
22005000006,22,005,000006,1151.65,421.05,40.83,6.09,8.53,4.27,8.53,593.5,259.58,141.37,84.7,35.95,24.98,20.11,3.66,4.27,183.41,138.93,24.37,24.98,3.66,3.05,4.27,10.36,4.27,1.22,1.22,6.09,12.19,7.31,1.22,520.38,174.27
22005000007,22,005,000007,603.03,230.13,35.22,4.7,7.98,2.82,1.88,296.82,162.97,95.34,32.88,11.74,13.15,11.74,3.76,2.35,92.52,97.22,9.86,6.58,3.29,1.41,2.35,8.92,1.88,0.94,0.94,3.29,0.94,2.35,0,274.74,90.64
22005000008,22,005,000008,1058.99,302.97,39.4,8.44,7.5,1.88,3.75,535.59,211.99,152.89,62.85,25.33,25.33,18.76,5.63,4.69,130.38,132.26,13.13,5.63,5.63,1.88,1.88,15.95,2.81,1.88,0,1.88,7.5,1.88,0,447.42,105.99
22005000009,22,005,000009,1003,412,32,7,10,3,10,523,201,131,111,29,21,7,4,3,153,158,32,24,4,0,6,13,8,3,0,11,5,0,0,423,213
22005000010,22,005,000010,1096,210,36,12,13,3,0,543,223,138,96,29,38,17,0,2,86,93,14,9,2,0,2,16,6,0,0,9,5,5,0,478,98
22005000011,22,005,000011,1133.9,426.83,33.52,12.22,11.08,0,7.04,547.15,220.32,133.58,91.78,46.43,45.27,17.1,5.09,2,173.73,155.45,37.41,29.37,1.07,5.04,5,12.13,4.02,2,0,22.19,6.25,4.09,0,382.23,159.47
22005000012,22,005,000012,981,205,39,11,5,7,4,474,143,126,85,66,27,16,1,0,98,98,13,15,4,2,2,11,4,2,0,12,8,1,2,347,101
22005000013,22,005,000013,953,185,30,4,0,3,6,444,158,122,72,57,37,8,7,2,66,100,9,15,3,2,3,9,1,2,0,12,13,2,0,323,54
22005000014,22,005,000014,688.32,89.45,14.24,6.05,0.02,2.05,6,318.76,137.7,79.88,44.61,31.38,23.21,5.13,0.01,0.02,42.83,42.68,15.07,7.17,3.02,0.01,3.02,5.07,3.01,0,2,7.07,9.03,1.01,0.04,199.22,35.59
22005000015,22,005,000015,883.2,132.22,16.54,7.53,4.13,0,0.13,436.3,133.71,106.17,61.37,49.85,17.56,8.14,0,2,77.02,78.46,7.01,7.01,3,0,1,7.14,4.13,2,0,5.01,10.4,2.4,0,333.62,54.34
22005000016,22,005,000016,996.47,282.36,47.24,11.48,9.43,2.11,7.22,494.57,255.1,120.71,94.6,27.46,22.46,9.07,9.32,0.27,97.47,138.56,13.76,14.34,1.32,3.11,5.11,10.91,0.16,0.11,2,6.12,4.43,0.11,2,467.49,141.08
22005000017,22,005,000017,736,492,27,4,4,2,0,325,187,98,61,36,19,13,5,2,195,180,22,45,4,4,3,9,1,2,0,15,5,1,0,289,155
22005000018,22,005,000018,1045,211,32,4,12,0,6,474,186,130,81,39,31,22,5,3,110,108,22,7,1,2,3,20,6,0,0,9,9,2,0,342,80
22005000020,22,005,000020,628.43,175.92,23.46,9.77,3.91,0,1.95,365.52,105.55,71.35,36.16,19.55,12.71,4.89,3.91,0,79.16,66.46,18.57,16.61,2.93,1.95,0,5.86,0.98,0,0,8.8,10.75,3.91,0,278.54,67.44
22005000021,22,005,000021,348.2,79.8,3.22,0.81,0,0,3.22,173.29,54,37.88,37.08,10.48,8.06,0,2.42,0,31.43,36.27,4.03,5.64,3.22,1.61,0,4.03,3.22,1.61,0,3.22,0,1.61,0,114.45,29.82
22005000022,22,005,000022,484,71,16,1,1,0,2,255,52,49,42,24,21,5,3,0,48,41,0,3,0,4,3,5,0,0,0,4,0,0,0,149,25
22005000023,22,005,000023,254.79,95.07,0.95,0.95,6.65,1.9,2.85,131.2,41.83,25.67,15.21,15.21,8.56,3.8,0.95,0,48.49,35.18,4.75,1.9,2.85,1.9,4.75,1.9,0,0,0,1.9,0.95,0.95,0,131.2,28.52
22005000024,22,005,000024,44.07,14.59,1.55,0.3,0.47,0.1,0.52,23.74,7.44,5.47,2.17,2.04,1.2,0.45,0.43,0,5.78,6.21,0.87,0.47,0.27,0.1,0.37,0.73,0,0,0,0.22,0.43,0.05,0,18.59,3.86
22005000025,22,005,000025,371.37,68.39,7.52,2.57,1.59,1.59,4.74,190.45,55.04,38.07,33.52,16.8,7.89,3.57,2.17,0.79,33.74,38.87,2.56,5.32,1.17,0.39,0.4,4.54,1.17,0.39,0,5.14,0.4,1.18,0,131.07,23.84
22005000026,22,005,000026,1155.62,189.26,26.9,7.64,0.91,0,3.32,572.66,155.92,127.59,89.83,65.7,35.97,9.27,0.13,1.63,109.45,69.4,13.4,23.81,2.44,3.25,0.03,6.73,0.85,0.06,0,15.87,8.98,5.01,1.63,314.68,77.41
22005000027,22,005,000027,1120.19,152.61,30.94,10.93,2.96,0,2.6,597.43,144.95,96.26,100.42,56.36,36.69,11.3,3.7,0.37,84.75,70.05,14.08,11.89,0.56,0.75,0.92,7.97,1.11,1.85,0,15.57,2.98,4.82,0.37,371.26,45.29
22005000028,22,005,000028,249.38,261.2,10.28,4.14,1.56,0,6,131.02,46.03,20.8,13.36,11.82,8.42,8.42,3,1,108.22,72.96,12.14,26.98,1.14,6,3,10.14,0,2,0,8,0.28,7,2,116.83,93.96
22005000030,22,005,000030,174,350.02,7,4,1,1,9,95,28,27,12,17,9,4,0,0,131.01,98.01,30,22,3,2,1,5,0,3,5,6,7,5,0,87,144.01
22005000031,22,005,000031,308.43,361.5,11.34,8.1,8.02,1.02,1.06,143.42,68.66,29.72,39.63,19.42,13.27,6.19,1.06,0,154.87,99.49,12.29,17.32,1,3.08,0.02,9.13,0.02,2,0,11.04,3.08,1.02,0,173.34,163.56
22005000032,22,005,000032,454.33,374.56,16.14,7.03,3.02,3,3,212.22,104.65,61.4,35.42,24.19,7.14,5.04,1.02,0,181.28,109.27,24.05,19.04,1,3.01,5,9.03,3.03,1,0,10.03,3.04,1.01,0,242.23,226.19
22005000033,22,005,000033,1461.1,206.26,43.12,11.59,6.4,2.41,7.03,751.03,218.3,138.64,135.99,66.53,42.91,14.39,6.4,2.2,105.54,108.59,14.36,15,1.6,1.99,0.6,13.4,6.58,0,0,14.6,9.57,3.2,0,447.25,70.15
22005000034,22,005,000034,652.19,256.75,12.53,2.81,0.93,2.98,4.29,277.7,124.74,58.57,56.77,36.11,26.09,10.95,4.42,1.12,122.04,85.63,21,17.72,0.25,3.04,5.03,6.98,0,0.99,0,4.74,5.05,1.07,1.99,199.52,106.69
22005000035,22,005,000035,775.1,111.45,15.88,3.99,1.07,0,3.06,378.63,114.25,68.85,51.94,52.04,26.26,8.07,2.97,1.02,53.4,55.92,9.16,9.94,1.01,0.01,1.02,7.86,0.08,0,0,6,5.84,3.85,1.91,253.39,28.93
22005000036,22,005,000036,247.12,997.16,26.42,10.52,1.84,1.28,9.65,171.99,60.45,37.28,18.08,16.21,11.37,2.84,0,0,427.28,241.61,68.91,77.47,11.96,2.25,5.84,6.81,1.56,1,3,18.05,7.96,5.56,0,95.58,405.07
22005000037,22,005,000037,106.44,663.25,17.17,5.15,1.72,0.57,7.44,75.54,27.47,14.88,6.29,8.58,6.87,1.72,0,0,304.44,170.53,40.63,60.09,4.01,4.58,1.72,5.72,1.14,0,0,10.3,4.01,1.14,0,44.06,332.48
22005000039,22,005,000039,130,194,2,0,0,0,1,71,20,18,11,9,1,4,0,0,106,38,5,10,0,0,0,0,0,0,0,5,0,2,0,62,88
22005000040,22,005,000040,667.91,325.82,20.46,6.3,7.21,0,2.58,320.04,153.04,92.45,63.82,19.47,17.91,7.97,3.43,0.98,133.6,112.99,24.23,22.56,1.93,0.56,0.51,8.06,0,0,0,6.28,0.72,0.73,0.08,334.19,173.55
22005000041,22,005,000041,585,86,16,6,3,0,1,298,105,57,53,25,6,7,0,0,54,55,1,5,1,0,3,7,1,1,0,1,0,0,0,167,25
22005000042,22,005,000042,117.71,216.61,5.82,1.94,0.98,0,0,49.67,23.38,11.72,22.29,12.57,7.74,4.84,0.01,0,84.14,61.92,19.33,13.54,0.97,6.75,0.97,3.87,0,0,1.93,0.97,0,0,0,47.77,86.13
22005000043,22,005,000043,686.68,102.99,23.37,7.49,4.15,3.02,3.11,347.63,116.37,63.73,51.62,37.47,18.68,9.62,1.2,0.01,69.6,46.57,5.12,7.74,1.02,0.19,0.1,10.44,3.04,1.09,0.05,1.61,4.07,1.18,0.01,253.24,36.01
22005000044,22,005,000044,119,583,2,0,0,0,3,72,48,8,9,9,6,1,1,0,266,128,32,28,1,3,5,5,0,0,3,8,0,0,0,50,250
22005000045,22,005,000045,26,174,0,0,0,0,0,25,5,3,0,0,0,0,0,0,77,48,8,7,0,0,0,1,1,0,2,4,0,0,0,25,64
22005000047,22,005,000047,53.27,834.5,1.01,5.02,0.01,6.01,3.01,61.21,10.1,7.06,0.01,7.08,2.06,5.01,0,1,319.67,188.1,49.45,64.36,3.01,7.09,3.03,6.02,0.03,5,5,19.07,4.03,1.04,1,28.05,253.29
