GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
22051000019,22,051,000019,281,103,9,4,4,1,2,153,57,29,15,16,2,16,0,0,33,47,3,2,1,2,3,5,0,0,0,1,3,0,2,166,41
22051000020,22,051,000020,198,55,7,4,4,0,2,115,35,32,11,9,1,7,1,0,13,30,1,3,0,0,0,0,1,0,0,3,0,0,0,107,18
22051000021,22,051,000021,352.98,126.13,15.06,4.71,2.82,0.94,6.59,203.32,65.89,34.83,25.41,6.59,3.77,15.06,0.94,0,41.42,54.59,11.3,4.71,0.94,1.88,1.88,4.71,3.77,0,0,8.47,0.94,0,0,176.02,48.95
22051000022,22,051,000022,281.68,175.33,9.02,7.29,4.31,0.56,2.53,145.6,51.38,35.43,20.8,17.6,2.66,11.73,1.17,1.97,71.83,65.38,8.77,6.61,1.91,0.74,4.81,1.11,0.19,0.19,0,4.39,0,1.91,0,131.98,56.6
22051000023,22,051,000023,197.52,326.46,15.63,4.22,3.18,0.02,2.09,95.03,43.69,24.7,12.43,10.46,6.16,6.55,0.12,1.05,81.42,135.66,33.41,17.19,4.08,6.06,6.1,6.25,0.06,0,0,10.05,1.08,3.01,0.02,75.17,55.23
22051000024,22,051,000024,886,208,38,6,11,0,2,449,225,129,59,31,5,29,5,3,59,90,8,6,1,0,4,7,4,0,0,5,0,1,0,527,104
22051000025,22,051,000025,845,268,34,6,3,1,7,457,212,110,62,31,7,31,0,8,78,125,6,3,0,0,2,8,4,0,1,5,1,1,0,529,126
22051000026,22,051,000026,594,342,23,7,7,3,5,346,152,82,31,21,8,38,1,0,103,118,15,8,3,2,3,8,3,0,0,11,0,1,0,310,117
22051000027,22,051,000027,420,517,19,22,5,0,2,236,104,45,31,19,9,20,8,0,171,179,39,29,4,3,7,6,1,0,3,11,0,3,0,226,142
22051000028,22,051,000028,251,147,14,5,3,3,4,126,57,33,22,9,8,14,1,0,52,57,11,8,1,0,2,4,0,0,0,3,1,1,0,150,45
22051000029,22,051,000029,204,143,20,9,4,0,2,122,27,29,15,9,4,14,1,0,45,71,10,6,1,2,0,5,4,0,0,5,0,0,0,99,58
22051000030,22,051,000030,586,188,28,2,3,0,2,322,126,66,50,16,6,20,3,0,74,79,10,5,0,1,2,2,3,2,0,6,1,1,0,343,117
22051000031,22,051,000031,456,151,27,5,1,0,0,207,99,82,42,12,9,14,3,0,42,59,7,16,1,0,2,5,1,1,0,1,0,1,0,230,41
22051000032,22,051,000032,535,156,28,8,7,0,3,274,116,63,55,16,2,30,4,0,43,80,4,2,0,1,0,6,1,0,0,5,1,1,0,341,73
22051000033,22,051,000033,314.01,134.19,8.95,8.05,2.68,0.89,0,199.5,57.26,30.42,20.58,9.84,1.79,7.16,0,0,43.84,70.67,3.58,1.79,0,2.68,0,3.58,0,0,0,2.68,3.58,0.89,1.79,153.87,42.05
22051000034,22,051,000034,470.17,134.28,22.23,4.18,6.16,1,4.07,224.06,107.29,69.78,50.81,27.42,5.02,17.39,0,3,33.6,71.99,4.09,2.12,0.09,0,0.07,4.12,0,0,0,3.05,0.02,0.02,2,255.74,48.9
22051000035,22,051,000035,303.83,96.72,9.77,7.82,6.84,0,2.93,171.94,54.71,33.22,34.19,17.58,0.98,16.61,0,0,25.4,42.01,3.91,4.88,3.91,0,2.93,4.88,0,0,0,1.95,0.98,0.98,0,158.26,38.1
22051000036,22,051,000036,284,88,7,8,3,0,0,152,58,24,17,21,1,5,3,1,23,48,4,5,0,1,0,5,0,0,0,3,1,1,0,126,35
22051000037,22,051,000037,412,124,22,7,4,1,4,225,76,44,33,23,4,16,3,0,50,48,3,2,0,3,0,7,7,0,1,7,0,0,0,228,58
22051000038,22,051,000038,424.73,126.17,17.77,8.89,4.44,0,0.89,223.92,91.52,54.2,36.43,15.99,3.55,21.33,0,0,50.65,58.64,3.55,2.67,0.89,3.55,0,1.78,0.89,0,0.89,0,0,0,0,204.37,57.76
22051000039,22,051,000039,510,114,20,4,5,0,1,278,107,61,32,20,9,16,1,3,36,52,6,3,0,0,0,4,0,0,0,1,1,0,3,250,64
22051000040,22,051,000040,363,125,13,6,5,1,0,183,102,44,20,20,6,19,3,0,36,54,3,3,1,0,3,2,0,0,0,3,0,1,0,192,60
22051000041,22,051,000041,238.1,75.29,8.57,3.67,4.28,1.84,0.61,139.55,61.21,24.48,15.91,9.79,0.61,4.9,0.61,0,18.97,30.6,0.61,3.67,0,0,0,1.22,0,0,0,5.51,0,0,0,128.54,29.38
22051000042,22,051,000042,483.89,220.59,26.57,9.01,12.85,1.88,2.96,270.68,114.9,71.15,26.22,25.49,3.83,15.8,1.21,0,67.26,97.25,6.46,4.64,4.37,0.87,1.75,6.79,0,0,0,4.77,0,0,0,256.77,97.45
22051000043,22,051,000043,542.27,216.38,13.43,5.77,9.41,0.57,3.33,286.53,108.45,53.97,39.27,28.66,3.65,25.99,0.18,0.87,66.8,103.29,7.11,11.32,1.59,0.41,3.73,5.23,0,0,0,8.55,3.19,0,0,287.57,88.51
