GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
110010111002029,27.8,1,0.1,0.1,0.1,0.1,0.2,25.5,0.3,0.4,0.6,0.6,0.2,0.4,0.2,0.1,12.7,0.8,0.2,0.6,5.1,10.2,3.3,4,1.6,1,1,0.7,0.1,0.5,0.6,0.6,0.9,0.1,0.4,0.2,0.3,0.1,0.2,0.1,0.2,23.5,1.3,2.7,0.2,22.1,3,1.1,0.2
110010111002022,14,0.4,0,0,0,0,0.1,13,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0,7,0.4,0.1,0.4,2.7,5.4,1.7,1.9,0.6,0.4,0.8,0.3,0.1,0.2,0.2,0.2,0.4,0.1,0.2,0.1,0.1,0.1,0,0.1,0.1,11.9,0.6,1.2,0.1,11.2,1.1,0.8,0.1
110010094003009,75.6,2.7,0.2,0.2,0.1,0.2,0.4,69.6,0.8,0.8,1.2,1.4,0.9,1.3,0.6,0.5,36.3,1.8,0.2,1.5,17.7,25.4,13.6,11.4,4.3,2.4,4.3,2.1,0.4,0.6,1.1,0.9,1.7,0.5,1.1,0.4,0.5,0.4,0.4,0.3,0.6,63.4,2.8,7.1,0.4,57.6,6.5,4,0.5
110010111001036,54.4,1.7,0.2,0.2,0.1,0.1,0.3,50.6,0.8,0.6,0.7,1,0.5,0.7,0.4,0.2,27.1,1.6,0.5,1.4,10.6,20.9,6.4,7.2,2.4,1.6,3.3,1.1,0.4,0.6,0.8,0.8,1.6,0.2,0.7,0.6,0.4,0.3,0.2,0.4,0.4,46.3,2.1,4.6,0.4,43.4,4.2,3,0.5
110010111002031,6.6,0.2,0,0,0,0,0,6.1,0.1,0.1,0.1,0.1,0,0.1,0,0,3,0.2,0,0.2,1.2,2.4,0.8,1,0.4,0.2,0.2,0.2,0,0.1,0.2,0.1,0.2,0,0.1,0.1,0.1,0,0,0,0.1,5.6,0.3,0.6,0,5.3,0.7,0.3,0
110010111003012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010111003010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010111003019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010111001038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010111003037,50.2,1.8,0.1,0.3,0.1,0.1,0.3,46.1,0.6,0.7,1,1.1,0.3,0.7,0.4,0.2,22.9,1.4,0.3,1.2,9.3,18.5,6,7.3,2.9,1.7,1.8,1.3,0.2,0.8,1.2,1,1.6,0.3,0.7,0.4,0.5,0.2,0.3,0.2,0.4,42.5,2.3,4.9,0.3,40,5.4,1.9,0.3
