GEOID,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
110010078062014,15.9,0.3,0.3,0.3,0.6,0.1,13.4,0.4,1.3,1.6,0.6,16.2,0.8,0,15.6,1.2,0.3,14.8,0.5,1.9,4.6,3.3,0.5,0.1,16.3,0.2,15.1,1.7,0.1
110010078061017,14.7,0.2,0.3,0.2,0.6,0.1,12.4,0.4,1.2,1.4,0.6,15,0.7,0,14.4,1.1,0.3,13.7,0.5,1.8,4.2,3.1,0.5,0.1,15.1,0.2,14,1.6,0.1
110010078061010,12.7,0.2,0.2,0.2,0.5,0.1,10.8,0.3,1,1.2,0.5,13,0.6,0,12.5,1,0.2,11.8,0.4,1.5,3.7,2.7,0.4,0.1,13,0.2,12.1,1.4,0.1
110010078061006,11.1,0.2,0.2,0.2,0.5,0,9.4,0.3,0.9,1.1,0.4,11.4,0.5,0,10.9,0.8,0.2,10.4,0.4,1.3,3.2,2.3,0.4,0.1,11.4,0.2,10.6,1.2,0.1
110010078061014,18.3,0.3,0.3,0.3,0.7,0.1,15.5,0.5,1.5,1.8,0.7,18.7,0.9,0,17.9,1.4,0.3,17,0.6,2.2,5.2,3.8,0.6,0.1,18.7,0.3,17.4,2,0.1
110010078092012,24.2,0.1,0.2,0.4,0.5,0,19.5,0.7,1.8,2.3,0.7,23.8,0.9,0.1,23.7,1.1,0.2,21,0.3,2.6,7.5,3.5,0.7,0.2,23.6,0.3,22.5,2.3,0.1
110010078033007,10.4,0.1,0.1,0.2,0.3,0,8.8,0.2,0.6,1.1,0.3,10.3,0.4,0,10.3,0.6,0.1,9.3,0.2,1,3.2,1.5,0.5,0.1,10.2,0.2,9.8,0.9,0.1
110010078043013,30.3,0.2,0.3,0.4,0.9,0.1,25.7,0.7,1.7,3.1,1,29.9,1.3,0.1,30,1.7,0.2,27,0.5,2.9,9.2,4.4,1.3,0.3,29.7,0.6,28.7,2.6,0.2
110010071001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010062021243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
