GEOID,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
110010095031010,34.8,1.1,0.3,0.5,0.4,33.9,0.9,1.3,0.4,31.3,1.8,1,3.7,15.4,4.6,0.6,32.2,0.6
110010095012005,25.2,2,0.3,0.5,0.6,24.6,1.2,1.3,0.1,21.9,1.9,1.1,3,8.6,3.2,0.4,23.5,0.4
110010074061001,314,4.4,1.7,3.7,2.4,298.7,8.3,8.1,1.7,274.3,10,11.8,28.3,53.6,40.5,3.1,280.2,2.2
110010012004023,41.1,2.7,0.9,0.5,0.9,37.4,3.4,3,0.5,32.7,5.6,2.2,4.2,23.5,2,0.3,34.1,1.4
110010105002000,1.3,0.1,0,0,0,1.2,0.1,0.1,0,1.1,0.1,0.1,0.2,0.5,0.1,0,1.2,0
110010062021197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010071001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010077082004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010077092003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010077092010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010076013013,18.4,0.3,0.1,0.2,0.2,17.9,0.4,0.5,0.1,16.8,0.7,0.5,1.6,3.7,2.1,0.3,16.5,0.2
110010076012013,55.1,0.8,0.2,0.6,0.6,53.6,1.1,1.5,0.2,50.3,2.1,1.5,4.8,11.2,6.2,0.9,49.5,0.5
110010076012011,5.9,0.1,0,0.1,0.1,5.7,0.1,0.2,0,5.4,0.2,0.2,0.5,1.2,0.7,0.1,5.3,0.1
110010077092014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010076041009,110.5,2.2,0.8,1.8,0.8,107.6,2.7,3.2,0.6,96.2,3.9,3.2,10,24.7,11.5,1,99,1.6
110010076043000,109,2.4,0.5,1.2,2.3,107,2.3,3.5,1.2,100.3,5.4,2,11.2,34.7,14.7,1.6,100.6,3.1
110010008022002,13.6,1.8,0.6,0.2,0.7,12.6,2.3,1,0.3,10.4,3.7,1.2,1.7,6,0.9,0.2,12.3,0.7
110010008021008,19.6,2.7,0.9,0.4,1,18.2,3.3,1.5,0.4,15,5.3,1.7,2.4,8.7,1.4,0.2,17.7,1.1
110010011002007,24,1.8,0.4,0.3,0.6,22.1,1.9,1.5,0.4,19.2,3.6,0.9,2.1,13.1,1.2,0.4,20.1,0.7
110010103003003,25.1,0.7,0.2,0.7,0.3,23.7,0.8,1.6,0.1,21.4,1.2,0.9,3.4,11.2,2.2,0.4,22.6,0.4
110010103001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010103003008,19,0.6,0.2,0.5,0.3,18,0.6,1.2,0.1,16.2,0.9,0.7,2.6,8.5,1.6,0.3,17.1,0.3
110010017022001,71.8,2.1,0.6,2,1,68,2.3,4.5,0.4,61.3,3.3,2.5,9.7,32.1,6.2,1.1,64.8,1.2
110010017022008,9.5,0.3,0.1,0.3,0.1,9,0.3,0.6,0.1,8.1,0.4,0.3,1.3,4.2,0.8,0.2,8.6,0.2
110010103001013,27.8,0.8,0.2,0.8,0.4,26.3,0.9,1.7,0.2,23.7,1.3,1,3.8,12.4,2.4,0.4,25.1,0.5
110010018042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010019011004,110,2.2,0.5,2.3,0.7,105.8,3,4.2,0.9,97.9,4,3.9,10.7,39.6,12.2,1.6,100.7,1.4
110010019014002,27.5,0.8,0.3,0.5,0.4,26.8,0.9,1.3,0.2,24.7,1.2,1,3.3,11.1,3.2,0.3,25,0.6
110010019012003,34.3,1.1,0.3,0.7,0.5,33.5,1.1,1.7,0.2,30.8,1.5,1.3,4.1,13.9,4,0.4,31.2,0.7
110010019012002,33,1,0.3,0.6,0.5,32.2,1.1,1.6,0.2,29.6,1.5,1.2,3.9,13.4,3.8,0.4,30,0.7
110010019012005,54.7,1.1,0.3,1.1,0.4,52.6,1.5,2.1,0.4,48.7,2,1.9,5.3,19.7,6.1,0.8,50.1,0.7
110010017021002,12.9,0.4,0.1,0.4,0.2,12.2,0.4,0.8,0.1,11,0.6,0.4,1.7,5.7,1.1,0.2,11.6,0.2
110010017021026,30.5,0.9,0.2,0.8,0.4,28.9,1,1.9,0.2,26,1.4,1,4.1,13.6,2.7,0.5,27.5,0.5
110010017021022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010021015005,109,2.8,1.3,2.2,1.3,104.7,3.6,4.7,0.6,91.1,4.6,4,10.8,35.5,10.2,1.4,99,0.9
110010021014001,17.3,0.4,0.2,0.4,0.2,16.6,0.6,0.7,0.1,14.5,0.7,0.6,1.7,5.6,1.6,0.2,15.7,0.1
110010021014004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010021014009,46.1,1.2,0.5,0.9,0.6,44.3,1.5,2,0.3,38.5,1.9,1.7,4.6,15,4.3,0.6,41.9,0.4
110010019021016,34.6,0.7,0.2,0.7,0.2,33.3,1,1.3,0.3,30.8,1.3,1.2,3.4,12.5,3.8,0.5,31.7,0.4
110010095092003,21.9,0.4,0.2,0.4,0.2,21.6,0.5,0.6,0.1,19.8,0.8,0.7,2.3,7.4,2.2,0.2,20.4,0.3
110010095033009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010095041017,16.9,0.9,0.4,0.4,0.6,16.3,1,1.3,0.2,14.4,1.8,0.9,2.5,8.5,1.8,0.2,16,0.5
110010095033012,17.6,1,0.4,0.4,0.6,16.9,1,1.3,0.2,15,1.9,0.9,2.6,8.9,1.8,0.2,16.6,0.6
110010095031016,38.9,1.3,0.3,0.5,0.5,37.9,1,1.4,0.4,35,2,1.1,4.2,17.3,5.2,0.7,36,0.7
110010094001014,18.9,0.5,0.1,0.3,0.2,18.2,0.5,0.7,0.1,16.9,0.7,0.5,2,7.5,2.3,0.3,17.2,0.3
110010094001015,16.8,0.5,0.1,0.3,0.2,16.2,0.4,0.6,0.1,15,0.6,0.5,1.8,6.7,2,0.2,15.3,0.3
110010092011004,322.3,11.8,4.9,5.7,8.1,304.3,20.2,17.2,3,271.8,26.3,16.9,36.2,118,32.6,5.5,301,7.5
110010095013011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010092011010,39.7,1.5,0.6,0.7,1,37.5,2.5,2.1,0.4,33.5,3.2,2.1,4.5,14.5,4,0.7,37.1,0.9
110010093012014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010093021003,44.7,1.6,0.6,0.7,1.2,42.7,2.2,2.6,0.6,37.5,3.6,1.8,5.1,22.1,4.4,0.6,41.1,1.4
110010093021002,55.2,1.9,0.8,0.9,1.5,52.7,2.7,3.2,0.7,46.3,4.5,2.3,6.3,27.3,5.4,0.8,50.8,1.8
110010091022020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010088031025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010093014000,11.5,0.6,0.2,0.3,0.4,11.1,0.7,0.9,0.1,9.8,1.2,0.6,1.7,5.8,1.2,0.2,10.9,0.4
110010093021007,40.5,1.4,0.6,0.6,1.1,38.7,2,2.3,0.5,34,3.3,1.7,4.7,20.1,4,0.6,37.3,1.3
110010093013018,50.5,0.9,0.6,1,1.1,47.7,2.5,2.5,0.5,43.5,2.8,2.4,5.7,22,6.3,0.9,46.7,1.7
110010093011003,22.1,0.4,0.3,0.5,0.5,20.9,1.1,1.1,0.2,19.1,1.2,1,2.5,9.6,2.8,0.4,20.5,0.7
110010093011008,18,0.3,0.2,0.4,0.4,17,0.9,0.9,0.2,15.5,1,0.8,2,7.8,2.2,0.3,16.6,0.6
110010094002005,122.2,3.3,0.6,2,1.3,118.2,3.1,4.6,0.8,109.4,4.5,3.4,13,48.8,14.7,1.7,111.3,2.2
110010093011011,28.4,0.5,0.4,0.6,0.6,26.8,1.4,1.4,0.3,24.4,1.6,1.3,3.2,12.3,3.5,0.5,26.2,0.9
110010094002011,68.5,1.2,0.8,1.4,1.5,64.7,3.4,3.4,0.7,59,3.8,3.2,7.8,29.8,8.5,1.2,63.3,2.2
110010094002012,69.2,1.2,0.9,1.4,1.5,65.4,3.4,3.4,0.7,59.5,3.9,3.2,7.8,30.1,8.6,1.2,64,2.3
110010093013003,24.2,0.4,0.3,0.5,0.5,22.9,1.2,1.2,0.2,20.8,1.3,1.1,2.7,10.5,3,0.4,22.4,0.8
110010076042018,217.9,4.7,1,3.3,2.9,213.2,3.5,6.4,1.3,192.4,7.4,5.9,18.4,55.6,24.1,3.8,191.9,3.9
110010010022001,100.8,7.9,3.6,2.6,2.5,91,11.4,8.9,0.9,77.8,19.5,6.8,14.9,49.2,8.6,0.5,91.6,3.3
110010012001014,10.3,0.7,0.2,0.1,0.2,9.3,0.8,0.7,0.1,8.2,1.4,0.5,1,5.9,0.5,0.1,8.5,0.4
110010003003007,4.7,0.6,0.2,0.1,0.3,4.2,0.8,0.3,0.1,3.3,1.5,0.4,0.4,1.8,0.4,0,4.2,0.2
110010076042008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010011004013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010002022000,16.2,2.3,0.6,0.2,0.9,14.7,2.6,1.2,0.2,11.4,5.2,1.3,1.5,6.3,1.2,0.2,14.6,0.6
110010053012005,6.4,0.3,0.2,0.1,0.2,5.7,0.6,0.4,0.1,4.7,0.9,0.4,0.6,2.8,0.3,0,5.4,0.1
110010064001000,38.9,2,1,0.6,0.9,36.5,3.1,2.4,0.3,32.6,3.8,2.4,5.3,15.3,4.5,0.5,35.9,1.1
110010062021115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010062021015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010072002054,3.6,0.3,0.2,0,0.2,3.3,0.6,0.2,0.1,2.8,0.9,0.4,0.4,1.6,0.4,0.1,3.5,0.2
110010072002049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010073011140,5.9,0.3,0.1,0.1,0.1,5.7,0.3,0.2,0,5.2,0.4,0.3,0.6,1.2,0.8,0.1,5.5,0.1
110010068041023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010008021015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010077082003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010019021012,55.3,1.1,0.3,1.1,0.4,53.2,1.5,2.1,0.4,49.2,2,2,5.4,19.9,6.1,0.8,50.6,0.7
110010021024002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010022023002,27.3,0.7,0.3,0.6,0.3,26.2,0.9,1.2,0.2,22.8,1.1,1,2.7,8.9,2.6,0.3,24.8,0.2
