GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
1100102-001,11,001,02-001,3710,195,88,34,87,3393,362,186,32,3005,500,290,373,1135,369,44,3453,83
1100102-002,11,001,02-002,745.6,58,30.5,12.8,22.6,649.2,103.3,37.4,7.9,571.5,133.8,85.6,91.5,156.4,71.8,8.8,712.1,19.7
1100102-003,11,001,02-003,1391,217.1,40.6,29.7,50.6,1316.6,202.2,95.2,22.8,1039,328.2,102.1,157.6,538.3,116,15.9,1277.9,54.5
1100102-004,11,001,02-004,1793.4,194.5,45.2,26.5,60.5,1617.7,247.2,100.7,23.4,1315.3,422.2,153.6,185,641.2,142.9,21.5,1617.4,52.8
1100102-005,11,001,02-005,2206.3,276.2,92.7,31,121.2,2009.8,370.1,142.7,34.9,1520.7,692.6,175.7,223.8,838.8,116.3,23.8,1864.8,77
1100102-006,11,001,02-006,2215,309,85,29,122,2009,362,166,34,1555,711,175,199,855,170,21,1992,76
1100102-007,11,001,02-007,1227,166,54,22,62,1140,206,91,25,937,333,106,150,541,85,15,1108,67
1100102-008,11,001,02-008,2384,300,89,23,126,2208,341,186,53,1770,663,162,229,1031,129,42,1980,113
1100102-009,11,001,02-009,1519,286.8,56.3,16.6,92.6,1450,253.4,99.8,36.9,1112.8,537,112.3,135,705.6,125.4,22.9,1309.6,90.6
1100102-010,11,001,02-010,1728.3,208.8,49.4,16.8,75.5,1591.3,223.7,125.8,24.2,1283.6,421.4,116.5,166.9,761.6,150.1,17.7,1468.2,70.8
1100102-011,11,001,02-011,3188,363,126,60,147,2868,497,268,48,2265,839,238,381,1511,197,38,2989,131
1100102-012,11,001,02-012,512.8,95.1,24,3,32,457.7,112.1,51,13,343.5,194.2,50.1,49.1,304.3,42,5,470.7,34
1100102-013,11,001,02-013,1403.5,112.1,38.1,15,38.1,1258.8,169.7,78.3,17.8,1011.5,244.5,94.5,119.4,640,75.5,15.2,1156.2,27.2
1100102-014,11,001,02-014,2764,210,77,34,75,2486,308,185,20,2171,461,217,288,1210,175,33,2467,76
1100102-015,11,001,02-015,2918.4,157.1,72.6,29.6,70.5,2569.8,290.6,191.6,29.6,2158.2,411.1,172.7,254.8,1265.4,134.8,20.6,2458,62.1
1100102-016,11,001,02-016,3298,150,70,41,83,2969,339,156,39,2552,449,226,299,1510,184,33,2881,80
1100102-017,11,001,02-017,4232.6,230.9,116.4,45.4,111.5,3824.2,413.4,189.4,40.5,3260.8,595.9,271.3,351.2,1654.6,280.2,44.4,3690,77.9
1100102-018,11,001,02-018,3874,98,74,38,87,3612,265,157,28,3176,345,206,330,1421,330,48,3478,104
1100102-019,11,001,02-019,3108,61,58,55,51,2889,179,189,27,2607,180,146,398,1351,255,41,2849,78
1100102-020,11,001,02-020,1050.9,15.6,8.2,14,8.2,964.5,42.8,27.2,7.4,896.2,47.7,72.4,104.5,253.5,101.2,11.5,955.5,15.6
1100102-021,11,001,02-021,903,26,13,15,14,852,44,41,11,754,64,45,94,366,84,31,814,31
1100102-022,11,001,02-022,3326,103,77,34,83,2961,282,188,43,2637,397,175,300,1591,196,53,2936,94
1100102-023,11,001,02-023,2523,66,42,45,45,2322,167,115,17,2083,219,144,289,1056,175,19,2291,48
1100102-024,11,001,02-024,2494,89,56,33,37,2232,210,152,18,2000,243,156,284,1267,135,26,2201,63
1100102-025,11,001,02-025,3860.5,158,86.3,59.3,86.5,3481.3,336.4,232.3,39.5,3007.4,429.7,210.7,458.8,1987,186.9,37.2,3323.8,98.8
1100102-026,11,001,02-026,2746.5,156.9,67.9,23,69.9,2508.2,238.3,139.7,18.2,2123.5,410.5,166.5,275.6,1400,143.5,25.8,2361.8,71.8
1100102-027,11,001,02-027,2249.9,123.2,51.3,27.6,74.9,2035,196.2,159.7,34.5,1762.9,338.2,109.4,250.4,1149.6,123.2,18.7,1843.7,82.8
1100102-028,11,001,02-028,2356,264,51,52,91,2183,238,182,33,1858,469,146,285,1103,157,24,2038,67
1100102-029,11,001,02-029,1295,102,46,33,32,1170,146,115,12,1000,250,88,191,632,110,6,1177,42
1100102-030,11,001,02-030,1142.8,121.1,27.9,13,43.8,1054.3,114.6,91.3,23.3,922,224.4,46.6,83.8,707.8,66.1,17.7,974.2,47.5
1100102-031,11,001,02-031,2206.9,206.3,51.3,34.5,69.1,2092.4,204.3,144.1,30.6,1781.5,363.2,104.6,203.3,1290,124.4,25.7,1899,70.1
1100102-032,11,001,02-032,2479.9,181.7,38.7,28.8,60.6,2286.2,192.7,155.9,40.7,1987.3,374.4,96.3,216.5,1352.7,119.2,37.7,2080.6,72.5
1100102-033,11,001,02-033,2751.3,178.9,58,36.6,63.4,2501.1,225,198.2,32.7,2187.3,377.1,144.2,279.9,1571.7,132.5,23.5,2279.1,95.6
1100102-034,11,001,02-034,2374.4,129.1,63.9,29.7,60.7,2180.8,193.6,155,22.1,1872.7,304.3,130.3,252.4,1121.1,141.7,22.8,2097.2,56.9
1100102-035,11,001,02-035,3168,73,48,59,51,2886,162,220,21,2563,229,146,394,1672,142,27,2830,61
1100102-036,11,001,02-036,3387,108,53,51,41,3144,161,197,13,2802,262,173,447,1298,279,34,3094,56
1100102-037,11,001,02-037,2672.1,59.4,39.8,54,37.8,2432.5,134.2,152.8,15.6,2276.8,152.3,118.6,302.5,953.5,221.8,38.5,2403.6,41.4
1100102-038,11,001,02-038,2132,61,34,31,39,2007,96,128,12,1819,123,85,239,857,175,32,1963,43
1100102-039,11,001,02-039,3019.3,65.3,43.8,69,55,2757.2,142.7,226.6,20.5,2482.2,205.1,121.2,430.8,1523.6,186.5,29.8,2687.3,66.2
1100102-040,11,001,02-040,2968.4,94,55.2,82.5,50.5,2767.4,156.5,233.6,14.2,2501.9,209.2,124.9,486.6,1708.6,177,25.1,2633.7,65
1100102-041,11,001,02-041,2721,79,35,52,45,2480,137,179,15,2247,195,120,370,1140,189,31,2434,48
1100102-042,11,001,02-042,1471,28,26,29,23,1374,68,87,5,1223,112,70,186,700,101,19,1354,31
1100102-043,11,001,02-043,1339.7,23.7,15.8,29.6,20.8,1275.5,52.4,64.2,3,1132.3,83,55.3,165,541.4,120.5,15.8,1230.1,30.6
1100102-044,11,001,02-044,1970,158,23,39,46,1924,97,101,11,1709,151,88,237,671,246,33,1831,34
1100102-045,11,001,02-045,1791,35,22,39,25,1698,58,97,13,1463,81,67,198,777,125,20,1604,32
1100102-046,11,001,02-046,2129,52,27,43,40,2039,70,110,9,1778,106,71,211,854,176,33,1928,38
1100102-047,11,001,02-047,2631.8,67.9,16.5,54.4,22.4,2442.2,108.4,158.5,21.1,2161.9,129.1,104,329.7,1080.7,169.2,33.2,2358.4,44.5
1100102-048,11,001,02-048,2574.7,85.2,35,54.6,40.5,2396.5,123.2,143.2,18.5,2122.4,173.5,91.3,280.4,1124,207.1,36.6,2236.4,61.9
1100102-049,11,001,02-049,735.3,12.3,14.2,10.4,10.2,677.5,28.6,52.8,5,611.7,37,33.7,104,323.6,51.5,11.2,661.9,15.4
1100102-050,11,001,02-050,1936.9,182.1,33,35,48,1819.7,174.2,133.1,29,1592.5,308.3,107.1,195.2,1127,132.1,19,1694.6,75
1100102-051,11,001,02-051,3076.3,309.7,56.1,35.3,107.2,2886.4,295.7,191,59.2,2387.6,501,140.3,190.8,2164.9,158.6,38.3,2584,114.6
1100102-052,11,001,02-052,1190,81,10,26,28,1105,77,82,20,928,156,38,90,744,60,14,968,36
1100102-053,11,001,02-053,1006.1,49.7,15.9,22.4,7.2,963.5,41.6,58.6,5,886.5,65.1,42.4,116.5,431.7,83.8,19.2,889.5,22.1
1100102-054,11,001,02-054,1773,69,14,39,23,1695,61,108,9,1553,112,50,179,669,174,24,1624,31
1100102-055,11,001,02-055,1791,43,17,30,30,1719,52,73,14,1530,98,74,173,592,161,32,1601,33
1100102-056,11,001,02-056,2285,58,27,47,28,2195,75,99,13,1909,96,83,227,744,214,29,2075,19
1100102-057,11,001,02-057,1832,57,16,37,35,1789,52,85,7,1587,78,58,203,653,201,28,1701,21
1100102-058,11,001,02-058,1640,33,8,34,11,1577,45,62,13,1460,60,58,160,590,182,24,1502,21
1100102-059,11,001,02-059,1878,58,19,37,29,1833,61,92,12,1687,83,70,225,761,217,23,1709,40
1100102-060,11,001,02-060,1565,57,8,23,12,1450,48,59,6,1298,96,83,123,461,180,17,1339,16
1100102-061,11,001,02-061,1204.6,47.5,5.8,23.3,10.7,1161.9,40.7,48.5,3.9,1062,67.9,66.9,106.7,427.7,131.9,17.5,1095.9,13.6
1100102-062,11,001,02-062,2584.7,103.3,20.9,40.7,33.8,2453.6,102.3,140,25.8,2345.4,138,48.7,259.2,1259.1,225.4,39.7,2262,77.4
1100102-063,11,001,02-063,2828,83,23,77,38,2679,92,177,16,2413,130,97,383,1263,246,45,2551,49
1100102-064,11,001,02-064,1793,37,13,34,24,1727,47,77,11,1583,67,68,209,659,215,25,1615,37
1100102-065,11,001,02-065,2046,40,18,30,24,1968,55,67,11,1761,78,54,207,627,222,14,1806,28
1100102-066,11,001,02-066,3319,64,34,57,37,3265,82,92,9,2991,116,103,348,1122,333,34,3085,41
1100102-067,11,001,02-067,2150,71,19,30,26,2094,57,78,22,1936,109,60,231,954,286,37,1991,37
