GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
1100102-068,11,001,02-068,1467.3,81.1,31.6,33.6,49.4,1411.9,86,111.7,17.8,1254.7,155.2,75.2,214.6,741.6,152.3,20.8,1389.2,46.5
1100102-069,11,001,02-069,1558,42,8,25,17,1507,40,59,10,1395,57,43,166,622,188,22,1419,28
1100102-070,11,001,02-070,1131,20,14,23,24,1068,56,56,11,973,63,53,128,492,141,20,1045,37
1100102-071,11,001,02-071,1671,48,24,23,19,1648,64,50,6,1496,82,66,164,624,201,24,1564,35
1100102-072,11,001,02-072,2745,60,29,34,44,2630,83,98,25,2307,125,107,250,891,326,46,2496,51
1100102-073,11,001,02-073,1478.7,51.9,20.4,23.4,40.6,1414.1,72,85.3,18.2,1241.3,120.8,60.9,170.4,732.4,145.7,21.2,1361.8,47.5
1100102-074,11,001,02-074,3213,118,49,57,81,3033,201,171,30,2709,262,168,361,1176,325,55,3000,75
1100102-075,11,001,02-075,2871,84,61,51,64,2706,177,154,17,2422,212,151,309,1214,247,30,2678,62
1100102-076,11,001,02-076,970.1,42.9,12,22,18,893.2,49.9,64.9,7,809.4,72.9,72.9,105.8,239.5,128.8,12,916.2,12
1100102-077,11,001,02-077,2035,44,28,35,36,1938,91,79,12,1708,105,88,261,638,197,24,1817,40
1100102-078,11,001,02-078,1896.5,36.1,13,36.1,22.1,1833.3,57.1,62.2,7,1610.9,72.2,93.2,197.4,473,197.5,20,1701.2,29.1
1100102-079,11,001,02-079,1367.8,32.2,11.1,24.2,12.3,1301.9,44.4,43.5,8,1132.8,76.8,63.7,122.8,357.4,140.3,16.3,1188.3,13.3
1100102-080,11,001,02-080,1013,28.9,12,15.9,32.9,971.2,47.9,46.9,8,875.4,79.8,46.9,107.7,344,100.7,19.9,891.4,33.9
1100102-081,11,001,02-081,3585,139,56,48,130,3324,270,195,53,2923,379,207,386,1365,284,66,3257,121
1100102-082,11,001,02-082,2114,83,55,37,85,1965,176,149,34,1759,258,142,266,1004,172,31,1978,81
1100102-083,11,001,02-083,4427,198,124,55,165,4055,423,278,63,3603,667,296,464,1972,390,62,4190,150
1100102-084,11,001,02-084,1905.7,128.5,55.2,26.4,116,1741.8,240.6,121.2,49,1533.1,367.7,135.3,212.7,1070.3,139,27.6,1701.1,112
1100102-085,11,001,02-085,2363.3,183.5,85.8,29.6,148,2155.2,329.4,158.8,69,1817.9,487.3,168.7,266.3,1395.7,143,44.4,2107.9,141.1
1100102-086,11,001,02-086,1845,96,50,20,62,1714,160,98,52,1487,251,109,201,942,155,33,1672,101
1100102-087,11,001,02-087,2194,94.1,49,37,76.1,2051.8,176.1,116.1,42,1762.6,276.2,119.1,227.3,1003,190.3,37.1,1971.6,87.1
1100102-088,11,001,02-088,1891,113,58,25,88,1722,213,133,38,1469,293,113,186,1056,135,20,1636,82
1100102-089,11,001,02-089,2387,259,78,27,178,2148,386,165,76,1839,616,182,201,1404,138,32,2042,166
1100102-090,11,001,02-090,1363,66,43,17,79,1233,159,87,34,1040,250,102,132,733,87,15,1207,79
1100102-091,11,001,02-091,3383.1,154.7,63.2,42.4,128.3,3117,273.9,208.2,55.5,2728.2,432.5,159.3,311.6,1526.2,315.7,40,3029.4,119.9
1100102-092,11,001,02-092,1019,13.1,6.1,9.1,10.2,1002.1,15.3,21.3,3,900.6,32.5,32.4,69.2,213.5,101.4,10.2,916,12.2
1100102-093,11,001,02-093,1029.8,23,7,16,8,1004.8,21,20,3,915.7,27,24,85.1,189.2,122.1,14,936.7,11
1100102-094,11,001,02-094,1254,25,11,15,10,1232,24,33,4,1110,42,50,126,245,151,7,1135,8
1100102-095,11,001,02-095,1121,16,4,20,8,1101,23,26,4,996,36,36,103,218,168,9,1012,10
1100102-096,11,001,02-096,1520,17,5,14,13,1472,32,30,6,1339,44,38,116,225,162,20,1345,20
1100102-097,11,001,02-097,888,16,6,9,12,849,19,25,5,769,30,37,77,188,119,14,793,17
1100102-098,11,001,02-098,1266,23,10,22,12,1244,20,33,5,1101,33,38,117,220,186,12,1110,17
1100102-099,11,001,02-099,971,17,12,20,14,951,32,26,1,858,35,33,104,191,144,10,896,9
1100102-100,11,001,02-100,1461.8,12.6,6.8,9.7,13.5,1416.6,22.2,26.1,2,1256.5,41.6,37.7,92.8,234.3,120,13.5,1280.6,13.6
1100102-101,11,001,02-101,1145,16,2,11,8,1114,19,23,5,1005,25,39,115,264,142,15,1004,14
1100102-102,11,001,02-102,1560,22,4,23,8,1518,26,32,8,1350,39,54,170,295,187,16,1344,22
1100102-103,11,001,02-103,2288.2,41.1,9,23.1,26,2232,49.1,41.1,5,1981.4,88.2,63.3,170.6,369,240.7,15,2013.5,15
1100102-104,11,001,02-104,1982,40,8,32,19,1919,38,65,3,1741,73,70,180,377,296,22,1791,25
1100102-105,11,001,02-105,1600,18,9,19,19,1556,33,36,6,1404,48,59,123,284,192,12,1435,14
1100102-106,11,001,02-106,1856,35,13,26,25,1838,40,41,11,1700,47,66,146,332,254,21,1683,27
1100102-107,11,001,02-107,1032.8,9.1,7.3,10.9,7.3,998.2,22.7,24.6,4.6,889.1,40,49.1,91.8,156.4,118.2,4.6,912.7,7.3
1100102-108,11,001,02-108,912,18.9,4.7,10,17.7,893.8,19.1,28.3,9.4,833.5,43.8,19.6,92.6,273.7,121.1,12.4,837.7,23.7
1100102-109,11,001,02-109,730,21,6,23,12,717,24,34,8,692,35,30,66,253,116,13,698,17
1100102-110,11,001,02-110,2614,53,14,29,37,2597,51,53,12,2359,94,61,208,585,293,22,2361,48
1100102-111,11,001,02-111,1567.2,30.9,11,25.9,12,1525.3,38.9,44.9,8,1363.8,55.8,44.9,141.6,350.9,163.5,14,1403.7,22.9
1100102-112,11,001,02-112,1407,15,6,18,20,1377,26,31,3,1246,42,47,92,254,145,23,1231,11
1100102-113,11,001,02-113,1669,36,8,25,22,1633,27,49,10,1474,57,45,141,426,185,29,1470,30
1100102-114,11,001,02-114,1681.8,30.2,14.2,27.6,24,1638.3,40.9,46.2,7.1,1467.6,59.6,69.3,161.8,313.8,165.3,21.3,1530.7,17.8
1100102-115,11,001,02-115,1493,18,14,20,4,1424,29,29,2,1301,33,50,103,228,111,15,1266,14
1100102-116,11,001,02-116,2251,31,9,13,29,2134,55,51,5,1936,87,80,163,349,237,30,1974,21
1100102-117,11,001,02-117,1405,29,5,13,10,1313,44,45,8,1233,46,51,131,225,133,34,1235,28
1100102-118,11,001,02-118,1698,24,9,20,13,1615,45,44,9,1483,54,64,153,290,219,17,1515,12
1100102-119,11,001,02-119,1762.8,36.9,7.8,21.5,14.2,1684,56.4,47,8.9,1495.8,66.7,79.9,133.2,313.9,200.5,20.8,1563.7,20.3
1100102-120,11,001,02-120,1264,17,9,17,14,1207,23,41,4,1119,41,61,134,252,165,31,1103,19
1100102-121,11,001,02-121,2235.7,25.2,10.9,33,20.3,2158.6,41.6,55.7,6.4,1982.9,65.7,62.5,165.6,309.1,213.4,16.8,1937.3,15.3
1100102-122,11,001,02-122,915.4,13.1,5.7,18,8.2,894.2,27,18,2.5,826.3,23.7,27.8,77.7,190.4,111.2,10.6,825.5,8.2
1100102-123,11,001,02-123,1474.9,80.1,18.8,22.8,16.8,1428.4,77.2,55.4,8.9,1300.7,106.8,72.2,138.5,295.8,201.8,24.7,1386.7,26.7
1100102-124,11,001,02-124,1701.8,34.7,4.6,21.3,24.7,1670.6,36.4,42,6.3,1525.6,47.9,52.6,174.4,312,181.9,15.9,1546,11.8
1100102-125,11,001,02-125,2570,22.4,10.2,14,26.1,2442.4,64.3,45.6,6.5,2219.8,76.4,65.2,162.1,300,204,35.4,2221.6,20.5
1100102-126,11,001,02-126,2390.8,42.6,20.7,39,24.9,2307.4,71.7,63.3,3.5,2119.2,77.5,62.7,188.7,330.7,225.8,25.6,2128.4,19.5
1100102-127,11,001,02-127,3245,170,80,52,76,3041,258,201,27,2717,317,204,441,1277,376,38,2992,92
1100102-128,11,001,02-128,2042.5,98.2,41.1,54,68.1,1924.2,158.4,125.2,17.1,1725.7,236.6,150.3,239.4,778.5,229.3,15.1,1896.3,54.1
1100102-129,11,001,02-129,2069.9,143.2,73.6,22.9,62.6,1868.1,251.5,104.5,34.8,1593.8,368.8,184.9,221.9,893.1,169.3,30.9,1933.6,55.7
1100102-130,11,001,02-130,765,114,33,7,77,697,170,63,26,552,274,73,88,395,57,17,676,75
1100102-131,11,001,02-131,2183.9,201.3,99.8,23.6,148.7,1998,369.1,128.8,53.5,1707.8,560.5,226.7,220.4,956.8,260.3,39,2099.6,126.1
1100102-132,11,001,02-132,1252,14.1,10,11.1,8.1,1228.8,20.1,21.2,1,1125.2,41.2,49.2,115.5,220.3,145.6,16,1133.3,9.1
1100102-133,11,001,02-133,938,14,4,10,10,913,18,25,3,857,35,25,82,190,106,15,843,8
1100102-134,11,001,02-134,1469,25,8,9,7,1393,31,29,0,1228,26,39,95,173,138,14,1260,10
1100102-135,11,001,02-135,2302,71,52,36,27,2172,118,131,16,1913,177,102,290,1014,192,24,2133,49
1100102-136,11,001,02-136,2209.1,100.6,49.4,40.5,51.2,2019.6,167.2,152.8,18,1769.6,260,116.5,284.2,1080.9,145.6,16.3,1963.1,54.8
1100102-137,11,001,02-137,950,35,19,21,24,872,77,66,6,797,125,62,93,452,73,8,880,24
1100102-138,11,001,02-138,2059.3,137.8,49.2,32.3,61.1,1900.7,174.6,131.9,44.1,1691.5,306,117.6,223.8,1030.6,153.3,34.3,1777.5,98.3
1100102-139,11,001,02-139,1798,56,17,24,20,1795,51,42,7,1636,75,60,162,655,227,23,1663,24
1100102-140,11,001,02-140,1184.6,19.8,4,7.9,17.8,1143,35.7,27.7,2,1030.1,36.6,32.7,118.9,212,107,12.9,1041,12.9
1100102-141,11,001,02-141,2361,108,59,20,52,2117,210,130,19,1841,303,168,257,1051,150,22,2098,56
1100102-142,11,001,02-142,1372.6,89.5,41.3,17.1,36.2,1294.7,125.1,80.3,13.2,1164.5,185.6,96.8,171.7,578.3,173.4,30.1,1291.1,45.2
1100102-143,11,001,02-143,1427,144,55,15,72,1286,239,94,22,1112,359,170,179,524,142,25,1374,52
