GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
1100102-036,11,001,02-036,3655,180,20,30,12,6,21,3247,79,70,117,74,50,71,37,17,1590,146,51,145,947,526,960,560,260,263,163,89,56,92,47,74,27,44,19,36,25,51,17,24,14,2965,207,478,27,2914,330,252,24
1100102-037,11,001,02-037,2801.72,91.96,12.53,19.89,4,4.18,20.53,2427.74,77.72,50.12,103.07,59.95,23.06,34.95,23.89,12.35,1201.77,106.84,45.59,82.9,817.06,418.97,712.02,466.67,168.08,133.78,69.6,68.36,24.59,61.19,44.83,60.06,39.12,37.43,22.06,23.35,17.24,35.71,15.18,13.53,13.89,2232.81,143.61,336.58,23.24,2170.98,229.63,174.9,29.89
1100102-038,11,001,02-038,2450,103,16,13,7,2,29,2165,63,66,88,33,30,42,21,11,1040,82,27,72,730,363,693,418,168,161,98,68,34,42,34,72,26,29,11,22,17,34,8,15,19,1921,139,359,26,1925,241,161,29
1100102-039,11,001,02-039,3090.14,114.69,8.39,26.11,13.05,8.39,21.45,2666.8,67.14,90.45,94.18,69,35.43,61.54,19.58,13.05,1187.01,89.52,33.57,114.69,959.49,309.57,1067.65,512.85,206.07,302.11,140.8,75.53,44.76,54.08,27.97,68.07,18.65,32.64,9.32,25.18,11.19,45.69,11.19,20.51,13.99,2319.93,146.39,465.29,31.7,2271.45,317.03,175.3,35.43
1100102-040,11,001,02-040,2820.04,132.02,17.74,32.01,13.78,4.63,24.19,2405.46,69.32,115.6,132.17,43.28,44.37,46.17,21.39,12.17,1114.81,103.17,51.49,143.4,889.76,235.07,1174.98,407.83,203.62,245.59,107.73,67.27,39.72,69.52,36.89,83.14,28.64,46.98,5.62,24.89,10.22,39.8,8.39,10.26,18.51,2117.45,154.7,485.17,21.45,2094.87,330.1,195.25,21.59
1100102-041,11,001,02-041,2869,140,7,32,5,5,15,2489,50,70,111,84,28,70,25,8,1322,113,37,114,726,399,892,348,204,218,133,87,26,68,31,77,26,33,13,20,18,44,15,13,19,2327,145,370,23,2280,252,182,27
1100102-042,11,001,02-042,1525,57,10,8,5,1,12,1329,32,39,60,32,29,24,7,3,604,48,20,53,482,177,503,272,127,116,50,52,21,34,16,43,19,15,3,7,4,27,5,6,8,1258,63,188,16,1245,118,97,19
1100102-043,11,001,02-043,1459.29,43.47,6.92,7.9,8.89,0.99,7.9,1320.96,24.7,19.76,48.41,21.74,14.82,16.8,7.9,4.94,677.77,37.54,11.86,41.5,405.08,274.67,386.31,218.35,108.68,76.08,50.39,51.38,15.81,31.62,21.74,31.62,18.77,11.86,10.87,12.84,9.88,8.89,6.92,8.89,6.92,1197.46,49.4,169.94,10.87,1156.96,127.45,76.08,14.82
1100102-044,11,001,02-044,2166,161,11,22,5,8,22,1966,25,38,65,54,25,44,32,8,1005,97,16,45,367,782,219,341,122,93,94,61,14,41,48,24,39,17,27,24,23,21,17,14,24,1838,137,192,11,1697,221,137,11
1100102-045,11,001,02-045,1937,55,10,17,4,3,18,1760,35,29,53,30,15,29,10,9,865,44,16,57,529,431,595,250,113,117,54,74,12,28,36,34,17,12,18,13,9,15,8,3,15,1538,77,231,28,1529,174,104,28
1100102-046,11,001,02-046,2381,75,7,12,11,3,22,2167,38,45,56,51,18,31,11,8,1093,58,24,49,594,628,612,322,156,140,70,73,20,39,42,37,25,21,22,13,13,16,16,11,16,1975,87,228,29,1944,185,118,28
1100102-047,11,001,02-047,2819.49,110.19,6.15,12.14,15.07,7.03,22.19,2506.5,39.63,46.59,96.68,64.43,19.47,50.29,28.16,19.11,1285.74,96.14,28.46,95.96,712.65,465.42,862.9,469.14,165.38,174.55,115.62,81.58,37.43,58.49,32.22,51.53,24.18,23.28,11.05,21.15,10.08,39.27,10.07,15.08,17.13,2246.51,124.43,342.8,32.18,2196.75,248,156.68,36.21
1100102-048,11,001,02-048,2825.25,135.99,6.06,20.48,8.99,2.59,18.65,2498.73,52.34,78.51,65.89,55.48,36.57,27.84,21.16,27.27,1298.31,102.28,26.68,91.69,691.66,476.13,726.81,643.77,169.2,111.49,88.38,90.85,40.88,47.89,28.56,36.89,29.06,21.25,22.09,38.37,21.48,23.74,13.38,15.68,13.17,2243.46,143.52,301.78,26.56,2106.54,259.61,177.28,37.45
