GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
1100102-090,11,001,02-090,1466,111,23,2,1,5,25,1264,94,24,23,34,33,32,14,18,530,139,33,35,549,99,363,324,82,61,38,37,264,37,13,30,12,16,5,10,6,11,5,10,9,1101,189,142,31,1033,105,167,37
1100102-091,11,001,02-091,4258.64,316.31,40.89,19.3,12.93,7.65,61.33,3746.73,210.51,106,78.98,93.45,88.29,85.66,35.82,47.4,1783.1,319.71,104.73,129.61,1368.47,583.18,1031.94,752.14,252.92,187.17,80.26,110,420.27,68.86,62.51,83.1,57.84,53.91,49.44,32.93,25.61,32.91,23.82,33.09,36.21,3365.12,445.62,446.87,70.17,3193.23,342.85,408.84,114.33
1100102-092,11,001,02-092,1067.08,34.75,4.06,7.16,4.06,6.12,10.11,995.39,15.1,6.42,17.49,23.34,5.04,13.28,14.14,4.03,530.91,27.24,6.12,14.71,141.99,411.95,49.77,140.25,44.54,16.45,27.67,18.64,2.14,10.43,55.9,5.31,19.98,5.24,27.14,4.33,10.6,3.2,9.2,10.23,7.18,912.3,36.47,82.67,9,886.01,101.37,34.87,5.07
1100102-093,11,001,02-093,1204.86,52.03,5,10.01,6,6,8.01,1123.8,12.01,24,25.01,23.02,6,17.01,10.01,9,538.43,22.02,2,38.01,182.11,480.33,80.04,170.11,71.04,17.01,41.02,24.01,3,20.01,61.05,22,27.02,8,22.02,14,17.01,4,12.01,6.01,8.01,1005.73,51.03,126.07,10.01,946.71,171.08,47.03,5
1100102-094,11,001,02-094,1435,44,8,6,5,5,9,1331,17,13,19,34,6,19,11,4,653,24,6,29,197,532,70,205,99,37,48,26,3,20,52,9,26,11,32,16,17,11,14,11,7,1205,48,152,6,1131,178,53,7
1100102-095,11,001,02-095,1171,43,2,6,3,3,7,1091,6,6,21,32,8,15,6,3,577,13,5,22,147,491,58,146,55,20,45,19,0,20,41,13,23,9,24,17,13,2,18,6,14,1012,27,105,7,961,117,48,7
1100102-096,11,001,02-096,1700,42,3,17,6,7,12,1571,12,10,25,41,9,21,11,4,842,25,8,44,206,663,77,218,73,20,42,39,3,30,54,18,36,8,33,20,31,5,17,19,12,1426,48,149,12,1377,152,70,7
1100102-097,11,001,02-097,968,26,5,5,12,7,8,880,9,17,21,28,6,8,10,7,481,13,4,22,144,392,36,140,57,12,26,30,4,11,26,10,17,6,14,21,14,8,8,6,8,838,36,80,4,791,103,43,7
1100102-098,11,001,02-098,1527,41,3,8,5,7,6,1432,9,12,18,21,8,31,12,4,744,23,11,39,202,612,73,264,92,23,41,35,1,23,47,12,23,15,26,18,16,10,9,9,11,1273,45,156,8,1242,167,52,8
1100102-099,11,001,02-099,1195,43,3,12,6,4,13,1118,8,14,25,28,6,19,14,3,600,20,5,34,129,449,68,156,77,22,27,25,3,19,46,18,28,12,23,23,26,6,7,4,12,1005,34,121,11,970,140,47,8
1100102-100,11,001,02-100,1800.09,51.16,4.84,10.62,4.84,8.69,10.66,1689.13,13.59,20.17,29.89,28.05,4.85,19.31,14.54,3.88,874.66,27.15,8.69,36.54,243.9,684.64,61.88,215.18,87.64,27.96,43.41,36.6,6.72,23.1,70.58,15.37,50,12.5,23.32,15.36,29.79,9.61,13.51,15.44,11.57,1517.76,41.62,155.1,5.86,1489.67,156.31,55.94,5.81
1100102-101,11,001,02-101,1253,50,6,7,4,1,11,1177,19,10,15,30,14,13,9,8,623,39,14,25,154,500,116,176,71,22,30,26,7,15,44,16,20,8,46,15,12,8,7,8,7,1065,52,114,7,1048,110,59,9
1100102-102,11,001,02-102,1904,42,6,9,10,5,9,1763,10,17,38,39,7,21,16,2,906,31,6,42,261,734,110,226,106,27,35,38,3,31,76,17,28,12,34,26,29,11,15,7,9,1577,59,160,13,1494,213,59,10
1100102-103,11,001,02-103,2500.4,72.19,10.04,17.04,8.02,8.03,8.03,2326.05,17.04,23.06,30.09,61.12,15.02,32.07,23.08,8.01,1232.97,32.13,10.03,64.1,274.8,990.61,121.21,328.72,146.25,22.04,59.17,58.21,11.02,27.1,69.2,20.02,43.14,14.03,68.15,12.1,46.15,9,20.09,22.01,24.03,2106.38,61.23,223.58,15.03,2037.2,238.67,84.28,16.02
1100102-104,11,001,02-104,2394,71,7,17,4,9,16,2176,18,28,37,75,17,42,32,5,1168,43,6,50,290,876,113,348,140,41,66,58,7,43,85,21,40,11,60,28,39,14,20,17,15,2002,92,217,12,1977,218,81,13
1100102-105,11,001,02-105,1872,52,7,17,8,7,8,1769,15,17,27,28,11,21,21,5,956,34,3,49,245,666,113,284,121,29,34,43,8,19,71,18,40,3,34,21,31,2,8,13,14,1566,62,169,8,1534,161,87,11
1100102-106,11,001,02-106,2090,59,6,2,3,5,19,1916,27,12,33,64,7,31,14,10,1107,33,8,47,278,784,109,267,132,22,50,50,9,27,73,18,36,7,43,24,23,8,12,16,22,1718,65,179,14,1681,190,78,11
1100102-107,11,001,02-107,1058.2,31.82,7.27,7.27,3.64,5.45,4.55,1000.02,7.27,9.09,14.55,19.09,3.64,11.82,13.64,0.91,490.92,20.91,4.55,16.36,131.82,431.83,35.46,118.18,41.82,7.27,27.27,34.55,2.73,17.27,33.64,3.64,23.64,5.45,25.45,16.36,25.45,0,14.55,1.82,5.45,889.11,37.27,96.37,5.45,859.11,110.91,45.46,3.64
1100102-108,11,001,02-108,1002.4,27.99,1.68,4.68,3.34,4.51,13.43,921.93,9.68,12.85,10.37,23.79,8.34,11.11,9.28,10.09,535.11,13.96,3.43,22.54,157.38,340.56,102.33,181.1,72.93,16.68,25.56,25.24,7.26,10.62,23.16,2.34,13.22,2.51,20.39,11.54,18.39,4,6.37,11.17,7.51,834.51,25.5,83.05,12.51,795.7,84.42,52.27,16.34
1100102-109,11,001,02-109,815,14,1,4,0,1,12,744,6,6,15,25,6,12,8,5,450,14,5,18,139,300,86,133,57,15,35,18,10,10,14,6,11,1,16,8,14,2,1,12,5,697,25,66,7,676,70,27,5
1100102-110,11,001,02-110,2952,84,2,11,6,7,27,2753,13,33,39,58,28,37,35,18,1540,42,14,80,422,1070,197,464,187,38,69,92,17,29,84,42,45,14,67,28,51,14,15,35,19,2462,91,269,25,2368,266,119,29
1100102-111,11,001,02-111,1839.22,62.81,8.97,8.97,6.98,9.96,12.96,1730.54,12.97,23.93,26.92,34.9,10.96,21.94,15.96,8.97,919.08,33.9,10.97,37.89,246.21,722.76,100.68,227.3,106.69,14.96,48.84,46.85,7.97,12.97,68.77,12.97,36.88,4.98,53.83,21.93,40.86,6.98,13.96,13.95,17.94,1535.18,58.83,183.42,18.93,1481.35,191.39,80.76,14.95
1100102-112,11,001,02-112,1547,47,5,9,1,9,14,1451,9,11,20,38,8,20,12,8,742,33,6,30,189,634,62,157,115,16,38,24,6,20,46,16,25,12,34,19,20,3,13,16,13,1280,58,125,17,1203,176,65,14
1100102-113,11,001,02-113,1810,60,7,14,3,3,11,1661,27,22,29,34,8,17,20,12,838,45,12,42,307,652,123,330,149,18,50,43,12,19,46,12,31,7,39,22,21,9,7,22,9,1517,54,168,12,1458,182,58,15
1100102-114,11,001,02-114,1888.95,77.34,5.33,15.11,16,16,19.56,1766.28,23.11,16.89,31.11,42.67,9.78,33.78,32.89,9.78,896.03,45.33,9.78,48,292.45,694.25,112,280.01,184.01,17.78,50.67,29.33,10.67,31.11,64,16,17.78,8,24.89,23.11,28.45,6.22,22.22,21.33,15.11,1576.05,72,217.79,16.89,1552.05,229.34,65.78,21.33
1100102-115,11,001,02-115,1463,41,9,5,10,10,8,1389,5,7,14,30,9,22,18,4,760,21,6,31,159,593,37,150,90,16,28,27,3,19,55,11,18,5,18,24,20,3,13,13,9,1250,52,105,9,1208,128,58,12
1100102-116,11,001,02-116,2420,66,13,18,13,16,23,2262,13,20,37,53,11,26,26,7,1127,34,7,49,296,966,66,334,175,21,60,45,5,25,75,17,34,11,35,46,54,9,26,13,13,2036,94,215,11,1979,258,82,16
1100102-117,11,001,02-117,1585,58,4,15,5,14,10,1485,12,18,24,40,8,22,11,2,713,33,8,40,223,634,64,227,113,20,52,24,3,31,46,9,29,4,23,15,27,10,17,11,8,1340,70,137,11,1325,159,60,7
1100102-118,11,001,02-118,1903,53,12,9,9,5,17,1776,14,14,33,40,7,31,21,2,930,38,8,47,263,733,49,278,137,19,47,33,8,37,68,6,27,5,31,25,24,10,17,14,8,1623,56,184,4,1602,187,64,3
1100102-119,11,001,02-119,1765.26,80.03,7.71,7.95,10.06,12.01,12.53,1659.12,21.02,12.28,26.08,42.59,9.26,30.4,18.28,9.24,841.77,44.92,11.32,28.26,243.8,647.06,86.53,279.35,150.75,20.36,46.52,27.9,5.33,23.09,42.26,12.16,24.4,9.02,30.4,26.04,33.72,9.82,20.85,9.71,13.96,1492.45,80.46,181.19,10.17,1481.21,166.63,84.76,11.71
1100102-120,11,001,02-120,1569,52,10,15,9,14,13,1461,22,19,26,27,7,23,16,6,725,36,10,28,234,571,56,239,167,11,35,35,5,27,50,8,22,8,23,19,24,2,20,7,10,1320,61,145,10,1288,171,62,15
1100102-121,11,001,02-121,2644.81,67.35,12.01,19.91,18.85,5.7,13.91,2482.44,21.05,20.75,39.68,47.43,11.93,31.78,19.53,5.7,1272.39,53.74,15.13,53.52,335.16,1091.93,62.48,279.34,223.47,20.07,56.55,44.17,3.57,38.01,71.61,13.91,35.04,9.65,36.18,47.29,40.82,8.67,23.72,13.91,17.79,2215.61,99.51,218.47,14.21,2122.41,286.74,103.69,15.89
1100102-122,11,001,02-122,1042.94,32.69,0.82,11.44,5.72,4.09,5.72,966.92,12.26,10.63,22.07,21.25,5.72,11.44,14.71,4.09,486.32,28.61,1.63,22.07,128.32,408.67,38.42,157.75,128.32,12.26,27.79,19.62,3.27,13.08,34.33,5.72,13.08,4.09,13.89,9.81,12.26,4.09,10.63,5.72,10.63,871.29,40.87,101.35,7.36,848.41,117.7,36.78,5.72
1100102-123,11,001,02-123,1799.38,128.57,21.74,5.94,5.95,4.96,19.78,1646.02,55.36,16.83,39.58,44.53,27.68,36.6,26.71,10.88,830.52,104.81,33.61,47.5,232.61,628.56,49.51,331.39,181.05,26.71,52.44,38.59,2.97,34.63,71.23,10.89,33.65,12.85,27.72,26.74,30.67,9.89,20.78,12.87,26.71,1540.05,135.5,157.36,12.86,1484.64,201.89,102.89,23.73
1100102-124,11,001,02-124,2009.09,47.52,3.43,10.71,6.5,11.27,14.61,1896.61,18.36,9.83,25.73,30.86,10.68,25.23,22.08,6.35,1023.36,37.93,10.64,43.99,236.33,785.02,71.71,246.94,189.4,23,34.29,37.69,6.19,37.33,55.93,11.5,28.29,6.42,41.26,34.23,21.29,8.37,22.91,14.52,9.91,1690.78,76.27,193.09,11.59,1620.2,257.02,58.78,12.68
1100102-125,11,001,02-125,2702.3,96.88,15.84,18.63,14.9,14.9,7.45,2583.07,21.42,21.42,30.74,48.44,4.66,33.53,33.53,6.52,1324.6,46.58,14.9,46.58,377.26,1083.34,51.23,297.15,200.27,29.81,64.27,51.23,8.38,38.19,90.36,12.11,40.99,13.97,49.37,49.37,54.96,12.11,29.81,13.04,17.7,2325.97,93.15,229.15,9.32,2221.64,284.11,122.96,8.38
1100102-126,11,001,02-126,2800.08,112.02,7.16,12.36,15.08,17.08,14.53,2602.51,27.55,34.54,49.21,58.51,13.33,40.43,28.44,12.47,1404.08,74.35,14.08,73.35,377.39,1037.69,81.69,335.53,209.53,29.16,67.66,47.72,9.61,43.77,92.56,18.87,52.96,8.02,47.59,55.58,38.01,7.88,31.16,20.94,27.28,2392.79,121.73,225.64,17.67,2303.21,300.61,112.94,16.6
1100102-127,11,001,02-127,3710,239,34,26,7,8,30,3301,143,85,66,77,76,54,38,21,1666,241,54,147,992,737,705,670,204,177,111,92,148,60,53,72,58,47,26,35,29,29,23,26,23,2961,306,407,32,2799,374,270,54
1100102-128,11,001,02-128,2189.12,140.4,21.04,21.01,1.01,0,24.06,1898.52,69.24,60.08,67.07,58.1,36.1,40.08,19.04,19.04,996.89,128.43,36.15,90.14,558.25,367.26,472.83,400.92,156.24,100.19,64.09,58.07,53.08,53.08,42.03,43.07,24.04,30.16,22.01,36.04,13.02,28.02,13.03,11.02,24.04,1780.28,177.54,246.3,25.05,1698.24,198.22,180.4,39.09
1100102-129,11,001,02-129,2426.85,237.96,20.93,6.98,2.98,1.99,37.8,2073.56,141.33,46.8,41.84,56.82,58.75,48.75,22.91,22.91,1112.01,252.85,89.52,82.72,735.47,155.75,489.55,539.43,140.48,112.5,50.83,40.88,47.84,47.81,18.97,43.86,25.9,95.41,7.98,23.91,8.96,11.96,14.96,8.98,25.86,1932.17,319.47,178.41,26.85,1907.2,131.57,234.93,50.75
1100102-130,11,001,02-130,769,150,12,2,0,0,32,641,99,17,15,26,45,24,8,14,290,169,38,30,280,46,229,172,45,26,17,16,141,17,4,25,5,7,5,5,4,6,7,6,11,555,204,75,14,516,55,121,35
1100102-131,11,001,02-131,4333.36,743.69,67.11,12.7,9.07,6.35,100.67,3642.27,443.49,78,68.02,150.55,197.71,123.34,76.18,91.6,1842.9,796.29,231.27,142.39,1388.53,381.82,779.06,1053.86,311.08,186.83,109.74,117,265.73,96.14,63.49,78.9,47.16,77.09,33.56,48.07,25.39,38.09,37.18,39.91,50.79,3460.88,1029.38,330.13,69.83,3354.77,281.15,661.16,178.67
1100102-132,11,001,02-132,1483,39.24,6.03,10.03,1.03,8.04,14.05,1392.58,12.05,8.09,23.1,25.13,5.04,17.08,15.06,5.03,731.5,22.13,4.04,20.14,159.94,634.75,76.38,173.86,83.41,17.06,29.19,31.18,5.03,13.05,54.26,8.05,27.14,7.02,36.2,19.08,20.16,11.03,13.05,12.05,12.07,1252.84,52.22,116.7,9.07,1224.64,136.73,51.31,4.06
1100102-133,11,001,02-133,971,32,1,8,6,3,8,909,5,11,10,21,7,12,14,5,515,29,8,21,133,372,52,131,71,10,24,23,5,14,26,10,12,7,16,9,13,3,4,7,10,810,50,77,11,791,98,31,13
1100102-134,11,001,02-134,1534,48,1,6,9,6,8,1443,18,8,19,27,8,13,18,2,791,35,4,30,185,639,38,154,73,18,31,24,1,22,52,8,19,7,36,18,30,7,18,4,9,1271,56,122,8,1225,144,59,7
1100102-135,11,001,02-135,2462,103,11,17,3,5,21,2214,70,50,76,33,30,37,16,14,1026,95,51,76,779,447,571,581,192,95,56,61,33,33,36,62,39,42,22,24,9,16,8,7,14,1983,147,302,22,1936,238,143,23
1100102-136,11,001,02-136,2259.67,135.77,17.43,14.3,5.7,3.48,20.5,1966.34,72.87,54.32,56.92,48.77,47.32,29.47,17,11.54,917.24,126.02,47.5,94.81,709.25,152.83,792.27,469.31,138.21,154.37,67.45,64.94,57.81,56.17,19.2,50.21,19.25,30.58,5.8,13.92,6.46,24.67,6.96,9.48,11.98,1766.15,160.65,252.84,27.19,1659.18,189.3,183.54,23.24
1100102-137,11,001,02-137,949,51,5,3,3,0,9,812,31,23,18,25,15,19,9,9,389,55,11,34,298,102,217,238,58,44,23,18,11,21,5,19,13,38,6,11,7,7,6,7,3,771,77,87,5,734,74,77,15
1100102-138,11,001,02-138,2171.91,169.1,17.08,8.12,3.09,1,23.17,1877.26,99.33,49.3,42.17,47.54,62.25,21.25,18.2,29.17,857.84,183.93,50.22,85.42,686.16,161.92,590.25,717.52,115.81,96.93,59.72,49.53,43.16,37.37,20.25,47.12,26.22,27.19,13.12,20.08,7.14,13.19,7.05,10.11,18.12,1637.69,211.15,197.52,26.14,1518.63,147.87,182.09,33.26
1100102-139,11,001,02-139,2391,85,9,13,3,6,9,2247,24,15,23,48,15,26,17,10,1265,55,17,55,403,936,144,414,113,87,79,42,14,20,54,19,57,12,17,19,30,8,24,10,15,2036,97,159,18,1904,186,107,21
1100102-140,11,001,02-140,1250.96,45.56,4.95,6.93,7.92,1.98,10.9,1152.9,15.85,19.81,22.78,31.69,4.95,21.79,19.81,1.98,588.34,31.69,11.89,30.7,154.51,523.96,65.37,168.38,93.1,16.84,23.77,28.72,0,24.76,31.69,18.82,21.79,2.97,34.67,18.82,20.8,4.95,8.91,4.95,8.91,1042.96,56.46,119.85,6.93,1014.24,118.86,66.36,5.94
1100102-141,11,001,02-141,2406,134,20,13,3,2,23,2073,102,38,48,53,61,23,16,12,938,161,56,75,838,155,654,589,145,121,55,43,33,54,7,52,27,47,17,14,8,22,13,12,18,1850,229,233,29,1820,158,230,31
1100102-142,11,001,02-142,2202.03,233.63,27.03,10.01,2.01,3,25.14,1909.92,121.43,48.12,48.09,77.08,59.15,36.17,24.06,24.06,1046.1,231.73,61.32,105.14,620.28,285.99,382.62,461.65,167.28,108.31,65.09,58.05,62.08,51.11,35,60.06,30.05,38.43,11.01,29.05,8.03,14.02,23.01,14.01,16.1,1767.55,270.99,232.29,16.1,1719.56,172.21,216.67,40.17
1100102-143,11,001,02-143,1558,211,23,12,2,4,18,1323,117,33,39,51,47,32,34,21,658,213,75,68,464,120,272,320,90,84,45,29,42,40,18,44,24,27,6,33,18,14,11,10,25,1212,262,133,22,1182,104,219,38
