GEOID20,STATEFP,COUNTYFP,DISTRICT,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
1100102-001,11,001,02-001,2390,160,40,96,79,17,2154,115,190,181,111,2478,238,12,2389,267,55,1931,196,317,479,991,120,39,2474,69,2240,380,41
1100102-002,11,001,02-002,325.58,23.61,7.87,15.74,9.84,0.98,302.96,13.77,34.43,21.64,8.85,341.32,31.48,0.98,330.5,31.48,10.82,275.42,35.41,60.98,51.15,136.72,11.8,3.93,342.3,13.77,308.86,54.1,4.92
1100102-003,11,001,02-003,920.03,125.91,23.79,39.66,29.74,10.91,870.46,60.48,90.22,73.36,29.74,978.52,122.93,6.94,948.78,130.87,18.84,659.29,141.77,125.91,181.43,530.4,48.58,18.84,924.98,36.68,790.15,220.09,24.79
1100102-004,11,001,02-004,1172.44,143.1,43.7,56.49,25.46,14.56,1102.26,80.72,105.4,87.7,44.73,1236.79,163.46,16.46,1230.6,158.7,30.22,889.02,168.49,157.22,226.91,574.27,60.35,12.74,1207.47,45.83,1061.25,252.32,29.2
1100102-005,11,001,02-005,1405.45,208.31,62.61,67.09,47.94,16.54,1416.82,101.99,132.91,98.26,40.66,1499.84,219.05,15.61,1505.59,215.88,26.12,1009.92,245.24,198.81,293.41,773.32,63.24,21.48,1374.76,69.69,1229.31,285.38,59.08
1100102-006,11,001,02-006,1321,185,44,57,41,16,1311,91,111,94,40,1410,187,19,1416,181,28,954,222,184,248,651,37,14,1326,75,1190,264,49
1100102-007,11,001,02-007,843,116,29,31,21,1,824,66,76,46,12,884,126,6,885,122,12,584,133,119,248,425,40,9,825,51,736,169,35
1100102-008,11,001,02-008,1644,221,51,87,77,26,1716,100,137,96,40,1779,229,17,1793,218,38,1063,244,183,500,1016,71,11,1591,77,1449,332,57
1100102-009,11,001,02-009,935.4,185.7,31.3,35.61,33.23,14.21,982.29,58.05,74.04,84.81,18.27,1019.13,155.16,9.22,1030.29,141.02,23.6,624.91,209.4,116.5,272.66,549.02,40.58,11.06,913.51,43.12,852.86,169.62,36.94
1100102-010,11,001,02-010,1141.02,139.83,30.76,62.46,42.88,13.98,1135.42,61.53,94.15,90.42,19.58,1238.9,139.83,6.53,1227.71,151.95,16.78,779.32,172.46,147.29,292.71,672.12,43.81,8.39,1100,43.81,1003.98,220,28.9
1100102-011,11,001,02-011,2191,187,67,136,76,20,2026,125,250,161,66,2353,237,15,2313,247,52,1550,229,336,446,1270,97,21,2240,81,1931,505,50
1100102-012,11,001,02-012,353.5,67.07,18.02,12.02,15.02,2.01,316.5,32.04,38.05,54.03,13.01,388.53,63.08,1.01,403.53,55.08,3.01,222.36,83.09,49.07,105.1,245.28,18.02,5.01,348.49,20.02,307.44,87.1,12.02
1100102-013,11,001,02-013,928.3,97.9,29.84,48.17,23.67,11.77,861.36,54.78,94.25,61.23,34.67,1010.4,90.52,8.3,976.97,103.25,24.72,644.43,113.14,129.3,203.49,603.22,41.26,21.08,906.58,45.31,795.83,179.93,31.81
1100102-014,11,001,02-014,1855,146,56,74,39,17,1628,102,202,127,75,1922,197,11,1837,222,59,1297,181,270,401,1067,76,21,1838,70,1587,368,48
1100102-015,11,001,02-015,2014.28,117.23,70.2,132.56,39.94,15.33,1797.3,92.95,233.24,148.9,70.58,2145.83,189.68,9.31,1994.66,244.4,68.28,1389.61,153.24,282.19,317.91,1303.04,67.59,21.63,2016.26,85.26,1767.85,412.51,47.86
1100102-016,11,001,02-016,2193,133,72,106,53,23,1943,93,224,144,108,2277,222,18,2147,259,83,1581,183,314,459,1304,76,37,2177,85,1933,386,62
1100102-017,11,001,02-017,2824.72,164.77,88.8,115.44,69.06,24.67,2530.7,144.05,238.76,214.1,116.42,2939.17,271.32,22.69,2778.34,324.6,94.72,2184.39,238.76,382.81,510.09,1404.96,117.41,46.37,2896.74,92.74,2571.15,480.49,63.14
1100102-018,11,001,02-018,2703,97,45,96,84,18,2301,108,247,194,149,2810,182,15,2694,216,76,2020,120,315,582,1214,98,41,2675,82,2503,385,39
1100102-019,11,001,02-019,2196,53,44,110,50,26,1775,67,284,191,120,2297,143,15,2121,212,83,1612,72,285,486,1091,98,33,2197,50,1951,403,30
1100102-020,11,001,02-020,608.16,6.58,8.23,14.81,13.17,3.29,545.62,11.52,49.38,32.92,13.17,612.28,32.92,1.65,589.23,46.09,9.05,530.8,14.81,67.48,159.65,166.24,23.87,9.88,605.69,12.34,564.54,71.6,5.76
1100102-021,11,001,02-021,669,23,9,14,15,9,554,13,61,51,36,672,46,3,635,57,25,528,31,72,144,308,26,10,647,14,595,97,16
1100102-022,11,001,02-022,2369,109,69,102,46,20,2036,93,233,163,129,2478,178,16,2295,256,91,1683,163,318,497,1377,86,30,2328,84,2070,414,55
1100102-023,11,001,02-023,1773,52,33,75,34,14,1494,70,177,130,86,1813,116,5,1698,162,68,1288,89,264,381,862,74,20,1715,52,1525,335,21
1100102-024,11,001,02-024,1800,68,48,100,39,6,1517,60,257,121,75,1890,121,10,1763,165,70,1258,95,282,384,1050,49,24,1784,53,1546,357,29
1100102-025,11,001,02-025,2721.38,137.06,79.15,173.13,77.69,28.53,2366.72,121.68,349.73,187.36,115.14,2933.2,221.28,12.23,2744.22,284.28,91.37,1742.78,178.74,383.79,574.3,1813.64,107.44,32.53,2656.75,113.37,2263.58,612.92,64.69
1100102-026,11,001,02-026,2029.7,131.1,63.16,114.83,59.33,17.23,1808.64,106.22,227.75,160.77,59.33,2187.6,189.48,6.7,2089.03,227.75,38.28,1365.57,180.86,295.7,455.51,1338.78,94.74,23.92,1991.42,73.69,1730.17,443.07,40.19
1100102-027,11,001,02-027,1655.41,118.31,39.44,103.52,52.26,25.63,1496.67,72.96,189.3,136.06,54.23,1786.54,145.92,10.85,1724.43,183.39,41.41,990.88,140.01,225.78,442.69,1213.71,57.19,15.78,1561.75,59.16,1342.87,366.77,50.28
1100102-028,11,001,02-028,1710,167,39,92,58,13,1563,100,193,125,51,1822,190,10,1780,216,42,1148,195,251,394,1032,77,21,1645,67,1451,380,37
1100102-029,11,001,02-029,902,61,21,52,27,12,804,33,108,70,29,965,79,4,918,110,14,611,76,155,186,572,25,13,892,31,751,211,16
1100102-030,11,001,02-030,832.62,78.23,18.63,49.36,47.5,13.04,773.94,35.39,94.07,76.37,28.87,923.89,78.23,8.38,906.19,86.61,26.08,493.61,91.27,108.04,224.45,660.32,24.21,15.83,781.39,54.95,746,154.6,31.67
1100102-031,11,001,02-031,1596.97,134.23,52.31,108.57,46.39,17.77,1492.35,73.04,171.74,121.4,54.29,1740.09,168.78,9.87,1685.8,196.41,34.55,975.16,161.87,214.18,366.18,1249.55,46.39,21.71,1511.1,67.12,1431.15,320.78,38.49
1100102-032,11,001,02-032,1813.47,142.02,35.75,94.35,46.68,25.82,1641.66,72.5,217.5,101.3,81.44,1960.46,142.02,17.88,1894.91,162.87,47.67,1105.36,159.9,220.48,431.02,1373.51,56.61,26.81,1709.19,60.58,1557.24,324.76,43.7
1100102-033,11,001,02-033,2022.75,105.56,44.78,114.06,67.03,23.52,1769.43,67.49,241.04,133.56,87.27,2162.52,146.95,13.26,2063.23,187.62,49.88,1227.92,150.98,276.57,470.96,1402.75,82.16,20.39,1882.77,72.22,1675.72,404.22,43.99
1100102-034,11,001,02-034,1814.46,103.12,41.12,96.8,31,13.29,1579.74,74.02,222.06,125.27,60.1,1896.7,144.25,8.86,1799.91,183.47,53.14,1240.64,127.8,290.39,387.82,1165.98,72.76,20.88,1785.35,49.98,1544.95,368.84,28.47
1100102-035,11,001,02-035,2325,65,46,171,44,20,1895,57,389,147,119,2474,140,11,2286,185,93,1533,90,347,434,1503,79,28,2266,75,1901,577,34
1100102-036,11,001,02-036,2272,71,43,99,56,9,1876,73,273,173,109,2358,132,6,2207,199,77,1714,98,361,536,1054,98,25,2265,54,1997,422,22
1100102-037,11,001,02-037,1843.84,32.42,37.77,89.19,33.83,18.71,1540.38,55.48,221.62,121.08,96.83,1910.72,111.08,9.35,1786.77,153.91,72.95,1418.2,62.19,271.52,467.35,830.76,76.13,19.12,1854.31,40.66,1639.46,324.4,19.24
1100102-038,11,001,02-038,1596,38,24,72,38,6,1292,47,189,114,100,1644,97,10,1542,112,69,1145,59,228,380,752,48,33,1582,35,1393,280,25
1100102-039,11,001,02-039,2167.01,45.69,41.96,164.11,41.03,19.58,1698.92,62.47,344.07,150.12,152.92,2280.77,141.73,11.19,2056.05,196.75,130.54,1403.34,74.6,423.33,391.63,1455.55,72.73,34.5,2098.94,72.73,1732.49,546.42,40.1
1100102-040,11,001,02-040,2143.6,64.32,40.98,171.3,46.17,13.95,1679.22,69.04,425.92,126.61,119.53,2272.76,133.44,9.3,2058.79,214.32,110.28,1301.22,98.53,446.7,355.62,1510.9,95.34,35.93,2072.96,59.36,1676.54,588.48,34.31
1100102-041,11,001,02-041,1884,52,31,122,49,12,1553,50,260,154,93,1978,120,5,1841,160,85,1391,84,318,339,958,67,22,1900,49,1659,376,24
