GEOID20,STATEFP,COUNTYFP,DISTRICT,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
1100102-001,11,001,02-001,2390,160,40,96,79,17,2154,115,190,181,111,2478,238,12,2389,267,55,1931,196,317,479,991,120,39,2474,69,2240,380,41
1100102-002,11,001,02-002,325.6,23.6,7.9,15.7,9.8,1,303,13.8,34.4,21.6,8.8,341.3,31.5,1,330.5,31.5,10.8,275.4,35.4,61,51.1,136.7,11.8,3.9,342.3,13.8,308.9,54.1,4.9
1100102-003,11,001,02-003,920,125.9,23.8,39.7,29.7,10.9,870.5,60.5,90.2,73.4,29.7,978.5,122.9,6.9,948.8,130.9,18.8,659.3,141.8,125.9,181.4,530.4,48.6,18.8,925,36.7,790.1,220.1,24.8
1100102-004,11,001,02-004,1172.4,143.1,43.7,56.5,25.5,14.6,1102.3,80.7,105.4,87.7,44.7,1236.8,163.5,16.5,1230.6,158.7,30.2,889,168.5,157.2,226.9,574.3,60.4,12.7,1207.5,45.8,1061.2,252.3,29.2
1100102-005,11,001,02-005,1405.4,208.3,62.6,67.1,47.9,16.5,1416.8,102,132.9,98.3,40.7,1499.8,219.1,15.6,1505.6,215.9,26.1,1009.9,245.2,198.8,293.4,773.3,63.2,21.5,1374.8,69.7,1229.3,285.4,59.1
1100102-006,11,001,02-006,1321,185,44,57,41,16,1311,91,111,94,40,1410,187,19,1416,181,28,954,222,184,248,651,37,14,1326,75,1190,264,49
1100102-007,11,001,02-007,843,116,29,31,21,1,824,66,76,46,12,884,126,6,885,122,12,584,133,119,248,425,40,9,825,51,736,169,35
1100102-008,11,001,02-008,1644,221,51,87,77,26,1716,100,137,96,40,1779,229,17,1793,218,38,1063,244,183,500,1016,71,11,1591,77,1449,332,57
1100102-009,11,001,02-009,935.4,185.7,31.3,35.6,33.2,14.2,982.3,58,74,84.8,18.3,1019.1,155.2,9.2,1030.3,141,23.6,624.9,209.4,116.5,272.7,549,40.6,11.1,913.5,43.1,852.9,169.6,36.9
1100102-010,11,001,02-010,1141,139.8,30.8,62.5,42.9,14,1135.4,61.5,94.2,90.4,19.6,1238.9,139.8,6.5,1227.7,151.9,16.8,779.3,172.5,147.3,292.7,672.1,43.8,8.4,1100,43.8,1004,220,28.9
1100102-011,11,001,02-011,2191,187,67,136,76,20,2026,125,250,161,66,2353,237,15,2313,247,52,1550,229,336,446,1270,97,21,2240,81,1931,505,50
1100102-012,11,001,02-012,353.5,67.1,18,12,15,2,316.5,32,38,54,13,388.5,63.1,1,403.5,55.1,3,222.4,83.1,49.1,105.1,245.3,18,5,348.5,20,307.4,87.1,12
1100102-013,11,001,02-013,928.3,97.9,29.8,48.2,23.7,11.8,861.4,54.8,94.2,61.2,34.7,1010.4,90.5,8.3,977,103.2,24.7,644.4,113.1,129.3,203.5,603.2,41.3,21.1,906.6,45.3,795.8,179.9,31.8
1100102-014,11,001,02-014,1855,146,56,74,39,17,1628,102,202,127,75,1922,197,11,1837,222,59,1297,181,270,401,1067,76,21,1838,70,1587,368,48
1100102-015,11,001,02-015,2014.3,117.2,70.2,132.6,39.9,15.3,1797.3,93,233.2,148.9,70.6,2145.8,189.7,9.3,1994.7,244.4,68.3,1389.6,153.2,282.2,317.9,1303,67.6,21.6,2016.3,85.3,1767.8,412.5,47.9
1100102-016,11,001,02-016,2193,133,72,106,53,23,1943,93,224,144,108,2277,222,18,2147,259,83,1581,183,314,459,1304,76,37,2177,85,1933,386,62
1100102-017,11,001,02-017,2824.7,164.8,88.8,115.4,69.1,24.7,2530.7,144.1,238.8,214.1,116.4,2939.2,271.3,22.7,2778.3,324.6,94.7,2184.4,238.8,382.8,510.1,1405,117.4,46.4,2896.7,92.7,2571.2,480.5,63.1
1100102-018,11,001,02-018,2703,97,45,96,84,18,2301,108,247,194,149,2810,182,15,2694,216,76,2020,120,315,582,1214,98,41,2675,82,2503,385,39
1100102-019,11,001,02-019,2196,53,44,110,50,26,1775,67,284,191,120,2297,143,15,2121,212,83,1612,72,285,486,1091,98,33,2197,50,1951,403,30
1100102-020,11,001,02-020,608.2,6.6,8.2,14.8,13.2,3.3,545.6,11.5,49.4,32.9,13.2,612.3,32.9,1.6,589.2,46.1,9.1,530.8,14.8,67.5,159.7,166.2,23.9,9.9,605.7,12.3,564.5,71.6,5.8
1100102-021,11,001,02-021,669,23,9,14,15,9,554,13,61,51,36,672,46,3,635,57,25,528,31,72,144,308,26,10,647,14,595,97,16
1100102-022,11,001,02-022,2369,109,69,102,46,20,2036,93,233,163,129,2478,178,16,2295,256,91,1683,163,318,497,1377,86,30,2328,84,2070,414,55
1100102-023,11,001,02-023,1773,52,33,75,34,14,1494,70,177,130,86,1813,116,5,1698,162,68,1288,89,264,381,862,74,20,1715,52,1525,335,21
1100102-024,11,001,02-024,1800,68,48,100,39,6,1517,60,257,121,75,1890,121,10,1763,165,70,1258,95,282,384,1050,49,24,1784,53,1546,357,29
1100102-025,11,001,02-025,2721.4,137.1,79.2,173.1,77.7,28.5,2366.7,121.7,349.7,187.4,115.1,2933.2,221.3,12.2,2744.2,284.3,91.4,1742.8,178.7,383.8,574.3,1813.6,107.4,32.5,2656.8,113.4,2263.6,612.9,64.7
1100102-026,11,001,02-026,2029.7,131.1,63.2,114.8,59.3,17.2,1808.6,106.2,227.8,160.8,59.3,2187.6,189.5,6.7,2089,227.8,38.3,1365.6,180.9,295.7,455.5,1338.8,94.7,23.9,1991.4,73.7,1730.2,443.1,40.2
