GEOID20,STATEFP,COUNTYFP,DISTRICT,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
1100102-027,11,001,02-027,1655.4,118.3,39.4,103.5,52.3,25.6,1496.7,73,189.3,136.1,54.2,1786.5,145.9,10.8,1724.4,183.4,41.4,990.9,140,225.8,442.7,1213.7,57.2,15.8,1561.8,59.2,1342.9,366.8,50.3
1100102-028,11,001,02-028,1710,167,39,92,58,13,1563,100,193,125,51,1822,190,10,1780,216,42,1148,195,251,394,1032,77,21,1645,67,1451,380,37
1100102-029,11,001,02-029,902,61,21,52,27,12,804,33,108,70,29,965,79,4,918,110,14,611,76,155,186,572,25,13,892,31,751,211,16
1100102-030,11,001,02-030,832.6,78.2,18.6,49.4,47.5,13,773.9,35.4,94.1,76.4,28.9,923.9,78.2,8.4,906.2,86.6,26.1,493.6,91.3,108,224.4,660.3,24.2,15.8,781.4,55,746,154.6,31.7
1100102-031,11,001,02-031,1597,134.2,52.3,108.6,46.4,17.8,1492.3,73,171.7,121.4,54.3,1740.1,168.8,9.9,1685.8,196.4,34.5,975.2,161.9,214.2,366.2,1249.6,46.4,21.7,1511.1,67.1,1431.2,320.8,38.5
1100102-032,11,001,02-032,1813.5,142,35.8,94.3,46.7,25.8,1641.7,72.5,217.5,101.3,81.4,1960.5,142,17.9,1894.9,162.9,47.7,1105.4,159.9,220.5,431,1373.5,56.6,26.8,1709.2,60.6,1557.2,324.8,43.7
1100102-033,11,001,02-033,2022.8,105.6,44.8,114.1,67,23.5,1769.4,67.5,241,133.6,87.3,2162.5,146.9,13.3,2063.2,187.6,49.9,1227.9,151,276.6,471,1402.8,82.2,20.4,1882.8,72.2,1675.7,404.2,44
1100102-034,11,001,02-034,1814.5,103.1,41.1,96.8,31,13.3,1579.7,74,222.1,125.3,60.1,1896.7,144.2,8.9,1799.9,183.5,53.1,1240.6,127.8,290.4,387.8,1166,72.8,20.9,1785.3,50,1545,368.8,28.5
1100102-035,11,001,02-035,2325,65,46,171,44,20,1895,57,389,147,119,2474,140,11,2286,185,93,1533,90,347,434,1503,79,28,2266,75,1901,577,34
1100102-036,11,001,02-036,2272,71,43,99,56,9,1876,73,273,173,109,2358,132,6,2207,199,77,1714,98,361,536,1054,98,25,2265,54,1997,422,22
1100102-037,11,001,02-037,1843.8,32.4,37.8,89.2,33.8,18.7,1540.4,55.5,221.6,121.1,96.8,1910.7,111.1,9.3,1786.8,153.9,73,1418.2,62.2,271.5,467.4,830.8,76.1,19.1,1854.3,40.7,1639.5,324.4,19.2
1100102-038,11,001,02-038,1596,38,24,72,38,6,1292,47,189,114,100,1644,97,10,1542,112,69,1145,59,228,380,752,48,33,1582,35,1393,280,25
1100102-039,11,001,02-039,2167,45.7,42,164.1,41,19.6,1698.9,62.5,344.1,150.1,152.9,2280.8,141.7,11.2,2056.1,196.8,130.5,1403.3,74.6,423.3,391.6,1455.6,72.7,34.5,2098.9,72.7,1732.5,546.4,40.1
1100102-040,11,001,02-040,2143.6,64.3,41,171.3,46.2,13.9,1679.2,69,425.9,126.6,119.5,2272.8,133.4,9.3,2058.8,214.3,110.3,1301.2,98.5,446.7,355.6,1510.9,95.3,35.9,2073,59.4,1676.5,588.5,34.3
1100102-041,11,001,02-041,1884,52,31,122,49,12,1553,50,260,154,93,1978,120,5,1841,160,85,1391,84,318,339,958,67,22,1900,49,1659,376,24
1100102-042,11,001,02-042,1040,22,25,55,19,7,849,34,133,60,65,1078,60,10,982,91,63,738,38,148,258,577,40,16,1012,23,858,218,15
1100102-043,11,001,02-043,1014.7,25.7,16.8,62.2,20.8,2,800.3,34.6,140.3,72.1,63.2,1062.1,52.4,8.9,956.4,88.9,52.4,755.8,29.6,163,244,500.9,42.5,24.7,1003.8,27.7,860.5,204.5,17.8
1100102-044,11,001,02-044,1349,61,14,32,42,8,1196,37,95,106,53,1358,84,9,1312,110,30,1190,82,151,384,307,80,22,1320,34,1278,136,15
1100102-045,11,001,02-045,1418,20,20,71,28,15,1141,25,196,90,81,1465,66,7,1347,103,73,1050,34,226,315,690,38,35,1347,49,1189,289,25
1100102-046,11,001,02-046,1573,20,22,84,40,13,1312,47,178,102,78,1634,75,7,1524,126,50,1247,47,212,338,743,44,25,1582,34,1405,253,25
1100102-047,11,001,02-047,1987.5,36.7,24.3,107,58.3,13.1,1567.9,38.6,301.4,153,106.7,2054.3,95.1,12.1,1912.2,161.6,91.6,1392.1,54.9,312.8,430,1093.3,72.7,33.2,1944.1,56.4,1636.7,426.6,43.2
1100102-048,11,001,02-048,1906.3,56.1,32.4,109.1,53.8,14.1,1664.7,50.6,221.7,115.6,93.4,2013.1,111.5,7.4,1892,159.7,67.3,1441.7,87,273.3,500.6,1020,77.4,25.3,1859.8,47.8,1649.2,365.6,28.4
1100102-049,11,001,02-049,532.3,7.3,7.2,31.8,7.2,1,405.7,8.4,86.7,39.9,36.8,540.9,30.6,2.1,499.6,36.1,30.6,367.2,10.4,100,114,298.1,21.5,10.3,513.2,20.3,437.4,120.5,7.2
1100102-050,11,001,02-050,1467.4,128.1,30,88.1,58,18,1387.2,69,150.2,78.1,55.1,1593.5,135.1,11,1562.4,140.1,34,993.8,145.1,226.2,384.3,964,61,23,1423.3,56,1247.2,308.2,41
1100102-051,11,001,02-051,2179.1,209.4,58.2,121.6,82.7,56.2,2132.2,90.2,242.1,113.6,75.7,2426.2,196.5,17.1,2353.2,228,53.5,1430.4,252.4,266.4,525.9,1686.8,76.7,41.2,2115.7,91.4,1904.6,429.1,75.2
1100102-052,11,001,02-052,845,58,15,32,32,11,773,29,89,52,34,902,58,6,873,80,24,564,72,110,205,613,23,14,770,39,710,143,31
1100102-053,11,001,02-053,699.6,27.1,11.2,37.2,20.5,9,639.2,16.5,71.7,39.5,24.9,735.8,40.5,5.1,690.4,58,28.2,554.2,33.2,164.3,211.6,277.8,24.5,10.2,685.2,23.1,632.6,120.8,8.2
1100102-054,11,001,02-054,1308,26,20,68,35,6,1090,21,171,82,62,1370,65,4,1299,92,32,1028,41,189,342,579,51,25,1305,26,1170,211,19
1100102-055,11,001,02-055,1250,32,25,54,28,9,1076,34,127,74,57,1286,72,12,1223,96,38,1017,53,175,319,466,49,20,1254,36,1161,163,24
1100102-056,11,001,02-056,1688,45,33,63,38,8,1441,45,174,125,64,1720,93,9,1643,141,42,1361,51,210,375,669,68,28,1692,44,1520,255,24
1100102-057,11,001,02-057,1324,29,18,47,47,8,1093,40,143,119,65,1374,60,2,1293,111,32,1079,31,182,340,482,62,16,1333,26,1214,214,8
1100102-058,11,001,02-058,1179,22,22,48,28,8,986,37,129,84,55,1222,54,2,1177,76,21,1017,32,178,337,395,64,14,1181,30,1075,164,14
1100102-059,11,001,02-059,1372,25,16,61,38,9,1155,33,148,110,54,1419,63,4,1346,104,38,1112,28,205,418,530,70,15,1385,27,1223,224,19
1100102-060,11,001,02-060,976,21,8,38,27,5,873,22,77,62,35,986,51,3,964,72,18,870,38,113,233,294,41,15,974,13,919,116,4
1100102-061,11,001,02-061,845.7,17.5,11.6,26.2,25.2,5.8,737.1,24.2,57.2,67.9,40.7,867,37.8,4.8,833.1,59.2,20.4,726.4,22.3,91.2,251.2,291,27.2,9.7,824.4,16.5,777.8,118.3,10.7
1100102-062,11,001,02-062,1989.9,50.6,24.8,86.4,91.3,26.8,1870.8,34.8,149.9,83.4,94.3,2151.8,76.5,11.9,2002.8,144,70.5,1611.6,63.5,197.6,698.1,954.2,98.3,32.8,1933.3,51.6,1783.4,297.9,33.8
1100102-063,11,001,02-063,2194,53,34,132,48,18,1832,45,284,148,120,2302,113,7,2139,171,97,1689,71,355,557,1176,86,38,2174,55,1861,476,17
1100102-064,11,001,02-064,1335,18,13,51,46,9,1151,21,131,84,54,1392,42,7,1319,100,25,1134,34,180,412,434,71,14,1316,30,1229,181,13
1100102-065,11,001,02-065,1569,17,16,47,39,6,1378,25,118,99,56,1573,66,5,1535,107,22,1385,25,151,435,389,71,17,1522,29,1467,174,10
1100102-066,11,001,02-066,2697,38,29,63,75,12,2298,55,208,201,110,2739,123,7,2633,192,44,2322,76,253,737,806,159,32,2648,40,2451,345,25
1100102-067,11,001,02-067,1666,37,25,46,71,15,1403,37,152,124,97,1696,85,12,1618,134,50,1422,65,195,492,615,94,32,1628,43,1525,217,22
1100102-068,11,001,02-068,1108.4,44.5,21.8,63.3,39.5,15.8,881,37.6,160.2,90,101.8,1180.6,81.1,7.9,1092.6,115.7,56.4,888.9,74.2,204.7,291.7,614,70.2,28.7,1115.3,47.5,944.3,257.1,22.7
1100102-069,11,001,02-069,1195,23,12,47,39,9,1022,24,115,79,64,1243,49,3,1184,84,27,1012,27,142,386,452,58,17,1191,24,1104,161,9
1100102-070,11,001,02-070,845,28,15,53,34,9,727,29,125,56,37,900,64,5,822,110,26,704,41,111,221,394,63,9,864,26,788,145,11
1100102-071,11,001,02-071,1291,28,10,39,30,7,1096,34,111,85,56,1316,52,11,1280,81,21,1149,39,116,369,347,51,20,1261,32,1197,156,11
1100102-072,11,001,02-072,1880,40,25,58,56,9,1597,65,151,144,73,1921,85,12,1844,140,30,1593,55,207,510,479,94,20,1848,44,1724,248,22
1100102-073,11,001,02-073,1164.6,42.5,22.2,63.7,35.5,9.2,935,44.4,169.8,93,59.2,1218.4,83.9,8.1,1122.4,122.3,49.6,850.1,55.8,161.3,300.3,620,45.8,14.3,1173.7,22.5,1026.7,225.9,18.3
1100102-074,11,001,02-074,2303,81,51,89,61,14,1894,85,252,182,138,2363,170,11,2224,213,74,1815,129,276,525,939,111,22,2271,63,2087,359,37
1100102-075,11,001,02-075,2182,71,58,111,51,10,1802,92,243,189,125,2236,186,11,2124,230,72,1727,105,290,530,902,113,36,2162,81,1976,384,39
1100102-076,11,001,02-076,660.7,18,12,29.9,15,8,547.9,26,69.9,60.9,29.9,672.7,51.9,3,659.7,53.9,14,561.9,24,104.8,161.7,220.6,30.9,14,678.7,16,612.8,108.8,6
1100102-077,11,001,02-077,1527,34,25,64,41,13,1305,49,154,110,62,1562,109,4,1503,133,26,1221,63,243,356,547,57,10,1531,43,1401,237,14
1100102-078,11,001,02-078,1271,18,18,40.1,36.1,3,1032.5,35.1,135.2,105.2,58.1,1286,65.2,3,1238.9,92.2,20,1108.6,30.1,182.4,299.8,292.7,49.1,10.1,1266,14.1,1193.8,151.3,5
1100102-079,11,001,02-079,851.5,15.1,8.2,24.3,21.4,4,712.2,17.4,63.5,56.7,59.5,853.2,49.7,6,835.9,52.1,14.2,750.7,22.2,116.1,222,194.9,41.5,8.2,838.2,19.2,794.8,101.3,9
1100102-080,11,001,02-080,777.7,33.9,24.9,31.9,15,15.9,652.1,46.9,81.8,66.8,33.9,789.7,74.8,6,772.7,81.8,18,636.1,51.9,107.7,182.5,299.1,37.9,11,755.8,41.9,702,121.6,32.9
1100102-081,11,001,02-081,2476,160,53,114,76,37,2047,103,313,233,151,2634,192,29,2518,232,80,1885,198,300,539,1219,110,42,2506,111,2218,459,77
1100102-082,11,001,02-082,1483,73,46,74,43,20,1274,67,165,136,83,1552,153,3,1465,183,48,1144,98,241,362,788,75,29,1517,54,1329,277,41
1100102-083,11,001,02-083,3744,272,97,164,102,40,3270,203,381,310,191,3931,394,30,3760,420,121,2867,339,506,867,1953,186,53,3849,169,3362,683,131
1100102-084,11,001,02-084,1297.7,171.5,44.6,74.5,55.8,28.5,1140.8,109.8,176.4,116.1,83.6,1408.5,206.2,24.3,1333.8,219.7,67.1,852.9,203.5,203.6,301.2,980.8,62.9,29.6,1290.5,99.5,1130.4,301.6,75.2
1100102-085,11,001,02-085,1787.3,254.5,45.4,107.5,55.2,34.5,1579.2,127.2,247.6,153.9,113.4,1990.5,232.8,22.7,1867.2,264.4,79.9,1222.1,251.5,261.4,373.8,1360.2,63.1,46.4,1776.5,110.5,1550.6,404.4,89.8
1100102-086,11,001,02-086,1383,100,35,72,41,24,1231,68,154,99,74,1473,137,8,1422,148,40,993,121,165,267,846,54,22,1349,70,1227,244,51
1100102-087,11,001,02-087,1536.3,127.1,33.1,69.1,52,31,1334.9,75.1,182.2,133.2,88.1,1645.3,160.2,4,1560.3,187.2,57,1122.9,132.2,208.3,340.5,871.9,67.1,27,1549.2,77.1,1370,304.4,53.1
1100102-088,11,001,02-088,1342,119,28,75,36,20,1130,69,196,91,73,1429,143,16,1381,153,45,821,135,188,293,1048,43,23,1249,74,1095,287,55
1100102-089,11,001,02-089,1719,267,45,95,51,44,1509,127,216,159,109,1857,255,34,1766,293,78,1009,290,224,366,1381,76,32,1647,112,1386,413,103
1100102-090,11,001,02-090,1002,115,33,63,33,22,881,62,146,92,57,1092,145,7,1050,160,35,671,130,133,229,751,47,23,1009,63,872,228,47
1100102-091,11,001,02-091,2585.2,197.4,68.5,134.7,78.9,42.7,2176.8,131,312.8,243.2,164.9,2757.3,263.4,16,2609.9,317.2,99.3,1810.4,261.2,351.2,495,1542.4,107.3,53.8,2596.4,107.7,2266.5,538.4,78.8
1100102-092,11,001,02-092,646.6,7,9.2,9.3,13.3,3,555.6,8.4,45.4,46.6,24.3,656,22.6,3,632.9,39.8,10,578.9,18,62.4,203.2,100,28.3,7.1,637.3,11.1,620.9,48,5
1100102-093,11,001,02-093,714.5,12,13,12,29,3,604.5,19,58,70,27,729.5,34,1,701.5,54,13,665.5,23,85,205.2,149.1,23,5,731.5,11,679.5,78,4
1100102-094,11,001,02-094,840,4,7,14,17,0,679,26,61,80,26,825,30,5,824,38,7,729,10,89,261,121,25,7,821,11,783,79,5
1100102-095,11,001,02-095,703,5,9,14,17,4,592,19,45,63,29,706,28,2,696,45,5,621,10,70,229,95,34,7,706,4,676,62,3
1100102-096,11,001,02-096,1027,7,11,16,20,4,848,24,84,74,33,1000,47,5,967,68,11,886,19,95,287,103,38,12,992,12,976,67,4
1100102-097,11,001,02-097,528,4,7,11,11,2,423,14,52,44,24,520,24,3,503,36,7,469,12,66,151,81,28,8,528,5,505,51,1
1100102-098,11,001,02-098,877,6,8,13,26,3,745,21,50,91,28,867,37,4,870,49,6,782,15,84,266,126,39,8,860,16,830,74,7
1100102-099,11,001,02-099,647,10,12,13,22,2,524,19,53,81,26,643,38,5,635,43,11,555,14,71,196,100,32,13,648,16,621,63,7
1100102-100,11,001,02-100,975.7,3,11.6,17.3,19.3,0,803.3,20.2,81,89.6,26.1,958.6,36.6,2,942,57,7.8,828.5,10.8,57.3,369.1,101.8,29.1,7.8,958.4,9.7,934.2,70.5,2
1100102-101,11,001,02-101,842,5,13,13,26,4,647,27,77,70,70,863,29,1,831,52,8,749,19,84,266,179,33,7,850,13,814,71,7
1100102-102,11,001,02-102,1046,15,10,12,20,2,868,23,67,84,45,1032,40,3,1031,51,8,941,23,95,283,154,32,10,1020,16,1004,64,10
1100102-103,11,001,02-103,1520.2,11.1,15,24,51.1,5,1224.5,46,117.3,153.3,67.2,1518.2,63.1,8,1517.1,76.2,11,1334.9,21.1,103.3,432.7,159.4,45.1,15.1,1489.1,24,1483.1,104.2,8
1100102-104,11,001,02-104,1323,19,10,16,31,6,1075,31,73,147,55,1317,48,4,1299,65,15,1169,33,104,370,154,48,17,1301,17,1272,90,7
1100102-105,11,001,02-105,1006,7,10,21,27,2,845,17,65,99,45,1022,26,3,1003,54,6,870,17,78,341,162,38,12,1023,11,982,71,5
1100102-106,11,001,02-106,1253,17,14,17,30,7,1076,29,87,100,44,1274,38,3,1253,59,18,1128,29,102,411,204,56,24,1244,21,1207,83,13
1100102-107,11,001,02-107,532.7,8.2,5.4,7.3,11.8,1.8,411.8,8.2,49.1,58.2,29.1,520.9,21.8,3.6,517.3,29.1,5.4,480,12.7,53.6,113.6,63.6,21.8,21.8,512.7,6.4,518.2,27.3,1.8
1100102-108,11,001,02-108,680,15.8,3.5,13.7,21.1,11.2,588.7,8.8,52.6,49.5,31.7,696.9,28,5.3,660.6,48.7,17.5,596.1,22.2,58,244.7,156,39,15.1,675.2,14.6,652.7,52.6,9.2
1100102-109,11,001,02-109,597,9,1,13,18,8,511,5,39,44,38,620,13,6,583,40,16,530,19,57,199,167,36,9,593,16,560,63,12
1100102-110,11,001,02-110,1964,24,7,35,54,5,1643,42,130,173,83,1960,58,9,1903,103,30,1607,50,143,609,441,113,24,1897,31,1825,188,15
1100102-111,11,001,02-111,1055.7,13,8,20.9,25.9,4,849.4,33.9,67.8,108.7,48.8,1039.8,50.8,5,1022.8,66.8,17.9,898.2,37.9,90.7,294.1,182.4,48.8,8,1034.8,20.9,1005.9,83.8,6
1100102-112,11,001,02-112,890,16,8,22,27,3,733,25,60,87,45,904,41,5,887,56,12,788,25,75,249,140,37,15,902,17,860,70,14
1100102-113,11,001,02-113,1136,16,13,31,34,8,959,24,93,89,54,1145,58,3,1105,97,10,973,29,92,359,249,101,7,1105,20,1074,114,5
1100102-114,11,001,02-114,1050.7,19.6,13.3,24,27.6,6.2,855.1,31.1,98.7,88,48.9,1059.6,47.1,7.1,1030.3,68.4,16,862.2,30.2,96,360,202.7,32,19.6,1044.5,18.7,977.8,123.6,14.2
1100102-115,11,001,02-115,810,6,11,10,20,1,649,29,69,79,21,799,34,3,789,40,10,699,10,88,227,105,27,13,794,10,773,61,1
1100102-116,11,001,02-116,1299,10,18,24,32,6,1021,33,101,165,58,1298,53,5,1305,53,5,1103,21,129,433,145,54,17,1303,15,1266,94,9
1100102-117,11,001,02-117,843,6,8,28,20,1,676,23,65,82,47,860,33,2,845,46,2,760,12,86,228,120,35,16,871,5,849,52,4
1100102-118,11,001,02-118,1020,7,14,25,24,8,837,26,76,107,43,1028,45,5,1024,50,12,899,19,92,348,124,33,18,1029,20,999,75,9
1100102-119,11,001,02-119,1032.3,20.5,16.7,26.1,34.6,7.8,833.9,42,91.7,114.5,47.3,1041.3,67.2,6.9,1023.6,83.9,12.1,880.1,40.9,123.6,335.6,173.4,44.2,13.5,1042.4,19.4,997.9,105,9.8
1100102-120,11,001,02-120,869,9,14,22,30,5,688,26,77,94,49,868,48,7,851,63,20,749,24,94,302,158,38,24,868,17,848,68,12
1100102-121,11,001,02-121,1358.5,11.9,25.6,25,21.1,6,1089.8,39.3,116.6,114.6,65.1,1346.4,55,7.5,1331.1,73.6,15.5,1200,23.2,131,410.9,173.2,38.1,17.8,1341.8,16.6,1293,111.4,7.7
1100102-122,11,001,02-122,604,5.7,4.9,12.3,18,5.7,488,14.7,42.5,58,41.7,597.5,24.5,3.3,595,34.3,9,532.9,13.1,50.7,179.8,97.3,18.8,10.6,594.2,9.8,576.2,51.5,4.1
1100102-123,11,001,02-123,989.7,23.7,10.9,16.8,25.7,7.9,827.4,15.9,86.1,90.1,40.6,1008.5,40.6,7.9,975.9,66.3,8.9,870.9,34.6,111.8,315.6,160.2,40.6,22.8,996.6,13.8,956.1,88.1,6.9
1100102-124,11,001,02-124,1139.5,11.6,13.6,25.9,29.2,6.4,957.2,31.2,80.9,95.5,51.8,1154.4,39,4.3,1127.7,60.9,15.6,1005.7,22.2,122.7,368.1,143.4,39.6,19.9,1127,21.7,1100.3,90.2,9.3
1100102-125,11,001,02-125,1425.2,9.3,20.5,25.1,30.7,5.6,1172.8,32.6,108,122,57.8,1412.2,50.3,4.7,1418.7,62.4,7.4,1181.2,12.1,128.6,476.9,169.5,53.1,15.8,1418.7,7.4,1382.4,96.9,3.7
1100102-126,11,001,02-126,1481.4,13.7,19.5,27.8,29.2,5.4,1209.1,35.4,123.8,147.8,53.2,1474.5,64.6,7.3,1461,74.5,11.5,1272.7,30.9,148.3,378.7,152.3,49.9,20.1,1485.9,15.5,1420.3,118,14.3
1100102-127,11,001,02-127,2351,115,57,127,87,15,2046,104,298,169,81,2475,198,11,2352,257,58,1838,155,372,592,1106,138,24,2366,80,2098,452,28
1100102-128,11,001,02-128,1424.4,70.2,27.1,75.1,49.1,8,1230.3,60.1,176.2,124.2,41.1,1480.6,143.3,10,1426.5,163.3,33.1,1140.9,97.3,196.4,340.5,651.3,66.1,29,1459.6,46.1,1287.2,260.5,25.1
1100102-129,11,001,02-129,1438.2,128.4,49.8,73.7,47.8,14.9,1345.5,78.6,123.5,117.5,55.7,1523.9,176.1,9,1456.2,203,46.7,1098.1,168.2,245.7,309.6,764.2,70.7,31.8,1511.9,56.7,1323.8,285.6,33.9
1100102-130,11,001,02-130,499,142,21,30,14,13,463,54,66,62,49,565,110,13,543,111,40,342,150,71,117,401,41,21,531,63,460,119,54
1100102-131,11,001,02-131,2204.8,344.6,63.5,75.3,67.1,36.3,2035.2,185,183.2,245.8,96.1,2322.7,354.6,39,2280.1,352.8,71.7,1719.6,411.8,225.8,478,1027.6,129.7,37.2,2284.6,162.3,2070.5,383.6,124.2
1100102-132,11,001,02-132,858,7,7,12.1,16.1,0,716.2,17.1,56.3,72.4,24.2,840,34.2,3,830.9,38.2,6.1,759.4,20.1,79.3,205.1,95.7,26.2,13,838.9,11.1,827.8,55.3,2
1100102-133,11,001,02-133,634,11,5,19,11,3,519,18,66,47,23,620,34,4,627,36,11,560,24,66,170,117,25,6,626,8,588,71,6
1100102-134,11,001,02-134,876,12,9,16,22,7,707,24,67,87,35,863,35,2,865,44,10,773,16,64,223,101,29,17,864,9,853,57,4
1100102-135,11,001,02-135,1691,53,38,102,44,14,1394,67,236,130,85,1777,115,14,1640,166,74,1293,74,235,383,847,75,20,1668,66,1489,326,29
