GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16017171004,16,017,171004,483.79,119.1,7.55,1,0.94,0,0,467.18,111.19,12.43,12.28
16017171006,16,017,171006,417.17,142.39,6.8,1.03,0,4.81,1.03,392.48,146.24,18.47,8.98
16017171007,16,017,171007,390.29,108.48,3.04,0.01,2.01,1.01,0,377.27,106.5,6.03,6.04
16017171008,16,017,171008,919.42,363.24,16.38,1.11,2.57,1.19,2.35,885.27,345.12,39.64,14.59
16017171009,16,017,171009,335.51,221.57,10.28,1.88,0.94,0.01,0.93,340.15,225.22,8.45,3.75
16017171010,16,017,171010,639.33,169.57,5.71,2.82,2.84,0.93,2.82,619.69,156.41,27.25,10.31
16017171011,16,017,171011,1369.05,201.68,15.06,6.01,1.02,4.01,3,1314.04,199.71,31.03,33.05
16017171013,16,017,171013,284.59,116.72,6.23,1.13,0.45,0.51,1.07,270.31,116.65,11.62,9.57
16017171014,16,017,171014,461.91,323.36,11.14,2.02,0,1.14,2.02,457.18,303.61,21.44,7.23
16017171015,16,017,171015,468.91,448.33,24.86,6,0,1.71,3.43,435.47,458.62,31.72,11.14
16017171016,16,017,171016,219.97,45.75,3.89,0.97,0.97,0.97,0,218.03,47.69,2.92,3.89
16017171017,16,017,171017,1247.75,745.22,40.7,4.81,5.93,4.45,1.99,1213.74,715.27,50.58,26.04
16017171018,16,017,171018,342.67,116.43,8.29,1.18,3.16,0.07,1.18,340.31,109.59,13.75,2.69
16017171020,16,017,171020,233.05,141.53,0.97,1.92,0.01,0,0,242.68,129.03,6.74,1.92
16017171021,16,017,171021,441.8,227.66,14.94,3.56,0,1.42,0.71,452.48,209.16,14.94,9.96
16017171022,16,017,171022,979.64,209.08,9.82,4.91,0.98,0.98,0.98,933.5,208.1,21.6,17.67
16017171023,16,017,171023,135.22,72.12,2.01,0.02,2.99,0,0,140.26,70.01,3.06,0.04
16017171024,16,017,171024,314.72,74.11,6.33,2.82,0.02,0.02,0.7,307.06,73.41,5.85,6.47
16017171026,16,017,171026,331.39,457.96,19.89,5.18,3.38,0.03,0.06,341.81,455.6,12.4,6.96
16017171029,16,017,171029,969,179,8,11,1,3,2,925,165,26,32
16017171030,16,017,171030,656.82,787.59,19.67,5.9,3.93,1.97,0.98,651.9,764.98,29.5,12.78
16017171031,16,017,171031,745,256,20,1,4,4,0,750,245,14,13
16017171032,16,017,171032,169.17,40.15,3.34,1.33,0.06,0,0.32,164.88,39.35,3.34,3.65
16017171033,16,017,171033,251.35,96.67,8.78,0.14,0.07,2,0.07,252.7,90.95,8.64,3.28
1601717127A,16,017,17127A,474.12,197.67,10.64,2,0.66,0.67,2,449.64,198.87,19.96,16.57
1601717127B,16,017,17127B,441.02,168.43,8.33,1.19,1.19,1.79,0.6,423.16,160.69,14.88,11.31
16017177005,16,017,177005,647.11,143.48,12.69,2.93,1.95,4.88,0,643.21,136.65,15.62,14.64
16017177012,16,017,177012,390,213,8,5,1,3,0,394,210,6,9
16017177019,16,017,177019,160.12,41.68,0.95,0.91,0,0.04,0.91,150.92,41.71,2.85,4.57
16017177025,16,017,177025,746.27,323.09,18.12,3.94,0.79,3.15,5.52,731.3,320.73,21.28,14.97
16017177028,16,017,177028,778.73,264.91,21.88,2.06,5.21,0.85,1.48,764.7,272.27,19.72,14.03
16019193001,16,019,193001,802.8,279.45,45.58,6.79,5.82,1.94,1.94,773.71,301.76,34.93,18.43
16019193013,16,019,193013,797.15,466.56,33.13,6.09,4.39,0.28,0.18,732.56,450.26,57.03,17.28
16019193021,16,019,193021,910.8,432.41,24.83,6.94,7.93,1.98,1.99,918.62,399.69,33.8,14.91
16019193022,16,019,193022,865.82,338.42,34.63,4.95,5.94,0,3.96,821.3,314.67,59.37,27.7
16019193025,16,019,193025,509,295,21,5,6,0,2,515,279,20,7
16019193027,16,019,193027,732,275.12,26.82,6.95,1.99,0,0,734.98,218.51,41.72,9.93
16019193028,16,019,193028,623.32,119.59,23.58,3.59,1.43,1.42,0,629.02,129.13,22.27,5.74
16019193037,16,019,193037,641.02,115.4,8.72,2.14,2.31,0.18,2.01,634.79,128.78,14.37,3.64
16019193038,16,019,193038,734.27,184.34,10.21,4.06,2.18,0.09,1.97,727.07,184.25,20.47,16.13
16019193039,16,019,193039,958.02,129.49,18.5,2.92,8.76,5.84,0,909.34,156.75,39.92,18.5
16019193040,16,019,193040,1063,421,47,3,2,4,2,997,432,74,13
16019193041,16,019,193041,860,124,10,8,2,0,0,826,110,25,13
16019193042,16,019,193042,755,156,28,9,5,2,5,705,170,37,16
16019193045,16,019,193045,1700.32,489.51,47.05,5.01,7.01,6,3.01,1652.25,491.48,83.09,26.04
16019193046,16,019,193046,1181,443,31,7,2,0,2,1092,400,54,28
16019193047,16,019,193047,837,238,43,5,9,4,0,803,239,38,23
16019193048,16,019,193048,763,274,35,5,0,4,0,738,233,36,13
16019193049,16,019,193049,708.16,377.55,38.95,4.99,2,7.99,0,675.2,359.57,53.94,15.98
16019193050,16,019,193050,1187.05,297.4,23.68,1.47,2.59,9.6,0.01,1151.3,273.42,65.12,21.39
16019193051,16,019,193051,716.46,186.34,9.96,1.99,1.99,1.99,1.99,704.51,176.38,10.96,12.95
16019193052,16,019,193052,1063,223,17,9,0,0,2,1024,187,45,6
16019193057,16,019,193057,597,173,12,2,4,2,0,588,183,25,3
16019193255,16,019,193255,500.94,154.14,18.78,0,2.81,0.01,0,456.75,176.62,20.73,10.33
16019193256,16,019,193256,47.07,23,0,0,0,0,0,45.07,21,2,0
16019193258,16,019,193258,925,135.44,3.1,6.96,4.99,5.97,0,921.69,122.79,28.03,4.06
16019193259,16,019,193259,1073.27,209.62,35.91,5.99,2,0.01,1,1068.28,177.68,42.92,10.98
16019193302,16,019,193302,656,437,28,9,5,0,3,637,414,75,10
16019193303,16,019,193303,447.24,280.79,20.43,6.21,5.18,5.06,0.06,444.33,222.49,39.1,15.58
16019193304,16,019,193304,609.79,361.88,21.99,2,4,2,8,607.79,321.89,28.99,12
16019193305,16,019,193305,641,379,52,9,0,2,3,596,423,43,21
16019193306,16,019,193306,623,240,17,7,2,0,0,614,229,25,15
16019193307,16,019,193307,576.99,537.76,49.1,6.01,9.01,5.01,2.01,531.96,503.73,63.1,18.03
16019193308,16,019,193308,628,276,28,4,2,4,5,637,264,32,15
16019193309,16,019,193309,758.49,492.18,32.83,5.62,8.42,3.72,4.68,692.99,479.91,67.46,16.02
16019193310,16,019,193310,646.69,257.82,13.7,3.43,4.28,1.71,0,616.71,234.69,39.4,10.28
16019193311,16,019,193311,644.92,533.85,45.26,4.04,4.07,4.03,2.04,591.4,541.76,57.53,13.12
16019193312,16,019,193312,627.68,346.08,27.17,6.57,0.51,4.11,0.14,594.46,330.79,44.65,11.6
16019193314,16,019,193314,386.44,296.45,39.91,3.99,2,2,2,372.48,286.46,38.92,11.98
16019193315,16,019,193315,639,354,9,9,0,2,0,608,372,32,13
16019193316,16,019,193316,522,265,22,6,4,0,5,527,274,25,8
16019193317,16,019,193317,710.89,368.67,28.38,5.13,5.06,0.05,0.1,648.36,434.67,39.64,13.09
16019193318,16,019,193318,659.73,309.67,31.74,10.57,4.8,3.85,7.69,614.54,391.32,51.94,7.69
16019193319,16,019,193319,735.39,261.93,22.82,0.3,3.13,0.11,2.21,723.16,239.29,26.38,15.17
16019193320,16,019,193320,760.09,351.57,34.19,5.29,0.38,3.14,7.99,719.52,348.49,62.39,8.92
16019193323,16,019,193323,716.72,286.11,14.7,4.9,8.8,3.91,0.01,703.99,282.2,31.36,14.73
16019193324,16,019,193324,645,230,21,4,2,0,0,667,203,14,5
16019193326,16,019,193326,814,353,19,16,4,0,0,794,331,38,6
16019193443,16,019,193443,841,134,21,2,2,5,4,811,137,41,15
16019193444,16,019,193444,821,117,17,0,4,1,2,776,127,31,8
16019193453,16,019,193453,662.65,162.52,19.09,5.01,7,0,0,655.64,147.44,25.11,10.03
16019193454,16,019,193454,471.03,58.4,5.17,0,0.18,0.99,0,452.36,55.91,15.17,2.65
16021211001,16,021,211001,538.41,199.19,6.42,2.26,6.02,1.55,0.04,528.74,177.82,16.29,8.05
16021211002,16,021,211002,202.92,70.37,2.54,0.83,1.98,0.69,0.06,198.54,63.25,6.18,3.47
16021211003,16,021,211003,609.72,100.79,11.97,0,0,2,0,614.71,102.78,5.99,9.98
16021211004,16,021,211004,1201.79,203.41,19.65,4.91,0,9.83,1.97,1142.83,202.43,40.29,40.29
16021211005,16,021,211005,865,257,8,7,4,13,5,816,272,30,26
16021211006,16,021,211006,927.12,247.96,16.4,0,0,1.93,1.93,898.18,234.46,21.22,22.19
16021211007,16,021,211007,591.32,141.12,17,0,4,0,5,600.31,159.11,11.01,5
16023233501,16,023,233501,364.28,66.99,5.84,2.47,0.79,3.26,0.9,342.07,78.67,14.48,8.18
16023233502,16,023,233502,257.67,50.6,1.51,1.22,1.07,0.29,0.07,232.93,63.62,8.24,3.58
16023233503,16,023,233503,175,8,0,0,0,0,0,170,10,5,1
16023233504,16,023,233504,431.93,64.91,3.67,1.34,0.44,1.35,1,399.03,75.36,12.93,16.39
16025252601,16,025,252601,266.38,70.45,5.01,1.01,2.01,2.01,1.01,264.29,70.49,7.06,7.04
16025252602,16,025,252602,224.13,73.39,1.86,1.85,0.93,0.93,0.93,208.38,79.89,9.26,6.48
16027271007,16,027,271007,339.06,273.05,13.43,2.05,2.04,1.05,6.04,303.22,293.3,19.62,11.37
16027271008,16,027,271008,620.58,342.51,23.53,3.89,0.97,2.94,0,588.11,349.41,31.38,21.52
16027271009,16,027,271009,851,542,26,5,9,2,8,781,557,50,31
16027271010,16,027,271010,672.99,546.37,41.88,3.99,4.99,2.99,3.99,646.08,587.25,21.93,13.96
16027271011,16,027,271011,327.01,221.63,8.12,1.01,3.01,1.01,3.01,289.92,226.75,27.07,13.04
16027271012,16,027,271012,1269.28,603.18,55.92,11.98,10.99,4.99,10.99,1191.39,661.11,67.91,30.96
16027271013,16,027,271013,898,447,22,10,7,2,3,890,452,35,7
16027271014,16,027,271014,847,498,25,9,3,5,4,812,499,40,17
16027271015,16,027,271015,582,466,27,4,3,3,4,558,467,40,15
16027271016,16,027,271016,2146,922,65,15,12,10,7,2025,978,85,56
16027271017,16,027,271017,852,443,26,4,2,3,8,824,448,37,16
16027271018,16,027,271018,754,380,18,7,2,4,2,699,400,31,19
16027271019,16,027,271019,670.83,468.35,17.23,6.06,5.04,1.03,6.01,602.39,499.4,26.41,21.21
16027271020,16,027,271020,447.06,98.07,8.83,0.04,0.01,0.98,0,428.6,102.91,12.73,5.95
16027271126,16,027,271126,1248.65,240.36,17.88,2.98,6.95,5.96,5.95,1212.88,251.29,27.82,20.86
16027271127,16,027,271127,1526.13,353.16,28.44,4.11,3.11,1.04,2.1,1483.64,364.02,32.77,30.3
16027271128,16,027,271128,835.59,230.06,29.88,1.99,2.99,2.99,2.99,805.72,233.05,38.84,17.93
16027271129,16,027,271129,1716.53,492.14,28.04,3.01,6,1,5,1692.44,481.2,51,23.06
16027271130,16,027,271130,1421.76,463.1,30.56,5.91,5.91,1.97,5.91,1397.07,458.2,39.42,19.74
16027271131,16,027,271131,1066,521,45,5,4,4,4,1010,533,49,31
16027271132,16,027,271132,859.37,214.37,8.01,3.98,2.01,1.02,1.03,821.46,219.45,26.92,14.99
16027271133,16,027,271133,588,146,10,3,1,0,1,575,146,12,7
16027271134,16,027,271134,523.59,121.86,11.06,3,0.02,2,2.01,504.47,123.95,12.12,15.02
16027271135,16,027,271135,1059.74,190.81,12.97,2.98,4.92,0.02,2.97,1024.97,193.96,31.76,10.95
16027271136,16,027,271136,772.58,287.32,19.84,10.62,4.54,1.95,5.63,720.59,321.09,32.56,16.8
16027271137,16,027,271137,995.07,202.44,13.03,7.02,3,1,2.01,952.99,204.48,27.05,16.02
16027271138,16,027,271138,533.16,78.75,4.08,0.05,0.03,0.01,1.03,492.83,98.3,11.12,8.9
16027271139,16,027,271139,1103.26,257.26,14.84,4.95,4.95,1.98,4.95,1069.62,268.15,25.73,21.77
16027271140,16,027,271140,1381,425,27,8,5,6,4,1366,413,38,28
16027271141,16,027,271141,1137.05,377.41,35.13,3.92,9.74,2.93,4.86,1088.12,401.71,35.22,31.34
16027271142,16,027,271142,1391.77,366.83,24.94,2,2,4.98,2,1396.69,363.83,25.98,17.96
16027271143,16,027,271143,534.27,156.78,9.36,2.15,1.28,1.14,0.15,510.77,155.58,16.39,17.06
16027271144,16,027,271144,222.19,80.49,8.67,0.98,1.93,0.97,0.02,209.61,86.27,14.45,5.84
16027271249,16,027,271249,1109.17,543.65,36.77,8.94,6.96,4.97,0.99,1037.61,552.6,66.59,33.79
16027271250,16,027,271250,627.65,291.51,22.81,4.96,2.97,3.97,2.97,602.86,297.46,30.74,10.91
16027271251,16,027,271251,1229,481,35,5,5,4,2,1181,480,64,30
16027271252,16,027,271252,1175,548,53,11,2,4,3,1147,557,49,25
16027271253,16,027,271253,1612,614,54,5,11,4,4,1547,610,71,43
16027271254,16,027,271254,1177,529,36,7,5,4,2,1092,551,60,31
16027271255,16,027,271255,811,373,15,1,4,3,2,794,359,28,14
16027271256,16,027,271256,732,354,17,5,0,5,1,685,361,39,22
16027271257,16,027,271257,810.35,582.49,27.19,5.04,12.03,4.03,7.03,735.14,624.54,42.26,30.09
16027271258,16,027,271258,1101,320,23,6,5,1,2,1056,345,32,15
16027271259,16,027,271259,1226.51,580.46,35.78,6.96,6.96,7.95,2.98,1161.9,618.22,55.66,18.88
16027271260,16,027,271260,771.49,490.54,28.22,3.04,9.04,5.05,6.02,708.1,505.78,37.34,27.12
16027271261,16,027,271261,692,486,25,5,5,2,3,620,519,45,26
16027271262,16,027,271262,974,554,29,7,7,5,7,931,565,46,33
16027271369,16,027,271369,633,477,38,6,4,4,0,585,495,49,22
16027271370,16,027,271370,807,367,31,5,3,2,3,758,389,48,19
16027271371,16,027,271371,820,377,12,4,4,1,3,800,376,27,13
16027271372,16,027,271372,838.69,423.84,19.99,7,10,3,0,818.69,426.84,36.99,21.99
16027271373,16,027,271373,792,605,55,11,7,2,5,718,645,54,39
16027271374,16,027,271374,1933,737,40,7,13,8,8,1914,717,59,30
16027271375,16,027,271375,938.31,422.16,33.01,2,6,3,2,894.31,411.16,53.01,31.01
16027271376,16,027,271376,959.15,728.6,48.04,10.01,6.01,4,6,887.08,757.62,64.06,31.03
16027271377,16,027,271377,1025.82,383.58,22.5,9.15,4.19,0.07,4.11,987.17,400.86,50,14.39
16027271378,16,027,271378,998.85,549.4,34.96,4.99,5.99,4,4,938.92,568.38,55.94,25.97
16027271379,16,027,271379,1132.43,454.79,24.72,5.07,1.17,5.19,6.1,1123.96,427.16,44.33,24.53
16027271380,16,027,271380,1273.57,518.21,29.28,2.93,6.83,7.81,3.9,1214.04,532.84,53.67,21.47
16027271381,16,027,271381,1206.18,506.42,26.5,7.85,9.81,3.93,5.89,1171.83,521.14,53,20.61
