GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16035357014,16,035,357014,131,42,2,1,0,0,0,122,51,1,7
16037378001,16,037,378001,357.57,41.65,1.94,1.96,1.96,0.05,0.03,345.58,28.06,8.98,11.74
16037378002,16,037,378002,271.3,33.78,5.06,0.13,0.1,0,0,246.8,47.05,5.37,5.64
16037378003,16,037,378003,331.73,40.28,1.76,0.87,2.58,0.01,0.01,301.24,68.76,17.33,4.5
16037378004,16,037,378004,173.01,109.58,1.87,1.04,0.04,0,0,168.04,80.29,10.41,5.07
16037378005,16,037,378005,122.72,15.82,0.01,0.01,0.98,0,0,123.39,12.32,0.16,1.98
16037378006,16,037,378006,173.51,69.67,4.03,0.01,0.04,3,0,177,65.14,4.29,2.07
16037378007,16,037,378007,204.41,46.53,2.02,3.01,0.03,0,0,198,47.92,9.23,0.06
16037378008,16,037,378008,74.92,127.92,0.1,2.83,0.93,0,0,67.26,119.88,3.33,10.44
16037378009,16,037,378009,339.95,110.42,0.03,1.98,2.96,2.95,1.97,314.24,123.18,12.84,10.89
16039392301,16,039,392301,55.5,49.26,0.1,0,0,0,0,57.07,46.52,0,0.4
16039392303,16,039,392303,166.21,17.83,0.14,1.99,0.07,0.03,0.04,168.85,21.9,2.27,3.11
16039392304,16,039,392304,1200.26,362.18,13.07,4.06,6,6.01,0.03,1169.04,392.28,39.07,37.23
16039392305,16,039,392305,226.78,80.02,8,0,0,6,16.97,195.8,114.99,9.03,5.99
16039392306,16,039,392306,268.75,68.44,4.96,6.94,0,0,0,258.84,69.43,6.94,17.85
16039392307,16,039,392307,94.97,33.34,5.29,0.03,0.02,0.04,0.02,84.05,37.11,7.27,0.25
16039392308,16,039,392308,407.61,218.13,24.01,7,7.01,0,0,362.58,215.14,35.02,9.01
16039392309,16,039,392309,613.27,375.52,20.61,2.12,7.19,0,0,562.47,361.57,33.12,12.74
16039392310,16,039,392310,528,202,24,2,0,6,0,452,245,21,18
16039392311,16,039,392311,435,180,3,5,3,0,0,413,175,16,15
16039392312,16,039,392312,615,127,16,4,7,0,0,586,155,28,28
16039392313,16,039,392313,365,111,13,0,6,0,0,340,135,21,0
16039392314,16,039,392314,415.32,110.55,23.9,0,0,0,8.96,400.38,134.45,24.9,5.98
16039392315,16,039,392315,845,329,42,7,0,0,8,782,346,57,15
16039392316,16,039,392316,593.73,219.48,24.39,1.88,2.81,0,0,566.53,235.43,16.88,11.26
16039392317,16,039,392317,215.4,63.98,0.01,0,0,0,0,209.41,69.94,0,0.04
16039392318,16,039,392318,212.67,61.34,2.95,0,0,0,0.04,201.22,67.14,0.13,11.34
16041413201,16,041,413201,451,72,5,2,0,3,0,449,67,19,6
16041413202,16,041,413202,451,65,9,3,0,2,2,435,61,19,8
16041413203,16,041,413203,353.44,32.68,12.06,0.03,3.43,0,0,336.25,26.63,15.49,10.34
16041413204,16,041,413204,376,76,5,0,8,3,2,364,74,15,8
16041413205,16,041,413205,383.56,53.03,5.01,2,0,2,0,368.53,44.03,11.03,12.01
16041413206,16,041,413206,108.7,5.44,2.99,1.97,0,0,0,106.47,2.4,3.05,3.05
16041413207,16,041,413207,273,17,8,0,4,3,0,273,21,10,6
16041413208,16,041,413208,421.33,48.12,4.97,0.01,0.57,0.01,0,397.65,40.2,10.52,9.66
16041413209,16,041,413209,381.67,51.72,2.84,0.94,1.88,0.01,0,385.35,47.01,8.52,2.87
16041413210,16,041,413210,644,64,5,0,2,9,2,613,53,35,22
16041413211,16,041,413211,254,17,10,0,2,2,1,243,17,9,13
16041413212,16,041,413212,208.19,14.78,2.3,0,2.16,0,0,200,17.53,7.85,4.66
16041413213,16,041,413213,172.87,39.2,0,1.02,2.05,0,0,161.58,39.24,8.18,5.12
16041413214,16,041,413214,248.45,12.59,2.69,0,0.02,0,0,233.23,15.29,11.64,4.49
16041413215,16,041,413215,534.66,22.15,5.12,0.06,0.12,1.98,0,519.09,17.89,15.37,12.04
16041413216,16,041,413216,348,38,5,0,2,1,0,353,25,11,4
16041413217,16,041,413217,257,31,2,1,0,1,0,262,19,8,3
16043433501,16,043,433501,336.76,68.61,6.77,2.04,1.98,0,0.04,330.52,56.03,17.9,4.95
16043433502,16,043,433502,468.97,80.25,0.72,5.14,2.18,0.02,1.97,451.38,77.76,22.95,5.61
16043433503,16,043,433503,606.51,103.88,7.72,1.51,6.22,0,0,584.63,119.13,17.83,7.8
16043433504,16,043,433504,151.56,25.05,1.26,0.38,0.32,0,0,148.7,24.31,3.75,1.1
16043433505,16,043,433505,519.04,53.59,10.92,1.98,0,0,1.98,498.2,48.63,16.87,20.84
16043433506,16,043,433506,400.05,145.99,7.02,2.99,2.99,2.98,1.99,391.91,140.97,15.12,6.02
16043433507,16,043,433507,186.25,21.68,0.85,0.01,0.01,0.03,0.02,177.55,18.57,8.75,3.23
16043433508,16,043,433508,367.73,36.74,6.8,5.13,3.55,2,0.15,373.75,30.1,9.03,7.79
16043433510,16,043,433510,474.96,83.6,8.51,2.55,0.84,0.01,0,459.71,98.73,12.76,9.32
16043433511,16,043,433511,387.82,128.74,10.83,3.75,0.52,2.24,0,379.92,120.76,15.06,6.99
16043433512,16,043,433512,450.71,118.51,10.69,0,2.91,1.94,1.94,419.63,117.54,33.03,13.6
16043433513,16,043,433513,356.17,54.24,4.06,4.99,1,2.03,4.01,338.21,69.25,17.02,8.06
16043433514,16,043,433514,199.76,26,1.37,0.46,0.46,0,0,195.65,24.63,5.02,1.37
16043433515,16,043,433515,647.81,57.17,10.7,0.09,1.01,4.75,1.89,647.51,60.92,10,12.28
16045458001,16,045,458001,534,188,13,3,4,0,3,481,206,28,11
16045458002,16,045,458002,517.12,185.71,20.9,3.05,2.19,0.35,2.94,487.81,199.52,21.6,11.19
16045458003,16,045,458003,607,152,3,2,4,0,0,548,200,20,10
16045458004,16,045,458004,612,196,9,6,8,0,5,546,248,41,15
16045458005,16,045,458005,857.37,143.1,12.84,2.96,0,2.95,1.97,836.44,135.32,29.65,11.93
16045458006,16,045,458006,842,217,20.48,3.69,2.23,2.99,0.01,806.03,235.23,36.59,10.62
16045458007,16,045,458007,506.36,152.93,11.04,5.1,1.7,0,0,514,140.18,11.89,4.25
16045458008,16,045,458008,876.54,151.92,5,0,0,5,0,834.56,148.92,24.99,9.99
16045458009,16,045,458009,764.09,79.98,9.16,2.04,0,0.05,0.03,718,93.76,23.36,21.08
16045458010,16,045,458010,498.57,75.39,3,0.93,1.8,2.65,0.05,491.02,76.51,8.3,10.76
16045458011,16,045,458011,640.24,91.39,8.15,0.02,0.02,0.01,0.02,611,103.51,7.19,13.08
16045458012,16,045,458012,555.72,128.24,4.97,0.99,0,0,1.99,539.81,129.24,10.94,11.93
16045458013,16,045,458013,155.27,44.24,0.09,0.01,0.01,0.02,0.19,145.53,44.64,5.29,0.24
16047472601,16,047,472601,337.97,134.32,9.24,3.85,1.92,0.77,1.16,319.88,150.48,14.24,7.31
16047472602,16,047,472602,455.45,180.75,12.43,5.18,2.59,1.04,1.56,431.11,202.47,19.19,9.84
16047472603,16,047,472603,1169.61,249.24,19.17,4.94,2.47,6.14,6.22,1138.22,255.35,45.23,13.76
16047472604,16,047,472604,644,215.75,13.24,4.73,5.67,1.9,0,603.31,231.82,30.29,7.58
16047472605,16,047,472605,726.68,153.34,4.65,1.24,1.3,3.01,0.02,694.16,156.26,27.97,11.13
16047472606,16,047,472606,247.57,94.58,2.14,1.99,1,2,0.09,240.82,96.7,9.5,7.11
16047472607,16,047,472607,1055.13,222.85,5.98,1.01,1.01,1.03,3.94,992.76,236.68,38.73,18.87
16049497001,16,049,497001,144.47,50.81,0,0,0,0,0,142.48,40.85,0,0
16049497002,16,049,497002,228.92,22.97,0,0,2.3,3.83,0,214.38,37.52,3.06,5.36
16049497003,16,049,497003,331.86,29.9,6.98,0,0,0,0,328.87,33.88,3.99,2.99
16049497004,16,049,497004,296.97,57.26,6.79,2.91,5.82,0,2.91,282.41,65.99,5.82,2.91
16049497005,16,049,497005,198.44,31.51,0.09,0,0,0,0,201.49,20.12,2.13,0.03
16049497006,16,049,497006,147,21,5,0,3,0,0,148,19,6,0
16049497007,16,049,497007,214.86,35.1,2,3,0,2,0,222.77,19.97,0.09,2
16049497008,16,049,497008,188.03,39.74,2.21,0.09,0.18,5,0.09,191.59,32.01,0.18,2.09
16049497009,16,049,497009,210.33,27.5,8.9,2.43,0,0,0,210.33,17.8,9.71,5.66
16049497010,16,049,497010,358,46,9,3,3,2,2,352,45,19,5
16049497011,16,049,497011,362,46,7,0,0,0,0,355,53,12,3
16049497012,16,049,497012,281.4,44.89,4.75,1.86,2.78,0,0,292.48,29.65,7.9,1.87
16049497013,16,049,497013,425.75,104.45,12.93,1.99,2.98,0,0,405.85,108.43,15.92,6.96
16049497014,16,049,497014,443.9,53.66,8.78,0,0,0,4.88,444.88,47.8,15.61,4.88
16049497015,16,049,497015,202.74,31.29,2.22,0,2.99,0,0.12,195.78,27.15,6.38,7.11
16049497016,16,049,497016,23.76,19.22,1.17,0,0,0,0,24.21,21.37,0.13,0
16049497017,16,049,497017,749.34,217.82,4.97,1.95,4.67,0,0,719.42,232.46,11.54,9.54
16049497018,16,049,497018,147.7,31.69,0.62,0,0,0,0,146.21,30.17,1.86,0
16049497019,16,049,497019,1035.83,168.16,4.02,5.01,3.72,8.17,0,981.24,185.64,31.99,16.68
16049497020,16,049,497020,74.62,100.49,3.98,0,0,0,0,80.59,82.58,1.99,2.98
16049497021,16,049,497021,358.76,38.88,2.05,0.01,3,0.02,2.02,322.5,72.06,16.07,5.07
16049497022,16,049,497022,388.23,71.76,4.98,0,0,1.98,1.98,361.45,93.48,5.99,8.93
16049497023,16,049,497023,127.28,40.04,2.39,0,0,0,0,131.99,30.3,3.08,0.13
16049497024,16,049,497024,247,25,4,0,0,0,0,247,26,2,0
16049497025,16,049,497025,243.33,45.36,2.23,0.15,0.24,0,0,243.18,36.12,9.68,0.19
16049497026,16,049,497026,213.42,43.05,1.93,0,0,1.93,0,197.85,36.51,9.82,8.67
16049497027,16,049,497027,108.5,95.74,6.61,0,0,0,0,110.72,67.46,11.22,1.85
16051513501,16,051,513501,400.47,86.67,25.9,1.99,0,0,0,405.45,77.7,23.91,5.98
16051513502,16,051,513502,349.25,79.5,16.09,0,0,3.79,3.79,345.46,81.4,11.36,2.84
16051513503,16,051,513503,2193.59,224.58,52.88,6.01,11.95,9.98,2,2181.64,211.72,57.89,39.86
16051513504,16,051,513504,779.86,137.18,7.95,4.31,4.32,0.02,3.52,730.21,133.67,46.15,20.02
16051513505,16,051,513505,707.68,84.24,15.23,0.44,1.53,1.97,5.83,663.57,81.53,38.74,16.3
16051513506,16,051,513506,1082.03,95.87,29.57,2.04,0.09,3.9,0,1040.3,114.23,29.25,24.71
16051513507,16,051,513507,940.01,128.45,18.5,4.86,4.87,0,0,895.27,119.76,54.51,19.46
16051513508,16,051,513508,614.36,66.42,12.87,3.67,0.14,3.7,1.79,613.7,74.91,12.37,9.09
16051513509,16,051,513509,286.03,48.25,3.44,2.11,0.01,4.26,0.3,265.53,43.97,10.91,7.34
16051513510,16,051,513510,275.1,40.1,4.06,0.04,0.04,0,2.03,273.67,32.09,12.37,1.17
16051513511,16,051,513511,750.53,75.07,12.43,1.82,4.5,1.87,0.43,696.17,108.63,32.57,15.19
16051513512,16,051,513512,261.27,29.58,1.97,1.97,0.99,3.94,1.97,224.79,33.52,18.73,14.79
16051513513,16,051,513513,324.74,24.42,6.03,0.03,0.01,0.06,0.03,324.22,26.48,12.27,1.21
16051513514,16,051,513514,639.33,113.25,6.99,9.18,0.39,5.14,2,597.74,140.8,29.55,10.44
16051513515,16,051,513515,481.25,119.99,1.95,1.95,0.97,0,0,464.66,107.31,4.89,13.66
16051513516,16,051,513516,665,108,13,0,1,0,0,651,84,30,13
16051513517,16,051,513517,1310.22,193.98,22.45,3.25,10.25,11,2.2,1291.34,169.78,54.68,20.16
16053532501,16,053,532501,773.44,146.4,20.97,5,9.98,2.99,0,744.36,151.46,33.01,28.96
16053532502,16,053,532502,496.71,125.89,5.17,3.04,0.06,1.01,0.09,473.59,136.04,20.14,9.18
16053532503,16,053,532503,383.84,53.82,6.02,2.93,0.36,0.05,1.9,384.23,62.15,9.24,5.61
16053532504,16,053,532504,1137.95,228.79,16.93,5.1,2.92,2,5.01,1065.37,283.75,44.83,16.92
16053532505,16,053,532505,549.45,226.23,5.72,1.91,6.65,0.95,0.01,507.67,235.76,12.38,16.17
16053532506,16,053,532506,591.43,293.96,11.44,3.35,0,1.33,0.02,587.33,277.37,31.93,6.96
16053532507,16,053,532507,660.74,258.04,7.82,1.95,0,0.98,0,600.14,259.99,38.12,8.8
16053532508,16,053,532508,260.21,170.31,5.76,4.71,0,4.69,0,257.18,161,12.87,13.25
16053532509,16,053,532509,455.69,189.05,10.03,2.01,0,0,0,429.45,197.06,24.16,2.04
16053532510,16,053,532510,410,201,10,5,3,3,3,387,212,22,3
16055552001,16,055,552001,1110.69,252.1,25.01,5,5,1,5,1065.66,232.1,48.02,22.02
16055552002,16,055,552002,1439,208,15,3,2,4,0,1401,199,28,24
16055552003,16,055,552003,1356.18,230.26,21.02,2.01,4,6.01,1,1294.17,235.25,30.03,24.03
16055552004,16,055,552004,892,253.74,11.12,1.05,3.01,0.11,0.01,869.19,239.82,23.96,15.13
16055552005,16,055,552005,1437.9,415.61,27.36,2.03,5.11,4.03,2.01,1426,362.19,56.57,22.5
16055552006,16,055,552006,1811.91,310.84,28.53,3.93,4.92,0,2.95,1748.95,293.13,55.09,35.41
16055552007,16,055,552007,1575.1,411.39,31.64,2.97,8.89,2.97,0.99,1503,371.81,51.43,41.5
16055552012,16,055,552012,648,136,7,2,3,2,2,602,134,18,24
16055552013,16,055,552013,532.77,151.72,8.75,1.11,1.15,0.04,0.08,529.97,135.99,19.2,7.67
16055552014,16,055,552014,1236.87,333.05,23.19,3.02,1.02,2.04,0.01,1217.72,308.82,42.32,17.19
16055552015,16,055,552015,1229.13,422.95,25.81,2.98,2.98,5.96,1.99,1208.28,391.18,43.68,26.81
16055552016,16,055,552016,1240,466,18,10,5,0,5,1250,419,45,9
16055552017,16,055,552017,628,278,17,5,3,3,2,623,254,34,15
16055552018,16,055,552018,1591,471,48,12,3,2,3,1554,440,94,22
16055552019,16,055,552019,926.73,349.26,26.26,2.05,6.06,4.04,1.03,928.03,332.82,31.25,19.06
16055552020,16,055,552020,1333,515,22,7,3,7,2,1326,466,50,26
16055552021,16,055,552021,684.76,299.73,25.04,6.01,2.01,0.01,3,677.81,288.67,31.03,13.01
16055552022,16,055,552022,989.82,409.17,20.46,3.9,4.87,2.92,1.95,1013.19,375.08,19.49,4.87
16055552041,16,055,552041,857,332,11,0,3,1,3,876,297,16,13
16055552061,16,055,552061,1263.13,460.14,24.15,1.03,4.04,1,2,1239.81,442.99,36.26,16.22
16055552067,16,055,552067,394.2,142.71,4.99,1,0,1,0,397.19,128.74,8.98,3.99
16055552068,16,055,552068,623.41,212.08,10.14,5.88,1.16,0.01,1.04,589.47,217.86,18.11,10.55
16055552070,16,055,552070,459.51,131.62,4.99,1,1,1,0,444.55,138.59,5.99,8.97
16055553008,16,055,553008,2323,611,32,7,4,2,4,2187,587,85,43
16055553009,16,055,553009,1674,421,27,3,1,3,4,1632,396,51,13
16055553010,16,055,553010,928,235,24,4,6,3,2,889,218,45,24
16055553011,16,055,553011,998,261,43,3,1,2,3,959,257,55,21
16055553023,16,055,553023,934.03,327.43,32.78,1.98,3.89,2.9,0.01,902.1,307.14,54.05,22.27
16055553024,16,055,553024,565,232,23,0,2,2,0,544,236,22,14
16055553025,16,055,553025,1275.87,505.22,54.27,6.1,4.08,3.04,1.02,1215.9,488.99,55.55,27.34
16055553026,16,055,553026,536,218,13,1,0,0,3,504,202,22,11
16055553027,16,055,553027,1090,379,31,3,2,3,3,1051,343,57,23
16055553028,16,055,553028,2060,614,55,8,5,6,6,2000,571,85,52
16055553029,16,055,553029,558,209,29,2,3,1,1,521,212,37,23
16055553030,16,055,553030,1132,396,29,9,3,2,2,1066,368,55,31
16055553031,16,055,553031,386.96,143.97,14.56,2.2,2.04,0.16,1.11,369.2,149.3,14.14,7.61
16055553032,16,055,553032,775.66,300.72,24.33,8.76,1.95,6.81,4.86,742.57,272.52,48.65,26.27
16055553033,16,055,553033,470.41,181.5,15.03,3,1.01,2.01,0,444.37,172.47,20.06,12.03
16055553034,16,055,553034,965.86,349.95,29,5,0,3,0,958.86,318.95,41.99,16
16055553035,16,055,553035,544.73,193.55,9.98,1,1.99,2,1,527.77,182.57,23.94,10.97
16055553036,16,055,553036,641.1,147.03,12,4,0,0,1,610.1,140.03,21,9
16055553063,16,055,553063,1064.93,249.08,13.69,4.81,3.94,2.03,0.97,975.54,237.74,26.89,16.07
16055553064,16,055,553064,545.67,148.91,18.99,1,0,2,2,540.67,143.91,10.99,8
16055553065,16,055,553065,695.31,267.17,9.02,3.01,5.93,1.99,2.95,697.77,250.36,16.07,11.99
16055553066,16,055,553066,776.2,262.7,9.19,5.07,1.06,1.03,1.01,791.8,242.54,20.39,10.24
16055553069,16,055,553069,679,345,16,3,1,1,1,676,339,17,11
16055554037,16,055,554037,1299.96,397,30,5,4,1,3,1289.96,358,48,20
16055554038,16,055,554038,793.07,467.03,24,3,6,6,2,806.07,444.03,27,14
16055554039,16,055,554039,1798.87,783.94,52,5,6,6,2,1807.87,733.95,60,27
16055554040,16,055,554040,1300,660,56,6,2,6,3,1299,608,55,27
16055554042,16,055,554042,859,499,18,4,2,1,3,853,473,32,16
16055554043,16,055,554043,876.88,452.08,30.12,1.03,0.05,2.02,1.03,871.87,423.87,32.24,12.12
16055554044,16,055,554044,1041,546,42,7,4,6,0,1020,527,48,25
16055554045,16,055,554045,871,459,28,3,2,1,2,844,433,40,21
16055554046,16,055,554046,910,451,25,5,6,2,0,887,434,46,18
16055554047,16,055,554047,1099,551,27,3,3,0,2,1114,500,44,9
16055554048,16,055,554048,445,271,9,7,0,1,0,417,250,31,12
16055554049,16,055,554049,593.08,327.18,24.02,2.99,2.02,1,3.99,559.12,325.07,31.06,18
16055554050,16,055,554050,460,286,16,4,3,0,0,432,285,25,4
16055554051,16,055,554051,814.49,543.72,29.04,4.02,0.06,1.02,2.03,792.57,496.63,62.05,13.1
16055554052,16,055,554052,427,263,14,8,5,1,0,408,234,50,16
16055554053,16,055,554053,568.53,364.72,19.06,4.02,2.01,1.01,2,518.51,383.67,32.07,14.03
16055554054,16,055,554054,391.72,439.6,14.65,4.88,2.93,1.95,0,385.87,426.89,17.59,8.79
16055554055,16,055,554055,344.54,341.99,17.1,1.01,3.02,1,0.01,352.59,318.78,17.22,5.01
16055554056,16,055,554056,314,357,18,7,0,1,1,304,359,24,5
16055554057,16,055,554057,473,344,26,3,3,1,3,457,340,40,12
16055554058,16,055,554058,425.21,500.69,17.19,1.09,4.03,0.04,0.99,433.04,465.66,36.12,2.17
16055554059,16,055,554059,277,286,12,2,1,0,1,264,288,21,6
16055554060,16,055,554060,255.58,249.21,11.82,0.98,2.95,0,0,250.63,239.37,12.83,6.9
16055554062,16,055,554062,359.62,292.23,13.11,3.01,0.03,0,0,370.57,269.14,15.12,6.06
16057575001,16,057,575001,79,165,18,0,0,0,0,70,209,6,2
16057575002,16,057,575002,302,592,45,0,5,0,0,284,605,45,10
16057575003,16,057,575003,330,251,20,17,0,0,7,328,278,12,12
16057575004,16,057,575004,227,205,14,4,0,3,4,230,230,6,5
16057575005,16,057,575005,250.55,338.69,33.67,3.96,2.97,0,0,262.43,355.52,11.88,8.91
16057575006,16,057,575006,307.58,737.23,40.74,0.49,3.46,0,0,301.49,733.25,19.15,10.59
16057575007,16,057,575007,466.07,723.69,37.29,13.03,2.35,7.96,6.97,468.55,716.87,32.38,10.63
16057575008,16,057,575008,326,1361,49,6,5,3,4,354,1135,63,9
16057575009,16,057,575009,189.49,230.09,11.96,10.7,0.03,0,0,224.5,216.69,5.93,0.09
16057575010,16,057,575010,143.68,203.21,10.96,8.29,2.65,0,0,135.26,219.73,9.72,6.36
16057575011,16,057,575011,161.7,230.53,30.13,4.04,2.02,0,0.04,174.68,243.51,10.14,14.04
16057575012,16,057,575012,298.04,263.46,28.26,1.88,0.02,0.01,0,292.38,303.06,24.55,8.49
16057575013,16,057,575013,150,228,12,4,0,3,4,156,220,12,2
16057575014,16,057,575014,128.13,249.35,19.95,1.53,1.53,0,0,131.2,258.56,15.34,1.53
16057575015,16,057,575015,220.85,283.52,7.96,5.97,1.99,0,6.96,215.87,271.58,13.93,6.96
16057575016,16,057,575016,247,957,37,0,5,0,4,251,905,35,12
16057575017,16,057,575017,241.61,238.61,23.96,14.98,2,0,0,241.61,267.56,19.97,4.99
16057575018,16,057,575018,194.75,818.36,46.23,1.97,0,0,0,194.75,774.1,33.44,7.87
16057575019,16,057,575019,866.13,296.35,11.97,2.06,1.92,1.03,0,857.36,357.03,9.99,5.58
16057575020,16,057,575020,67.91,31.1,0.74,4.25,0,0,0.09,68.59,30.11,0.83,0.92
16057575021,16,057,575021,622.58,402.94,22.56,0.04,4.98,3.1,0.04,615.72,444.33,35.33,10.14
16057575022,16,057,575022,184.76,31.05,3.11,8.54,0,2.33,0,178.55,45.8,1.55,2.33
16057575023,16,057,575023,364.07,199.54,4.04,0,0,0.01,0,352.1,225.53,10.01,3.01
16057575024,16,057,575024,282.42,117.04,7.52,0.06,0.06,0.02,0,290.15,117.19,5.74,2.91
16057575025,16,057,575025,178.13,39.96,4.79,4.2,2.2,3,0,185.05,45.07,2.79,2.49
16057575026,16,057,575026,218,74,6,0,0,5,0,217,86,10,3
16057575027,16,057,575027,679.89,243.24,6.99,0,1.74,5,0,670.82,286.74,29.2,3.77
16057575028,16,057,575028,484.71,94.71,8.08,0.18,0.42,0.04,0,467.81,136.06,11.96,7.36
16057575029,16,057,575029,630.01,321.75,29.08,0.12,4.44,0.95,0,626.83,378.65,26.81,6.13
16057575030,16,057,575030,345.88,179.05,13.03,6,2.26,0,0,354.88,179.7,10.84,5.26
16057575031,16,057,575031,164.43,103.96,3.87,0,1.92,0,0,181.6,72.52,1.97,0.04
16057575032,16,057,575032,141.37,31.57,0.76,1.97,0.01,0.53,0,138.88,33.34,0.41,2.57
16059598001,16,059,598001,265.4,24.44,0,0,0.03,0,0,260.43,30.33,5,2.05
16059598002,16,059,598002,257,107,0,0,0,0,0,253,80,13,2
16059598003,16,059,598003,88.96,53.18,2,0.01,2,2,0,96.92,40.19,2,0.02
16059598004,16,059,598004,258.59,52.92,2,0,0,0,0,252.6,64.9,2,2
16059598005,16,059,598005,888.84,339.15,36.45,2.99,1.98,0.04,1.99,861.2,330.26,42.45,14.81
16059598006,16,059,598006,810.98,248.03,23.56,7.01,2.02,4.96,3.02,786.6,239.91,38.57,13.2
16059598007,16,059,598007,690.19,159.81,8.99,0,4.99,0,3,677.2,144.83,19.98,5.99
16059598008,16,059,598008,151,24,5,0,0,0,0,142,40,11,0
16059598009,16,059,598009,183.27,23.94,0,0,0,0,0,169.35,49.79,6.96,3.98
16061616001,16,061,616001,321.4,92.52,7.3,2.11,1.09,2.14,0.07,311.04,95.18,8.02,9.91
16061616002,16,061,616002,225.95,48.84,1.47,0.49,0,0.98,0.49,214.25,51.28,5.37,4.89
16061616003,16,061,616003,380.45,83.87,2.53,0.53,0.21,1.88,0.44,355.53,87.75,10.35,7.82
16061616004,16,061,616004,288.37,57.55,2.87,0,1.91,0.96,0.01,267.42,64.18,7.65,7.63
16061616005,16,061,616005,243.36,59.28,2.14,0,1.05,0.98,0.95,242.45,55.16,4.15,2.18
16061616006,16,061,616006,30.39,9.08,0,0,0,0,0,27.36,11.09,0.01,1.01
16061616007,16,061,616007,34.09,6.62,0.03,0,0.02,0.01,0,34.86,2.69,3.08,0.08
16061616008,16,061,616008,6.13,5.03,0,0,0,0,0,6.11,5.04,0.01,0
16063632601,16,063,632601,519.11,209.66,6.1,7.07,5.03,4.02,2.03,489.82,221.74,31.35,5.08
16063632603,16,063,632603,296.03,100.97,2.21,5.9,2.04,0.05,1.01,287.15,96.98,20.91,2.14
16063632604,16,063,632604,346.74,65.06,9.37,0.03,2.82,1.87,0.94,307.39,100.6,10.4,6.56
16063632605,16,063,632605,261.94,36.38,3.14,1.02,2.05,0.04,0.02,244.34,48.89,8.21,3.1
16063632606,16,063,632606,38.3,0.96,0,0,0,0,0,36.38,0,0,1.91
16065653401,16,065,653401,310.73,14.68,2.96,1.94,0.01,1.94,0,304.85,21.49,6.86,8.77
16065653402,16,065,653402,1136.09,128.38,33.71,4.42,6.16,2.62,2.82,1148.73,136.69,34.88,17.2
16065653403,16,065,653403,871.67,101.27,25.51,2.52,1.7,0.26,1.77,877.11,82.11,32.04,15.78
16065653404,16,065,653404,682.72,53.04,15.03,1,2.44,0.2,0.39,672.21,52.21,22.4,12.15
16065653405,16,065,653405,605.2,94.07,40.98,1.58,1.56,5.5,3.13,582.55,101.74,40.99,23.63
16065653406,16,065,653406,849.78,133.76,13.47,9.62,1.92,3.85,0,856.51,121.25,32.72,11.55
16065653407,16,065,653407,897.99,165.37,49.42,2.42,1.08,5.2,2.1,891.71,149.26,52.01,27.49
16065653408,16,065,653408,1962.55,453.7,132.19,17.89,9.47,9.78,10.29,1992.35,393.62,145.5,67.88
16065653409,16,065,653409,524.58,144.83,36.77,2.22,4.18,4.22,0,525.74,123.27,34.45,16.2
16065653410,16,065,653410,1057.87,379.47,61.04,6.89,2.36,14,2.71,1013.91,226.11,85.04,38.91
16065653411,16,065,653411,168.07,70.33,14.86,0.99,1.32,1.32,0,161.79,53.82,15.19,5.94
16065653412,16,065,653412,0,0,0,0,0,0,0,0,0,0,0
16065653413,16,065,653413,202.91,52.98,7.89,1.13,2.82,1.69,2.82,195.02,49.04,16.91,4.51
16065653414,16,065,653414,445.2,161.58,31.58,2.57,4.45,3.57,2.18,428.34,130.23,39.13,13.68
16065653415,16,065,653415,1299.04,315.03,90.03,13,12.85,3.86,5.52,1333.45,251.27,93.12,35.88
16065653416,16,065,653416,989.78,266.1,45.69,3.87,3.65,4.1,1.25,1003.93,210.19,58.13,24.78
16065653417,16,065,653417,305.9,11.12,3.19,0,0.19,0,0,297.21,11.85,13.96,1.23
16065653418,16,065,653418,625.98,74.93,29.21,3.02,3.04,3.02,4.02,617.06,110.08,34.23,20.12
16065653419,16,065,653419,666.94,51.22,11.28,0.26,4.74,0.25,0.12,657.33,69.69,26.5,8.19
16067672701,16,067,672701,463.81,97.22,5.05,3.99,2.01,3,2,451.48,91.45,25,5.12
16067672702,16,067,672702,917.35,158.86,9.17,1.08,7.05,0.01,7,897.76,163.98,27.45,12.22
16067672703,16,067,672703,644.76,198.36,10.32,10.19,2.07,2,4,614.25,191.68,30.07,11.39
16067672704,16,067,672704,638.6,128.3,9.57,5.74,1.91,0,0,593.6,137.87,31.6,11.49
16067672705,16,067,672705,673.95,149.99,5,1,3,0,2,617.95,157.99,41,9
16067672706,16,067,672706,477.17,75.62,3,2.99,0,0.01,0,457.22,72.7,20.92,6.97
16067672708,16,067,672708,614,181,7,0,2,0,0,567,180,33,14
16067672709,16,067,672709,398.74,220.91,15.58,6.42,0,1.83,0.92,362.99,220,30.25,12.83
16067672710,16,067,672710,500.04,160.28,9.02,4.01,1,2,1,491.99,151.28,25.05,7.02
160676727A1,16,067,6727A1,590.89,155.88,8.4,4.58,0,0.17,0.08,552.67,174.8,27.72,4.16
160676727B1,16,067,6727B1,351.83,24.38,5,3.01,0,1.99,1,328.78,46.3,15.08,5.03
