GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRLIT,G18GOVDJOR,G18GOVLBOE,G18GOVCBAY,G18GOVOWRI,G18LTGRMCG,G18LTGDCOL,G18SOSRDEN,G18SOSDHUM,G18CONRWOO,G18TRERELL,G18ATGRWAS,G18ATGDBIS,G18SPIRYBA,G18SPIDWIL
16001011401,16,001,011401,817.9,295.2,7,9,0,803.9,315.2,830.9,280.2,929,930,867.9,231.2,704.8,411.3
16001011402,16,001,011402,688,295.2,12.1,6.4,0,672.9,319.8,696.7,285.2,780.8,780.8,733.1,241,587.6,386.6
16001011403,16,001,011403,383.6,163.7,6.7,3.6,0,375.1,177.5,388.2,158.4,435.3,435.3,408.6,133.9,327.5,215
16001011404,16,001,011404,1129,404.5,16.5,14,0,1125.2,412.1,1163.5,372.6,1338.9,1341.6,1167.1,362.9,974.6,560.8
16001011405,16,001,011405,1019.1,431.7,10,13,0,1019,434.8,1047.2,397.6,1221.8,1227.9,1074.3,355.5,847.6,579.2
16001011406,16,001,011406,2304.8,760,18.2,8.2,0,2226.9,846,2296.2,747.3,2534.2,2535.2,2375.3,653.7,1925.1,1112.3
16001011407,16,001,011407,609.4,360.3,5,6,0,575.6,382.1,600.4,340.4,744.3,735.4,644.1,296.7,481.3,469.4
16001011408,16,001,011408,732.5,528.8,8.4,3.2,0,675,582.6,725.7,513.5,928.2,930.2,798.8,435.2,581.5,664.5
16001011409,16,001,011409,736,444,3,2,0,671,501,737,421,895,888,760,381,574,587
16001011410,16,001,011410,584,588.3,9,7,0,551.8,621.5,591.9,572.3,820.4,816.4,624.1,525.2,507.4,662.8
16001011411,16,001,011411,810,547.9,16,5,0,762.4,599.6,822.6,517.2,1009.3,1013.2,857,472.9,638.7,713
16001011412,16,001,011412,664.6,271.5,5.2,0,0,651.1,284.3,673.6,257.3,783.1,785.4,690.1,237,584.3,348.1
16001011413,16,001,011413,2257.8,1131.4,24.5,12.6,0,2171.2,1209,2252.8,1088.9,2635.5,2649.7,2359.2,956.9,1755.8,1607.6
16001011414,16,001,011414,994.6,513,12.4,8.1,0,979.9,518.5,1005.6,475.6,1207.7,1207.5,1059.5,409.8,763.6,739.1
16001011415,16,001,011415,879.9,265.4,10,0,0,835.3,310,875.3,262.7,931.7,921.7,882.6,238.1,713.5,420.8
16001011416,16,001,011416,1248,537.5,14.2,5.2,0,1165.7,633.5,1229.9,545.5,1414.8,1406.9,1285.8,486.5,1016,753.3
16001011417,16,001,011417,920.6,485.3,1,8,0,916.6,477.3,934.6,450.3,1122.7,1114.7,961.6,409.2,809.5,582.4
