GEOID,G18USSRMOR,G18USSDMAN,G18USSLHOL
540019655001000,2,1.4,0.1
540019655001001,0,0,0
540019655001002,0.4,0.3,0
540019655001003,0,0,0
540019655001004,7.4,10.8,0.9
540019655001005,0.6,0.9,0.1
540019655001006,1,1.4,0.1
540019655001007,0,0,0
540019655001008,0,0,0
540019655001009,0.4,0.6,0.1
540019655001010,0,0,0
540019655001011,0.2,0.3,0
540019655001012,0,0,0
540019655001013,0,0,0
540019655001014,0.8,1.2,0.1
540019655001015,0.2,0.3,0
540019655001016,2.3,3.3,0.3
540019655001017,0.3,0.4,0
540019655001018,0.2,0.3,0
540019655001019,0,0,0
540019655001020,1.8,1.3,0.1
540019655001021,0,0,0
540019655001022,1.4,2,0.2
540019655001023,0,0,0
540019655001024,4.6,3.1,0.2
540019655001025,0,0,0
540019655001026,0,0,0
540019655001027,0,0,0
540019655001028,0,0,0
540019655001029,0.2,0.1,0
540019655001030,0.6,0.4,0
540019655001031,0.4,0.3,0
540019655001032,0.9,0.6,0
540019655001033,0,0,0
540019655001034,0,0,0
540019655001035,0.7,0.5,0
540019655001036,0.6,0.9,0.1
540019655001037,0.1,0.1,0
540019655001038,0.4,0.6,0.1
540019655001039,0,0,0
540019655001040,0,0,0
540019655001041,0.2,0.3,0
540019655001042,2.4,3.5,0.3
540019655001043,0.2,0.3,0
540019655001044,0.2,0.3,0
540019655001045,0.2,0.3,0
540019655001046,0.2,0.3,0
540019655001047,0,0,0
540019655001048,0.2,0.3,0
540019655001049,0,0,0
540019655001050,0.6,0.9,0.1
540019655001051,0.3,0.4,0
540019655001052,1.6,2.3,0.2
540019655001053,0.9,1.3,0.1
540019655001054,0.1,0.1,0
540019655001055,0.6,0.9,0.1
540019655001056,0,0,0
540019655001057,0,0,0
540019655001058,0.2,0.3,0
540019655001059,0.4,0.6,0.1
540019655001060,0.2,0.3,0
540019655001061,1,1.4,0.1
540019655001062,0,0,0
540019655001063,9.7,6.7,0.4
540019655001064,0,0,0
540019655001065,2.8,1.9,0.1
540019655001066,0.4,0.3,0
540019655001067,0.6,0.4,0
540019655001068,0.4,0.3,0
540019655001069,0.4,0.3,0
540019655001070,3.3,2.3,0.1
540019655001071,1.1,0.8,0
540019655001072,0,0,0
540019655001073,0,0,0
540019655001074,0,0,0
540019655001075,0,0,0
540019655001076,0,0,0
