GEOID,G18USSRMOR,G18USSDMAN,G18USSLHOL
540019655001077,1.3,0.9,0
540019655001078,0,0,0
540019655001079,0,0,0
540019655001080,0,0,0
540019655001081,0,0,0
540019655001082,0,0,0
540019655001083,0,0,0
540019655001084,0,0,0
540019655001085,0,0,0
540019655001086,0,0,0
540019655001087,0,0,0
540019655001088,6.8,5.5,1.3
540019655001089,0,0,0
540019655001090,0,0,0
540019655001091,0.4,0.3,0.1
540019655001092,0,0,0
540019655001093,5.7,3.9,0.2
540019655001094,5.9,4,0.2
540019655001095,0.2,0.3,0
540019655001096,0,0,0
540019655001097,0,0,0
540019655001098,0,0,0
540019655001099,0,0,0
540019655001100,0,0,0
540019655001101,0,0,0
540019655001102,4.4,3,0.2
540019655001103,1.8,1.3,0.1
540019655002000,1.8,2.6,0.2
540019655002001,0,0,0
540019655002002,0.5,0.7,0.1
540019655002003,0,0,0
540019655002004,0,0,0
540019655002005,5.6,8.2,0.7
540019655002006,0.2,0.3,0
540019655002007,0.6,0.9,0.1
540019655002008,0,0,0
540019655002009,0.6,0.9,0.1
540019655002010,0,0,0
540019655002011,0.6,0.9,0.1
540019655002012,0,0,0
540019655002013,0.4,0.6,0.1
540019655002014,1.5,2.2,0.2
540019655002015,0,0,0
540019655002016,0.2,0.3,0
540019655002017,0.8,1.2,0.1
540019655002018,0.3,0.4,0
540019655002019,0.6,0.9,0.1
540019655002020,0.3,0.4,0
540019655002021,0.2,0.3,0
540019655002022,0.4,0.3,0.1
540019655002023,0,0,0
540019655002024,0,0,0
540019655002025,2.9,2.4,0.6
540019655002026,1.3,1.9,0.2
540019655002027,0.3,0.4,0
540019655002028,0,0,0
540019655002029,0.2,0.3,0
540019655002030,0,0,0
540019655002031,0,0,0
540019655002032,0.8,1.2,0.1
540019655002033,0,0,0
540019655002034,0.7,1,0.1
540019655002035,3.5,5.2,0.5
540019655002036,0.4,0.6,0.1
540019655002037,0,0,0
540019655002038,0,0,0
540019655002039,0,0,0
540019655002040,0,0,0
540019655002041,0,0,0
540019655002042,1.4,1.1,0.3
540019655002043,0,0,0
540019655002044,1.7,1.4,0.3
540019655002045,0,0,0
540019655002046,1,0.8,0.2
540019655002047,0.6,0.5,0.1
540019655002048,1.4,1.1,0.3
540019655002049,2.9,2.4,0.6
540019655002050,0,0,0
540019655002051,1,0.8,0.2
540019655002052,0,0,0
540019655002053,2.9,2.4,0.6
540019655002054,0,0,0
540019655002055,0.2,0.2,0
540019655002056,0,0,0
540019655002057,1.7,1.4,0.3
540019655002058,3.5,2.8,0.7
540019655002059,0,0,0
540019655002060,0,0,0
540019655002061,0,0,0
540019655002062,0.4,0.3,0.1
540019655002063,0,0,0
540019655002064,0,0,0
540019655002065,0.6,0.5,0.1
540019655002066,1,0.8,0.2
540019655002067,0.8,0.6,0.1
540019655002068,0,0,0
540019655002069,0.4,0.3,0.1
540019655002070,0,0,0
540019655002071,0,0,0
540019655002072,0.4,0.3,0.1
540019655002073,0.4,0.3,0.1
540019655002074,0,0,0
540019655002075,0,0,0
540019655002076,0,0,0
540019655002077,0,0,0
540019655002078,0,0,0
540019655002079,0,0,0
540019655002080,2.7,2.2,0.5
540019655002081,0,0,0
540019655002082,0,0,0
540019655002083,0,0,0
540019655002084,0,0,0
540019655002085,3.7,3,0.7
540019655002086,0.6,0.5,0.1
540019655002087,0,0,0
540019655002088,0,0,0
540019655002089,0,0,0
540019655002090,0.4,0.3,0.1
540019655002091,1.7,1.4,0.3
540019655002092,0,0,0
540019655002093,0,0,0
540019655002094,0,0,0
540019655002095,0,0,0
540019655002096,0,0,0
540019655002097,0,0,0
540019655002098,0,0,0
540019655002099,2.1,1.7,0.4
540019655002100,0,0,0
540019655002101,0.4,0.3,0.1
540019655002102,0,0,0
540019655002103,0,0,0
540019655002104,0,0,0
540019655002105,1,0.8,0.2
540019655002106,0,0,0
540019655002107,0.4,0.3,0.1
540019655002108,0,0,0
540019655002109,0,0,0
540019655002110,0,0,0
540019655002111,0,0,0
540019655002112,0.8,0.6,0.1
540019655002113,0,0,0
540019655002114,0,0,0
540019655002115,0.4,0.3,0.1
540019655002116,0,0,0
540019655002117,0,0,0
540019655002118,0,0,0
540019655002119,0,0,0
540019655002120,0,0,0
540019655002121,0.4,0.3,0.1
540019655002122,0,0,0
540019655002123,0.4,0.3,0.1
540019655002124,0,0,0
540019655002125,0,0,0
540019655002126,0,0,0
540019655002127,1.6,1.3,0.3
540019655002128,0,0,0
540019655002129,0,0,0
540019655002130,14.6,11.8,2.8
540019655002131,0,0,0
540019655002132,0,0,0
540019655002133,0,0,0
540019655002134,0.8,0.6,0.1
540019655002135,0,0,0
540019655002136,0,0,0
540019655002137,0,0,0
540019655002138,0,0,0
540019655002139,0,0,0
540019655002140,1.7,1.4,0.3
540019655002141,0,0,0
540019655002142,2.1,2.2,0.3
540019655002143,0.6,0.5,0.1
540019655002144,0,0,0
540019655002145,0.4,0.3,0.1
540019655002146,0,0,0
540019655002147,0,0,0
540019655002148,1.2,1.2,0.2
540019655002149,2.2,1.1,0.2
540019655002150,0,0,0
540019655002151,0,0,0
540019655002152,0,0,0
540019655002153,0,0,0
540019655002154,0,0,0
540019655002155,0,0,0
540019655002156,0,0,0
540019655002157,0,0,0
540019655002158,0,0,0
540019655002159,0,0,0
540019655002160,0,0,0
540019655002161,0,0,0
540019655002162,0,0,0
540019655002163,0,0,0
540019655002164,0,0,0
540019655002165,0,0,0
540019655002166,0,0,0
540019655002167,0,0,0
540019655002168,0,0,0
540019655002169,0,0,0
540019655002170,2,1,0.1
540019655002171,1.1,0.6,0.1
540019655002172,7,3.6,0.5
540019655002173,0,0,0
540019655002174,0,0,0
540019655002175,0,0,0
540019655002176,0,0,0
540019655002177,0,0,0
540019655002178,0,0,0
540019655002179,0,0,0
540019655002180,0,0,0
540019655002181,6,6.3,0.9
540019655002182,3.1,2.1,0.1
540019655002183,0,0,0
540019655002184,0,0,0
540019655002185,0,0,0
540019655002186,0.5,0.7,0.1
540019655002187,0,0,0
540019655002188,0,0,0
540019655002189,0.2,0.2,0
540019655002190,0,0,0
540019655003000,0,0,0
540019655003001,16.7,17.5,2.5
540019655003002,0,0,0
540019655003003,0.6,0.6,0.1
540019655003004,0,0,0
540019655003005,3.9,4.1,0.6
540019655003006,3.7,3.9,0.5
540019655003007,0,0,0
540019655003008,9.8,5,0.7
540019655003009,1.4,0.7,0.1
540019655003010,1.7,0.9,0.1
540019655003011,0,0,0
540019655003012,0,0,0
540019655003013,0,0,0
540019655003014,1,1,0.1
540019655003015,3.1,3.3,0.5
540019655003016,0.2,0.2,0
540019655003017,0.8,0.8,0.1
540019655003018,0.4,0.4,0.1
540019655003019,0,0,0
540019655003020,0,0,0
540019655003021,1.2,1.2,0.2
540019655003022,0,0,0
540019655003023,0.2,0.2,0
540019655003024,0.6,0.6,0.1
540019655003025,0,0,0
540019655003026,0,0,0
540019655003027,1.2,1.2,0.2
540019655003028,0,0,0
540019655003029,0.6,0.6,0.1
540019655003030,0.4,0.4,0.1
540019655003031,12.1,6.1,0.8
540019655003032,0,0,0
540019655003033,0,0,0
540019655003034,1.7,0.9,0.1
540019655003035,0,0,0
540019655003036,3.1,1.6,0.2
540019655003037,0,0,0
540019655003038,17.1,8.7,1.2
540019655003039,0,0,0
540019655003040,0,0,0
540019655003041,3.7,1.8,0.2
540019655003042,0,0,0
540019655003043,0,0,0
540019655003044,2.5,1.3,0.2
540019655003045,0,0,0
540019655003046,0,0,0
540019655003047,0,0,0
540019655003048,0,0,0
540019655003049,0,0,0
540019655003050,0,0,0
540019655003051,0,0,0
540019655003052,0,0,0
540019655003053,4.5,2.3,0.3
540019655003054,1.4,0.7,0.1
540019655003055,1.1,0.6,0.1
540019655003056,0,0,0
540019655003057,0,0,0
540019655003058,0,0,0
540019655003059,0,0,0
540019655003060,3.1,1.6,0.2
540019655003061,0,0,0
540019655003062,0.8,0.4,0.1
540019655003063,0.6,0.3,0
540019655003064,0.6,0.3,0
540019655003065,2.2,1.1,0.2
540019655003066,0,0,0
540019655003067,0,0,0
540019655003068,0,0,0
540019655003069,0,0,0
540019655003070,0.6,0.3,0
540019655003071,0,0,0
540019655003072,3.7,1.8,0.2
540019655003073,0,0,0
540019655003074,0,0,0
540019655003075,0,0,0
540019655003076,2.2,1.1,0.2
540019655003077,0,0,0
540019655003078,0,0,0
540019655003079,4.8,2.4,0.3
540019655003080,0,0,0
540019655003081,0,0,0
540019655003082,0.3,0.1,0
540019655003083,0,0,0
540019655003084,0,0,0
540019655003085,0,0,0
540019655003086,0,0,0
540019655003087,12.6,6.4,0.9
540019655003088,3.1,1.6,0.2
540019655003089,3.9,2,0.3
540019655003090,3.4,1.7,0.2
540019655003091,3.4,1.7,0.2
540019655003092,0,0,0
540019655003093,0,0,0
540019655003094,0,0,0
540019655003095,0,0,0
540019655003096,0,0,0
540019655003097,0.2,0.2,0
540019655003098,2.8,1.4,0.2
540019655003099,0.6,0.3,0
540019655003100,5.3,2.7,0.4
540019655003101,0,0,0
540019655003102,1.1,0.6,0.1
540019655003103,4.8,2.4,0.3
540019655003104,11,5.5,0.7
540019655003105,0,0,0
540019655003106,17.7,9,1.2
540019655003107,0,0,0
540019655003108,0,0,0
540019655003109,0.8,0.4,0.1
540019655003110,0,0,0
540019655003111,0,0,0
540019655003112,0,0,0
540019655003113,0.6,0.3,0
540019655003114,0.6,0.3,0
540019655003115,1.4,0.7,0.1
540019655003116,3.4,1.7,0.2
540019655003117,0,0,0
540019655003118,5.1,2.6,0.3
540019655003119,0,0,0
540019655003120,0,0,0
540019655003121,2,1,0.1
540019655003122,0,0,0
540019655003123,0,0,0
540019655003124,6.7,3.4,0.5
540019655003125,0.6,0.3,0
540019655003126,0,0,0
540019655003127,0.3,0.1,0
540019655003128,0,0,0
540019655003129,0.6,0.3,0
540019655003130,1.1,0.6,0.1
540019655003131,2.5,1.3,0.2
540019655003132,9.6,4.8,0.6
540019655003133,0,0,0
540019655003134,0,0,0
540019655003135,0,0,0
540019655003136,2.2,1.1,0.2
540019655003137,2.2,1.1,0.2
540019655003138,2.2,1.1,0.2
540019655003139,0.6,0.3,0
540019655003140,0,0,0
540019655003141,1.1,0.6,0.1
540019655003142,2,1,0.1
540019655003143,9.3,4.7,0.6
540019655003144,0,0,0
540019655003145,0,0,0
540019655003146,4.8,2.4,0.3
540019655003147,0,0,0
540019655003148,0,0,0
540019655003149,1.7,0.9,0.1
540019655003150,0.6,0.3,0
540019655003151,0,0,0
540019655003152,2.8,1.4,0.2
540019655003153,0,0,0
540019655003154,2,1,0.1
540019655003155,0.6,0.3,0
540019655003156,0,0,0
540019655003157,0,0,0
540019655003158,2,1,0.1
540019655003159,0,0,0
540019655003160,0,0,0
540019655003161,8.2,4.1,0.6
540019655003162,0,0,0
540019655003163,0.6,0.3,0
540019655003164,0.3,0.1,0
540019655003165,0,0,0
540019655003166,0,0,0
540019655003167,0.6,0.3,0
540019655003168,0,0,0
540019655003169,4.8,2.4,0.3
540019655003170,0,0,0
540019655003171,0,0,0
540019655003172,0.3,0.1,0
540019655003173,0,0,0
540019655003174,0,0,0
540019655003175,3.4,1.7,0.2
540019655003176,1.4,0.7,0.1
540019655003177,0,0,0
540019655003178,0,0,0
540019655003179,0,0,0
540019655003180,0,0,0
540019655003181,0,0,0
540019655003182,0,0,0
540019655003183,1.4,0.7,0.1
540019655003184,0,0,0
540019655003185,0,0,0
540019655003186,0,0,0
540019655003187,0,0,0
540019655003188,0,0,0
540019655003189,0,0,0
540019655003190,0,0,0
540019655003191,0,0,0
540019655004000,4.1,2.7,0.4
540019655004001,1.2,0.8,0.1
540019655004002,4.3,2.9,0.4
540019655004003,13.2,8.8,1.2
540019655004004,0.5,0.3,0
540019655004005,1.4,1,0.1
540019655004006,0,0,0
540019655004007,0,0,0
540019655004008,2.2,1.4,0.2
540019655004009,0,0,0
540019655004010,0,0,0
540019655004011,0,0,0
540019655004012,4.3,2.9,0.4
540019655004013,0,0,0
540019655004014,4.8,3.2,0.4
540019655004015,0,0,0
540019655004016,6.2,4.2,0.6
540019655004017,0,0,0
540019655004018,0,0,0
540019655004019,0,0,0
540019655004020,7.7,5.1,0.7
540019655004021,3.4,2.2,0.3
540019655004022,0,0,0
540019655004023,0,0,0
540019655004024,0,0,0
540019655004025,0,0,0
540019655004026,0,0,0
540019655004027,0.7,0.5,0.1
540019655004028,0.7,0.5,0.1
540019655004029,1.7,1.1,0.2
540019655004030,0,0,0
540019655004031,6.7,4.5,0.6
540019655004032,0.7,0.5,0.1
540019655004033,1.2,0.8,0.1
540019655004034,9.7,5.8,0.7
540019655004035,0,0,0
540019655004036,0,0,0
540019655004037,0,0,0
540019655004038,5.3,3.2,0.4
540019655004039,0.5,0.3,0
540019655004040,7.4,4.4,0.6
540019655004041,0,0,0
540019655004042,0,0,0
540019655004043,14.5,8.7,1.1
540019655004044,7.4,4.4,0.6
540019655004045,10.2,6.1,0.8
540019655004046,8.3,5,0.6
540019655004047,6.5,3.9,0.5
540019655004048,1.6,1,0.1
540019655004049,0,0,0
540019655004050,0,0,0
540019655004051,0,0,0
540019655004052,0,0,0
540019655004053,1.8,1.1,0.1
540019655004054,0,0,0
540019655004055,0,0,0
540019655004056,0,0,0
540019655004057,0,0,0
540019655004058,0,0,0
540019655004059,0,0,0
540019655004060,0,0,0
540019655004061,0,0,0
540019655004062,0,0,0
540019655004063,0,0,0
540019655004064,0,0,0
540019655004065,12.5,7.5,0.9
540019655004066,2.1,1.2,0.2
540019655004067,0,0,0
540019655004068,11.5,6.9,0.9
540019655004069,2.1,1.2,0.2
540019655004070,0.4,0.3,0
540019655004071,6.1,4.8,0.4
540019655004072,2.7,2.1,0.2
540019655004073,5.3,3.2,0.4
540019655004074,1.4,0.8,0.1
540019655004075,0.1,0.1,0
540019655004076,0,0,0
540019655004077,0,0,0
540019655004078,0.2,0.1,0
540019655004079,1.8,1.1,0.1
540019655004080,0,0,0
540019655004081,0.5,0.3,0
540019655004082,0.9,0.6,0.1
540019655004083,0,0,0
540019655004084,4.4,2.6,0.3
540019655004085,0,0,0
540019655004086,0,0,0
540019655004087,0.7,0.6,0
540019655004088,0.9,0.6,0.1
540019655004089,0,0,0
540019655004090,0.2,0.2,0
540019656001000,0,0,0
540019656001001,6.2,6.5,0.9
540019656001002,0,0,0
540019656001003,0,0,0
540019656001004,0,0,0
540019656001005,0,0,0
540019656001006,5.6,5.9,0.8
540019656001007,0,0,0
540019656001008,0.4,0.4,0.1
540019656001009,0.9,1.6,0.1
540019656001010,0.4,0.7,0.1
540019656001011,0.5,0.8,0.1
540019656001012,0.4,0.7,0.1
540019656001013,2.5,2.6,0.4
540019656001014,0,0,0
540019656001015,0,0,0
540019656001016,0,0,0
540019656001017,0.2,0.2,0
540019656001018,1.9,2,0.3
540019656001019,8,8.3,1.2
540019656001020,0.8,0.8,0.1
540019656001021,0,0,0
540019656001022,0,0,0
540019656001023,0.2,0.2,0
540019656001024,0.6,0.5,0.1
540019656001025,0,0,0
540019656001026,3.1,3.3,0.5
540019656001027,17.7,18.5,2.6
540019656001028,1,1,0.1
540019656001029,2.9,3.1,0.4
540019656001030,4.5,4.7,0.7
540019656001031,1.2,1.2,0.2
540019656001032,0,0,0
540019656001033,0,0,0
540019656001034,2.5,2.6,0.4
540019656001035,1.2,1.2,0.2
540019656001036,1.8,1.8,0.3
540019656001037,3.9,4.1,0.6
540019656001038,1.9,2,0.3
540019656001039,0,0,0
540019656001040,0,0,0
540019656001041,0,0,0
540019656001042,4.3,4.5,0.6
540019656001043,0,0,0
540019656001044,0,0,0
540019656001045,8.6,9,1.3
540019656001046,0,0,0
540019656001047,0,0,0
540019656001048,0,0,0
540019656001049,0.4,0.4,0.1
540019656001050,0,0,0
540019656001051,30,31.4,4.5
540019656001052,5.6,5.9,0.8
540019656001053,11.1,11.6,1.6
540019656001054,2.3,2.4,0.3
540019656001055,0.2,0.2,0
540019656001056,0,0,0
540019656001057,0,0,0
540019656001058,0,0,0
540019656001059,0,0,0
540019656001060,0,0,0
540019656001061,0.8,0.8,0.1
540019656001062,1,1,0.1
540019656001063,0,0,0
540019656001064,0,0,0
540019656001065,0,0,0
540019656001066,1.9,2,0.3
540019656001067,0,0,0
540019656001068,1.2,1.2,0.2
540019656001069,0,0,0
540019656001070,0,0,0
540019656001071,1.6,1.6,0.2
540019656001072,0,0,0
540019656001073,0.6,0.6,0.1
540019656001074,0.6,0.6,0.1
540019656001075,4.1,4.3,0.6
540019656001076,0,0,0
540019656001077,0,0,0
540019656001078,0.4,0.4,0.1
540019656001079,0,0,0
540019656001080,1,1,0.1
540019656001081,0,0,0
540019656001082,0,0,0
540019656002000,0,0,0
540019656002001,0,0,0
540019656002002,0,0,0
540019656002003,0,0,0
540019656002004,0,0,0
540019656002005,0.8,1,0.1
540019656002006,4.1,5.1,0.7
540019656002007,0,0,0
540019656002008,1.6,2,0.3
540019656002009,2.1,2.5,0.3
540019656002010,9.1,11.2,1.5
540019656002011,0.3,0.3,0
540019656002012,0.4,0.5,0.1
540019656002013,1.2,1.5,0.2
540019656002014,2.3,2.9,0.4
540019656002015,1.4,1.7,0.2
540019656002016,1.2,1.5,0.2
540019656002017,8,9.8,1.3
540019656002018,30.8,23.4,3
540019656002019,0.8,1,0.1
540019656002020,0.3,0.3,0
540019656002021,0.7,0.8,0.1
540019656002022,1.2,1.5,0.2
540019656002023,0.4,0.5,0.1
540019656002024,1.8,2.2,0.3
540019656002025,1.6,2,0.3
540019656002026,0.8,1,0.1
540019656002027,1.8,2.2,0.3
540019656002028,0.3,0.3,0
540019656002029,0,0,0
540019656002030,0,0,0
540019656002031,0.5,0.7,0.1
540019656002032,0,0,0
540019656002033,0,0,0
540019656002034,0,0,0
540019656002035,1.1,1.4,0.2
540019656002036,0,0,0
540019656002037,1.8,2.2,0.3
540019656002038,0,0,0
540019656002039,0.1,0.2,0
540019656002040,0.4,0.5,0.1
540019656002041,0.4,0.5,0.1
540019656002042,0.5,0.7,0.1
540019656002043,1.8,1.3,0.2
540019656002044,0.8,0.6,0.1
540019656003000,5.4,6.6,0.9
540019656003001,4.1,5.1,0.7
540019656003002,2.5,3.1,0.4
540019656003003,1.1,1.4,0.2
540019656003004,0,0,0
540019656003005,0,0,0
540019656003006,0,0,0
540019656003007,0,0,0
540019656003008,1.2,1.5,0.2
540019656003009,0,0,0
540019656003010,2.6,3.2,0.4
540019656003011,0.7,0.8,0.1
540019656003012,1.2,1.5,0.2
540019656003013,0.3,0.3,0
540019656003014,0.3,0.3,0
540019656003015,1.1,1.4,0.2
540019656003016,0.3,0.3,0
540019656003017,1.6,2,0.3
540019656003018,18.1,22.4,2.9
540019656003019,0,0,0
540019656003020,0,0,0
540019656003021,1.9,2.4,0.3
540019656003022,1.1,1.4,0.2
540019656003023,0,0,0
540019656003024,0.3,0.3,0
540019656003025,0,0,0
540019656003026,2.5,3.1,0.4
540019656003027,6.8,11.7,0.9
540019656003028,10.4,12.9,1.7
540019656003029,0.8,1,0.1
540019656003030,3.2,3.9,0.5
540019656003031,1.5,1.9,0.2
540019656003032,8.3,6.3,0.8
540019656003033,1.8,1.3,0.2
540019656003034,0,0,0
540019656003035,1.9,3.3,0.2
540019656003036,0.9,1.5,0.1
540019656003037,2.4,4.1,0.3
540019656003038,0,0,0
540019656003039,0.8,1,0.1
540019656003040,1.4,1.7,0.2
540019656003041,0.1,0.2,0
540019656003042,1,1.2,0.2
540019656003043,0.5,0.7,0.1
540019656003044,3.4,5.9,0.4
540019656004000,3.9,6.8,0.5
540019656004001,0,0,0
540019656004002,0,0,0
540019656004003,1.8,3.1,0.2
540019656004004,0.9,0.6,0
540019656004005,0.4,0.5,0.1
540019656004006,0,0,0
540019656004007,2.1,3.6,0.3
540019656004008,0.4,0.7,0.1
540019656004009,0,0,0
540019656004010,0,0,0
540019656004011,0,0,0
540019656004012,0.6,1,0.1
540019656004013,0.5,0.8,0.1
540019656004014,0.3,0.5,0
540019656004015,0.8,1.4,0.1
540019656004016,0.1,0.1,0
540019656004017,0.8,1.4,0.1
540019656004018,0.5,0.9,0.1
540019656004019,17.7,30.3,2.4
540019656004020,0.5,0.8,0.1
540019656004021,0.7,1.2,0.1
540019656004022,0,0,0
540019656004023,1.9,3.3,0.3
540019656004024,0.8,1.3,0.1
540019656004025,0,0,0
540019656004026,0.3,0.5,0
540019656004027,0,0,0
540019656004028,0,0,0
540019656004029,0,0,0
540019656004030,0,0,0
540019656004031,0,0,0
540019656004032,0.5,0.9,0.1
540019656004033,0.8,1.4,0.1
540019656004034,0.7,1.2,0.1
540019656004035,0.6,1,0.1
540019656004036,0.9,1.6,0.1
540019656004037,0.8,1.3,0.1
540019656004038,0.8,1.4,0.1
540019656004039,0.5,0.9,0.1
540019656004040,1.6,2.7,0.2
540019656004041,1.1,2,0.2
540019656004042,0.5,0.9,0.1
540019656004043,15,25.7,2
540019656004044,12.9,22.1,1.7
540019656004045,0,0,0
540019656004046,0,0,0
540019656004047,0,0,0
540019656004048,0,0,0
540019656004049,0,0,0
540019656004050,0,0,0
540019656004051,4.5,4.7,0.7
540019656004052,0,0,0
540019656004053,2.3,2.4,0.3
540019656004054,1.3,2.2,0.2
540019656004055,0.2,0.2,0
540019656004056,1,1,0.1
540019656004057,0,0,0
540019656004058,0,0,0
540019656004059,0,0,0
540019657001000,0,0,0
540019657001001,0,0,0
540019657001002,10.8,7.8,0.3
540019657001003,1.2,0.9,0
540019657001004,0,0,0
540019657001005,0,0,0
540019657001006,0,0,0
540019657001007,0,0,0
540019657001008,0,0,0
540019657001009,0,0,0
540019657001010,1,0.7,0
540019657001011,6.9,5,0.2
540019657001012,0,0,0
540019657001013,0,0,0
540019657001014,0,0,0
540019657001015,3.4,2.5,0.1
540019657001016,5.9,4.3,0.2
540019657001017,1,0.7,0
540019657001018,1,0.7,0
540019657001019,5.4,3.9,0.2
540019657001020,2.5,1.8,0.1
540019657001021,0.2,0.2,0
540019657001022,0,0,0
540019657001023,0,0,0
540019657001024,0,0,0
540019657001025,0,0,0
540019657001026,0,0,0
540019657001027,5.4,3.9,0.2
540019657001028,4.7,3.4,0.1
540019657001029,0,0,0
540019657001030,0.2,0.2,0
540019657001031,0,0,0
540019657001032,0,0,0
540019657001033,0.2,0.2,0
540019657001034,4.4,3.2,0.1
540019657001035,0,0,0
540019657001036,0,0,0
540019657001037,0,0,0
540019657001038,5.9,4.3,0.2
540019657001039,0,0,0
540019657001040,0,0,0
540019657001041,0,0,0
540019657001042,0,0,0
540019657001043,0,0,0
540019657001044,0,0,0
540019657001045,0,0,0
540019657001046,4.4,3.2,0.1
540019657001047,0,0,0
540019657001048,0,0,0
540019657001049,3.7,2.7,0.1
540019657001050,8.6,6.2,0.2
540019657001051,0,0,0
540019657001052,0.7,0.5,0
540019657001053,0.5,0.4,0
540019657001054,3.7,2.7,0.1
540019657001055,7.1,5.2,0.2
540019657001056,0,0,0
540019657001057,0,0,0
540019657001058,0.2,0.2,0
540019657001059,0.5,0.4,0
540019657001060,0.3,0.3,0
540019657001061,1.1,1.4,0.2
540019657001062,0,0,0
540019657001063,0,0,0
540019657001064,0,0,0
540019657001065,0,0,0
540019657001066,0,0,0
540019657001067,0,0,0
540019657001068,3,2.1,0.1
540019657001069,0,0,0
540019657001070,0,0,0
540019657001071,0,0,0
540019657001072,9.1,6.6,0.3
540019657001073,0,0,0
540019657001074,0,0,0
540019657001075,1,0.7,0
540019657001076,0.1,0.2,0
540019657001077,1,0.7,0
540019657001078,1.2,0.9,0
540019657001079,0.3,0.3,0
540019657001080,0.3,0.3,0
540019657001081,0,0,0
540019657001082,6.3,7.8,1
540019657001083,0.4,0.5,0.1
540019657001084,0,0,0
540019657001085,1,1,0.1
540019657001086,11.9,11.1,1.4
540019657001087,0,0,0
540019657001088,0.5,0.5,0.1
540019657001089,0,0,0
540019657001090,0,0,0
540019657001091,2.6,2.4,0.3
540019657001092,0,0,0
540019657001093,0,0,0
540019657001094,7,6.5,0.8
540019657001095,2.1,2.5,0.3
540019657001096,3.8,4.8,0.6
540019657001097,0.3,0.3,0
540019657001098,0,0,0
540019657001099,11.1,10.4,1.3
540019657001100,0,0,0
540019657001101,0,0,0
540019657001102,0,0,0
540019657001103,0,0,0
540019657001104,0,0,0
540019657001105,11.4,10.7,1.4
540019657001106,0,0,0
540019657001107,0.7,0.8,0.1
540019657001108,5.1,6.3,0.8
540019657001109,0,0,0
540019657001110,0,0,0
540019657001111,4.9,6.1,0.8
540019657001112,0,0,0
540019657001113,1,1,0.1
540019657001114,0,0,0
540019657001115,0.7,0.8,0.1
540019657001116,0,0,0
540019657001117,0.4,0.3,0
540019657001118,5.1,3.9,0.5
540019657001119,20.9,15.9,2
540019657001120,0,0,0
540019657001121,0.4,0.3,0
540019657001122,0.4,0.3,0
540019657001123,0.6,0.4,0.1
540019657001124,0,0,0
540019657001125,0.8,0.6,0.1
540019657001126,0.4,0.3,0
540019657001127,5.8,7.1,0.9
540019657001128,0.7,0.8,0.1
540019657001129,0,0,0
540019657001130,0,0,0
540019657001131,0,0,0
540019657001132,0,0,0
540019657001133,0.1,0.1,0
540019657001134,0,0,0
540019657001135,1.5,1.9,0.2
540019657001136,0,0,0
540019657001137,0,0,0
540019657001138,0,0,0
540019657001139,0,0,0
540019657001140,0,0,0
540019657001141,0,0,0
540019657001142,1.8,1.3,0.2
540019657001143,0,0,0
