state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_bla,uss_18_dem_bre,uss_20_rep_hag,uss_20_dem_bra,gov_18_rep_lee,gov_18_dem_dea,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
47,001,0108,2594,2234,130,106,6,56,1,4,57,2017,1776,106,61,4,43,1,1,25,739.8,574.1,836.1,742.1,582.3,691.8,860,679,679,602.1,574.1,646.8,710.5,739.8,630.5,847.7,658.1,739.2
47,001,0112,1137,1123,3,3,0,1,0,0,7,890,880,3,3,0,1,0,0,3,302.5,84.1,379.8,111.4,227.2,104.6,373,101.2,247.7,85.2,84.1,94.8,106.4,302.5,237.20000000000002,376.1,97.4,306.1
47,001,0114,2997,2517,132,69,4,201,0,1,73,2346,2012,99,43,3,146,0,1,42,854.2,788.7,1011.8,974.8000000000001,774.3,912.6,1066.9,900.6,872,821.2,788.7,867.5,937.6999999999999,854.2,823.1999999999999,1039.3,879.6,915.8
47,001,0116,2560,2032,183,226,7,65,1,0,46,2093,1738,125,148,7,56,1,0,18,376.2,328.8,430.4,453.4,274.8,359.3,424.2,418.9,317.7,325.1,328.8,342,436.2,376.2,295.9,426.7,377.4,364.5
47,003,0124,3767,3319,127,217,11,47,0,2,44,2797,2517,94,131,8,32,0,1,14,1236,242.3,1552.6,330.8,992.6,299.5,1499.5,290.7,1036.3,261.8,242.3,280.9,309.9,1236,1014.6,1526.8,285.7,1263.7
47,003,0128,2116,1865,110,108,4,11,0,7,11,1590,1427,80,62,4,9,0,2,6,651.3,127.9,817.2,161.4,503.2,153.9,793.6,131.5,530.1,132.1,127.9,142.4,146,651.3,515.6,805.8,140.9,658.5
47,003,0132,1843,1679,52,41,5,50,2,1,13,1308,1212,38,22,4,22,2,0,8,697.3,186.4,834.1,232.1,586.1,227.3,822.7,204,616.5,198.4,186.4,212.4,217,697.3,602.2,828,210.3,711.4
47,003,0144,3020,1938,300,688,9,23,4,5,53,2155,1498,203,400,6,21,4,2,21,567.7,232.8,734.8,321.6,408.1,272.3,704.2,283.8,443.7,240.8,232.8,255.7,302.7,567.7,425.3,719.4,270.5,571.7
47,003,0156,5455,3509,742,1040,6,27,17,4,110,3817,2631,558,568,4,20,9,1,26,875.1,474.2,1080.5,613,681.8,498.1,1057.4,520.7,729.1,456.4,474.2,475.9,567.1,875.1,706.5,1068.7,512.4,883.8
47,003,0160,4594,2815,714,948,6,9,6,7,89,3372,2206,550,567,5,7,6,3,28,470.1,340.9,639.3,474.6,331.9,327.1,627.4,398.1,355.9,303.7,340.9,315.4,436.9,470.1,344.1,633.3,368.4,484.7
47,003,0164,2606,2399,60,110,2,13,0,2,20,2027,1904,44,63,2,5,0,1,8,1048.6,217.1,1223,250.3,858,283,1193.2,210.9,908.8,238.3,217.1,260.5,230.4,1048.6,883,1207.2,239.6,1046
47,003,0168,1433,1315,33,60,9,6,0,0,10,1013,943,27,32,5,4,0,0,2,411.6,80.9,529.3,114.1,313.3,101.8,506.5,99.9,334.7,84.1,80.9,93.1,107,411.6,323.6,517.6,96.3,419.1
47,003,0176,1323,1201,32,62,1,4,0,0,23,968,883,31,39,1,3,0,0,11,429.9,79.6,542.2,111.9,345.3,99.5,522.3,99.3,360.1,87.5,79.6,93.5,105.7,429.9,352.8,532.1,96.3,440.5
47,003,0180,1111,994,48,46,4,8,0,3,8,871,791,44,23,4,7,0,0,2,422.3,92.8,522.6,122.8,340.5,126.9,507,106.3,359.5,110.7,92.8,119.1,114.1,422.3,349.9,514.5,112.6,430.90000000000003
47,003,0188,888,849,5,15,3,8,0,0,8,733,706,5,11,3,4,0,0,4,371.7,78.6,443.90000000000003,95.7,302.4,104.3,432.1,81.3,320.2,88.89999999999999,78.6,96.8,88,371.7,311.59999999999997,438.2,90,374.2
47,003,0196,1541,1483,13,25,4,5,0,1,10,1151,1114,12,12,4,2,0,0,7,467.2,92.7,601.6,129.8,356.1,115.2,575.5,114.3,380.4,95.3,92.7,104.9,121.6,467.2,367.1,589.1,109.7,475.1
47,003,0204,2488,2032,154,244,4,12,0,2,40,1835,1565,108,139,2,9,0,0,12,494,192.5,651.7,277.3,356.8,231.8,622.3,249.20000000000002,388,205.4,192.5,218.3,263.4,494,372.2,637.1,231.2,502.5
47,003,0208,5039,2744,843,1245,10,61,1,10,125,3549,2081,623,745,6,48,1,5,40,809.7,413.9,973.1,498.9,575.7,428.3,949.8,409.6,625.2,383,413.9,405,454.1,809.7,600.8,961.1,426.7,786.9
47,003,0212,2313,2210,42,35,2,8,0,0,16,1627,1571,33,12,2,5,0,0,4,668.6,130.8,857,183.9,512.4,163.6,821.5,162,546.1,136.2,130.8,149.8,172.7,668.6,528.6,839.7,155.7,680.9
47,003,0220,3048,2736,137,100,10,29,0,2,34,2280,2069,117,47,6,25,0,2,14,1071.5,253.8,1359,335.8,867.6,306.6,1326.8,287.4,912.3,265.4,253.8,284.8,311.7,1071.5,891.5,1344.3,289.9,1108
47,003,0224,1331,1217,8,74,2,11,0,3,16,1004,939,8,38,1,9,0,1,8,413,80.2,518.6,101.5,319.2,97.2,503.1,82.6,335.8,82.5,80.2,89.4,91.6,413,327.1,510.5,88.2,417.9
