state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_isa,uss_16_dem_bar,uss_20_rep_per,uss_20_dem_oss,gov_18_rep_kem,gov_18_dem_abr,atg_18_rep_car,atg_18_dem_bai,sos_18_rep_raf,sos_18_dem_bar,sos_r18_rep_raf,sos_r18_dem_bar,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
13,067,LA01,2594,2014,212,167,2,132,0,12,55,1913,1534,140,112,2,96,0,5,24,1022.5,555.5,1020.4,854.4,1122.5,424.9,1072.4,789.6999999999999,908.8000000000001,607.6,945.1,578,900.3,580.4,428.2,247.3,489.9,588.8,822,1072.3,918,1046.6,579.8,927.4
13,067,LI01,6035,2800,2279,432,13,332,1,21,157,4294,2102,1577,284,8,251,1,7,64,798.2,2178,778.9,2969.9,1005.9,1870,823.2,2868.4,650.7,2398.2,719.9,2329.2,655.7,2327.7,219.4,956.3000000000001,2023.9,2351.4,2919.2,901.5,675.3,801,2237.4,706.7
13,067,LM01,3691,2914,516,137,5,56,0,7,56,2662,2157,361,85,4,30,0,1,24,1569.1,739.1,1711,1258.8,1637.1,600.1,1765.1,1173.1,1487.4,888,1492.1,885.2,1462.9,853.8,686.8,369,669.2,875.6,1215.9,1602.6000000000001,1480.5,1738,845.9,1476.5
13,067,LM02,4829,4283,296,129,8,58,2,4,49,3295,2959,193,74,6,37,1,1,24,2115.9,685,2305.1,1226.9,2181.9,549,2376.9,1118,1919.1,761,1929.1000000000001,743.3,1902.1,718.6,793.9,290.4,617,741,1172.2,2149.2,1916.8999999999999,2341.2,761.6,1940.8
13,067,LM03,5048,3897,839,168,9,66,0,9,60,3390,2695,513,103,7,43,0,3,26,2018.4,930,2226.7,1492.6,2108.8,763.4,2271.5,1386.1,1914.2,1031.3,1936.7,1007.7,1879.2,984.1,829.4,408.6,847.1,1007.9,1439.6,2064,1910.2,2249.3,1000.4,1898.1
13,067,LM04,2906,2302,352,76,8,122,0,2,44,2079,1708,219,41,5,81,0,2,23,1239.1,560,1313,794.1,1294,440.7,1318.1,763,1136,613.8,1150.9,600.1,1114.8,593.9,517.1,240,500.3,602.7,778.7,1266.5,1133.8,1315.4,575.5,1135.6
13,067,LW01,2039,1521,314,105,6,58,6,2,27,1495,1159,217,63,5,35,2,1,13,786.6,336.59999999999997,847.5,534.8,797.1999999999999,287.1,865.7,497.3,728,378.3,739.8000000000001,372.5,717.1,361.7,304.4,148.5,311.9,370.8,516.1,791.7,728.4,856.5,364.5,723.3
13,067,MA01,4372,1951,1561,640,22,79,2,17,100,3270,1677,1092,361,18,66,1,6,49,663.5,1238.6,707.2,1714.4,680.2,1090.9,685.5,1681.5,548.6,1305.7,560.8,1280.1,543.3,1265.2,241.20000000000002,509.9,1164.8,1283,1698,671.8,550.5,696.5,1260.9,578.7
13,067,MA02,1860,795,638,360,9,23,0,2,33,1380,689,439,210,7,21,0,0,14,208.3,391.4,218.79999999999998,582.6,209.6,346.7,215.6,567.1,175.4,441.7,174.7,436.4,169,430.59999999999997,73.2,136.1,369.3,436.4,575.4,208.9,173.2,217.29999999999998,416.2,180.8
13,067,MA03,3933,2276,973,483,17,73,2,14,95,3009,1894,697,291,13,63,2,7,42,833.4,910.6,879.9,1232.9,883.1,797.1,877.1,1199.9,771.6,1000.2,775.4,1004.7,761,965,398,380.4,853.6,989.8,1216.4,858.1,769.4,878.6,936.2,772.7
13,067,MA04,1885,1388,274,134,11,50,0,13,15,1474,1123,192,94,7,41,0,7,10,538.5,479.40000000000003,552.5,720.4,625.5,391.3,579.1,683.4,525.6,541.3,529.4,542.8,506.1,527,253.4,237.9,435.40000000000003,537.1,701.3,581.9,520.5,565.8,515.3,514
13,067,MB01,1936,1750,61,54,2,46,0,2,21,1441,1312,49,36,2,32,0,1,9,798.1,394,832.9,538,912.8000000000001,280,878.9,485,778.9,400.09999999999997,804.1,378.9,777,378,343.90000000000003,169.1,336.7,385.5,511.3,855.6,786.6999999999999,855.9,377.9,765.8
13,067,MC01,4772,1699,2240,565,11,141,0,17,99,3397,1397,1492,333,9,107,0,11,48,744.9,1557,804.2,2252.7,767.8,1407.4,780.6,2200.4,645.4,1787.7,656,1766.1,638.3,1732.7,289.4,614.5,1482.1,1762.1,2226.7,756.2,646.7,792.6,1664.8,666.3
