state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_mor,uss_18_dem_man,uss_20_rep_cap,uss_20_dem_swe,gov_16_rep_col,gov_16_dem_jus,gov_20_rep_jus,gov_20_dem_sal,atg_16_rep_mor,atg_16_dem_rey,atg_20_rep_mor,atg_20_dem_pet,sos_16_rep_war,sos_16_dem_ten,sos_20_rep_war,sos_20_dem_ten,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
54,001,1,868,857,1,4,0,0,0,0,6,641,635,0,1,0,0,0,0,5,192.5,30.7,241,52.5,91.6,70.8,232.7,46.9,120.8,100.4,215.7,54,133.9,81.9,205.5,70.3,136.7,92.1,185.6,98.1,76.5,70.8,64.1,146,91.6,216.1,70.1,175.4
54,001,11,459,399,10,4,13,0,0,0,33,353,300,10,3,12,0,0,0,28,92.7,45.1,100.8,50.9,50.3,60.4,110.8,38.9,70.4,60.2,97.5,45.1,74.2,59.3,96.1,56.2,70.1,72.6,81.5,72.4,59.3,60.4,52.8,76.6,50.3,97.5,56.6,84.3
54,001,12,973,954,2,3,6,2,0,0,6,763,748,1,2,6,1,0,0,5,338.4,90.8,398.6,103.7,194.5,177.8,413.4,84.1,219.8,200.8,386.2,96.8,255.9,155.1,350.5,144.3,250.7,172.9,315.1,178.3,155,177.8,121,265.7,194.5,373.3,140.79999999999998,312
54,001,13,522,517,0,1,1,0,0,0,3,421,417,0,1,1,0,0,0,2,178,51.2,194.7,62.3,103.10000000000001,75.1,179.70000000000002,65.2,119.2,99.3,162.5,72.6,128,79.9,174.5,78.4,130.8,84.4,159.4,91.5,78.9,75.1,73.9,138.8,103.10000000000001,174.4,76.1,153.1
54,001,14,597,577,3,1,0,0,0,0,16,462,448,3,1,0,0,0,0,10,226.5,39.9,247,47.6,134.8,80.3,248.7,44.5,123,136.5,229.4,59.3,160.1,86.6,224.1,77.7,157.7,101,200.9,96.2,90.9,80.3,65.1,166.4,134.8,230.1,76.8,195.7
54,001,15,1152,1061,32,12,13,9,1,0,24,959,887,25,12,12,7,1,0,15,142.4,86.3,203.1,82,73.9,124.8,204.8,70.9,115.9,110.8,204.3,69.3,111.3,106.9,182.7,100.2,114,121.6,169.7,115.4,106.60000000000001,124.8,87.6,121,73.9,192.7,98.7,152.5
54,001,16,794,773,2,10,1,0,0,0,8,665,652,2,7,1,0,0,0,3,290.6,55.4,327.1,78,186.5,95.2,324.40000000000003,69.7,191.20000000000002,145.9,299.9,65.2,192.9,115.7,297,101.9,213.3,121,272.5,121.8,109.3,95.2,87.5,222.6,186.5,304.2,97.4,259.5
54,001,17,1258,1207,12,4,8,12,0,1,14,1022,984,9,4,5,11,0,1,8,368.5,107.3,428.4,141.1,195.7,204.3,437.3,121.8,237.1,246.3,396.5,142.7,255.7,221.9,369.6,186.6,245.1,246.5,342.5,224,205.7,204.3,163,277.1,195.7,395.8,184.4,327.6
54,001,18,292,286,0,6,0,0,0,0,0,231,228,0,3,0,0,0,0,0,101.2,19,113.8,27,64.9,32.9,113,24.2,66.8,50.7,104.5,22.5,67.3,40.1,103.4,35.3,74.5,41.7,94.8,42.1,37.9,32.9,30.3,77.6,64.9,105.7,33.7,90.60000000000001
54,001,19,520,508,1,1,0,0,0,4,6,388,382,0,0,0,0,0,3,3,152.4,28.6,160.6,53.300000000000004,74.8,61.4,164.79999999999998,45.300000000000004,97,87.8,149.8,53.5,98.9,63.699999999999996,139.4,70.5,103,66,129.4,83.3,61.9,61.4,61.1,112.7,74.8,149.4,61.4,127.6
54,001,2,1305,1275,3,12,4,1,1,0,9,995,974,3,9,2,1,1,0,5,346.5,81.1,392,87.3,222.4,135.3,383.5,83.9,225.2,193.6,361.9,89.60000000000001,243.20000000000002,149.6,342.6,125.3,236.1,175,302.9,167.5,149.5,135.3,110.6,262.8,222.4,356.5,128.8,305.5
54,001,20,415,410,1,0,1,0,0,0,3,300,296,1,0,1,0,0,0,2,91.4,18.5,63.4,25.900000000000002,52.6,38.7,63.6,21.7,62.5,48.7,63.6,21.2,57,46.6,57.4,31.1,56.800000000000004,51.5,53.5,35.9,41.2,38.7,27.4,66.7,52.6,60.1,33.6,62.3
54,001,21,329,312,2,4,7,0,0,0,4,240,230,2,1,5,0,0,0,2,58.4,23,50.6,20.8,23.9,34.7,51,17.2,32.699999999999996,43.9,51,17,36.300000000000004,34.4,45.9,24.8,35.2,39.7,42.9,28.7,35.1,34.7,22,40.3,23.9,48.1,28.2,43.1
54,001,22,245,239,2,2,0,0,0,0,2,190,186,2,1,0,0,0,0,1,46.2,18.3,40.1,16.5,18.8,27.7,40.5,13.6,26,34.9,40.4,13.3,28.8,27.099999999999998,36.2,19.7,27.900000000000002,31.2,34,22.7,27.8,27.7,17.4,31.9,18.8,38.1,22.3,34
54,001,3,526,515,0,8,0,0,0,0,3,404,395,0,6,0,0,0,0,3,142.2,33.8,161.6,36.4,93.3,55.8,158.9,35.3,92.7,80.10000000000001,150.79999999999998,37.1,100.2,61.4,142,53.1,96.8,72.3,125.1,70.1,61.7,55.8,46.4,107.9,93.3,147.8,53.4,126.1
54,001,4,1075,1048,6,8,5,2,1,1,4,816,806,1,4,2,2,1,0,0,313.9,68.8,326.1,83,162.7,127.9,310.7,86.7,191.7,190.5,303.1,84.2,221.5,143,276,125,209.1,175,244.4,159.2,143.9,127.9,108,233.7,162.7,291.7,124.9,255.6
