state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_kai,uss_18_rep_ste,uss_20_dem_war,uss_20_rep_gad,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
51,003,101,3596,2676,481,160,13,171,4,4,87,2615,2024,311,97,10,119,3,3,48,1386.7,749.7,1773.1,680.1,1428.3,642.2,1793,662.5,1386.7,1428.3,1782.6,749.7,642.2,670.9
51,003,103,2221,1354,294,385,4,118,1,6,59,1903,1243,228,292,4,99,1,4,32,637,230.1,746,204.9,606,185.1,718.9,203.9,637,606,732.6,230.1,185.1,204.3
51,003,104,4134,2241,890,654,10,219,2,10,108,3272,1964,638,428,9,176,2,8,47,1289.9,450.2,1797.7,501.9,1258.7,372.9,1817.1000000000001,487.7,1289.9,1258.7,1807.3,450.2,372.9,494.6
51,003,105,2697,2231,232,65,5,120,0,1,43,2134,1800,167,42,5,98,0,1,21,1589,655,1676.2,545.9,1853,537.4,1691.2,555.7,1589,1853,1684.1,655,537.4,550.8
51,003,106,3034,2563,135,97,7,150,1,7,74,2334,2030,101,60,4,104,1,5,29,1006.8,741.3,1651.6,964.3000000000001,1148.2,646.2,1726.6000000000001,920.6,1006.8,1148.2,1689.1,741.3,646.2,942.6
51,003,201,3182,2387,385,248,3,96,0,5,58,2449,1915,261,171,1,68,0,4,29,1045.8,588.1,972.7,485.90000000000003,1149.7,534.2,941.2,506.09999999999997,1045.8,1149.7,956.7,588.1,534.2,495.9
51,003,202,5260,3328,356,282,7,1130,0,5,152,5067,3261,330,263,7,1055,0,4,147,1469.9,306.9,1185,137,1485.8,228,1079.3,176.2,1469.9,1485.8,1131.8,306.9,228,156.6
51,003,203,4751,2460,1330,553,3,220,6,13,166,3793,2171,979,383,3,171,2,7,77,1558.1,440.59999999999997,2365.2,421.6,1529.6,313.7,2301.4,419.5,1558.1,1529.6,2333.5,440.59999999999997,313.7,420.7
51,003,204,1370,1274,25,24,0,35,0,1,11,1133,1065,23,18,0,25,0,0,2,501.8,318.7,450.9,224.6,531.6,246.6,436.2,233.4,501.8,531.6,443.7,318.7,246.6,228.9
51,003,301,4625,4225,131,84,1,132,1,2,49,3368,3102,98,51,1,96,1,1,18,1976,906.5,2335.6,909.3,2047.3,843.7,2333.3,918.7,1976,2047.3,2334.3,906.5,843.7,913.5
51,003,302,4010,3418,318,192,6,22,0,3,51,3115,2674,255,135,5,18,0,3,25,1286.6,815.7,2002.5,1084.7,1357.9,696,2032.1,1046.2,1286.6,1357.9,2016.7,815.7,696,1065.6
51,003,304,3589,2534,242,165,4,514,1,3,126,3324,2329,233,162,3,477,1,3,116,1152.8,415.2,1164.8,271.6,1176.1,333.2,1100.6,300.90000000000003,1152.8,1176.1,1132.6,415.2,333.2,286.2
51,003,305,2912,2395,177,106,9,157,1,6,61,2199,1837,136,72,9,122,1,3,19,1114.7,614.3,1120.8999999999999,526.1,1348.1,490.7,1182.3,510.2,1114.7,1348.1,1151.8,614.3,490.7,517.9
51,003,401,2432,2207,134,51,7,12,0,2,19,1902,1739,110,27,4,8,0,2,12,518.9,652.4,891.7,974.9,521.7,535.5,1001.1,936.8000000000001,518.9,521.7,945.3,652.4,535.5,956.1
51,003,402,2469,2170,180,46,3,18,1,5,46,1949,1738,144,28,3,15,1,4,16,526.1,618,657.5,686.1,538.6,487.1,806.6,650.4,526.1,538.6,731.9,618,487.1,668.2
51,003,403,2396,1605,650,81,2,6,11,0,41,1826,1258,493,48,2,4,5,0,16,686.6,429.7,1637.1,722.3,678.6,373.1,1603.6,692.2,686.6,678.6,1620.2,429.7,373.1,707.8
51,003,405,8105,5296,1140,1120,9,380,6,13,141,6565,4439,989,729,8,312,4,8,76,2563.2999999999997,890.6,2449.5,815.8,2780.3,753.7,2418.4,838.1,2563.2999999999997,2780.3,2433.8,890.6,753.7,827.1
51,003,406,3616,3136,255,94,9,34,0,11,77,2800,2467,206,65,9,27,0,5,21,1059.8,1104.3,1091.4,1059.8,1152.7,1006.8,1238.1,1023.1,1059.8,1152.7,1164.2,1104.3,1006.8,1042
51,003,501,1962,1550,299,59,0,9,1,4,40,1589,1264,261,35,0,5,1,4,19,629.1,442.7,1192.1,636.6,665.6,374,1161.1,635.8,629.1,665.6,1177.9,442.7,374,636.5
51,003,502,2108,1917,98,42,3,19,1,3,25,1621,1476,86,26,1,15,0,3,14,624.9,588.4,1027.2,712.6,621.4,496.1,1023.7,728,624.9,621.4,1025.1,588.4,496.1,720.2
51,003,503,6682,5531,319,173,8,500,1,21,129,4663,3920,236,102,5,340,1,11,48,2119.5,1509.6,3304.8,1504.8999999999999,2250.6,1197.4,3320.6,1529.8,2119.5,2250.6,3313,1509.6,1197.4,1517.2
51,003,504,4555,3664,452,176,9,167,3,16,68,3673,3073,309,119,4,124,2,10,32,1898.3000000000002,909.3,1857.4,782.2,2243.4,890.7,1771.3,814.7,1898.3000000000002,2243.4,1814,909.3,890.7,798.6
51,003,505,2118,1575,330,104,8,36,0,5,60,1544,1181,233,68,3,29,0,4,26,666.8,510.1,967.4,590.4,740.1,445.6,1009.8,577.7,666.8,740.1,988.9,510.1,445.6,584.2
51,003,601,5505,4923,199,155,5,143,1,5,74,4169,3775,163,112,5,90,1,3,20,1838,1196.8,1944.6,1376.7,1941.7,948.2,2052.4,1349.6,1838,1941.7,1998.9,1196.8,948.2,1361.8
51,003,602,2064,1926,35,35,5,19,0,5,39,1638,1548,32,18,1,15,0,4,20,564.4,491.5,1100.4,743.1,583.1,426.1,1083.8,739.3,564.4,583.1,1092,491.5,426.1,741.4
51,003,603,3984,3636,112,81,7,62,0,3,83,3015,2798,88,46,5,43,0,3,32,1238.1,1157.6,1811.5,1419.6,1327.3,993.3,1756.8,1439.6,1238.1,1327.3,1783.7,1157.6,993.3,1429.1
51,003,604,4642,4013,275,159,3,102,0,10,80,3309,2919,209,82,2,63,0,6,28,2101.2,1319.9,2698.6,1504.3,2446.8,1190.1,2741,1513.1,2101.2,2446.8,2718.7,1319.9,1190.1,1508.7
