state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_16_dem_sch,uss_16_rep_car,uss_18_dem_hir,uss_18_rep_cur,gov_18_dem_ige,gov_18_rep_tup,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
15,001,0101,3310,1021,6,534,7,593,258,0,891,2535,911,4,316,7,517,181,0,599,820,294.4,1169.6,455,918.1,233.6,901,288.4,808.5,347.4,868.7,854.3,1169.6,263.2,317.8,455,922.8,324.2
15,001,0102,1961,426,7,299,1,563,130,2,533,1504,373,7,192,1,466,105,1,359,485.9,174.5,693.7,270.2,544.5,138.8,534.7,171.2,479.2,206.3,514.6,506.5,693.7,156.3,188.6,270.2,547.2,192.6
15,001,0103,565,200,0,52,4,88,32,0,189,443,159,0,33,2,82,25,0,142,126.5,41.6,168.8,69.3,146.2,31.6,133.8,38.4,109.6,57.1,135.8,122,168.8,36.1,47.3,69.3,136.8,47.1
15,001,0104,4379,1214,4,477,11,1211,208,2,1252,3341,1066,2,306,9,1017,151,2,788,954,312.4,1272.3,524,1101.9,238.6,1010.5,287.5,828.2,431.9,1026.8,920.1,1272.3,274.9,359.6,524,1033.3,358.6
15,001,0105,1498,467,3,177,1,351,74,2,423,1131,414,3,87,1,309,56,2,259,356.4,136.6,543,206.9,417.9,100.4,387.3,121.6,339.3,149.1,386.59999999999997,362,543,117.8,135.3,206.9,408.8,142.6
15,001,0106,358,99,0,40,0,76,12,2,129,261,83,0,28,0,61,7,2,80,89.8,24.3,117.7,43,97.10000000000001,16.9,91.9,22.6,78.8,31,93.3,85.1,117.7,20.7,26.7,43,95,27.5
15,001,0107,1352,428,4,225,1,368,45,0,281,1022,363,4,139,1,305,31,0,179,351,95.1,461.6,168,380.7,66.5,360.5,88.5,308.6,122.3,365.4,333.6,461.6,80.7,104.8,168,372.5,107.2
15,001,0108,401,203,0,35,2,100,12,1,48,327,175,0,26,1,88,7,1,29,143.8,47.8,185.8,66.4,157.7,37.7,146.20000000000002,43.2,130.8,52,150.9,138.5,185.8,42.4,48.3,66.4,153,48.9
15,001,0109,417,159,3,46,0,107,20,7,75,332,150,3,19,0,101,12,1,46,103.6,34.1,147,45.7,114.8,24,112.6,27,99.6,33.8,108.8,105.5,147,28.7,30.2,45.7,115.1,33.2
15,001,0110,629,199,3,71,0,163,46,0,147,503,182,3,48,0,146,36,0,88,156.4,52.1,222.5,69.8,174.1,36.4,171,41.1,150.9,52,164.4,160.3,222.5,44.1,46.2,69.8,174.6,50.4
