state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_blu,uss_16_dem_kan,uss_18_rep_haw,uss_18_dem_mcc,gov_16_rep_gre,gov_16_dem_kos,gov_20_rep_par,gov_20_dem_gal,atg_16_rep_haw,atg_16_dem_hen,atg_20_rep_sch,atg_20_dem_fin,sos_16_rep_ash,sos_16_dem_smi,sos_20_rep_ash,sos_20_dem_fal,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
29,001,10,2601,2399,36,72,4,46,1,5,38,2072,1925,28,46,4,45,1,1,22,413.5,262.1,483.4,339.9,364.5,315,297.4,265.1,385.3,315,480.1,337.7,430.3,290.1,478.3,322.8,416.5,265.1,521.4,286.8,289.6,265.1,321.3,404.3,297.4,490
29,001,11,2356,2029,99,85,2,69,1,5,66,2353,2028,97,85,2,69,1,5,66,110.1,328.90000000000003,30,228.1,136,348,63.900000000000006,242.8,137,341.1,32.9,224.1,150,328.1,42.1,208,153,308,37,213,330.90000000000003,242.8,218.4,137.2,63.900000000000006,35.5
29,001,2,2172,2093,3,14,16,17,0,0,29,1590,1553,2,9,7,7,0,0,12,736.8,163.8,815.8,159,636.5,269.7,577.2,191.3,636,287.7,839.8000000000001,139.1,725.6,205.3,823.6,136.4,705.8000000000001,188.6,869,87,223.4,191.3,134.4,690.7,577.2,832.6
29,001,3,2770,2528,51,67,7,59,2,1,55,2291,2090,43,57,7,55,2,0,37,460.3,453.4,464.5,461.4,442.2,517.2,351.1,442.8,458.2,494.5,468.2,467.1,485.6,481.8,479.9,416.6,483.5,440.1,531.2,373.8,478,442.8,431.9,464.4,351.1,485.2
29,001,4,1877,1738,22,48,6,34,3,0,26,1378,1292,17,30,4,21,1,0,13,503,299.1,513.9,323.3,476.2,356.90000000000003,426.4,316,493.4,352.7,552.4,303.5,530.4,302.1,542.3,285.8,514.8,294.9,583.6,250.1,321.3,316,290.4,503.4,426.4,548.8
29,001,5,2064,1951,10,51,7,22,0,0,23,1606,1536,8,29,5,18,0,0,10,642.7,371.1,656.1,443.9,619.9,439.9,588,416.1,644.5,430.3,699.7,417.40000000000003,715.9,353.2,688,383.1,680,349.1,748.9,341.9,388.7,416.1,396.8,660.3,588,698.4
29,001,6,2304,2266,2,9,9,1,0,0,17,1769,1742,0,7,9,1,0,0,10,836.1999999999999,209.4,1113.7,201.2,719.1,294.8,674.9,214.5,734.6,306.1,1133.8,177,809.1,241.4,1123.3,159.1,767.2,236.1,1173,118.1,257.2,214.5,165.2,773.4,674.9,1134.3
29,001,7,3626,3514,13,27,15,22,0,0,35,2641,2581,6,18,7,15,0,0,14,1286.5,420.1,1209.7,390,1165.7,566.4,1061.3,476.9,1196.7,546.4,1234.8,373.4,1311.1,438.8,1232.7,333.6,1267,435.9,1302.1,291.2,478.3,476.9,347.4,1248.3,1061.3,1242.7
29,001,8,3282,3001,83,93,4,48,2,1,50,2680,2474,67,67,4,40,2,1,25,768.2,535.4,853.4,607.1,775.1,594.4,698.4,533.7,798.3,579.3,881.2,575.4,849.8,537.3,916.2,514.3,865.4,472.1,970,467.6,543.3,533.7,540.2,811.3,698.4,905.6
29,001,9,2555,2232,73,57,2,135,3,2,51,2255,1970,67,40,1,133,3,2,39,271.1,455.5,268.3,551.2,264.8,491.7,198.4,392.5,278.8,491.7,275.1,531,315.8,456.8,297,497.3,329.7,407.8,309.2,482.6,459,392.5,514.3,291.9,198.4,285.1
