state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_lee,uss_16_dem_sno,uss_18_rep_rom,uss_18_dem_wil,gov_16_rep_her,gov_16_dem_wei,gov_20_rep_cox,gov_20_dem_pet,atg_16_rep_rey,atg_16_dem_har,atg_20_rep_rey,atg_20_dem_sko,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
49,003,BRN01,42,42,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,16.900000000000002,3,33,3.6,22.799999999999997,2.7,18.5,3.5,21.2,3.5,30,3,22,2.8000000000000003,31.5,4.5,3,3.5,3.6,20.8,18.5,31.5
49,003,BRN01F,13,12,0,0,0,1,0,0,0,11,10,0,0,0,1,0,0,0,5.4,0.9,10.3,1.3,7.5,0.9,6.3,1.1,7.1,1.1,9.6,1.1,7.1000000000000005,0.8,9.8,1.5,0.9,1.1,1.2,6.8,6.3,9.8
49,003,BRN02,173,164,0,3,2,2,0,0,2,129,122,0,2,2,2,0,0,1,55.2,10.7,88.7,20.9,75.7,11.2,73.4,17.3,78.6,12.3,89.9,16.4,76.8,9.3,81.8,23.400000000000002,10.8,17.3,20.2,71.6,73.4,86.8
49,003,BRN02F,220,211,0,9,0,0,0,0,0,147,143,0,4,0,0,0,0,0,63,12.1,101.3,24.1,86.3,12.8,83.6,19.6,89.2,14,102.3,18.7,87.5,10.5,93.1,26.7,12.299999999999999,19.6,23,81.5,83.6,99
49,003,BRV01M,853,808,3,36,1,2,0,0,3,572,551,0,18,1,0,0,0,2,256.7,29.3,417,50.6,338.5,31,262,34.2,328.1,37.7,398.3,43.4,321.2,31,396.7,54.7,32.2,34.2,49.5,311.2,262,403.9
49,003,BRV01U,92,80,0,8,0,4,0,0,0,72,66,0,3,0,3,0,0,0,32.2,4,53.4,6.8,42.699999999999996,4.1,33.7,4.3,41.1,4.8,51.1,5.8,40,4.1,51.1,7.4,4.3,4.3,6.8,39,33.7,51.6
49,003,BRV02U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,CCR01,41,36,0,5,0,0,0,0,0,20,18,0,2,0,0,0,0,0,13.2,0.8,10,0,16,0.8,6,0,16,0.8,10.9,0,14,2,10.9,0,1,0,0,14.8,6,10.700000000000001
49,003,COR01M,685,584,1,75,4,4,0,8,9,460,399,1,47,3,4,0,2,4,170.7,36.1,285.59999999999997,56.4,208,36.8,192,47.4,205.7,42.2,267.4,42,202,33.4,276.7,53.4,37.2,47.4,50.9,196.2,192,276.7
49,003,COR01U,328,286,2,32,2,4,0,0,2,216,188,0,21,2,4,0,0,1,76,16.6,124.7,26.400000000000002,91.5,17.5,85.8,22.1,91.3,19.2,117.4,19.5,89.2,15.200000000000001,121.1,24.4,17.2,22.1,23.5,86.8,85.8,121.1
49,003,COR02U,268,212,0,42,1,6,0,0,7,183,148,0,25,1,6,0,0,3,76.9,8,127.1,18.3,92.8,8,85,14.3,85,14.3,119.9,14.9,79,12,125,18.3,10.200000000000001,14.3,17.3,83.4,85,124.2
49,003,COR03U,73,68,0,4,0,1,0,0,0,50,48,0,1,0,1,0,0,0,19.5,4.1,33.6,6.1000000000000005,24.1,4.1,21.8,5.2,23.6,4.8,31.3,4.7,23.5,3.7,32.3,6,4.2,5.2,5.5,22.6,21.8,32.3
49,003,DEW01F,178,167,0,7,0,1,0,0,3,122,114,0,4,0,1,0,0,3,48.9,9.200000000000001,81.7,16.2,67.7,8.5,56.4,5,65.9,9.7,84.4,10.5,59.3,10.2,80.5,15.3,9.5,5,14.2,60.5,56.4,82.2
49,003,DEW01M,338,327,1,3,1,1,1,0,4,234,229,0,3,0,0,0,0,2,93.8,17.3,156.9,31.2,130.2,16.5,108.3,9.9,126.4,18.6,162.1,20.2,113.7,19.1,154,29.6,18,9.9,27.1,116.10000000000001,108.3,157.5
49,003,DEW01U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,DEW02F,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.8,0.1,1.3,0.3,1.1,0.1,0.9,0.1,1.1,0.2,1.4,0.2,1,0.2,1.3,0.3,0.2,0.1,0.3,1,0.9,1.3
49,003,DEW02U,18,17,0,1,0,0,0,0,0,16,16,0,0,0,0,0,0,0,6.4,1.2000000000000002,10.8,2.2,8.899999999999999,1.2000000000000002,7.3999999999999995,0.7,8.600000000000001,1.3,11.1,1.4,7.699999999999999,1.3,10.5,2,1.3,0.7,1.9,7.9,7.3999999999999995,10.8
49,003,DEW03F,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.4,0.1,0.7,0.1,0.6,0.1,0.5,0,0.5,0.1,0.7,0.1,0.5,0.1,0.7,0.1,0.1,0,0.1,0.5,0.5,0.7
49,003,ELW01F,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0.1,1.6,0.2,1.1,0.1,1,0.1,1.2,0.1,1.5,0.1,1.1,0.1,1.5,0.2,0.1,0.1,0.2,1.1,1,1.5
