state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_hoe,uss_16_dem_gla,uss_18_rep_cra,uss_18_dem_hei,gov_16_rep_bur,gov_16_dem_nel,gov_20_rep_bur,gov_20_dem_len,atg_18_rep_ste,atg_18_dem_tho,sos_18_dem_bos,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
38,001,39-01,213,211,0,0,0,0,0,0,2,169,167,0,0,0,0,0,0,2,82.1,18.6,86.8,23.3,94.2,9.700000000000001,70,33.5,93.8,11.1,90.30000000000001,15.200000000000001,84.2,18.6,26.2,11.700000000000001,26.2,17.8,91.30000000000001,77.3,87.2
38,001,39-02,1881,1814,7,17,13,9,2,0,19,1519,1483,2,9,7,9,1,0,8,732.1,171.2,784.4,206.9,852.1,90.4,634.5,295.3,842,105.7,803.9,132.5,751.1,171.3,234.1,117.8,234.3,165.8,812.8000000000001,692.6,791.7
38,001,39-03,249,241,1,3,2,0,0,0,2,209,203,1,1,2,0,0,0,2,101.2,23.1,107.60000000000001,28.7,116.8,12.200000000000001,86.9,41.4,116.3,14.1,111.2,18.7,104.1,23.1,32.7,14.8,32.7,22.3,112.9,95.5,108.10000000000001
38,003,20-06,598,583,0,6,1,0,0,0,8,473,465,0,3,1,0,0,0,4,206.4,92.9,236.5,103.3,253.60000000000002,49.6,162.8,162.4,244.9,54.6,254.4,85.9,204.6,115.1,137.2,67.2,139.6,94.6,236.4,181.6,242.9
38,003,20-10,162,161,0,1,0,0,0,0,0,124,124,0,0,0,0,0,0,0,53.7,28.7,57,28.9,62,16.7,38.5,37.3,66.10000000000001,16.7,53.5,28.7,48.3,28.7,28.9,20.6,31.1,28.8,60.8,42.8,55.4
38,003,20-12,506,495,0,6,2,1,0,1,1,385,380,0,1,1,1,0,1,1,184.3,63.9,201,65.7,232.1,35.2,124.89999999999999,126.39999999999999,231.6,40.7,190.7,45.5,164.3,77,81.9,44.5,93.4,53,215.3,142.8,194.70000000000002
38,003,20-13,509,494,1,5,7,0,0,0,2,394,386,0,2,5,0,0,0,1,141.1,62.2,163.8,77.3,190.7,37,106,112.1,192.8,39.1,180.2,56.199999999999996,132.3,78.9,92.1,45.2,93,65,174.4,118.5,174.4
38,003,24-01,703,648,17,9,4,15,0,0,10,540,507,8,4,2,11,0,0,8,240.1,141.2,219,166,345.9,63,178,191.1,333.1,78.1,261.2,117.1,254,108.7,165,94,154.8,141.7,306.3,216,239.9
38,003,24-02,1613,1517,17,30,9,13,0,0,27,1294,1235,10,16,7,10,0,0,16,366.1,229.4,430,258.8,517.6,129.4,287.6,376.5,517.6,129.4,476.6,201.9,357.6,293.4,312,162.4,327.3,230.5,467.3,322.1,453.6
38,003,24-03,999,908,35,16,10,7,1,0,22,882,807,34,12,7,7,1,0,14,192.3,137,190.8,126.5,280,77,157.3,162,281.9,77,206.5,99.4,197.5,113.6,138.8,96.9,138.1,112.7,251.29999999999998,176.8,198.6
38,003,24-04,1399,1325,6,20,13,11,0,0,24,1145,1100,6,12,8,9,0,0,10,328.5,198.9,366.4,231,466.4,101.1,268,296.1,453.5,112.3,400.7,171.8,342.7,216.7,268.8,137.1,260.9,201.5,416.7,305.2,383.4
38,003,24-05,1871,1816,4,21,11,8,0,0,11,1491,1450,4,14,8,6,0,0,9,507.7,322.4,588.1,370.4,754.6,156.9,430.1,468.1,720.9,183.2,629.9,280,580.2,311,380,220.9,386.2,324.9,660.9,505.2,609
38,003,24-07,418,409,1,1,0,0,0,0,7,311,308,1,1,0,0,0,0,1,117.9,40.8,148.5,54.4,157.4,23.5,96.9,79.6,154.7,20.2,159.5,39.8,129.5,48,57.5,27.7,62,47.4,142.5,112.6,153.2
38,003,24-08,207,206,0,0,0,0,0,0,1,141,141,0,0,0,0,0,0,0,76.7,19,78.4,26.6,96.5,7.9,54.1,42.3,90.8,11.9,78.4,16.3,72.7,20.3,28.2,12.8,29.8,21.9,88.6,63.2,78.4
38,003,24-09,483,469,0,5,1,3,0,0,5,370,361,0,3,1,2,0,0,3,149.6,44.2,178.7,53.8,192,20.2,127,90.8,186.6,20.2,185,37,164.8,50,61,27.4,68,42.7,174.79999999999998,145.6,182.7
38,003,24-11,1014,998,1,0,9,0,0,0,6,754,744,1,0,6,0,0,0,3,385,149.1,481.3,182.6,497.40000000000003,78.9,327.3,241.6,497.40000000000003,85.7,489.7,134.1,393.2,163.2,213,106.1,204.1,154.7,459.9,361.1,485.7
