state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_ros,uss_18_dem_tes,uss_20_rep_dai,uss_20_dem_bul,gov_16_rep_gia,gov_16_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_16_rep_fox,atg_16_dem_jen,atg_20_rep_knu,atg_20_dem_gra,sos_16_rep_sta,sos_16_dem_lin,sos_20_rep_jac,sos_20_dem_ben,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
30,017,5,467,446,0,6,5,0,0,0,10,362,351,0,4,4,0,0,0,3,165.1,59.5,192.4,86.4,124.9,109,191.6,95.6,149.6,91.5,187.3,94.2,188,49.9,198.4,84.7,155.7,83.4,196.79999999999998,82.7,71,109,88.7,164.4,124.9,193.6
30,017,6,845,795,2,13,26,0,0,0,9,622,608,0,5,5,0,0,0,4,308.7,73.7,366.5,88.3,257.7,125.2,353.40000000000003,113.3,260.7,141.7,356.7,97.2,332.8,68.6,368.5,94.8,291.3,113,366.3,92.5,99.2,125.2,97.1,298.2,257.7,362.5
30,017,7,630,606,0,13,3,1,0,0,7,471,455,0,8,3,1,0,0,4,279.6,59.5,334.1,66.2,233.9,108.2,329.5,77.8,246.5,105.5,325.8,69.7,296.9,50.5,342.9,65.1,269.4,86.6,335.6,67.6,76.1,108.2,69.5,272.6,233.9,333.7
30,017,8,170,165,0,1,0,1,0,0,3,144,140,0,1,0,1,0,0,2,97.5,11.1,106.8,12.5,81.6,19.2,105.2,15.6,86.3,23.6,103.5,13.9,98.1,10.200000000000001,106,14.7,90.5,18.3,107.5,13.1,16.2,19.2,13.8,92.6,81.6,106.4
30,017,9,25,25,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,14.7,1.4,15.399999999999999,0.9,12.5,1.9,15.399999999999999,1.2000000000000002,13.3,2.8,14.7,1.2000000000000002,14.5,1.2000000000000002,15,1.4,13.5,2.1,15.6,1.2000000000000002,1.9,1.9,1.2000000000000002,14.1,12.5,15.399999999999999
30,019,2,227,217,0,3,3,0,0,0,4,190,183,0,3,3,0,0,0,1,102.10000000000001,25.8,114,27.3,82.8,38,114,32,76,48.8,102.10000000000001,38,103.2,22,108,35,87.9,38,111,29.7,32.8,38,31.9,92.9,82.8,111
30,019,3,361,340,1,8,8,1,0,0,3,273,264,1,4,3,1,0,0,0,165.2,25.9,173.3,36.1,151.7,39.4,173.5,39.1,163.8,38.7,172.6,37,176,21.900000000000002,174.1,36.6,160.9,32.7,163.8,38.5,28.8,39.4,37.1,165.2,151.7,172.2
30,019,4,146,145,1,0,0,0,0,0,0,126,126,0,0,0,0,0,0,0,76.4,11.8,79.7,16.3,70.1,18,79.8,17.8,75.6,17.6,79.4,16.8,81.1,10,80.1,16.5,74.2,15.1,75.6,17.6,13.200000000000001,18,16.8,76.5,70.1,79.3
30,019,5,530,494,0,4,21,1,0,0,10,402,386,0,3,9,1,0,0,3,212.1,58,233.2,72.1,184.79999999999998,102.1,222.7,88.3,187.3,95.8,219.5,80.4,235.4,49,224,80,200.2,77,227,68.7,69.5,102.1,78.8,208.8,184.79999999999998,225
30,019,6,487,457,1,12,4,2,0,1,10,392,374,1,9,3,2,0,1,2,172.6,48.800000000000004,198.1,43.8,143,84,196.8,64.9,146.1,87.10000000000001,195.9,47.1,180.4,51.8,195.9,53,149.6,72.5,201.8,41.2,64.7,84,49.8,161.8,143,196.8
